map,N,M,n,solver_ms_mean,solver_ms_median,solver_ms_p90,timeout_frac
empty-32-32,60,100,3,51203.0,2178.0,149267.0,0.0
empty-32-32,120,225,3,11643.0,11495.0,13921.0,0.0
empty-32-32,180,350,3,79660.0,33509.0,180004.0,0.333
empty-32-32,190,370,3,36734.0,37025.0,40544.0,0.0
empty-32-32,205,400,3,48100.0,51843.0,54833.0,0.0
empty-32-32,220,430,3,44552.0,46947.0,48658.0,0.0
random-32-32-20,60,100,3,2435.0,2471.0,2538.0,0.0
random-32-32-20,120,225,3,123884.0,180003.0,180004.0,0.667
random-32-32-20,180,350,3,38280.0,35707.0,46108.0,0.0
random-32-32-20,190,370,3,137786.0,180004.0,180005.0,0.667
random-32-32-20,205,400,3,98580.0,60031.0,180005.0,0.333
random-32-32-20,220,430,3,57637.0,60052.0,64517.0,0.0
maze-32-32-2,60,100,3,2088.0,2010.0,2254.0,0.0
maze-32-32-2,120,225,3,13241.0,13419.0,13488.0,0.0
maze-32-32-2,180,350,3,33320.0,31192.0,40212.0,0.0
maze-32-32-2,190,370,3,36083.0,38133.0,38498.0,0.0
maze-32-32-2,205,400,3,39230.0,37913.0,43396.0,0.0
maze-32-32-2,220,430,3,40704.0,39098.0,44432.0,0.0
room-32-32-4,60,100,3,2853.0,2777.0,3682.0,0.0
room-32-32-4,120,225,3,11667.0,11850.0,12853.0,0.0
room-32-32-4,180,350,3,34422.0,33911.0,36683.0,0.0
room-32-32-4,190,370,3,134395.0,180002.0,180004.0,0.667
room-32-32-4,205,400,3,61891.0,60378.0,68470.0,0.0
room-32-32-4,220,430,3,58970.0,58363.0,68515.0,0.0
