map,N,M,mean_s,median_s,p90_s,max_s,n_instances,n_fail,n_timeout
empty-32-32,60,100,51.203,2.178,149.267,149.267,3,0,0
empty-32-32,120,225,11.643,11.495,13.921,13.921,3,0,0
empty-32-32,180,350,79.66,33.509,180.004,180.004,3,0,1
empty-32-32,190,370,36.734,37.025,40.544,40.544,3,0,0
empty-32-32,205,400,48.1,51.843,54.833,54.833,3,0,0
empty-32-32,220,430,44.552,46.947,48.658,48.658,3,0,0
random-32-32-20,60,100,2.435,2.471,2.538,2.538,3,0,0
random-32-32-20,120,225,123.884,180.003,180.004,180.004,3,0,2
random-32-32-20,180,350,38.28,35.707,46.108,46.108,3,0,0
random-32-32-20,190,370,137.786,180.004,180.005,180.005,3,0,2
random-32-32-20,205,400,98.58,60.031,180.005,180.005,3,0,1
random-32-32-20,220,430,57.637,60.052,64.517,64.517,3,0,0
maze-32-32-2,60,100,2.088,2.01,2.254,2.254,3,0,0
maze-32-32-2,120,225,13.241,13.419,13.488,13.488,3,0,0
maze-32-32-2,180,350,33.32,31.192,40.212,40.212,3,0,0
maze-32-32-2,190,370,36.083,38.133,38.498,38.498,3,0,0
maze-32-32-2,205,400,39.23,37.913,43.396,43.396,3,0,0
maze-32-32-2,220,430,40.704,39.098,44.432,44.432,3,0,0
room-32-32-4,60,100,2.853,2.777,3.682,3.682,3,0,0
room-32-32-4,120,225,11.667,11.85,12.853,12.853,3,0,0
room-32-32-4,180,350,34.422,33.911,36.683,36.683,3,0,0
room-32-32-4,190,370,134.395,180.002,180.004,180.004,3,0,2
room-32-32-4,205,400,61.891,60.378,68.47,68.47,3,0,0
room-32-32-4,220,430,58.97,58.363,68.515,68.515,3,0,0
