inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
144446786,172,168,1,1,0,0,392.2228,642.9797,11244.9924
1611779700,153,152,1,1,0,0,398.2404,695.4117,10482.1281
490044431,155,154,1,1,0,0,382.7843,626.4440,10112.4075
715959493,166,163,1,1,0,0,368.4999,641.2728,9911.9937
994913883,167,164,1,1,0,0,351.4028,626.8548,9969.5761
865018654,157,156,1,1,1,0,366.0397,633.2776,9830.0676
1238544457,164,156,1,1,0,0,350.0055,622.5344,10268.1405
116396321,162,161,1,1,0,0,364.8477,628.1654,10149.2469
2114763686,166,164,1,1,0,0,354.6551,628.7430,9177.4120
1827416939,171,161,1,1,1,0,363.7382,649.6030,10308.1985
183387127,166,159,1,1,0,0,352.4499,620.3603,10302.6694
1596397610,157,155,1,1,0,0,361.8561,625.9741,10486.0304
1745810690,169,161,1,1,1,0,397.7532,655.7377,10453.7050
1282242060,149,148,1,1,1,0,397.3067,630.5725,9934.7949
2109150745,166,164,1,1,0,0,400.0614,627.1817,9996.2019
115514593,164,162,1,1,1,0,404.1571,650.1862,9882.3792
2140689053,161,161,1,1,0,0,360.5316,629.4668,10420.9496
842182044,165,159,1,1,3,0,367.8263,690.6597,9449.5997
1152689023,148,150,1,1,0,0,372.5844,620.3841,9913.4153
406866278,160,161,1,1,0,0,379.0574,633.3017,11803.5962
1973132783,156,156,1,1,0,0,361.3550,621.9129,10009.1639
2044071853,171,163,1,1,1,0,347.0540,626.1871,10345.3314
1570780106,144,143,1,1,0,0,369.9414,648.1079,10389.4237
789117150,178,168,1,1,0,0,353.6830,625.7288,9653.7189
1740632538,160,158,1,1,0,0,370.3636,687.8954,10781.9616
595223616,168,165,1,1,1,0,364.9964,708.0168,9369.5453
1374014067,159,156,1,1,0,0,372.7853,691.1426,10690.6396
846982577,169,165,1,1,1,0,363.1455,627.1200,8454.0584
1319678632,163,162,1,1,0,0,371.3791,621.7530,10892.1311
1773255533,159,156,1,1,0,0,376.9391,626.0583,9406.7580
216974942,157,155,1,1,0,0,384.2129,630.9996,9137.9389
761999664,168,162,1,1,0,0,359.6119,624.0768,8912.7230
1255834719,166,162,1,1,0,0,385.4355,637.6383,9467.0167
870734720,159,154,1,1,0,0,349.0325,629.6290,10191.8207
1652097810,161,163,1,1,0,0,387.6342,624.6318,9313.9927
1285594598,156,153,1,1,0,0,397.4517,636.1804,9143.0486
1764071306,161,159,1,1,0,0,370.4141,638.0487,9968.6888
1010887650,175,165,1,1,0,0,350.8046,634.7129,10386.9697
1069918691,176,175,1,1,0,0,352.4360,635.3219,9099.0036
232580370,169,161,1,1,0,0,357.4294,633.6248,10461.8671
1708775353,164,164,1,1,0,0,384.8436,639.6341,9714.2983
472916715,173,173,1,1,0,0,379.3925,636.5072,9843.9944
698066101,161,161,1,1,0,0,348.7599,626.1045,9845.3217
478725190,170,170,1,1,0,0,395.8174,642.4647,9905.0253
1058305163,170,168,1,1,1,0,390.1649,651.7222,9318.2921
1171709625,163,159,1,1,0,0,380.4347,642.0945,10010.1240
1038184473,155,151,1,1,1,0,378.1286,645.7570,11270.4363
1798349309,168,155,1,1,0,0,353.5579,629.6610,9115.7867
2024705863,165,162,1,1,0,0,396.2240,627.4082,10738.3043
1188638557,156,156,1,1,0,0,357.6037,633.0579,9305.1843
900712037,163,161,1,1,0,0,402.0766,632.4390,9975.9534
333761941,165,162,1,1,0,0,399.5131,707.7278,11550.0785
1030933332,156,157,1,1,0,0,399.6197,629.3557,8741.9267
874528007,167,162,1,1,0,0,395.1121,640.1698,10140.1972
1769797279,167,167,1,1,0,0,366.2499,628.1666,10468.8385
1163970093,175,173,1,1,0,0,382.6052,634.6099,10213.3777
26503085,169,168,1,1,0,0,354.5689,642.3183,9676.1396
536813558,168,168,1,1,0,0,388.8581,638.7909,10491.9175
39594264,172,169,1,1,0,0,382.1083,632.8706,12460.6372
88224957,152,154,1,1,0,0,389.0639,638.6543,9481.0403
118959346,160,159,1,1,0,0,387.9575,727.6930,9166.2743
1147127155,161,161,1,1,0,0,353.9917,697.9869,9539.6994
625942865,166,165,1,1,0,0,351.2528,630.2901,9576.2724
1959522065,160,156,1,1,0,0,355.6829,633.3101,9386.1543
891435301,149,148,1,1,0,0,354.8050,635.9554,10231.7520
630180269,166,164,1,1,0,0,354.0014,637.8387,10626.7770
