inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1514395415,311,248,1,1,2,0,371.4723,427.0971,14112.8362
397023230,293,252,1,1,2,0,354.4769,446.9437,13323.8690
854130406,292,253,1,1,0,0,358.4882,420.8269,16401.4444
148989325,280,241,1,1,0,0,343.3365,407.7415,16095.0066
1318383646,295,245,1,1,3,0,361.8392,549.9751,15368.6288
906795881,307,243,1,1,5,0,357.1418,510.3504,15273.6629
1915830520,312,265,1,1,1,0,365.1616,418.3614,13696.9920
1141257445,275,243,1,1,0,0,357.3556,550.3675,12457.1417
549110509,304,251,1,1,0,0,368.7903,392.5319,13330.2495
409145137,298,251,1,1,0,0,367.6063,413.7749,13489.4848
2062834378,316,247,1,1,1,0,351.8415,467.0633,15545.7259
926764504,292,252,1,1,0,0,368.3742,482.9717,13843.3465
1117457343,300,256,1,1,0,0,361.1847,389.0453,14092.4881
1072700100,303,263,1,1,5,0,367.3104,558.0430,12742.1924
1626410660,289,239,1,1,2,0,350.9353,507.8158,17010.6147
129387931,292,240,1,1,0,0,350.5632,547.1551,12495.1714
720332998,312,249,1,1,1,0,368.5009,408.5058,13225.2369
1193133229,258,238,1,1,0,0,350.9694,467.8538,15378.3042
1551289679,296,243,1,1,1,0,349.8482,472.4655,12614.6675
1989617051,292,253,1,1,0,0,367.8100,413.3138,10474.8990
654166279,278,246,1,1,0,0,368.3071,401.3505,11791.8821
546085108,288,250,1,1,0,0,360.5117,400.8132,14108.7113
720759630,283,242,1,1,0,0,359.0709,405.7699,15101.8332
2088302351,293,248,1,1,0,0,378.7198,606.3339,10465.2000
1737614972,311,270,1,1,0,0,374.9796,394.6380,13028.6808
2041801789,294,242,1,1,1,0,389.7154,556.4504,10195.1385
1890607108,316,257,1,1,0,0,373.0773,537.3783,11141.6595
1548894707,283,241,1,1,0,0,376.0689,466.3863,14380.9533
875759280,345,268,1,1,10,0,375.5342,603.0767,11341.2662
2022198427,307,252,1,1,0,0,375.2136,478.5102,14404.4929
960460137,329,264,1,1,0,0,359.1123,389.6791,12169.5136
1731648822,271,237,1,1,2,0,353.4054,561.5610,14690.2884
1776742500,314,251,1,1,1,0,348.1500,563.7621,12328.8230
257763261,286,238,1,1,7,0,351.6832,512.8037,15216.9013
1940031408,303,263,1,1,0,0,341.5374,494.8489,13121.0347
1733540723,272,235,1,1,2,0,358.3151,442.0118,10580.4307
264254940,296,241,1,1,1,0,354.6538,417.3377,13159.1591
1890587392,310,260,1,1,1,0,348.1862,478.1910,13347.5498
1160718108,302,260,1,1,0,0,353.2378,462.0010,13817.1994
2001472007,311,256,1,1,1,0,359.7172,422.9842,10676.8562
970247690,320,250,1,1,1,0,363.4359,417.9229,11834.3561
1923201727,292,265,1,1,0,0,359.5178,416.7772,14232.7479
1370682416,287,241,1,1,1,0,355.9493,622.9903,14165.9116
1121372332,294,242,1,1,1,0,350.7747,406.3513,13849.9846
999255986,290,247,1,1,0,0,345.4960,400.1198,11054.7733
1412688676,312,259,1,1,0,0,346.9553,539.7266,12981.8804
