inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1655419426,376,337,1,1,2,0,147.5698,475.3235,7071.9000
50992844,359,323,1,1,0,0,142.6903,468.8331,6395.3544
838831542,379,327,1,1,0,0,145.7049,591.2834,5987.0128
985841708,387,326,1,1,0,0,141.0006,410.1177,5895.7503
1241370958,357,319,1,1,0,0,139.4160,525.3311,6229.2846
2021350853,347,321,1,1,0,0,134.4244,493.8422,7446.2518
1882819894,387,349,1,1,0,0,134.7004,457.5108,6430.9902
980473586,356,322,1,1,0,0,132.1006,398.3930,5845.1113
372670881,375,324,1,1,2,0,135.3535,459.5919,6332.0120
164060769,353,334,1,1,0,0,133.4685,461.7336,6221.1270
1852871944,385,312,1,1,1,0,132.9195,611.4065,5736.6915
1350322249,346,311,1,1,0,0,137.6660,407.4999,6820.3265
1238070633,365,334,1,1,0,0,134.1591,605.1414,7389.1122
199052733,366,339,1,1,0,0,132.0900,530.1858,6855.6624
2097587861,370,346,1,1,1,0,136.6257,615.4987,7352.9743
453448147,371,322,1,1,0,0,133.0862,786.8627,6475.6633
398546514,353,316,1,1,0,0,136.5689,466.8341,6556.3956
221347296,351,309,1,1,0,0,138.7046,556.8611,6719.3483
1127334199,324,301,1,1,0,0,138.6072,467.5948,6638.1715
1114912832,366,332,1,1,1,0,133.8121,397.9917,6357.1312
820896719,369,317,1,1,1,0,137.5096,390.2544,7464.8715
2100641711,382,315,1,1,1,0,133.8396,538.7033,6501.3632
2018424726,335,304,1,1,0,0,133.0731,622.6945,6749.1304
1037759698,362,325,1,1,0,0,139.1174,607.7541,6831.1889
1561201492,353,323,1,1,0,0,134.9509,458.0058,5861.1620
265354603,379,333,1,1,1,0,139.1470,472.0993,6336.2427
1212888672,328,302,1,1,1,0,136.2705,483.1695,6178.7055
1032679969,346,317,1,1,0,0,143.5294,462.8641,6650.7298
1172072412,380,314,1,1,0,0,134.5951,462.7682,5927.8354
1376666696,366,321,1,1,0,0,132.1073,609.7734,5940.1112
598225035,343,308,1,1,0,0,131.5907,402.9952,6846.4010
1735217741,342,311,1,1,0,0,132.4092,473.8390,6420.8831
1101136710,353,313,1,1,0,0,134.3745,452.8813,6432.5657
85394978,349,307,1,1,0,0,139.8327,617.2995,6140.2375
1238104668,377,326,1,1,0,0,139.1494,400.5610,7362.1956
1637404541,371,336,1,1,1,0,139.5292,536.0316,6273.3808
1595219507,385,338,1,1,2,1,143.9119,476.8945,6378.1691
92836305,359,321,1,1,0,0,139.8265,534.0733,7063.3770
1963382996,348,320,1,1,0,0,148.1779,539.1020,6255.1069
128793061,343,308,1,1,0,0,142.4937,525.7462,6650.1877
405138712,363,310,1,1,1,0,141.9171,467.3663,6197.2629
1980709920,378,313,1,1,2,0,142.1186,493.4823,6947.7780
1855266558,351,320,1,1,1,0,139.8618,572.1834,6115.3552
12167854,404,326,1,1,1,0,142.2499,566.2238,6370.9973
363818339,384,319,1,1,0,0,141.1301,472.7992,7620.0081
1408932860,347,316,1,1,0,0,156.3218,468.6641,5879.1949
1282329832,365,308,1,1,0,0,148.0476,537.9745,6942.3392
1375038575,366,317,1,1,0,0,148.8062,671.2759,6711.8968
813901617,354,317,1,1,0,0,149.6727,394.6187,6600.4506
1780109488,357,323,1,1,3,0,151.8088,432.2791,6770.5865
1265982330,331,311,1,1,0,0,153.9456,405.6065,6601.1885
1744863168,384,342,1,1,0,0,154.2401,468.7246,6298.4073
373177218,385,331,1,1,2,0,158.7682,399.7526,6236.0074
1051951930,369,331,1,1,0,0,155.2472,541.0505,7056.2385
475941275,343,306,1,1,0,0,161.2037,420.1847,6501.5172
281530540,350,322,1,1,0,0,155.2225,628.1213,6847.8286
1175833918,345,319,1,1,0,0,155.7120,399.7727,6931.9094
767323111,373,315,1,1,0,0,158.4816,582.1818,6248.2587
1755968368,339,305,1,1,0,0,157.5568,462.5783,6567.3200
1950575220,346,329,1,1,0,0,153.1248,532.7204,7065.5954
1017857691,406,329,1,1,0,0,150.9948,598.1214,7202.2739
877067510,338,316,1,1,0,0,150.8402,530.6283,6708.1815
1949732328,344,297,1,1,0,0,150.2758,463.1211,6464.3147
12266828,350,325,1,1,0,0,148.1845,626.8812,6597.3527
2101493996,377,326,1,1,1,0,150.4186,460.7488,6615.7548
1503476069,374,327,1,1,0,0,148.2929,505.2753,6973.5124
