inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1655419426,352,319,1,1,2,0,146.3642,398.7603,5991.1388
50992844,387,325,1,1,0,0,133.1112,390.0117,6923.9802
838831542,373,338,1,1,0,0,132.6025,563.3034,6256.6406
985841708,363,327,1,1,0,0,133.5513,410.2712,7055.8870
1241370958,374,332,1,1,0,0,136.0453,529.4025,6539.1404
2021350853,377,334,1,1,0,0,133.7218,413.7216,6708.1766
1882819894,365,310,1,1,0,1,140.5797,457.6246,5417.1820
980473586,353,320,1,1,0,0,134.6977,541.3873,6291.0072
372670881,362,322,1,1,0,0,139.2998,391.0452,6204.9627
164060769,369,324,1,1,1,0,131.7888,491.2479,5372.5908
1852871944,348,326,1,1,0,0,130.4757,460.3165,5858.7811
1350322249,353,320,1,1,0,0,135.4150,467.4072,6683.2679
1238070633,354,295,2,1,0,0,134.4061,186602.0425,6008.5914
199052733,401,339,3,1,0,0,141.0833,303650.5304,8020.2742
2097587861,365,340,1,1,0,0,139.8003,323.2032,6757.2996
453448147,372,323,1,1,0,0,142.9954,551.9952,6251.8042
398546514,359,319,1,1,0,0,145.2911,332.8532,6624.4153
221347296,339,307,1,1,0,0,145.9423,417.2113,5833.9033
1127334199,367,318,1,1,0,0,139.7496,400.2896,6136.8810
1114912832,406,336,1,1,0,0,145.9441,323.8396,6633.3156
820896719,361,318,1,1,0,0,144.7828,509.6044,5942.6708
2018424726,387,333,1,1,0,0,145.2603,546.1663,6169.5027
1037759698,392,332,1,1,0,0,146.4838,467.2569,6498.7225
265354603,345,312,1,1,2,0,153.1367,473.7879,6500.1409
1212888672,354,328,1,1,0,0,148.4813,568.1307,6746.6963
1032679969,353,343,1,1,0,0,149.6863,388.1560,7185.8499
1172072412,400,327,1,1,1,0,149.0507,478.9888,6940.5886
1376666696,404,328,1,1,0,0,150.5498,538.9685,5910.9114
598225035,392,330,1,1,5,1,151.7173,480.6693,7020.1093
1735217741,389,333,1,1,1,0,148.5713,430.3165,6387.4956
1101136710,342,310,1,1,3,0,154.2981,346.2846,6022.3413
85394978,355,331,1,1,0,0,151.1789,593.1610,7799.2547
1238104668,405,336,1,1,0,0,149.2381,529.3078,6173.4694
1637404541,401,340,1,1,0,0,148.3160,395.0232,6674.3962
1595219507,334,303,1,1,0,0,144.5993,463.0662,6062.3347
92836305,343,313,1,1,0,0,136.1634,405.2651,6578.4259
1963382996,364,331,1,1,0,0,134.2120,475.4943,5985.2625
128793061,347,305,1,1,0,0,134.5681,546.4802,6660.0222
1980709920,380,335,1,1,0,0,138.1006,329.9099,6140.2850
1855266558,358,320,1,1,0,0,131.2446,402.0372,6339.2059
12167854,369,319,1,1,0,0,135.5512,403.5803,6910.1224
363818339,375,338,1,1,0,0,134.9799,395.9759,6570.4289
599610593,373,326,1,1,0,0,133.1610,325.1473,6106.2460
1408932860,395,326,1,1,0,0,136.8930,469.2823,5764.9350
1282329832,355,324,1,1,0,0,138.7407,325.3576,6894.8050
1375038575,404,330,1,1,0,0,131.5343,326.6910,5951.1375
813901617,376,325,1,1,3,0,131.2038,413.4044,6464.6407
1265982330,355,328,1,1,0,0,139.3034,474.8138,7172.2894
1744863168,403,349,1,1,0,0,137.4577,418.2651,6957.1279
373177218,366,329,1,1,0,0,133.3634,401.6660,6673.8386
1051951930,352,324,1,1,0,0,131.3215,323.1488,6164.3537
475941275,353,304,1,1,0,0,136.1497,321.4573,6147.2646
281530540,379,313,1,1,0,0,138.2816,317.8933,6179.6710
1175833918,370,316,1,1,0,0,140.0859,398.8016,5714.5168
1755968368,337,299,1,1,0,0,131.5118,474.6163,6512.4198
1950575220,367,322,1,1,6,0,130.2708,513.6952,7042.3092
1017857691,361,332,1,1,1,0,129.8103,406.1564,5969.5060
877067510,365,333,1,1,0,0,129.6250,480.0747,6493.2292
1949732328,324,297,1,1,0,0,129.6392,343.6051,6465.9374
12266828,347,312,1,1,0,0,131.8166,551.2842,6427.2679
2101493996,374,331,1,1,0,0,130.2608,541.2077,5975.7869
1503476069,326,309,1,1,0,0,133.7680,316.8403,6297.9621
48187128,338,318,1,1,0,0,132.1956,411.1904,6152.5511
813016802,395,317,1,1,0,0,129.9056,477.6871,6597.3889
1524943160,347,321,1,1,0,0,132.1252,386.4221,5794.3094
615291709,422,338,1,1,0,0,130.0874,399.8820,6051.1985
1903416055,352,315,3,1,7,0,131.0771,79786.2530,6086.7149
1976834985,396,340,1,1,2,0,129.0246,413.4987,6072.7917
306033059,375,329,1,1,1,0,128.3026,419.6235,6085.7800
636328103,363,330,1,1,1,0,129.8348,393.5665,6390.8544
1254681740,345,317,1,1,0,0,129.5449,414.9744,6431.0377
1514771352,349,326,1,1,0,0,128.5769,343.3452,6240.7952
1071721940,365,333,1,1,0,0,128.4127,412.8545,6729.2037
1824111022,407,328,1,1,0,0,128.8818,319.0648,7105.8940
1703287991,361,325,1,1,0,0,131.9060,429.0668,6020.9230
18656072,359,315,1,1,0,0,128.4685,465.9537,7177.9223
407698840,382,321,1,1,1,0,129.4438,477.8339,6252.7581
2113843071,385,318,1,1,1,0,130.4485,472.7864,6301.3603
746843986,377,325,1,1,0,0,127.8916,459.6706,6430.5216
2096161918,376,342,1,1,0,0,127.8192,394.9413,7044.2781
1553039868,420,332,1,1,1,0,128.6958,393.7600,5911.5880
1654249726,383,340,1,1,0,0,129.9465,331.5424,6774.5813
675933557,385,330,1,1,1,0,129.4659,487.8148,6391.6537
1612263604,371,341,1,1,0,0,128.5938,416.3555,6502.1899
415632564,356,301,1,1,7,0,129.6425,587.7893,6307.4887
485530724,384,331,1,1,0,0,132.9198,413.6963,6999.2316
1171412187,358,316,1,1,0,0,128.1448,385.8016,6730.2362
543743091,368,309,1,1,0,0,128.9690,397.9087,6935.5645
30466118,388,339,1,1,0,0,129.2701,427.9532,6714.4404
496704129,368,330,1,1,0,0,130.3744,465.6942,7237.3491
1105946808,374,343,1,1,0,0,127.2665,540.9728,6035.8547
1590632734,408,324,1,1,1,0,134.5172,337.0666,6385.5529
565884320,361,323,1,1,1,0,130.6312,613.3575,7131.2896
1681174780,366,320,1,1,1,0,129.5107,541.8788,7032.8869
449691410,352,331,1,1,0,0,131.6718,405.5856,6493.1603
