inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,221,215,1,1,1,0,203.5139,525.6348,5923.2650
1027124357,226,211,1,1,0,0,200.8945,530.7023,13600.8834
2049028820,214,195,1,1,1,0,199.6267,454.5465,8312.3778
1321773299,215,189,1,1,11,0,204.3041,531.4676,7395.5642
1703643979,217,198,1,1,1,0,194.4189,459.2675,7700.4684
1300300203,181,173,1,1,0,0,183.7280,581.2427,8423.8694
650965912,197,198,1,1,0,0,200.1425,570.2967,8997.6193
792329348,201,191,1,1,0,0,189.4818,436.6578,8193.0686
870959569,200,195,1,1,0,0,198.2803,432.6808,10300.5097
1173709030,194,187,1,1,0,0,193.6649,435.2100,7944.0413
2096419983,207,195,1,1,0,0,205.5054,507.5456,5634.2475
115248342,205,201,1,1,0,0,207.1749,513.6236,8907.0910
1884656349,218,212,1,1,0,0,205.0102,581.3627,10517.9157
1489863927,197,189,1,1,0,0,207.4158,526.6987,6096.2920
544103131,205,193,1,1,1,0,208.3645,446.0469,10446.0349
460800314,227,206,1,1,0,0,209.9375,466.8678,9705.1481
888523830,213,206,1,1,0,0,207.5879,435.8460,10117.2257
1114430918,230,209,1,1,1,0,204.0970,448.0510,5733.6845
580934519,194,178,1,1,1,0,208.7510,459.8470,8154.1800
1769352672,216,204,1,1,0,0,209.4552,444.3598,10752.9369
1118957871,209,193,1,1,0,0,205.3485,433.7508,5495.8030
2106748179,199,197,1,1,0,0,193.6030,439.6406,6559.9501
1253636814,196,191,1,2,0,1,180.3761,449.8385,421581.1431
864914860,208,195,1,2,0,1,195.5133,504.4434,429415.9748
961156482,196,184,1,1,0,0,183.0225,437.9539,5576.6868
959317506,218,202,1,1,0,0,183.9091,501.3549,6120.3421
1090505917,214,206,1,1,0,0,182.6923,496.4239,8267.8483
28615858,211,195,1,1,0,0,179.3016,507.6233,8984.8528
30129474,229,210,1,1,0,0,181.2110,435.1836,10661.3531
215589766,221,196,1,1,0,0,181.5386,504.1418,9736.0797
119334228,197,190,1,1,0,0,180.6376,432.3269,6937.2990
250851839,230,209,1,1,1,0,182.6187,452.7029,8116.6114
1387499987,224,207,1,1,1,0,186.5728,506.2801,6628.3121
852718394,224,207,1,1,0,0,187.3072,442.3848,6216.3985
1967319524,202,199,1,1,0,0,202.1108,502.1767,7809.8488
1818609555,206,201,1,1,0,0,207.4633,448.5582,8548.9724
1332329453,209,203,1,1,0,0,202.1578,571.3340,8863.9272
181023957,219,209,1,1,0,0,207.5072,432.6673,6560.7468
1802136595,209,202,1,1,0,0,213.5494,430.9085,6396.6758
637631120,199,187,1,1,0,0,205.0610,431.3175,6613.2656
1706040927,214,203,1,1,0,0,199.6914,503.3165,10944.9329
573049588,217,211,1,1,0,0,186.3862,432.1747,8745.7361
1152241987,223,209,1,1,1,0,195.5826,439.2407,6092.2850
1309291604,207,194,1,1,0,0,205.2084,529.6250,8295.2416
2102416186,204,197,1,1,0,0,221.2466,441.1696,9276.0882
1444483879,207,191,1,1,3,0,209.2647,465.7257,5484.3494
326812004,206,202,1,1,0,0,209.3907,452.1945,6972.7986
1190361985,218,202,1,1,0,0,209.9744,458.9071,8348.0123
166497658,217,212,1,1,0,0,210.6798,452.1140,8212.5969
1445870730,222,205,1,1,0,0,210.0847,505.5891,6549.2032
1788875916,196,186,1,1,0,0,209.8793,507.3745,8981.0015
1310774293,208,191,1,1,0,0,207.4393,444.4753,6484.7276
1085928819,207,202,1,1,0,0,204.0960,452.2067,9408.9020
459395007,215,210,1,1,1,0,204.3718,464.2408,7482.4451
638572196,221,208,1,1,1,0,205.2082,449.9967,5868.0565
639738821,216,208,1,1,0,0,207.2232,512.9847,9386.9192
190604252,223,205,1,1,0,0,208.9219,522.0445,6313.9916
1042720626,215,207,1,1,0,0,206.9360,450.7158,5617.4011
966179508,199,194,1,1,0,0,206.6536,437.2509,6096.9435
125662956,207,197,1,2,0,1,205.5389,435.5932,406234.5231
1889118736,232,209,1,1,2,0,204.2550,452.5692,6571.3357
1180443648,191,181,1,1,0,0,204.2278,438.0664,6230.1919
1995455321,196,191,1,1,1,0,203.0913,516.5834,4745.4702
1322837023,205,196,1,1,3,0,202.5910,484.7050,5823.4409
943897307,235,208,1,1,1,0,203.4303,461.4181,9581.5690
996997129,200,195,1,1,0,0,203.8060,435.5859,8319.1674
257682893,227,210,1,1,0,0,204.9923,442.2119,6946.7416
571818533,220,204,1,1,0,0,203.0612,450.8506,7195.9770
