inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
762915432,309,221,1,1,1,0,348.9729,565.2249,9605.7957
280506926,398,238,1,1,5,0,321.3549,619.0816,6830.6630
194179708,307,216,1,1,1,0,293.4889,461.0299,11311.1112
1551510031,284,217,1,1,0,0,288.3639,433.7287,13887.7021
2102856812,301,229,1,1,0,0,296.8836,559.0328,7253.7833
2081497663,306,219,1,1,3,0,299.8133,599.0359,7096.6615
1017158859,303,218,1,1,0,0,302.6975,441.1140,6753.3406
1733165235,329,208,1,1,6,0,295.3130,502.3256,14586.3438
155783824,277,225,1,1,0,0,288.5430,569.2420,12285.6138
1005385783,346,203,1,1,1,0,290.6708,403.2848,12339.7895
1278418197,344,223,1,1,1,0,290.9115,450.3745,6635.2074
1978490571,282,216,1,1,2,0,292.7840,421.4427,13836.6779
1163132064,297,205,1,1,0,0,289.3089,437.6790,5567.2141
620926769,251,205,1,1,0,0,290.8848,419.0428,6446.9817
1152743338,284,209,1,1,1,0,287.5225,425.9009,6889.7353
993568449,255,212,1,1,0,0,292.5925,415.3445,5974.5481
1252466327,338,215,1,1,0,0,290.4552,398.3115,5795.3057
343029257,335,208,1,1,0,0,283.2404,419.6255,5879.5799
584483510,303,223,1,1,8,0,287.1261,637.5340,6785.2458
787658428,304,214,1,1,0,0,286.4699,411.8774,6494.0342
2084267577,357,232,1,1,0,0,289.2277,432.8916,7446.2124
2068669650,322,230,1,1,0,0,290.2047,415.7430,6536.3423
498515734,371,217,1,1,1,0,288.5451,450.7116,6689.6516
305553111,332,217,1,1,3,0,288.7121,566.3516,5584.9990
908889753,314,222,1,1,0,0,290.6450,530.0308,6351.4766
1637698268,330,232,1,1,0,0,289.7894,420.6064,6583.1069
1479573931,285,208,1,1,0,0,283.4849,622.3522,7474.0093
1609640597,276,225,1,1,0,0,290.7733,417.7663,7532.9526
605960773,335,244,1,1,0,0,292.0296,418.2400,13285.6668
725797547,343,223,1,1,3,0,287.4842,556.1453,6672.2599
2095941425,277,225,1,1,0,0,291.4485,427.2657,7663.6208
1246163651,303,222,1,1,3,0,286.3525,448.2332,11567.1940
408809084,345,201,1,1,1,0,283.3449,542.0922,6754.5400
2145843325,326,217,1,1,0,0,288.6220,516.7205,10670.7136
718568438,281,213,1,1,0,0,289.2198,621.3041,5893.3707
603255607,314,226,1,1,0,0,290.8721,428.3427,5854.0136
89077198,280,212,1,1,1,0,290.4219,448.2011,5672.0996
838460419,281,221,1,1,10,0,288.7542,575.7114,8252.1933
2045264535,282,226,1,1,0,0,290.4025,430.8230,6388.2659
2085234693,335,224,1,1,4,0,290.0099,462.8402,5849.1521
408717708,296,213,1,1,2,0,288.4961,417.5087,6913.2255
1005168316,352,227,1,1,0,0,286.0633,422.4205,6415.3313
939697390,316,220,1,1,0,0,289.0939,416.9123,6100.4995
1862246958,260,194,1,1,0,0,289.8538,426.4305,6506.4252
1795153853,294,219,1,1,0,0,286.8222,427.2385,6210.6743
349139492,263,204,1,1,0,0,291.8479,477.5652,13396.4088
1062209054,241,206,1,1,0,0,285.3673,525.8022,6047.6584
615133158,261,202,1,1,0,0,285.1417,476.2061,9353.2998
1980876245,270,217,1,1,0,0,285.7600,405.0736,10991.2405
