inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
799714075,425,361,1,1,0,0,453.3098,728.6998,20029.0966
1613790413,409,360,1,1,3,0,450.8981,832.6632,19635.8506
953941575,442,360,1,1,1,0,440.2893,679.0114,17360.2811
44787686,428,370,1,1,1,0,435.2607,806.7485,17009.7907
2085241629,397,361,1,1,0,0,431.0232,886.2613,18486.3369
1364803988,413,367,1,1,0,0,437.9687,781.2754,22530.4564
339798170,433,359,1,1,3,0,437.4952,890.7532,17526.8395
170331785,431,364,1,1,8,0,440.3391,849.9708,18031.7423
296021262,416,366,1,1,2,0,438.4930,752.8113,17752.5822
259300212,435,370,1,1,1,1,440.5332,886.3354,18709.7980
1140205528,398,359,1,1,2,0,465.4564,732.0167,19478.8099
1874306942,414,365,1,1,1,0,476.5386,961.4529,19385.0016
783809138,404,352,1,1,1,0,459.8493,963.0934,19760.2597
1094123730,429,361,1,1,2,0,461.4562,730.4735,20115.9618
207596977,431,367,1,1,1,0,467.8499,809.1298,24336.5594
1824715455,426,359,1,1,1,0,445.0332,820.1153,18577.7601
1870347523,419,367,1,1,0,0,2420.9272,776.4787,17415.4656
1845134733,417,366,1,1,1,0,454.0262,984.9107,17388.1254
932324274,412,350,1,1,1,0,464.3081,750.8945,17054.9877
1453456064,426,376,1,1,2,0,463.6341,807.5285,15623.5183
730239648,406,364,1,1,0,0,453.7650,922.9703,21080.5953
68311886,419,366,1,1,1,0,470.3063,766.6644,21163.4132
159523026,435,371,1,1,1,0,462.9488,956.3180,25362.4427
302732425,426,375,1,1,0,0,462.0375,887.6891,21814.6038
1663820869,441,370,1,1,5,0,462.8244,826.7867,17356.5645
758903321,403,348,1,1,0,0,435.7662,792.8383,17220.1862
1368122515,455,380,1,1,1,0,439.9797,793.1722,18266.2016
1069010718,427,360,1,1,0,0,434.9903,975.1724,16299.9748
198834690,423,358,1,1,1,0,435.0672,753.7854,19560.4625
353078244,406,363,1,1,2,0,444.2717,816.9115,16707.0359
1211782580,424,359,1,1,0,0,437.0349,891.6936,22056.5430
1992002121,433,372,1,1,1,0,441.7504,804.0005,24103.7683
1596581680,424,365,1,1,1,0,432.4222,749.8425,18895.0578
1121835855,417,371,1,1,0,0,434.6136,839.9976,21131.2296
589057105,411,358,1,1,8,0,433.7733,944.4778,18397.5006
300579840,437,371,1,1,0,0,470.8324,861.0946,19257.2667
1170064224,423,364,1,1,0,0,461.7422,877.9731,18095.5420
1304123807,403,358,1,1,1,0,455.9005,666.1100,16851.7571
2035989781,411,347,1,1,1,0,458.0548,805.1873,19795.1091
131159280,403,366,1,1,0,0,458.7146,955.4483,19346.9518
665769677,403,358,1,1,0,0,475.6570,937.0961,19550.8057
1243476522,440,362,1,1,2,0,472.6724,973.7820,16984.5261
1250690800,459,368,1,1,6,0,469.4283,885.6136,18479.5207
36159648,438,378,1,1,1,0,472.9136,1039.2372,18439.1745
1568025786,409,369,1,1,0,0,460.4630,733.0252,18636.6420
837523558,429,359,1,1,31,0,467.7892,1457.0316,21048.4359
1352077699,437,370,1,1,0,0,477.7720,736.4215,19206.6263
1737447680,435,375,1,1,0,0,464.7945,808.3415,16028.7561
2038286410,417,367,1,1,0,0,462.3225,902.6441,23449.5043
1154181542,422,374,1,1,0,0,462.0312,849.2869,18338.1507
1698181920,411,341,1,1,0,0,457.4211,730.0540,16708.7111
1591989709,447,371,1,1,3,0,463.1221,752.8284,19852.3063
368594339,418,373,1,1,1,0,448.1668,959.8887,20543.9790
1390572352,436,368,1,1,0,0,439.4408,660.9911,16487.1802
2051785165,408,366,1,1,0,0,437.4752,742.0645,21335.7697
362328847,435,362,1,1,1,0,435.2581,753.6461,18915.7406
1935166897,398,350,1,1,3,0,443.7470,848.4521,21239.7421
792855570,421,356,1,1,2,0,437.0910,708.6443,16190.5709
1263163954,422,365,1,1,0,0,438.5447,747.1306,18530.5424
1129309076,434,384,1,1,0,0,452.2438,661.1685,20279.4334
