inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,209,160,1,1,0,0,68.2252,251.0406,1561.1466
505628541,203,176,3,1,0,0,56.5684,267829.5887,1559.4450
797596457,208,184,1,1,0,0,56.2656,365.9734,1401.1395
2035793211,173,150,1,1,0,0,52.7811,234.2476,1303.7339
1894077978,201,170,1,1,0,0,55.6406,251.3978,1442.3994
519748837,166,155,1,1,0,0,54.9132,240.8681,1558.7611
21277857,210,169,1,1,0,0,54.9083,239.1106,1428.6611
1710451381,166,151,1,1,0,0,55.1675,250.2966,1514.1309
2007519886,178,156,1,1,0,0,55.8398,240.6099,1385.4004
1030670531,155,152,1,1,0,0,58.7171,248.8332,1489.2361
322137773,188,159,1,1,0,0,62.9175,238.6844,1462.0650
689566352,201,185,1,1,0,0,56.8642,236.5665,1783.1954
1469142020,184,166,1,1,0,0,58.7996,233.0397,1397.1802
797339142,217,169,1,1,1,0,55.9525,266.5624,1417.3929
1694983470,164,157,1,1,0,0,55.5624,256.2038,1411.7560
1750907626,194,166,1,1,0,0,55.7357,255.9712,1486.1833
755829249,170,149,1,1,0,0,54.9812,356.3213,1622.6492
1325310543,188,179,1,1,0,0,62.1207,263.7014,1533.6698
798533364,222,174,1,1,0,0,59.4196,247.3135,1386.5912
1679431852,195,168,2,1,0,0,56.7709,35269.5836,1443.5252
232569757,160,150,1,1,0,0,55.3641,249.3800,1480.7019
757494092,180,164,1,1,0,0,52.2658,246.3556,1433.7055
244395394,178,160,1,1,0,0,53.5061,240.4680,1656.0023
517341472,164,155,1,1,0,0,54.5436,235.6878,1643.7737
1904385271,214,178,1,1,1,0,54.3494,247.6522,1698.0519
1391722606,191,168,1,1,0,0,54.8970,367.2932,1594.2717
1377699324,158,141,1,1,0,0,59.1341,249.4128,1580.7544
1087515030,174,169,1,1,0,0,55.3997,240.9749,1438.4245
909477809,195,166,1,1,0,0,56.0063,366.9905,1418.7888
2109625957,209,171,1,1,0,0,54.5448,249.7163,1450.3419
350656507,204,171,1,1,0,0,54.9421,252.5023,1450.9134
817732023,155,142,1,1,0,0,55.3766,239.1463,1259.9840
1478867520,158,150,1,1,0,0,54.0682,262.4550,1470.1704
848393533,156,149,1,1,0,0,53.0678,248.3460,1458.2652
1863852282,190,162,1,1,0,0,56.2488,251.2026,1565.6732
141896490,179,152,1,1,0,0,54.5363,251.8914,1530.8339
463544342,164,151,1,1,0,0,56.4683,243.3955,1521.8988
776803259,157,148,1,1,0,0,54.5355,349.8801,1450.2287
266654143,165,147,1,1,0,0,55.4047,239.8576,1492.9414
1751832830,219,181,1,1,1,0,54.5727,260.1203,1520.0935
338382071,189,160,1,1,0,0,52.0542,353.0493,1551.6902
2117091728,174,150,1,1,0,0,53.8155,238.5702,1509.8106
589533569,149,142,1,1,0,0,53.9794,235.6372,1307.2086
1460234499,165,155,1,1,0,0,54.9771,242.6246,1528.4307
753060086,180,164,1,1,0,0,56.0577,362.5615,1467.4068
417753672,157,144,1,1,0,0,55.2857,246.3572,1437.5305
1644453309,185,170,1,1,0,0,61.6099,271.0495,1598.5599
1923901314,181,159,1,1,0,0,55.1728,267.3503,1387.4365
1488152001,147,141,1,1,0,0,55.1303,242.6092,1351.6795
1541033487,203,176,1,1,0,0,55.1751,359.2867,1665.0245
1780649109,165,151,1,1,0,0,55.1368,242.0806,1582.8801
560089642,160,148,1,1,0,0,53.9508,237.2522,1484.8203
1313768928,198,155,1,1,1,0,54.3380,264.5564,1586.4010
1168861801,176,162,1,1,4,0,56.0057,249.1534,1576.5546
2122631245,165,147,1,1,0,0,55.1448,263.6537,1354.7181
1825736765,166,153,1,1,0,0,55.3271,241.0071,1429.8829
