inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
783395982,144,141,1,1,0,0,621.6379,765.3982,14135.9938
1310174684,145,139,1,1,1,0,597.5948,786.6811,13580.7636
943794695,137,136,1,1,0,0,618.9114,766.0314,13626.8058
1524337874,152,151,1,1,0,0,596.0217,764.0127,13973.4930
1003551207,135,131,1,1,0,0,610.6243,768.6705,14232.0395
1446385280,142,142,1,1,0,0,613.6779,769.5961,13365.8996
876889669,159,157,1,1,1,0,603.5362,786.6699,14038.2099
88968503,143,143,1,1,0,0,597.2881,760.9300,14147.0156
495324151,147,143,1,1,1,0,591.6259,805.0872,15101.2157
271115331,143,136,1,1,3,0,583.2335,871.2537,12971.6901
793004377,137,135,1,1,1,0,590.1398,777.6126,14588.0021
102712063,144,143,1,1,1,0,618.2659,869.3100,14924.8129
694629710,136,136,1,1,0,0,593.8712,756.6072,13421.9281
1315410671,141,141,1,1,0,0,583.2991,758.1851,12341.2388
2103835374,142,141,1,1,0,0,575.3538,762.1774,12935.8878
929693974,143,141,1,1,0,0,579.9055,760.9175,14436.9985
445023890,146,144,1,1,0,0,594.9282,763.9552,13674.3580
1363149196,143,136,1,1,2,0,599.7182,857.3209,14357.4696
131714713,144,143,1,1,0,0,604.1624,763.5164,13948.3904
709049247,139,140,1,1,0,0,581.4967,758.5199,12642.5849
1267113693,147,140,1,1,3,0,602.7792,827.3023,14334.3871
356605015,154,149,1,1,0,0,598.9214,763.4956,15008.1877
654612640,153,149,1,1,1,0,593.3023,815.2153,13477.4867
914235068,148,139,1,1,0,0,588.2925,780.6906,13858.6830
1274202649,134,130,1,1,2,0,586.5102,774.3298,16061.0556
844039691,158,148,1,1,0,0,593.3627,766.6089,14326.9901
2093556902,147,141,1,1,0,0,579.8736,766.9009,15212.2426
70581820,151,142,1,1,1,0,595.7305,790.2222,13805.0131
2145131325,128,129,1,1,0,0,582.0913,758.7517,15142.5930
1687543258,145,144,1,1,0,0,565.7320,758.3713,14406.8846
1381916116,152,147,1,1,0,0,573.1885,764.5875,14678.0365
1984923315,146,144,1,1,1,0,601.2327,766.0942,13654.9867
1398464375,145,143,1,1,0,0,583.0155,774.6228,13208.9454
1689134195,142,138,1,1,1,0,593.2210,792.4522,14495.2803
255249126,138,137,1,1,0,0,589.2268,763.5033,14305.5035
1424630989,143,141,1,1,0,0,676.1261,814.4873,14343.5807
1446953374,145,145,1,1,0,0,586.8152,777.8609,13617.6784
580190854,139,136,1,1,0,0,593.1754,766.1484,13923.5623
235244264,134,134,1,1,0,0,597.3287,772.8342,12693.8063
1276634559,142,140,1,1,0,0,590.5325,770.8773,13447.4804
1991939944,136,135,1,1,0,0,579.9404,830.5405,12826.2425
662622105,143,142,1,1,0,0,579.1384,765.0972,14850.7579
2024957550,132,132,1,1,0,0,578.0329,802.1987,12539.6714
1035084063,142,142,1,1,0,0,575.5498,768.0384,14667.3320
1764164777,140,139,1,1,0,0,586.5509,807.5785,15900.9095
2142219334,137,137,1,1,1,0,575.7247,799.2727,13747.1579
1374148090,153,144,1,1,1,0,569.5681,787.5233,14596.4428
272702896,145,139,1,1,5,0,577.9865,897.3997,14367.7952
452218744,144,142,1,1,1,0,562.7677,786.8774,15357.0477
835569989,159,145,1,1,1,0,635.9701,841.9075,15131.9793
1717373667,138,138,1,1,0,0,573.8018,809.3290,14543.2189
400700610,148,146,1,1,0,0,569.9592,765.7651,14004.0181
1381554377,149,145,1,1,1,0,570.1145,805.7348,14899.7381
1483034390,149,145,1,1,2,0,572.4177,821.7435,13012.6338
1811563369,148,142,1,1,0,0,567.3198,767.2156,13764.2978
1782346661,146,140,1,1,0,0,571.3505,763.5079,13168.5774
1937418048,139,136,1,1,0,0,574.0158,771.7785,14011.3370
729964383,143,142,1,1,0,0,573.5676,767.2430,15990.3383
1642660989,143,140,1,1,2,0,562.0362,846.1710,13920.5232
1947462885,145,142,1,1,0,0,570.9568,776.2634,15400.9206
415827853,137,137,1,1,0,0,578.8724,769.2525,13395.5574
1855870901,144,142,1,1,0,0,575.1565,775.3877,13879.3641
175013076,152,142,1,1,1,0,572.1871,849.5069,12589.6526
573577262,145,142,1,1,0,0,569.9820,764.6167,13124.9761
513286747,148,144,1,1,0,0,572.2033,778.3519,14959.5259
374185739,143,142,1,1,0,0,571.4579,765.5259,15271.1949
1015054281,141,140,1,1,0,0,620.0327,839.1747,12885.4317
157432434,137,136,1,1,0,0,569.2614,764.4564,12981.2395
1936353055,141,140,1,1,1,0,567.4461,854.0262,13903.1778
1623269936,146,142,1,1,0,0,562.8739,770.3972,14026.6283
1909374011,152,148,1,1,0,0,558.4311,775.2350,12953.1556
1093382288,136,137,1,1,0,0,554.5706,769.3088,16714.3966
218358107,155,154,1,1,0,0,584.9816,762.0267,13010.0623
1218250739,144,139,1,1,3,0,590.5897,820.3193,13640.4067
2085097820,147,142,1,1,2,0,578.7687,909.3006,13291.7857
286372936,132,131,1,1,0,0,586.7298,761.2302,12766.2411
918906862,139,133,1,1,0,0,590.5825,763.1549,13838.4520
1906944048,133,134,1,1,0,0,567.2753,760.8938,13742.8876
1328885686,144,144,1,1,0,0,617.6484,773.1638,12242.7193
623183118,145,139,1,1,1,0,568.4563,807.1797,13898.5186
662864585,140,140,1,1,1,0,570.6795,805.3845,14603.2086
849680051,143,139,1,1,1,0,564.7551,808.6633,12485.0038
721180060,149,149,1,1,0,0,564.0728,770.9657,13500.1966
1586583978,143,143,1,1,0,0,569.3497,761.2818,13209.8603
1321819760,140,136,1,1,0,0,564.4368,765.7948,14873.0261
135749628,139,134,1,1,0,0,556.1639,769.5900,12797.4218
1713618934,142,141,1,1,0,0,564.8387,777.9932,14787.3081
850791267,145,144,1,1,0,0,562.9980,764.9394,14004.9754
1130495258,134,134,1,1,0,0,560.9466,769.5742,13556.7843
122731100,154,150,1,1,1,0,583.8466,787.5768,13619.9688
1001682567,142,142,1,1,0,0,575.1315,764.6275,14318.1176
305402604,130,130,1,1,0,0,591.5275,759.8854,13318.2825
43906542,149,136,1,1,0,0,565.4742,768.5280,14649.7436
968293393,149,143,1,1,3,0,2209.1698,829.9102,13465.4230
2136283871,156,148,1,1,0,0,613.3938,778.7654,13624.8792
2140003771,150,144,1,1,1,0,616.8008,817.9898,14115.3934
873528702,145,141,1,1,1,0,595.6362,802.4695,14657.6845
1594079428,137,137,1,1,0,0,588.0513,764.3317,12800.2706
1192554972,144,142,1,1,1,0,553.2632,822.7916,13011.9016
1315338152,141,140,1,1,0,0,548.4620,773.6961,13024.3252
