inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1854995747,271,242,1,1,0,0,174.2451,427.7713,4326.7661
1955837524,273,271,1,1,0,0,162.0163,518.4281,4697.2424
2038909058,370,307,1,1,0,0,156.0837,277.1240,4267.5106
1611037594,327,289,1,1,0,0,152.1585,348.5182,4178.1370
216327365,283,273,1,1,0,0,146.1398,357.3048,4003.7403
989412598,260,254,1,1,0,0,154.8661,283.9713,4592.1673
1000408499,258,255,1,1,0,0,163.9125,343.4044,4012.7737
1397657270,280,232,1,1,0,0,161.9464,283.6457,4386.6260
1023150163,306,275,1,1,0,0,164.7412,352.3090,3972.8126
8992306,301,268,1,1,0,0,157.4745,352.4741,4153.9396
119489882,289,279,1,1,0,0,158.2012,368.5693,4560.3858
259466337,316,254,1,1,0,0,150.3262,278.4328,4317.1917
1766674269,272,270,1,1,0,0,157.0398,347.7033,4186.7698
1961127832,275,245,1,1,0,0,148.7491,349.4395,3970.6603
1012687335,302,268,1,1,0,0,153.5822,280.3000,4001.3341
554725922,298,289,1,1,0,0,165.3480,376.3392,4598.5810
110856832,259,257,1,1,0,0,144.3442,380.1200,4505.0428
748949391,275,250,1,1,0,0,151.6492,284.2767,4265.0731
31686668,299,276,1,1,1,0,139.8846,450.5725,3808.9635
1055429652,281,265,1,1,0,0,141.6978,353.6682,4117.3519
845508661,264,254,1,1,0,0,155.0172,454.9881,4701.0555
1084935719,293,268,1,1,0,0,162.0724,376.2156,4064.2730
1982000969,273,250,1,1,0,0,142.7083,444.0903,4099.7997
139951898,258,253,1,1,0,0,160.6892,269.8921,4079.9218
845985543,265,264,1,1,0,0,147.9559,351.8337,4462.5674
168524440,276,267,1,1,0,0,165.5758,436.1087,4718.1300
422127055,270,270,1,1,0,0,147.6167,279.2519,4219.0214
81075053,286,265,1,1,0,0,146.1667,362.9585,3912.1685
827786781,293,274,1,1,0,0,174.5067,379.9405,4257.0164
1547292062,279,272,1,1,0,0,150.9628,383.4249,4213.3065
2094431624,267,249,1,1,0,0,146.3058,382.4604,4263.3731
388052245,294,281,1,1,0,0,145.0714,386.5272,4792.4490
350068327,324,283,1,1,1,0,146.6068,445.0021,4570.3728
118853792,307,305,1,1,0,0,143.3493,282.7652,4339.0259
35185206,289,279,1,1,0,0,154.4949,431.3161,4114.6993
2061210461,295,280,1,2,0,1,144.1844,290.4744,247803.3828
672905649,275,253,1,1,0,0,144.4832,361.9623,4568.9095
1461902804,272,268,1,1,0,0,143.3210,428.9688,4723.1690
115785595,315,285,1,1,0,0,145.0521,284.1283,3969.7074
9700421,262,258,1,1,0,0,143.2635,268.7626,4399.8929
1393325238,278,266,1,1,0,0,144.9230,268.9552,4031.0885
526584546,304,278,1,1,1,0,138.4068,413.5093,4372.6204
1616452010,290,270,1,1,0,0,140.9731,356.1541,4112.4573
920774569,259,251,1,1,0,0,164.6566,352.7791,2992.4339
519104816,250,248,1,1,0,0,160.5803,268.5464,3955.4774
1853357941,301,279,1,1,0,0,163.1140,288.1805,3968.3941
2049601698,286,252,1,1,0,0,156.7044,370.8172,3888.2009
276717927,276,255,1,1,0,0,171.5208,379.1068,4267.8260
1345571198,305,274,1,1,0,0,159.6071,379.4083,4490.7851
533845890,273,268,1,1,0,0,154.0665,437.8478,4259.3018
781412090,273,263,1,1,0,0,168.5821,276.8195,4439.7700
1619813860,285,282,1,1,0,0,174.3010,357.5074,4119.4041
1960375135,312,274,1,1,0,0,155.1278,365.5267,4492.7291
393424871,290,279,1,1,0,0,160.7278,352.5829,3852.0539
2087247968,289,258,1,1,0,0,176.0139,392.2529,4730.8746
565761043,285,274,1,1,1,0,168.9049,550.1005,4267.5203
466016699,280,277,1,1,0,0,170.7216,370.0163,4921.4029
319673620,276,271,1,1,0,0,164.1700,297.9718,4467.8015
1443796530,267,263,1,1,0,0,151.9180,353.0049,4164.2139
908139299,293,291,1,1,0,0,173.0104,438.4625,4214.1972
