inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
201039488,288,280,1,1,0,0,1513.1688,877.6020,45589.1299
1178222326,285,277,1,1,1,0,1500.0270,942.1753,40456.9737
628216189,294,279,1,1,3,0,1498.3208,1082.5839,32070.7365
1597358542,308,295,1,1,0,0,1502.1147,943.6344,45359.6282
1972488571,301,290,1,1,4,0,3535.7288,1090.3148,45824.0620
848872036,297,292,1,1,1,0,1501.1893,945.3059,36429.1221
1957251927,296,290,1,1,1,0,1498.8365,898.3197,42160.4990
1238072969,305,281,1,1,7,0,1478.8077,1325.7522,44586.4922
490550686,292,280,1,1,1,0,1534.8319,1013.5185,36778.2346
105084641,297,285,1,1,3,0,1511.1960,963.9920,41894.3459
1539349503,280,272,1,1,1,0,1473.1267,951.8112,33423.6819
1900902684,295,288,1,1,3,1,1471.6708,1093.6833,37774.1335
331519998,293,290,1,1,1,0,1509.7917,945.7987,41767.0301
15627355,299,288,1,1,1,0,1510.2787,877.5572,42397.3452
371039153,287,278,1,1,0,0,1523.6653,880.1251,42206.5045
2036854485,278,274,1,1,0,0,1556.4147,872.4590,39650.9997
735964133,295,286,1,1,0,0,1489.3085,885.7669,44094.9786
1354991870,285,282,1,1,1,0,1486.4684,975.1759,43699.5701
2064006918,302,288,1,1,7,0,1486.1673,1146.4347,36091.9802
992928080,299,289,1,1,0,0,1485.5037,888.4231,41032.0744
109067837,304,286,1,1,1,0,1493.1273,948.3534,43441.5063
1816350865,290,285,1,1,3,0,1499.1502,1003.8437,40926.9742
1001639105,300,289,1,1,1,0,1486.9264,928.1058,37431.2924
2030117956,294,285,1,1,2,0,1543.0811,998.5933,37734.1156
2085356252,303,290,1,1,1,0,1574.0775,886.7870,39683.3480
380076236,290,281,1,1,1,0,1572.1653,946.2373,42002.4711
1893330445,289,280,1,1,1,0,1576.4944,888.0435,38110.5071
102516302,291,277,1,1,3,0,1566.6487,1050.0042,44708.9758
104309195,304,294,1,1,1,0,1536.1688,1035.9857,37088.1339
177146177,301,291,1,1,1,0,1528.2660,1060.9834,38070.4523
1009837770,301,294,1,1,1,0,1526.0594,922.9113,48789.8967
999328620,298,292,1,1,0,0,1521.5378,965.6618,41980.5182
2057334927,293,281,1,1,8,0,1529.3941,1418.8780,36984.6452
714866549,300,286,1,1,5,0,1552.8664,1244.3414,43422.1864
1157363270,280,271,1,1,0,0,1537.7341,892.7087,45539.3865
1873531293,290,282,1,1,1,0,1565.6430,926.7074,39250.8411
760443195,302,289,1,1,0,0,1542.5792,888.0352,41925.5845
1960519010,306,289,1,1,0,0,1563.6162,879.6646,39693.0858
505096343,286,280,1,1,0,0,1578.7925,890.1924,46153.8399
299209827,303,294,1,1,0,0,1557.5145,973.1216,36457.5032
1204626870,291,286,1,1,1,0,1544.0168,990.5517,43846.2669
1610462,316,300,1,1,3,0,1565.8429,1025.2492,47456.9691
51658333,288,287,1,1,1,0,1530.0674,925.1796,45037.6333
1324249814,309,302,1,1,4,0,1519.8892,1073.8966,41529.3097
33982018,310,284,1,1,3,0,1526.1570,1020.0589,45968.8050
1595758397,300,286,1,1,1,0,3674.2269,902.3175,36404.1384
346908343,288,280,1,1,1,0,1507.0546,990.5687,42878.0095
1972779108,296,279,1,1,7,0,1517.6186,1211.8396,39279.7991
1213987146,290,281,1,1,2,0,1513.9078,1009.0677,41972.0485
2067318875,299,291,1,1,1,0,1544.9767,966.5369,36190.9285
561336533,295,281,1,1,1,0,1525.3425,942.7418,40531.6062
404377364,293,289,1,1,1,0,1601.8648,907.6051,45767.9262
473545962,296,287,1,1,0,0,1604.4068,899.4906,41218.5321
327452671,302,293,1,1,0,0,1574.5536,998.4699,40697.6608
1827105396,281,285,1,1,0,0,1549.0683,1048.1898,37476.1726
844303792,297,286,1,1,0,0,1536.4182,886.4506,39358.2398
268320785,278,275,1,1,0,0,1542.5619,870.7395,45183.8560
1196847123,303,297,1,1,4,0,1524.2707,1001.9013,44587.0996
1028895371,295,290,1,1,0,0,1518.9989,883.3203,40696.1321
524422369,311,295,1,1,1,0,1542.6638,919.0909,42900.5466
719664363,292,278,1,1,1,0,1545.5489,1028.7276,38292.5406
975214784,295,286,1,1,0,0,1602.3107,956.9452,36741.3651
303782921,278,270,1,1,1,0,1577.6278,1034.1061,36420.5457
9578638,283,281,1,1,1,0,1595.1774,930.3805,37232.8158
253253544,281,278,1,1,3,0,1603.8796,1038.8059,37278.9196
338943197,291,285,1,1,1,0,1572.5872,943.8338,36477.9003
2048658121,304,289,1,1,3,0,1593.2536,1077.9302,38065.8255
1728539242,277,270,1,1,0,0,1556.6118,968.3951,41347.9981
714218848,290,277,1,1,2,0,1593.8436,957.7115,38829.1613
1797182052,310,290,1,1,4,0,1539.1223,1111.7603,39857.1226
1243440700,292,287,1,1,0,0,1534.3305,894.5965,42321.9768
152074633,307,288,1,1,3,0,1552.4362,1054.7064,43798.8962
724808429,299,285,1,1,0,0,1453.4848,882.9242,41947.5540
290459902,309,297,1,1,3,0,1446.0679,1080.8565,40641.7899
568474932,308,292,1,1,3,0,1445.6354,1082.0866,35511.2733
1725001197,294,285,1,1,1,0,1450.4055,1023.1407,41500.3020
1493096851,294,283,1,1,3,0,1446.8571,933.1084,39308.8428
1109340896,286,276,1,1,1,0,1503.6166,934.8119,39241.4178
142741248,295,285,1,1,0,0,1502.3049,1049.0022,49142.2690
2135125047,313,297,1,1,16,0,1436.2049,1852.6861,41007.4136
350147570,293,288,1,1,0,0,1434.6728,905.8444,41232.2898
2034850616,293,295,1,1,0,0,1443.2698,957.5891,41368.0567
717379642,295,288,1,1,0,0,1436.5737,961.8681,46275.2665
1232305523,303,293,1,1,0,0,1442.9376,959.4763,45166.0341
2082532477,297,292,1,1,0,0,3614.9191,954.1577,48838.1295
1431795523,300,285,1,1,0,0,3486.9697,927.9752,40800.8461
1734928999,309,289,1,1,3,0,1431.6796,999.4603,45781.9553
2134848102,306,289,1,1,3,0,1417.7349,908.8241,42543.4180
74697594,290,284,1,1,0,1,1427.3167,871.5133,40581.9454
278471641,295,284,1,1,1,0,1465.3173,940.9503,39238.3267
530330214,294,284,1,1,0,0,1448.8961,980.7358,37317.2242
25581904,302,296,1,1,3,0,1455.1703,1116.7486,44584.6196
1215649828,291,284,1,1,1,0,1444.7055,970.7904,45265.5042
758627155,283,276,1,1,1,0,1450.8102,903.2783,35153.3941
660489331,292,282,1,1,1,0,1486.2853,951.2884,40297.0634
2078624810,312,304,1,1,1,1,1498.2570,914.0668,41831.1065
1094352778,291,285,1,1,1,0,1472.9134,960.5545,38548.0466
1824607808,289,279,1,1,0,0,1481.6220,896.4029,41939.3127
1036196615,302,294,1,1,0,0,1472.6202,893.7266,45278.2009
557674533,301,291,1,1,1,1,1451.1861,928.8270,48129.7828
