inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
121274997,316,300,1,1,5,0,965.6461,876.3598,33833.3561
1153498414,324,304,1,1,7,0,937.0808,734.4605,32139.1999
132208855,305,297,1,1,1,0,914.3547,808.6370,29042.0859
885512867,313,314,1,1,0,0,910.2318,675.9059,33980.5138
1475474274,328,310,1,1,1,0,906.7228,719.8503,30541.4980
1180791587,310,294,1,1,0,0,934.9582,680.9763,29646.9365
1094791143,322,317,1,1,0,0,923.9649,759.6929,33083.2139
1421318138,323,298,1,1,1,0,924.3791,646.3444,37900.9350
897213163,321,308,1,1,0,0,931.4344,613.9860,29106.6120
298565590,309,298,1,1,1,0,939.9289,650.7657,30452.3395
1483978088,320,302,1,1,0,0,930.7756,615.0791,28688.4332
1489086940,326,314,1,1,0,0,932.6611,736.2149,27044.9686
1530789952,325,309,1,1,1,0,918.0457,683.9304,28234.2936
1311264337,325,308,1,1,1,0,924.9328,614.1193,34470.6947
1909885862,318,304,1,1,1,0,908.4856,759.1733,30072.8886
1042116987,313,300,1,1,0,0,923.8925,689.7613,27616.4114
483136980,308,298,1,1,3,0,936.5277,667.1910,34345.3627
269601715,295,287,1,1,1,0,910.0462,669.3140,31566.5730
1563017469,315,306,1,1,0,0,932.3841,688.1699,26738.6973
1235187647,320,309,1,1,1,0,942.6859,785.6382,32519.4998
958076614,329,321,1,1,1,1,952.9443,733.8837,28265.3381
312975818,319,309,1,1,0,0,948.2156,619.8226,31402.6689
86052005,325,307,1,1,3,0,925.1165,674.3950,35363.7748
2085119730,321,300,1,1,3,0,923.3611,764.6980,28826.6566
664049022,314,302,1,1,0,0,919.6087,612.1300,28204.4670
1043757610,305,304,1,1,0,0,925.0080,609.8195,34391.2703
558075410,313,303,1,1,0,0,919.8016,746.1710,27686.1206
1475115664,317,304,1,1,0,0,912.7708,609.9391,29754.6522
441657123,304,294,1,1,0,0,919.2112,682.5656,24342.8330
855404017,319,297,1,1,2,0,923.4766,878.5376,32645.7916
719816046,332,317,1,1,0,0,913.1680,765.2692,29070.9319
2103901630,314,299,1,1,0,0,923.5707,602.0916,31931.8068
635866389,311,300,1,1,0,0,920.3115,828.0302,29884.5880
4525186,328,315,1,1,0,0,926.4717,703.3891,31375.4490
18775625,313,300,1,1,0,0,918.6071,756.2685,31374.8588
284121040,308,299,1,1,0,0,913.5955,759.5512,24132.6122
889300253,326,312,1,1,0,0,918.6285,688.4325,33524.0921
1557357036,323,316,1,1,0,0,2923.9564,697.5935,23629.2492
2128221766,325,302,1,1,1,0,940.3251,739.6757,22822.0114
265020225,321,305,1,1,3,0,945.8184,744.3340,28603.4001
2023673217,311,307,1,1,0,0,938.1229,696.3921,28023.1368
375119175,325,307,1,1,0,0,934.2917,687.1280,27051.2748
1608896216,307,301,1,1,0,0,940.4387,975.1787,26170.1732
1469793145,320,315,1,1,0,0,939.2275,688.2546,24168.2795
1035840660,307,290,1,1,0,0,932.9197,605.6375,32050.6193
1814675505,310,305,1,1,0,0,943.9123,748.7656,35663.1570
1772333224,315,304,1,1,1,0,932.1073,634.9191,27978.0371
1440163305,333,314,1,1,0,0,942.4804,698.5721,32905.9130
230005213,310,292,1,1,1,0,923.6857,721.0246,25663.7411
992877460,314,304,1,1,0,0,932.8738,707.4081,34121.6966
1265044680,318,308,1,1,0,0,931.3590,680.0221,31776.9472
2108989452,314,314,1,1,0,0,922.3412,890.1707,37432.3907
1181651146,312,303,1,1,0,0,933.7102,906.6766,23175.5736
1988805459,336,317,1,1,0,0,922.2183,762.6640,35493.6397
1339574956,325,309,1,1,0,0,930.6473,751.2891,33231.5744
236287770,307,293,1,1,1,0,921.8530,658.1917,33533.8245
51817358,348,328,1,1,3,0,2765.0618,860.7448,31594.5879
1101564524,322,310,1,1,0,0,928.3649,826.2521,28747.1134
1957300833,317,299,1,1,3,0,935.4549,700.3923,31587.3860
2102842348,321,303,1,1,1,0,930.0716,710.6590,30566.3473
1877302714,342,306,1,1,1,0,933.9115,635.2073,30901.9773
1911171249,324,311,1,1,0,0,952.5581,690.0126,30823.9337
828962776,310,300,1,1,0,0,927.9890,694.2315,28109.0640
640509466,315,312,1,1,1,0,938.8025,794.3021,39308.5490
1403458878,307,298,1,1,0,0,927.0641,765.9059,29111.6652
1102368864,324,304,1,1,0,0,924.9573,624.4402,28265.2695
1101262793,305,300,1,1,0,0,953.3694,718.3417,29302.5266
842250574,327,316,1,1,0,0,962.7313,774.4931,32960.6452
225552757,320,309,1,1,0,0,921.0450,636.3986,29216.5525
1625612321,334,308,1,1,2,0,920.2081,703.2119,26469.6638
1228703228,334,310,1,1,1,0,3104.6653,705.8015,35742.5825
743646191,316,301,1,1,0,0,928.9086,631.7949,35597.2511
1980054255,318,311,1,1,1,0,928.8823,843.9111,32450.5463
1437452513,327,313,1,1,1,0,930.7385,788.6716,34295.3068
1019651309,331,311,1,1,1,0,918.4044,774.0729,31254.1202
942650831,320,304,1,1,0,0,949.2767,698.2048,28717.8757
1377005922,341,319,1,1,0,0,941.7934,624.2770,32867.9188
2053013838,314,299,1,1,11,0,946.9248,965.5586,32889.6115
7604209,318,312,1,1,0,0,948.2508,772.7448,32759.4620
1011832384,321,309,1,1,1,0,930.3863,896.4029,28571.6033
1950257361,316,302,1,1,2,0,899.0074,767.6189,33229.4047
587908686,327,302,1,1,1,0,899.8768,647.0044,28437.9680
1941343268,313,306,1,1,0,0,905.0887,690.5677,29147.8313
701262703,324,307,1,1,4,0,901.8774,861.5752,38746.9983
