inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,231,215,1,1,0,0,330.3447,938.0282,6930.6116
1027124357,231,211,1,1,15,0,361.1299,934.8525,17668.8413
2049028820,205,195,1,1,0,0,339.2695,680.3415,10312.7330
1321773299,193,189,1,1,0,0,297.4847,703.6294,9570.9919
1703643979,207,198,1,1,0,0,324.6232,770.0632,10037.9382
1300300203,182,173,1,1,1,0,348.1994,822.8017,11104.1056
650965912,212,198,1,1,1,0,359.3184,833.3537,11653.0526
792329348,207,191,1,1,0,0,348.1456,805.5214,10506.8450
870959569,196,195,1,1,0,0,361.1130,716.9255,13402.6416
1173709030,193,187,1,1,1,0,341.8145,838.8479,10042.8489
2096419983,201,195,1,1,0,0,319.7861,694.6192,6979.5654
115248342,215,201,1,1,0,0,358.0980,731.1959,11496.9513
1884656349,220,212,1,1,0,0,375.0598,872.1731,13762.7394
1489863927,204,189,1,1,0,0,319.9603,798.2789,7238.9168
544103131,198,193,1,1,0,0,366.3679,663.5308,12705.2948
460800314,209,206,1,1,0,0,320.4518,690.7904,12220.4454
888523830,231,206,1,1,0,0,349.6531,703.7881,12596.1274
1114430918,225,209,1,1,0,0,328.0639,674.6394,7034.8017
580934519,192,178,1,1,1,0,373.1768,705.1205,10140.7164
1769352672,217,204,1,1,0,0,317.4583,667.4069,13806.4480
1118957871,194,193,1,1,0,0,319.3723,776.0232,6515.5623
2106748179,207,197,1,1,0,0,365.3222,772.4432,7911.4816
1253636814,197,191,1,2,2,1,363.4531,789.1454,464359.4648
864914860,205,195,1,2,0,1,291.6813,801.5615,473170.4073
961156482,194,184,1,1,0,0,314.4647,698.3152,6803.8520
959317506,216,202,1,1,0,0,290.9164,723.1392,7029.0910
1090505917,216,206,1,1,0,0,326.1225,667.6201,10160.0757
28615858,204,195,1,1,0,0,314.3635,761.2870,11063.5522
30129474,211,210,1,1,0,0,355.1964,677.7048,13493.5209
215589766,219,196,1,1,0,0,302.5972,765.5234,11953.9252
119334228,205,190,1,1,0,0,363.4570,678.5550,8632.0406
250851839,224,209,1,1,0,0,366.9314,807.9748,10663.0048
1387499987,244,207,1,1,3,0,322.6337,854.3957,8081.5749
852718394,223,207,1,1,0,0,329.5020,781.0674,7679.0214
1967319524,215,199,1,1,4,0,317.8514,844.2363,10088.8436
1818609555,202,201,1,1,0,0,346.3755,705.2607,10767.0863
1332329453,214,203,1,1,0,0,328.9617,856.7455,11267.0622
181023957,229,209,1,1,0,0,307.8678,706.5025,8086.0536
1802136595,207,202,1,1,0,0,353.1961,695.0608,8128.2079
637631120,210,187,1,1,1,0,350.6336,700.6919,8155.2903
1706040927,213,203,1,1,0,0,321.3044,808.4866,14061.5978
573049588,218,211,1,1,0,0,323.6718,694.8779,10125.1470
1152241987,239,209,1,1,3,0,323.0520,779.5431,7265.5072
1309291604,211,194,1,1,1,0,356.3514,945.5152,10324.9819
2102416186,222,197,1,1,1,0,333.6220,831.2245,12114.7860
1444483879,195,191,1,1,0,0,368.9318,884.9222,6882.2029
326812004,224,202,1,1,0,0,341.8661,707.9912,8665.2578
1190361985,220,202,1,1,1,0,323.9871,756.6664,10768.8900
166497658,233,212,1,1,0,0,356.5000,720.2483,10582.2534
1445870730,209,205,1,1,0,0,356.4406,809.7288,8517.4088
1788875916,190,186,1,1,0,0,354.6100,892.8855,11765.7700
1310774293,214,191,1,1,0,0,346.2722,700.1059,8183.1560
1085928819,206,202,1,1,0,0,348.0403,782.5310,11348.3923
459395007,217,210,1,1,0,0,330.0980,767.8970,9072.9427
638572196,215,208,1,1,1,0,321.6356,886.7990,6983.6631
639738821,220,208,1,1,3,0,309.9998,742.7144,11743.8231
190604252,218,205,1,1,0,0,341.8224,862.0592,7587.9885
1042720626,216,207,1,1,1,0,309.3960,776.4126,6621.2978
966179508,215,194,1,1,0,0,309.8275,675.1443,7391.8805
125662956,203,197,1,2,0,1,347.4998,721.4760,459266.3743
1889118736,225,209,1,1,1,0,333.8256,751.6118,8515.1968
1180443648,190,181,1,1,0,0,290.9509,715.4761,7996.4799
1995455321,197,191,1,1,0,0,319.7541,814.0882,5676.2864
1322837023,207,196,1,1,3,0,322.3454,747.7621,7549.9249
943897307,221,208,1,1,0,0,326.3158,700.3298,12378.7288
996997129,195,195,1,1,0,0,301.2286,680.1362,10932.5775
257682893,227,210,1,1,0,0,339.0410,753.8698,8986.5772
571818533,205,204,1,1,0,0,348.9207,756.5400,9096.8963
67806860,231,202,1,1,0,0,351.2454,759.6659,8873.4971
453487493,226,206,1,1,0,0,330.6389,681.8554,8294.7901
1967309762,217,195,1,2,2,1,329.1761,884.5072,501044.9775
236272490,218,199,1,1,0,0,309.6216,811.7688,10142.4879
1268650480,223,192,1,1,0,0,327.4130,805.3290,7955.8543
1921887676,225,217,1,1,0,0,330.6688,862.5022,12658.8834
1047301970,195,190,1,1,0,0,309.3923,682.1101,8661.1778
1906557040,221,208,1,1,0,0,330.4019,797.7311,8246.4324
1018579595,214,194,1,1,0,0,327.8801,749.1954,8264.7504
1392414777,221,200,1,1,2,0,299.5328,713.8340,6665.0685
1543885782,223,212,1,1,0,0,298.2409,709.0936,13634.3258
1845861412,236,213,1,1,2,0,334.6712,710.7738,6635.0259
1959784766,206,188,1,1,0,0,327.8662,719.1497,10265.0939
1559490636,196,194,1,2,0,2,323.3507,732.3881,483619.8200
107754962,199,199,1,1,0,0,317.5624,790.2962,11024.9183
1623784924,207,192,1,1,1,0,327.2736,813.6943,8105.0210
352449577,202,194,1,1,0,0,351.5604,691.9812,7380.0048
1417427494,235,210,1,1,0,0,305.9583,712.0830,6298.9417
449326806,221,207,1,1,2,0,306.9668,729.8692,13124.0454
532109993,199,197,1,1,0,0,315.0263,708.6740,7278.7128
16858075,216,204,1,1,1,0,331.2466,815.1988,10711.3685
766596938,201,199,1,1,0,0,323.4479,719.0150,9191.9348
305806188,210,195,1,1,0,0,320.2416,694.1266,11023.6329
1442568403,204,191,1,1,0,0,352.7987,806.8044,7341.3318
797468161,225,206,1,1,0,0,305.8627,802.1204,12101.3672
1425144221,205,188,1,1,0,0,325.7861,687.0578,10437.5182
583721967,218,202,1,1,5,0,300.2283,838.8145,9162.3186
398088920,203,195,1,1,0,0,295.1474,686.5688,7674.2896
1041229544,202,199,1,1,0,0,314.5724,815.8460,9372.3283
710289822,191,186,1,1,0,0,343.0736,704.4992,11377.8453
1347622446,189,188,1,1,0,0,311.7913,678.9998,10937.3972
398377604,216,207,1,1,0,0,340.3550,823.4474,9711.3537
