inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
121274997,312,309,1,1,1,0,1956.4292,990.4030,39169.1627
1153498414,302,289,1,1,1,0,1665.6659,1075.1356,40802.1526
132208855,290,288,1,1,0,0,1714.2476,1031.8336,48271.6008
885512867,280,274,1,1,0,0,1696.5411,1131.7874,37731.7217
1475474274,317,305,1,1,1,0,1678.3559,1026.4975,41098.4202
1180791587,316,303,1,1,0,0,1616.5002,989.6971,38276.2495
1421318138,305,297,1,1,0,0,3779.5634,992.0184,46259.7843
897213163,298,297,1,1,0,0,1627.2830,1084.3522,56847.7542
298565590,291,291,1,1,0,0,1675.4520,1006.6834,45587.5240
1483978088,300,292,1,1,0,0,1906.5076,981.2038,43359.1469
1489086940,314,305,1,1,0,0,1952.9101,910.2462,40557.5167
1530789952,309,299,1,1,0,0,1693.0565,1212.0416,47947.2126
1311264337,324,311,1,1,4,0,1670.4842,1078.4584,46691.2951
1909885862,310,291,1,1,2,0,1660.8151,1108.3384,38153.1312
1042116987,317,290,1,1,1,0,1848.4058,1164.2747,35771.5866
269601715,298,293,1,1,0,0,1700.1723,714.1105,42482.9424
1563017469,315,297,1,1,1,0,1729.8280,855.8820,35724.3191
1235187647,312,303,1,1,1,0,1860.9708,1028.4857,29709.5765
958076614,321,308,1,1,0,0,1593.8794,833.8201,36889.1069
1448583282,320,298,1,1,0,0,1791.7236,858.0095,36502.6239
312975818,300,294,1,1,0,0,1616.8558,889.2224,34939.7109
86052005,314,302,1,1,1,0,1599.0946,971.1295,44794.7279
2085119730,311,300,1,1,0,0,1512.7464,931.0132,34632.2890
664049022,306,298,1,1,5,0,1477.8899,1093.2526,34843.5320
1043757610,291,294,1,1,0,0,1489.9049,1029.6151,47670.2709
558075410,302,293,1,1,0,0,1828.2193,1331.9958,45924.0717
1475115664,306,293,1,1,1,0,1744.6752,923.5258,49002.9915
441657123,303,295,1,1,0,0,1736.1200,1083.9857,40355.4949
855404017,298,292,1,1,0,0,1666.0226,900.5700,52138.6512
719816046,302,292,1,1,1,0,1655.9456,1089.0937,43689.6311
1967574731,323,296,1,1,1,0,1713.4469,1017.7998,46593.7894
2103901630,298,293,1,1,0,0,1716.7616,1093.2163,54435.7733
635866389,318,291,1,1,7,0,1753.6175,1275.8490,39973.1056
4525186,291,285,1,1,0,0,1777.7806,1008.9145,51807.9745
1744789138,296,295,1,1,0,0,1809.1569,1219.1925,40165.7563
18775625,302,291,1,1,0,0,1768.8811,888.6314,44984.1150
284121040,309,300,1,1,1,0,1744.6130,994.4023,38825.7663
889300253,299,291,1,1,0,0,1752.6306,980.3875,37320.7323
197010796,307,296,1,1,0,0,1763.5398,989.6329,39063.3600
1557357036,325,299,1,1,1,0,1731.7346,999.6737,48834.2524
2128221766,306,298,1,1,2,0,1924.7268,1170.6443,37441.1826
265020225,310,298,1,1,0,0,1988.3781,1157.8210,50829.8163
2023673217,302,286,1,1,1,0,1922.1483,1301.8000,40771.7008
375119175,309,293,1,1,1,0,1766.7990,1027.9787,41709.1906
1608896216,314,306,1,1,1,0,1771.7137,943.3829,43204.6645
1469793145,298,289,1,1,0,0,1739.1194,1122.1313,52702.7081
1035840660,320,304,1,1,2,0,1773.3298,1227.9853,42518.1503
1814675505,323,297,1,1,0,0,1750.8555,911.1515,41193.0273
1772333224,315,306,1,1,0,0,1724.2674,911.2647,46488.9322
1440163305,310,292,1,1,3,0,1780.4265,1138.5868,46272.9579
230005213,327,306,1,1,2,0,1761.2913,992.6178,49134.4493
2000693614,308,296,1,1,0,0,1787.6571,1028.1510,52227.8689
992877460,308,303,1,1,1,0,1950.4417,1132.3274,51318.7717
1265044680,310,306,1,1,1,0,1967.6898,1165.3563,43088.8707
2108989452,309,305,1,1,0,0,1730.8398,936.8378,48686.8559
1181651146,297,296,1,1,1,0,1941.8804,941.2377,33057.2276
1988805459,310,296,1,1,0,0,1913.7857,1070.5127,38901.1431
1339574956,324,309,1,1,0,0,1708.7559,1109.4811,48468.8735
1779756705,323,309,1,1,1,0,1741.8719,919.6047,38635.8541
236287770,317,311,1,1,0,0,1711.1026,983.1754,38490.2312
1059119565,310,300,1,1,0,0,1703.9906,987.1857,46612.9414
51817358,328,306,1,1,1,0,1695.0538,1262.6708,37173.2583
1101564524,323,312,1,1,1,0,1726.0821,1120.0321,45605.9471
1957300833,300,293,1,1,1,0,1726.4698,1256.4683,44466.7024
2102842348,304,298,1,1,0,0,1716.9087,1038.8436,43306.9228
1877302714,313,304,1,1,0,0,1681.6694,880.1345,39976.1624
1911171249,318,300,1,1,0,0,1705.0506,872.8023,32873.3442
828962776,298,285,1,1,1,0,1645.3255,963.4909,38425.2129
640509466,300,294,1,1,0,0,1745.5305,932.7608,31140.5428
1403458878,327,311,1,1,1,0,1594.8284,830.8211,41203.5166
1102368864,317,306,1,1,0,0,1572.6459,959.1411,32996.1669
1101262793,296,293,1,1,0,0,1717.0825,712.9294,30323.4671
842250574,336,306,1,1,1,0,1796.2447,1123.5882,57515.9434
225552757,325,304,1,1,11,0,1795.6887,1663.3577,35896.1696
1625612321,317,296,1,1,4,0,1673.7003,1281.5497,34051.0255
120727432,303,293,1,1,1,0,1688.7225,1124.2586,40070.7753
1228703228,305,302,1,1,0,0,1655.6693,944.3761,38978.7997
743646191,319,302,1,1,2,0,1678.6004,970.5099,37066.9663
1980054255,314,310,1,1,0,0,1682.0961,979.7519,44140.9259
1437452513,313,300,1,1,2,0,1733.5085,1001.2588,47698.7746
1019651309,311,300,1,1,0,0,1763.1970,1000.3994,46015.9230
942650831,308,292,1,1,1,0,1788.3034,1187.0429,52969.4567
1377005922,323,310,1,1,1,0,1837.4358,1173.5926,37869.4782
2053013838,325,293,1,1,1,0,1927.2342,1087.5588,47615.8632
7604209,302,295,1,1,2,0,1926.2980,971.9258,48191.0531
1524572180,336,302,1,1,1,0,1908.1435,1254.1366,41666.2683
1011832384,326,303,1,1,0,0,1729.1809,1111.5826,38825.2141
1950257361,305,290,1,1,2,0,1922.4853,992.5218,42381.7601
587908686,312,290,1,1,0,0,1748.5122,910.7636,41314.0485
1941343268,321,307,1,1,5,0,1828.3067,930.3291,48707.3146
701262703,329,303,1,1,2,0,1791.3892,1158.4035,45394.0332
121594943,293,292,1,1,0,0,1775.6781,1150.8267,49949.3641
614633707,314,295,1,1,3,0,1749.4224,993.2095,43485.7318
1827466480,308,297,1,1,0,0,1700.8165,988.5966,41963.5937
956948314,310,302,1,1,0,0,1912.4690,1050.9387,42562.6577
1129649921,307,296,1,1,1,0,1718.8386,968.9840,35758.6312
50558818,314,301,1,1,0,0,1914.8393,1150.1761,39476.5133
253537661,307,291,1,1,0,0,1753.4238,1134.7272,37722.2966
432444311,305,296,1,1,0,0,1768.2492,1104.2427,42776.5598
1199527319,320,304,1,1,0,0,1772.0683,940.0978,52045.8425
