inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
710830319,428,406,1,1,3,0,4392.6480,2261.5036,118462.3959
37167118,439,411,1,1,2,0,4143.1672,2167.2516,112684.6133
1905423088,430,408,1,1,5,0,4138.3757,2517.1227,107314.0079
1155436783,412,406,1,1,0,0,7328.9801,1879.0774,109522.5696
844953596,436,400,1,1,7,0,7103.6514,2528.9144,102223.0713
778640770,442,415,1,1,6,0,3844.5911,1898.6455,81132.7457
1440058378,421,397,1,1,3,0,3647.7862,1640.0861,98137.9218
870165601,435,411,1,1,3,0,3674.9307,1777.0067,88803.3276
242509232,444,412,1,1,7,0,3698.9435,2115.5579,102261.2071
485437670,440,394,1,1,3,0,4411.9111,2337.3104,129116.8997
1728403376,445,407,1,1,3,0,4323.9630,2074.9883,104427.3497
1058059231,421,403,1,1,1,0,4475.4784,1903.0426,115105.2106
425189520,430,412,1,1,1,0,4191.1255,2165.7726,108417.2346
992000314,409,389,1,1,0,0,4272.9466,1889.7900,113709.7170
1898024100,446,401,1,1,3,0,4383.7225,2139.5447,116591.4813
1746592779,439,406,1,1,30,1,4278.1420,4379.2337,121973.3028
1829974912,414,398,1,1,3,0,4372.4875,2027.4751,125390.4899
801375699,434,406,1,1,8,0,3810.5425,1820.9662,112636.2779
1295812938,422,408,1,1,1,0,3714.3804,1466.4176,87351.4619
1042637683,433,398,1,1,1,0,4356.1484,1996.7488,107352.3034
60298170,443,413,1,1,1,0,4154.4057,1756.2009,113780.3448
1858733542,409,396,1,1,0,0,4116.8964,1897.7929,118683.8200
1835125803,439,406,1,1,1,0,4567.2076,2180.2273,123214.3634
806861251,428,412,1,1,3,0,4361.3534,2324.9889,118024.2908
1906062499,444,418,1,1,4,0,7020.0954,2428.5172,126239.4759
1464227822,426,401,1,1,3,0,7309.0697,2672.2209,139624.9265
1867610795,438,409,1,1,0,0,4337.7493,2035.4260,106644.3736
1537805808,430,410,1,1,3,0,4424.6177,2348.2003,129503.8625
1014945773,423,421,1,1,0,0,4371.2698,2272.6161,98340.2169
198152640,435,406,1,1,0,0,4401.8738,2075.5883,101154.0807
273672789,438,405,1,1,31,0,4350.1113,4416.9309,106394.2391
1733069214,453,412,1,1,11,0,4137.5078,3347.6252,99914.2777
526545999,443,411,1,1,4,0,4204.6306,2354.9987,111476.9507
727349233,418,404,1,1,0,0,4297.7331,1799.3854,114857.5343
1672641004,432,406,1,1,3,0,4299.7144,2616.8021,111995.4557
485656411,427,403,1,1,6,0,4129.7371,1894.2682,102751.1783
46609872,446,406,1,1,38,0,3621.9660,3394.6589,87595.7122
86920404,425,410,1,1,3,0,3610.9347,1652.0251,78375.8468
1381453400,432,404,1,1,3,0,3599.9619,1497.0318,71090.6059
1302357451,436,408,1,1,4,0,3577.6981,1998.5535,80236.3539
435695909,427,404,1,1,3,0,5485.6314,1924.8644,80469.9579
1615206022,426,407,1,1,1,0,3654.3425,1597.0737,89171.5990
1302392276,439,412,1,1,3,0,3718.5455,1453.0917,106795.2294
1922606197,439,405,1,1,11,0,3682.1113,2058.7390,95519.1863
1147797302,418,405,1,1,0,0,3702.5720,1578.7826,86387.6569
1356889920,419,399,1,1,1,0,3676.8127,1495.7582,89334.1825
699147921,433,407,1,1,3,0,3719.6268,1614.3243,98118.5697
1821634168,439,410,1,1,1,0,3691.6560,1503.2523,96816.2061
894013448,433,405,1,1,1,0,3696.9857,1468.9840,75951.7791
1044792568,418,409,1,1,3,0,3541.1445,1784.4188,94445.9711
1171012575,416,399,1,1,0,0,3722.3209,1502.8186,89360.4920
1823696883,423,413,1,1,15,0,3633.2485,2160.4964,96987.8244
710903810,428,409,1,1,3,0,3647.9721,1707.2821,89417.0840
1770109157,424,406,1,1,2,0,3614.4013,1681.0148,78559.6530
1868485165,426,410,1,1,1,0,3720.5356,1574.0902,77184.0531
718370368,437,412,1,1,10,0,3660.5181,2171.8762,97632.7954
647901879,421,395,1,1,3,0,5484.9962,1499.3382,81090.6962
114622082,420,400,1,1,1,0,3746.9234,1645.8424,110396.1125
1628684325,433,402,1,1,1,0,3680.9033,1505.5600,86301.8603
1665784098,429,401,1,1,13,0,3733.1707,2516.9149,98008.4688
2139206637,433,414,1,1,1,0,3740.5375,1670.4556,119246.6957
196674335,439,398,1,1,3,0,3729.7691,1654.3633,82438.6009
559007104,448,414,1,1,3,0,3733.7546,1904.6420,79829.2219
1665131804,463,418,1,1,5,0,3731.3983,1784.9079,93510.4948
281341731,433,406,1,1,15,0,3621.0715,2369.7603,86529.7826
1924900156,421,399,1,1,1,0,3699.1540,1669.6872,73862.5209
183550237,430,410,1,1,12,0,3597.8074,2683.0618,85991.4176
1054854399,436,419,1,1,8,0,3685.1202,1981.7043,89794.4851
2063530213,433,402,1,1,1,0,3738.2618,1708.6107,97110.3534
152524042,425,411,1,1,1,0,3742.7118,1718.8686,89026.0720
100736635,434,411,1,1,1,0,3740.4789,1539.5844,102162.5590
1153028473,418,409,1,1,0,1,3675.7398,1569.2886,69129.7400
1668208412,443,416,1,1,5,0,3600.6332,1715.5235,84734.0829
708016496,444,409,1,1,3,0,3685.6942,1763.1276,90670.5259
1073988123,442,404,1,1,3,0,3643.1744,1650.3489,92933.0731
1443343909,420,394,1,1,1,0,3683.3090,1394.0201,97764.5110
298191535,441,413,1,1,1,0,3679.6405,1714.7180,81025.2351
1243332142,439,420,1,1,1,0,3722.4844,1749.4786,102036.4834
950956204,426,416,1,1,1,1,3629.7768,1604.9001,70252.6508
1660161639,447,410,1,1,4,0,5045.1654,2801.6407,155876.3461
1750908846,438,424,1,1,1,0,5139.4187,2688.1304,140079.3481
1894620189,420,399,1,1,11,0,5009.3627,3714.0359,124744.4436
1863490149,422,402,1,1,0,0,5181.4748,2674.3229,144672.1970
630859225,434,409,1,1,1,0,5060.7397,2589.1206,125509.9436
1503010420,427,405,1,1,7,0,5035.1707,2882.4932,154225.6031
1161646487,442,416,1,1,2,0,5135.0106,2716.6901,132080.6762
1418231570,425,411,1,1,1,0,4959.4470,2539.7065,128091.6774
360175235,454,414,1,1,3,0,5018.8682,2913.5234,113542.3513
24752310,434,406,1,1,8,0,5024.2453,3513.7323,133244.7659
130986995,432,409,1,1,1,0,5100.8758,2784.8961,137464.4889
706721857,438,401,1,1,6,0,5081.0159,3101.5310,127394.4666
987687118,433,407,1,1,5,0,4042.1227,2074.3659,79743.4015
100757952,421,395,1,1,1,0,3681.3775,1572.3619,77399.4298
1653091257,442,407,1,1,3,0,3725.2378,1541.9521,81455.4239
376207824,445,410,1,1,4,0,3975.3397,1713.5063,102719.7516
482693252,432,406,1,1,12,1,3910.5030,2627.3276,96971.1448
1319550160,440,403,1,1,47,0,3626.2566,5404.8345,97808.4091
722199398,417,406,1,1,2,0,3730.7854,1575.9062,100420.7675
