inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1985700800,186,175,1,1,4,0,864.1528,751.6220,14736.4197
1244723380,186,185,1,1,0,0,830.8948,587.1105,8724.0223
1416237911,197,187,1,1,0,0,819.2297,572.3949,7630.4618
2011432984,196,192,1,1,0,0,826.1222,679.4307,7438.9618
2044952472,189,185,1,1,0,0,835.5299,597.5578,7011.5190
1627271873,205,193,1,1,0,0,818.8664,681.8352,9132.9156
1144156699,190,187,1,1,0,0,814.3234,601.9717,16832.6482
13305307,201,190,1,1,0,0,815.7408,581.1492,6900.6332
2069337836,195,190,1,1,0,0,816.8279,584.2045,6524.3570
1565650554,196,189,1,1,0,0,823.6393,585.0728,17963.4347
1774432654,182,179,1,1,0,0,844.3717,695.9280,8235.9181
528668332,203,198,1,1,0,0,816.9988,679.9040,7225.9223
609031039,191,181,1,1,0,0,1630.9881,671.5089,8336.0965
1939850826,206,202,1,1,1,0,864.3217,714.5573,8469.1502
1375751164,210,193,1,1,0,0,817.1152,575.6405,10246.5850
5568015,195,187,1,1,0,0,839.4886,582.7312,7552.2571
24265020,186,181,1,1,0,0,820.5987,579.3304,16778.2555
41766539,193,180,1,1,0,0,845.1458,584.1831,8019.4655
1194041565,194,183,1,1,1,0,813.5893,679.5767,7071.7220
1286101795,188,186,1,1,0,0,839.9306,594.3885,7575.8772
800859335,189,184,1,1,1,0,814.1652,696.2921,8242.9659
1532067486,214,197,1,1,0,0,804.9379,569.3925,8612.7688
203686923,195,184,1,1,1,0,828.9492,586.5343,8067.4617
675637532,193,191,1,1,0,0,820.1834,578.3272,7683.0607
1926200545,193,188,1,1,0,0,828.7810,575.5251,8529.4789
1727955652,204,201,1,1,0,0,832.8164,590.1944,9395.6275
1115534650,196,188,1,1,2,0,816.8105,625.6573,7672.3006
1783165962,177,174,1,1,0,0,825.5514,568.0309,7863.4284
782940233,185,183,1,1,1,0,833.4404,688.7727,7933.9567
953840062,199,192,1,1,0,0,848.9128,586.8831,7097.6164
1729521604,221,208,1,1,0,0,830.7108,614.9922,9226.6180
888889741,187,181,1,1,0,0,814.5559,582.1621,7832.4788
1613807926,212,200,1,1,0,0,824.4989,606.2479,8609.5796
165817984,214,192,1,1,1,0,826.9505,582.4310,8222.7218
2083508952,181,168,1,1,0,0,818.9260,579.0065,8409.6211
1584620834,216,201,1,1,1,0,819.1999,609.9256,12649.8142
788873992,220,207,1,1,0,0,818.2215,580.6972,11840.5806
1490054177,186,179,1,1,2,0,819.1890,632.8558,7945.1689
1853886927,199,196,1,1,0,0,813.9110,576.2192,7760.1508
1450070067,214,206,1,1,0,0,817.3122,675.8820,8929.5251
1043154453,199,185,1,1,1,0,835.1460,707.6542,7896.8203
833651740,211,195,1,1,0,0,795.7420,575.6195,7005.2903
963196573,203,200,1,1,1,0,793.6752,564.6935,7790.2319
550275718,194,179,1,1,0,0,795.3986,565.7598,10633.6425
878645534,200,188,1,1,1,0,806.2953,592.8527,8934.1605
578480814,194,194,1,1,0,0,795.1037,666.5702,7734.3990
1131530820,174,171,1,1,0,0,795.7593,575.4173,14467.7326
897033453,215,205,1,1,0,0,795.7591,567.7296,6932.4792
1144913338,186,182,1,1,0,0,800.2346,650.5767,11089.0442
1983445889,202,196,1,1,0,0,799.8676,672.4577,8905.0594
