inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
126827386,316,265,1,1,0,0,264.7103,665.4256,8255.4145
761329787,330,274,1,1,1,0,254.0860,724.9709,9132.9651
558641285,321,271,1,1,0,0,267.9838,704.1475,9684.2010
91639066,323,276,1,1,0,0,265.1107,714.8414,9517.4624
1536643814,301,279,1,1,0,0,260.9525,561.7406,16360.8148
1074241974,319,266,1,1,1,0,260.9896,845.0020,8937.2314
618607571,345,274,1,1,0,0,260.2013,590.4859,8519.7344
645431201,328,267,1,1,7,0,265.9279,781.2640,8966.9548
460216217,312,255,1,1,0,0,246.8099,655.4663,8989.8706
1295136349,320,273,1,1,0,0,260.3809,633.0185,8736.5873
1651955435,308,279,1,1,0,0,269.3411,709.5459,9684.7536
268052889,335,275,1,1,1,0,267.3410,689.7248,9803.2802
514366596,326,277,1,1,0,0,269.5237,718.3522,9819.7009
1581365966,303,264,1,1,0,0,255.6796,571.6888,8161.1544
1920718706,352,280,1,1,0,0,271.7386,575.2885,9175.9515
1284431749,294,265,1,1,0,0,257.0088,719.0456,10417.4853
1187895230,327,266,1,1,0,0,258.8669,741.3837,9212.6392
1690803105,352,299,1,1,0,0,259.2953,647.0896,8994.3488
481316619,310,281,1,1,1,0,255.8430,574.5002,8614.4997
2050784128,310,270,1,1,0,0,256.3274,634.9262,8181.6509
768995891,320,274,1,1,0,0,270.2401,638.3454,8206.6979
2081487829,307,261,1,1,0,0,257.4343,569.6118,8735.1338
1616441113,336,284,1,1,1,0,277.5452,699.3994,8623.0018
700238667,311,271,1,1,0,0,257.3117,562.0875,10457.9198
203605301,307,254,1,1,1,0,267.6678,591.7335,8984.3048
733507883,321,273,1,1,0,0,269.0589,638.4782,8363.6911
480402477,304,263,1,1,1,0,250.0035,658.7331,8686.5263
1737684753,317,288,1,1,0,0,247.0376,764.8220,9650.1713
900231760,327,280,1,1,0,0,241.8979,568.0336,8397.4607
125607226,300,273,1,1,0,0,246.3397,637.7075,13028.0312
370980573,339,275,1,1,0,0,244.9096,568.4842,9425.2319
1071395006,334,280,1,1,0,0,247.6294,704.4040,8841.7448
344742393,271,253,1,1,0,0,246.1076,640.3458,10254.4545
1711471659,340,281,1,1,0,0,246.8664,577.6714,9734.2235
902273373,338,275,1,1,0,0,247.3492,576.4842,10055.0754
2114491297,322,274,1,1,0,0,247.0493,712.4922,9500.2258
1085714994,315,255,1,1,1,0,243.2588,641.4642,8225.1042
653135655,324,277,1,1,0,0,241.5508,769.2157,10337.4812
426392364,311,274,1,1,0,0,232.3427,636.8496,12487.0548
1791441602,301,266,1,1,0,0,246.9270,659.7034,8595.6728
1678038082,318,274,1,1,0,0,246.2732,702.1994,9781.5468
1746839362,326,273,1,1,0,0,253.1564,666.7675,8270.4700
1467420220,313,266,1,1,4,0,234.5321,637.1084,8751.5526
1347499789,292,259,1,1,0,0,246.9025,649.4613,9082.4595
1844009866,306,262,1,1,0,0,248.6088,719.6127,8760.2188
964224227,317,284,1,1,0,0,245.8453,656.7057,10007.0062
1816820874,315,269,1,1,0,0,252.0285,723.2192,9338.2816
112280045,304,265,1,1,0,0,248.2181,640.9047,8800.1012
1636621137,339,278,1,1,1,0,241.1511,577.8405,8095.3791
1728268513,311,268,1,1,0,0,247.3711,632.6216,9328.9865
459530706,305,265,1,1,1,0,250.2199,713.9418,11758.0728
838465176,325,281,1,1,0,1,239.1445,648.7719,8536.8874
1793011860,318,269,1,1,0,0,248.2584,775.8415,9248.4286
1549995791,286,259,1,1,0,0,248.3790,652.5698,9357.3508
1997497355,309,265,1,1,1,0,236.7401,578.9331,9818.2370
1675177671,310,277,1,1,0,0,252.7518,639.0026,8858.2478
1124314649,333,290,1,1,0,0,237.9960,699.2479,9636.7115
740257885,323,268,1,1,0,0,237.6317,576.0551,8224.6189
2018238131,327,278,1,1,9,0,232.1508,761.5861,9133.6745
1653282017,299,263,1,1,0,0,233.1178,588.4789,9138.3479
594278381,287,268,1,1,0,0,236.9550,650.5554,10496.8768
971313653,334,275,1,1,0,0,232.5102,648.4123,8599.8107
1742174868,296,262,1,1,0,0,232.0752,662.9620,8335.4531
2118134355,319,269,1,1,0,0,234.8430,573.7765,9411.5739
1582160921,272,249,1,1,0,0,232.7760,706.0707,9075.0489
1398215895,321,270,1,1,2,0,233.3163,663.3197,10152.7484
699436866,301,259,1,1,0,0,235.3183,574.2187,8962.7766
856828466,316,278,1,1,0,0,233.5535,714.2425,8828.8797
2134786181,348,271,1,1,0,0,233.5980,646.9222,7895.2912
917850247,326,285,1,1,0,0,234.0705,656.0304,12156.1056
1213694020,330,277,1,1,5,0,239.3631,633.7574,9119.8360
2036375710,321,279,1,1,0,0,239.5830,713.0593,10137.9808
1903469492,326,275,1,1,0,0,233.4704,648.8761,8528.1303
1799501480,316,276,1,1,0,0,232.5236,722.6898,12681.3829
873805931,288,267,1,1,0,0,233.8605,722.4318,10024.0343
214864269,290,270,1,1,0,0,233.4241,647.8378,10116.8320
1521491519,324,275,1,1,0,0,232.8061,727.0665,8811.5064
601545119,355,271,1,1,0,0,232.1912,653.5401,10258.7740
2143090743,318,265,1,1,1,0,230.4244,607.3013,8977.6100
1344165696,322,276,1,1,6,0,233.3316,653.9201,8852.1379
1987247879,325,279,1,1,0,0,232.6847,597.6113,9540.8103
1826455504,291,257,1,1,1,0,232.3993,589.9327,8339.5361
868505568,326,283,1,1,1,0,232.1381,588.7967,9676.0581
725777596,316,280,1,1,0,0,233.2002,673.7096,16677.3268
1976356552,330,284,1,1,0,0,237.2539,721.0747,9999.7354
1325473251,307,269,1,1,0,0,232.5197,711.1914,9125.5858
332552622,300,266,1,1,0,0,233.3262,674.6224,8778.9942
1117546280,334,281,1,1,0,0,232.4473,645.6618,9286.2858
1702328081,308,267,1,1,0,0,234.7405,726.8696,9681.2477
99687760,328,279,1,1,1,0,233.4482,645.4752,9748.2433
1746341834,309,274,1,1,0,0,233.9799,593.5798,10471.6543
1839001939,308,254,1,1,5,0,234.1117,678.1771,7897.2733
1743730017,299,263,1,1,0,0,233.8832,668.0000,10871.6669
986863757,310,263,1,1,1,0,232.1610,582.9577,9451.5177
1482196979,329,278,1,1,0,0,232.7358,589.5163,8683.6493
549319355,309,270,1,1,0,0,232.3081,725.3344,8817.8329
2049291930,323,272,1,1,4,0,232.9392,743.8563,12125.5294
593231028,347,290,1,1,0,0,233.0882,660.2504,9760.8257
12847945,324,280,1,1,0,0,232.7278,584.4536,8569.2244
590496808,330,268,1,1,0,0,231.8116,593.0010,8972.9668
1862716714,320,274,1,1,1,0,232.6767,606.2570,9913.4921
191512682,349,281,1,1,1,0,236.9505,590.9081,9101.6461
1850872579,322,288,1,1,0,0,245.7630,722.2853,9498.3320
1391524050,331,268,1,1,0,0,244.6204,652.6651,9431.2781
712223826,347,284,1,1,0,0,247.8633,714.3728,9243.6429
1713148210,332,284,1,1,0,0,248.9006,639.1455,10529.3600
1790541552,282,254,1,1,1,0,245.5027,653.4617,9518.7530
1761636949,316,274,1,1,0,0,248.5942,596.3238,9476.5412
1099595713,329,265,1,1,0,0,244.9154,621.4391,9645.1336
462177874,315,270,1,1,0,0,245.0218,718.6423,9697.6336
196067902,309,258,1,1,3,0,244.1841,685.8405,10575.8910
1861058544,303,258,1,1,0,0,245.0379,723.8715,9191.5294
881580220,333,268,1,1,0,0,246.4016,736.9517,10061.9674
1387175565,315,262,1,1,1,0,245.3426,586.0235,8798.7711
1038312863,325,270,1,1,0,0,244.1273,582.7899,10006.7626
956657768,336,282,1,1,0,0,245.0896,599.8002,8485.0148
593433248,307,263,1,1,3,0,245.1644,662.0989,8909.3738
840532200,322,272,1,1,0,0,244.8315,659.8984,10821.1387
1217824235,298,263,1,1,0,0,244.7630,579.2565,9329.0088
