inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
783395982,151,144,1,1,0,0,612.6682,505.2958,13375.0070
1310174684,124,124,1,1,0,0,606.2520,500.0496,14291.9020
943794695,134,133,1,1,0,0,634.0475,503.0132,14538.5913
1524337874,140,139,1,1,0,0,639.1055,503.9182,14628.1680
1003551207,130,129,1,1,0,0,641.4311,501.0631,13698.5178
1446385280,135,132,1,1,0,0,637.6720,502.3478,14770.0667
876889669,150,143,1,1,0,0,643.5968,503.1125,14678.2994
88968503,138,137,1,1,0,0,628.2721,501.4214,15033.6814
495324151,136,131,1,1,0,0,598.3325,496.9837,15157.2683
271115331,142,140,1,1,0,0,601.7175,498.0562,13434.5708
793004377,138,131,1,1,2,0,614.1906,568.4880,13099.1740
102712063,137,137,1,1,0,0,599.5254,501.8033,15318.4722
694629710,130,127,1,1,1,0,617.8127,523.2666,14406.9374
1315410671,124,122,1,1,0,0,602.5368,503.2488,15465.3923
2103835374,150,145,1,1,0,0,597.4347,502.6762,14045.5726
929693974,142,141,1,1,0,0,627.0275,499.4697,14867.9676
445023890,137,136,1,1,0,0,635.0753,505.3205,14760.7716
1363149196,138,136,1,1,1,0,684.0897,548.3772,14896.7098
131714713,136,133,1,1,0,0,600.2126,501.8689,16375.7158
709049247,139,138,1,1,0,0,618.2334,503.8409,14995.4327
1267113693,135,133,1,1,1,0,595.6478,528.2420,14311.0740
356605015,149,146,1,1,1,0,591.7115,546.3598,14444.5642
654612640,126,126,1,1,0,0,621.2013,500.7012,13543.7855
914235068,136,134,1,1,0,0,615.2586,502.7725,14650.7886
1274202649,144,143,1,1,0,0,611.9765,501.5782,15502.8950
844039691,131,131,1,1,0,0,603.6396,500.7675,15511.2030
2093556902,132,130,1,1,0,0,591.0927,503.5463,14150.1357
70581820,133,131,1,1,0,0,605.8054,496.9805,14428.2219
2145131325,136,133,1,1,0,0,662.7332,501.6887,14854.7992
1687543258,146,143,1,1,0,0,655.4011,504.0032,13799.2607
1381916116,138,136,1,1,0,0,631.4327,499.3096,13366.6298
1984923315,136,136,1,1,0,0,624.9900,503.3176,13955.7532
1398464375,130,131,1,1,0,0,664.5678,504.8002,14671.3437
1689134195,134,129,1,1,4,0,647.5938,662.8251,13430.9903
255249126,134,130,1,1,1,0,601.5209,544.2896,14163.9708
1424630989,138,137,1,1,1,0,597.9673,549.9118,14020.4675
1446953374,137,135,1,1,0,0,602.7599,506.2316,17488.1401
580190854,134,133,1,1,0,0,583.4941,501.9295,15834.5077
235244264,144,138,1,1,2,0,588.3639,561.7909,14458.8941
1276634559,148,148,1,1,0,0,592.6449,503.2728,13648.4837
