inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
706996899,141,129,1,1,0,0,89.7603,225.1514,3172.5855
683795366,124,119,1,1,0,0,82.9000,233.3424,2408.4374
2118981747,137,128,1,1,0,0,74.6539,225.9762,2930.7577
1007790109,134,123,1,1,0,0,83.3449,230.0062,2476.6750
2010124990,147,137,1,1,1,0,98.0098,232.6434,2099.9448
575209377,182,151,1,1,1,0,81.3633,225.3372,4016.6492
716519504,156,134,1,1,0,0,77.6276,226.6757,3191.9636
2095622324,131,128,1,1,1,0,75.1141,232.2873,3622.4042
1682812063,107,104,1,1,0,0,77.3110,220.6754,2251.2751
1444732229,137,131,1,1,0,0,78.5672,231.6363,2916.0010
1550400030,141,129,1,1,0,0,78.1192,232.4638,3523.3915
379014684,128,126,1,1,0,0,78.7150,222.9639,3579.1612
812056294,136,130,1,1,0,0,92.8287,225.9927,2110.6079
1808866698,132,127,1,1,0,0,97.4785,224.4660,3808.0220
2129127787,135,127,1,1,0,0,85.8464,222.5302,3190.3573
1403150193,133,130,1,1,0,0,98.8359,225.8819,2391.5925
37866528,123,117,1,1,0,0,88.2775,224.1940,2982.1179
795077748,142,126,1,1,0,0,92.4189,231.4735,3077.6415
2109154625,124,122,1,1,0,0,92.4583,222.3471,3016.2637
1659120049,143,136,1,1,0,0,94.3062,227.0067,2481.6170
440651958,116,111,1,1,0,0,82.5705,290.1863,3387.0816
2116699563,139,132,1,1,0,0,84.7595,226.6295,3397.7346
402199715,137,129,1,1,0,0,87.9907,234.9727,2267.1123
1828283267,128,119,1,1,0,0,94.3589,224.0014,2298.7321
626864907,135,123,1,1,0,0,94.9093,225.3146,3819.7034
1772095754,138,136,1,1,0,0,93.2482,225.3266,3410.4683
363212762,142,132,1,1,0,0,85.3862,224.3913,3226.2894
1779548668,124,113,1,1,0,0,76.4293,290.3754,2193.9085
510488052,147,139,1,1,0,0,91.9434,224.9634,2834.0316
652597006,130,117,1,1,0,0,90.1238,222.5250,2381.4569
1200039479,155,146,1,1,0,0,94.6604,228.8599,3187.8296
65517415,133,122,1,1,0,0,91.1298,224.6069,2275.3852
924314880,134,123,1,1,0,0,94.7021,223.5706,3031.3417
1308026973,140,126,1,1,0,0,97.1046,223.8917,3799.3638
968034873,129,119,1,1,0,0,98.2563,225.7580,2467.8392
2087158973,152,132,1,1,0,0,94.6722,226.5357,3190.0304
54414185,118,113,1,1,0,0,95.4960,228.4273,4042.0613
152289771,141,135,1,1,0,0,94.2535,291.4616,3023.0902
812769497,113,111,1,1,0,0,73.2277,222.6956,2092.8504
1007832294,153,132,1,1,0,0,82.8175,224.8346,3203.2432
676298953,132,123,1,1,0,0,81.4965,226.8141,3057.8036
2143455356,120,114,1,1,0,0,82.1509,223.6337,2171.2968
1070610194,142,137,1,1,0,0,83.7532,223.7890,2325.1529
234478458,135,114,1,1,1,0,95.4017,231.3812,3240.7225
1456534298,133,127,1,1,0,0,93.8280,225.0421,2208.7890
1846965691,143,136,1,1,0,0,90.9037,226.6381,3494.1673
133475693,123,121,1,1,0,0,91.4773,224.2123,2303.9777
333617095,120,117,1,1,0,0,86.4330,224.3251,3437.5127
1159430406,143,130,1,1,0,0,92.3295,226.3851,3710.3821
529171091,132,119,1,1,0,0,96.7232,226.8947,3287.3219
1633966641,134,129,1,1,0,0,90.2926,224.9021,4588.9658
699140625,135,127,1,1,0,0,90.5651,225.6289,2256.1926
1222538119,151,135,1,1,1,0,79.8688,231.9441,2292.8553
2122639895,124,122,1,1,0,0,86.3689,225.6998,2234.4242
1693715145,120,107,1,1,0,0,92.5389,225.3570,2065.7553
1535800812,136,122,1,1,2,0,91.3642,228.2568,3021.7745
1415896734,130,120,1,1,0,0,95.2879,227.0468,2773.2597
1713806813,123,117,1,1,0,0,93.0590,225.9664,3118.9372
2078068096,112,109,1,1,0,0,81.5906,224.6844,2115.2083
262018712,129,120,1,1,0,0,82.6174,225.4200,3082.0334
1209096657,137,123,1,1,0,0,83.2868,226.4659,2054.4782
904138129,124,120,1,1,0,0,82.9226,226.7412,2228.5052
230779824,146,137,1,1,0,0,81.9676,226.3780,3497.9472
1623458846,125,120,1,1,0,0,81.0312,228.3216,2342.8392
955114061,146,138,1,1,0,0,82.5572,226.8755,3377.2398
1825725062,138,130,1,1,0,0,90.2089,228.6195,3201.7163
1348419481,137,127,1,1,0,0,91.3956,233.6237,3141.8851
660719672,160,144,1,2,0,1,92.7415,226.8111,88905.2508
1544882157,133,123,1,1,0,0,92.3773,223.7466,2225.1925
1188134082,131,126,1,1,0,0,90.9067,226.3942,3515.0281
502765569,130,128,1,1,0,0,92.4504,227.0449,2109.3624
1270557491,128,125,1,1,0,0,91.5951,224.8652,4041.3120
729396111,132,125,1,1,2,0,90.3333,233.0475,2098.8003
13019492,150,135,1,1,0,0,84.0257,227.3370,3332.1008
1468905109,116,114,1,1,0,0,95.1381,290.8802,3510.6911
1337826990,133,115,1,1,0,0,85.7240,225.5953,3394.6745
1392058115,129,126,1,1,0,0,82.6224,224.9618,3241.9822
1589855944,135,127,1,1,0,0,91.4953,225.9607,2455.0309
354221926,127,120,1,1,0,0,95.5746,225.1934,2973.6898
1558794535,142,131,1,1,0,0,91.9453,225.6474,2854.0026
1088979664,127,120,1,1,0,0,93.6318,225.6121,3453.8729
2142866189,129,121,1,1,0,0,89.6602,225.5054,3584.3850
315440609,144,134,1,1,0,0,91.3815,225.6958,3145.7297
1889530258,116,113,1,1,0,0,90.6498,222.7715,2122.3815
60592487,136,131,1,1,0,0,92.9619,224.6642,3054.8070
204322119,134,118,1,1,0,0,91.9899,224.5074,3430.1756
272270058,145,133,1,1,0,0,91.9734,224.7685,4301.8156
1272756699,130,122,1,1,0,0,90.7444,224.7151,3760.8858
1518502176,138,130,1,1,0,0,93.1881,225.3053,3201.3693
933320411,155,139,1,1,0,0,93.2044,224.9919,2339.3230
465061697,145,135,1,1,1,0,92.4333,226.2449,3936.9127
14546578,112,111,1,1,0,0,93.2500,232.9138,2239.0077
53129366,123,113,1,1,1,0,92.2153,227.8491,2852.2342
653244787,146,135,1,1,0,0,91.2809,227.1290,3625.0727
999269586,124,118,1,1,0,0,92.2889,224.3699,2004.7414
94397090,127,126,1,1,0,0,92.3627,225.2510,2823.9443
49854994,131,123,1,1,0,0,91.3697,224.3543,3493.1193
333916015,138,128,1,1,1,0,90.6843,225.2852,3548.1310
1135022579,123,121,1,1,0,0,90.4983,229.4361,4041.0087
1448668094,147,131,1,1,0,0,92.6072,227.1969,3526.5315
1033416348,154,130,1,1,1,0,92.4165,234.5718,3359.0014
769014198,134,128,1,1,0,0,91.4617,224.4166,2083.0401
31703205,148,139,1,1,0,0,90.3666,225.2434,2086.7570
461917960,134,122,1,1,0,0,90.5281,226.0371,2480.7383
2104110017,130,125,1,1,0,0,90.5528,225.1820,3166.1541
542607839,141,130,1,1,0,0,90.3980,228.0054,3776.3300
543407826,104,105,1,1,0,0,90.3308,223.8412,2307.0858
710581768,133,125,1,1,1,0,90.8842,235.5816,3805.0635
1339340720,123,121,1,1,0,0,90.2158,226.2752,2430.2800
1258342902,127,121,1,1,0,0,90.2653,223.6361,3038.4203
261818832,133,121,1,1,0,0,91.1646,228.6472,3220.3840
2016132258,142,123,1,1,0,0,89.5491,226.4924,2220.9109
307738787,125,121,1,1,0,0,90.0767,224.2450,2163.4840
221936213,116,111,1,1,0,0,89.2902,224.3277,2054.1063
2054128054,129,123,1,1,0,0,90.3739,224.9805,3811.7700
1322420534,121,113,1,1,0,0,90.1657,225.7304,2905.9753
2019452849,120,115,1,1,0,0,71.1629,226.0932,2754.0945
1568575555,156,138,1,1,0,0,71.6864,228.4143,3493.4833
367521702,147,137,1,1,0,0,71.2530,230.1607,3588.1848
2053083253,126,119,1,1,0,0,71.2659,295.6116,2761.7971
600346217,125,116,1,1,0,0,71.2180,226.0616,2285.1178
1524601184,128,128,1,1,0,0,71.2516,227.1388,2318.5508
1379953904,132,116,1,1,0,0,72.9753,233.6976,3914.0154
1221108632,148,127,1,1,1,0,71.8513,229.5152,3020.1390
488200122,143,132,1,1,0,0,71.7286,227.9864,3789.1377
331386772,126,119,1,1,0,0,73.2271,229.5214,2248.2308
1906241680,129,117,1,1,1,0,72.1407,227.4961,3320.0327
1529322031,133,120,1,1,0,0,71.8354,224.4192,2643.6737
875449496,133,127,1,1,0,0,72.0853,302.3420,2377.0656
459984245,144,133,1,1,0,0,71.6674,229.8218,3359.6147
795968645,144,138,1,1,0,0,72.0706,228.2717,2370.3926
1398109522,113,110,1,1,0,0,71.3053,226.0047,3857.9649
1870897315,144,137,1,1,0,0,75.3445,227.2568,3309.7623
1106398543,135,126,1,1,0,0,74.9634,226.6357,3912.6590
875939170,144,131,1,1,0,0,76.3932,231.1509,3473.2755
705858688,137,132,1,1,0,0,74.3746,224.7998,3117.6478
2063963639,119,118,1,1,0,0,74.9049,225.8221,2296.5497
180642399,125,118,1,1,0,0,76.0738,223.5665,3145.2034
380483206,112,111,1,1,0,0,70.8602,225.1829,2501.3511
161013077,115,113,1,1,0,0,75.4744,223.0139,4008.5333
491864293,133,128,1,1,0,0,75.3999,229.0414,1936.5933
1975246798,148,140,1,1,4,0,76.4636,239.2298,2131.5615
361323366,139,129,1,1,1,0,75.2028,233.1799,3771.7541
1110603247,138,127,1,1,0,0,77.7022,225.5963,2371.2957
1301448875,122,119,1,1,0,0,75.4718,224.8324,2310.8835
2098665559,136,123,1,1,0,0,76.5347,225.6456,2819.7393
1664302018,123,113,1,1,0,0,81.7088,223.5861,3329.4310
807767692,136,120,1,1,0,0,96.9320,226.1430,3760.4770
411418387,131,125,1,1,0,0,100.3025,224.7106,4268.5964
1190036423,145,142,1,1,0,0,98.5388,228.0718,3337.9970
526639950,123,114,1,1,0,0,97.9829,223.8423,3151.4177
958242535,147,132,1,1,0,0,97.9718,233.1083,3002.7750
2054505602,139,120,1,1,0,0,97.4703,225.7276,2213.2453
68241805,129,121,1,1,0,0,91.6925,224.6494,2816.8195
1333236029,121,116,1,1,0,0,96.9452,229.7658,3253.8133
1395556576,129,129,1,1,0,0,93.0983,225.9466,3583.7166
1433848364,157,145,1,1,0,0,92.1010,225.3250,3193.0017
317248183,123,119,1,1,0,0,92.5453,226.0226,3848.1806
446434654,155,125,1,1,0,0,93.0147,226.2455,3087.6771
411926510,125,120,1,1,0,0,92.4721,232.6577,3985.9350
219965297,120,118,1,1,0,0,92.4475,224.3408,1972.8076
1437215492,146,124,1,1,0,0,94.2193,226.3808,3139.1361
111017081,121,120,1,1,0,0,92.6342,225.2810,1965.6683
1150095692,126,114,1,1,0,0,93.0540,225.9057,2154.1724
1483779471,122,122,1,1,0,0,91.8244,226.0672,2781.5393
1720906257,136,124,1,1,0,0,96.1763,233.3620,3194.7520
239130339,124,117,1,1,1,0,96.9355,231.0148,3099.9535
345280995,148,141,1,1,0,0,96.9684,226.8252,2805.3991
173845928,114,111,1,1,0,0,91.9881,225.4118,2814.0448
1342523428,130,126,1,1,0,0,92.8456,225.8196,3780.7358
324498822,124,111,1,1,0,0,92.8588,233.6282,2674.8836
586209055,135,121,1,1,1,0,90.5864,230.9206,2327.6897
1472609104,123,122,1,1,0,0,94.6331,232.3093,2545.7388
479123039,118,115,1,1,0,0,95.9184,224.2610,2025.5958
1208438643,134,124,1,1,0,0,95.5369,226.1017,3337.9293
1195272426,134,124,1,1,0,0,94.6446,226.1512,2743.2276
506285788,116,117,1,1,0,0,95.9499,232.7487,2254.4760
159259667,111,107,1,1,0,0,95.6949,223.9268,2242.5696
784768752,137,129,1,1,0,0,95.7982,226.1478,3311.8356
142441787,167,144,1,1,1,0,95.9351,235.9763,3647.5619
1720361613,132,127,1,1,0,0,96.0159,225.1526,2302.6783
1876178031,128,117,1,1,0,0,95.8524,224.0669,2475.9916
514491011,135,125,1,1,0,0,96.5162,234.3056,2301.2798
444743809,141,126,1,1,0,0,94.8933,226.0930,2028.6237
1760097233,142,132,1,1,0,0,102.6477,227.3952,3115.4817
1117844833,130,125,1,1,0,0,95.2955,225.4631,2876.3581
882670885,145,126,1,1,0,0,95.6844,225.6677,2270.9586
832673552,151,130,1,1,1,0,95.8341,230.8423,3279.3930
304695874,152,139,1,1,0,0,95.8600,225.8582,3291.3844
441810477,121,118,1,1,0,0,97.2467,225.8092,2343.1007
54456644,134,126,1,1,1,0,95.4513,231.8179,3442.8771
70929798,139,126,1,1,0,0,95.6216,224.6013,2546.9735
1438020514,111,108,1,1,0,0,95.0530,227.5674,2184.7602
704148448,134,130,1,1,0,0,95.9585,226.7472,3391.4548
293517422,127,123,1,1,0,0,95.9245,224.4154,3173.8153
807750594,137,120,1,1,1,0,95.7115,292.4740,2274.0097
915297463,153,137,1,1,0,0,73.0909,228.3068,2406.3451
1294993608,134,126,1,1,0,0,71.9146,225.8939,3886.3737
2379172,124,113,1,1,0,0,71.6399,226.3117,3840.0158
2000410740,143,134,1,1,0,0,71.3925,227.6039,3460.2019
