inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
126827386,304,283,1,1,0,0,262.3081,430.1938,9799.5759
761329787,336,276,1,1,0,0,245.1237,515.8041,8623.0646
558641285,328,283,1,1,1,0,247.0883,458.8286,8698.8894
91639066,320,292,1,1,0,0,259.6110,448.0695,14380.5863
1536643814,332,279,1,1,1,0,238.1428,519.5758,8151.1671
1074241974,373,293,1,1,1,0,234.3224,589.7810,8926.6951
645431201,309,267,1,1,1,0,244.5324,523.1850,8354.6043
460216217,317,283,1,1,0,0,233.1006,372.9263,8845.0371
1651955435,322,280,1,1,0,0,239.4481,522.9416,9853.6503
268052889,316,267,1,1,0,0,244.5349,594.6853,7474.4669
1581365966,331,284,1,1,2,0,241.7449,607.6620,8252.1223
1920718706,347,295,1,1,1,0,236.1059,516.6323,8930.9542
1284431749,331,278,1,1,0,0,236.5753,359.6402,8519.3243
1187895230,331,296,1,1,0,0,236.0900,370.6463,8892.3053
1690803105,331,284,1,1,1,0,234.0058,524.0427,8347.7620
481316619,313,270,1,1,3,0,233.5657,479.3884,10309.3329
768995891,338,297,1,1,0,0,252.3115,379.6384,8861.1269
2081487829,300,269,1,1,1,0,254.3936,445.2301,9370.3955
1616441113,306,276,1,1,0,0,253.1315,439.8520,8706.6102
700238667,316,278,1,1,0,0,246.5596,385.7905,10574.8029
203605301,335,274,1,1,0,0,253.9364,374.5365,9560.0370
733507883,296,265,1,1,0,0,246.3237,429.1117,8523.4428
480402477,314,266,1,1,0,0,244.7448,434.2677,7715.3284
997633399,340,296,1,1,0,0,245.8164,507.2064,8862.3353
1737684753,328,281,1,1,1,0,244.0907,382.0650,8980.0453
900231760,326,284,1,1,0,0,249.6069,437.7071,8626.1747
125607226,318,274,1,1,0,0,242.7906,373.1516,8597.0308
370980573,318,278,1,1,0,0,240.0783,442.9870,9148.4756
1071395006,318,274,1,1,0,0,246.9034,660.7447,8990.6858
344742393,355,286,1,1,2,0,238.9898,417.9834,9344.1059
1711471659,303,270,1,1,2,0,235.3632,549.5384,8686.4951
902273373,322,294,1,1,0,0,234.8505,437.0163,9156.6442
2114491297,307,275,1,1,1,0,236.8787,412.8221,8705.1399
1085714994,303,285,1,1,0,0,234.6362,528.2578,7688.4641
653135655,313,274,1,1,0,0,235.0362,367.1868,9144.1870
426392364,294,272,1,1,0,0,239.4815,373.2554,8415.6739
1791441602,328,289,1,1,3,0,236.8365,539.5233,8698.0041
1678038082,335,273,1,1,1,0,237.2486,386.2584,8341.9858
1746839362,364,283,1,1,1,0,242.6085,464.5679,9111.1803
1467420220,306,288,1,1,0,0,239.1073,452.5950,9238.9379
1347499789,315,284,1,1,0,0,234.6617,440.9890,8681.7261
1844009866,323,287,1,1,0,0,236.8389,439.7162,7706.8425
964224227,305,272,1,1,5,0,238.5233,586.6469,8405.7892
1816820874,358,282,1,1,0,0,233.1269,430.8364,8549.1396
112280045,321,276,1,1,2,0,233.9341,475.0583,9282.9471
1636621137,380,300,1,1,1,0,241.4600,616.2548,8621.0335
1728268513,316,277,1,1,1,0,238.9607,448.1154,8588.2246
459530706,345,276,1,1,0,0,234.5791,437.3429,9184.3765
838465176,328,280,1,1,0,0,233.2846,460.5501,9216.1240
1793011860,305,272,1,1,1,0,234.4933,512.8014,9644.2648
1549995791,326,270,1,1,0,0,234.5597,597.8745,9521.6209
1997497355,340,280,1,1,0,0,245.8995,585.2683,8870.1197
1675177671,351,288,1,1,1,0,238.4069,391.5945,9915.6918
1124314649,356,294,1,1,3,0,253.0086,558.0934,8243.9740
740257885,330,285,1,1,0,0,242.4697,581.6522,10177.3253
2018238131,312,282,1,1,0,0,257.7055,376.0913,7978.3290
594278381,315,291,1,1,1,0,242.7236,444.9093,8991.8416
971313653,358,288,1,1,2,0,235.1956,583.3908,8176.4059
1742174868,308,280,1,1,1,0,241.8368,535.2732,9006.8962
2118134355,318,286,1,1,0,0,238.3827,444.4200,9457.3736
1582160921,301,268,1,1,0,0,242.8477,577.3570,8705.6595
1398215895,303,273,1,1,0,0,263.4059,363.4929,9200.7790
699436866,337,288,1,1,0,0,249.4838,591.6113,8264.3992
856828466,339,286,1,1,0,0,260.8235,453.0482,9240.8203
2134786181,310,277,1,1,0,0,246.1831,446.0245,8144.7672
917850247,326,283,1,1,3,0,234.3249,576.4415,7859.7014
1213694020,326,296,1,1,0,0,251.2200,539.7654,9315.2212
2036375710,318,273,1,1,0,0,253.5654,376.4848,8060.8506
1903469492,336,279,1,1,0,0,254.5903,375.4740,8280.5422
1799501480,330,290,1,1,0,0,253.8916,466.2731,7820.3523
214864269,309,281,1,1,0,0,238.7207,535.9100,8868.6481
1521491519,329,288,1,1,1,0,236.7433,379.5083,7960.6251
601545119,316,274,1,1,0,0,234.3378,362.8235,8088.3633
2143090743,341,291,1,1,0,0,233.7888,456.5350,8692.2597
1344165696,319,287,1,1,0,0,234.6601,543.2546,8447.4487
1116425601,347,298,1,1,1,0,234.8863,395.3211,8971.9322
1987247879,322,279,1,1,0,0,234.9770,447.9789,8910.7107
1826455504,340,289,1,1,1,0,234.2837,399.6962,8682.0789
868505568,316,270,1,1,0,0,234.4809,434.0213,8112.3470
725777596,353,281,1,1,0,0,234.1758,377.4342,8139.2024
1976356552,348,287,1,1,1,0,234.4467,521.3393,7933.9070
1325473251,323,297,1,1,4,0,234.2697,465.1859,9529.5422
332552622,333,287,1,1,0,0,234.5530,443.3782,8443.2195
1117546280,318,276,1,1,0,0,245.0167,581.1909,8598.9139
1702328081,323,282,1,1,0,0,248.5453,506.1267,7749.6492
99687760,338,283,1,1,1,0,243.7118,383.4414,8827.9491
1839001939,306,275,1,1,0,0,235.8152,366.8756,8836.1574
1743730017,308,276,1,1,0,0,240.4869,453.5016,10129.1273
986863757,313,269,1,1,0,0,236.1957,442.0120,8800.1870
1482196979,316,279,1,1,0,0,235.0475,433.1138,7797.7597
549319355,353,297,1,1,0,0,234.3958,465.1065,8837.1987
2049291930,318,283,1,1,0,0,237.2508,571.6757,8543.9873
593231028,320,286,1,1,1,0,242.5309,530.2794,9273.7045
12847945,318,265,1,1,0,0,235.8672,726.4490,7901.1183
590496808,326,283,1,1,1,0,233.1323,532.0786,9929.0645
1862716714,318,284,1,1,0,0,234.8440,512.0165,9366.6267
191512682,300,273,1,1,0,0,232.7419,373.4083,8165.6577
1850872579,326,281,1,1,0,0,233.3865,510.8997,9316.6300
1391524050,327,294,1,1,0,0,232.8272,522.3850,8813.7337
712223826,354,283,1,1,0,1,232.6660,366.3995,8063.1587
1713148210,342,293,1,1,1,0,233.2098,512.4235,7929.0329
1790541552,294,268,1,1,1,0,233.7892,511.0160,7951.4436
1761636949,313,270,1,1,1,0,232.1382,436.6222,10473.3674
1099595713,348,286,1,1,0,0,232.2093,518.9011,7448.1750
462177874,361,294,1,1,0,0,244.1288,367.4820,8415.1878
196067902,312,287,1,1,0,0,243.6510,431.2051,9713.1717
1861058544,355,291,1,1,1,0,243.2468,583.0079,8752.7902
881580220,344,295,1,1,0,0,244.7392,438.5416,9138.1764
1387175565,325,281,1,1,1,0,243.6897,457.5557,8300.1525
1038312863,355,286,1,1,0,0,245.4117,438.9526,8295.5455
956657768,313,269,1,1,0,0,243.1036,380.0585,8500.9529
593433248,327,289,1,1,0,0,245.5969,439.6491,9001.8711
840532200,333,290,1,1,1,0,244.7365,522.9840,9210.6564
1217824235,356,288,1,1,6,0,244.7177,504.9061,8280.2264
677706738,317,280,1,1,0,0,245.9398,371.5791,9273.8264
1554054659,325,294,1,1,0,0,245.2179,379.6492,8771.6338
874752049,341,271,1,1,3,0,245.5984,488.2248,9747.0220
1634095142,328,292,1,1,0,0,246.2479,445.9237,9528.5379
584332353,325,279,1,1,2,0,244.5249,589.4257,9374.1547
1379091327,350,277,1,1,6,0,244.5964,669.0327,8010.1266
1933102014,279,266,1,1,0,0,245.0574,373.2162,8637.7111
1216182499,312,280,1,1,0,0,245.4239,443.9940,8454.9070
1174503985,301,279,1,1,3,0,244.1412,542.5002,8340.9953
2131166388,342,284,1,1,1,0,244.6801,454.1211,9397.9304
1041200886,281,259,1,1,1,0,243.6236,437.6594,8735.5074
1572917119,332,280,1,1,0,0,244.0413,645.6394,7898.6516
749641776,308,285,1,1,1,0,244.6797,525.2700,8762.6349
943067811,352,298,1,1,0,0,244.2519,515.0387,8911.5800
1348241763,311,273,1,1,0,1,245.4386,460.2215,8802.3764
1317824248,331,278,1,1,1,0,249.1371,477.2913,8050.4873
1284618541,341,293,1,1,1,0,245.2264,515.6145,7460.6339
230905401,300,269,1,1,0,0,244.1777,445.6677,10231.2287
1820364393,357,292,1,1,1,0,244.6302,456.8008,9092.5392
1609757449,295,265,1,1,1,0,243.6444,443.8919,7802.7774
822386695,312,280,1,1,0,0,245.2153,524.5602,8167.1909
1849780878,317,281,1,1,0,0,245.4417,439.8144,8882.4578
1297304750,316,286,1,1,0,0,246.0764,429.5479,7655.1020
940653670,367,285,1,1,0,0,244.6433,451.8825,9518.7189
1552333005,324,284,1,1,1,0,244.8253,371.7435,7513.4714
325912618,311,289,1,1,0,0,248.7463,595.8561,9514.1561
198640521,310,277,1,1,0,0,245.8484,372.7184,8611.9167
414331280,303,277,1,1,0,0,244.8918,530.3365,9447.1873
108721377,325,281,1,1,0,0,232.0532,445.4791,10098.2618
344094550,303,269,1,1,1,0,232.0223,519.9415,8041.2664
984536858,347,291,1,1,0,0,232.6927,452.6181,9173.4055
2053259427,337,286,1,1,0,0,233.0108,580.3141,8821.0909
1246167837,303,269,1,1,0,0,232.6958,439.2023,9205.5223
1372404275,341,304,1,1,0,0,232.4166,373.1292,9549.9214
272222319,291,265,1,1,0,0,238.6987,610.2463,8293.4661
1981293077,296,277,1,1,0,0,233.8862,435.5147,7781.8018
235755744,334,286,1,1,1,0,243.8249,473.0509,9493.5491
127588659,302,274,1,1,1,0,248.2486,374.1500,9222.4952
645106194,329,288,1,1,0,0,236.3209,510.1508,9229.4559
1330890336,326,275,1,1,0,0,251.5896,506.2218,9050.5147
2095733641,333,294,1,1,1,0,254.8240,518.7549,9082.3575
2113084728,340,287,1,1,0,0,255.3971,575.8532,8196.1814
1422849280,315,281,1,1,0,0,258.6831,583.5378,9382.9436
672873799,333,283,1,1,0,0,252.9604,365.8901,8875.9954
736604725,342,288,1,1,1,0,255.8362,456.4639,7701.9075
21079486,323,283,1,1,0,0,252.6064,595.9535,7878.7601
1989909966,321,279,1,1,0,0,255.2683,1470.8986,9598.8242
1206569914,354,308,1,1,0,0,233.1519,592.3614,8071.4966
105376077,316,285,1,1,1,0,233.9776,447.1187,8979.8053
614014684,327,274,1,1,1,0,254.5488,454.8587,8850.6198
208880746,310,274,1,1,0,0,241.0897,440.7801,9092.9843
2086540383,331,275,1,1,0,0,243.7757,378.9279,9002.2379
915069709,296,280,1,1,0,0,244.2597,506.1902,8925.6128
484678993,329,295,1,1,0,0,244.6451,524.0629,8983.4808
202809164,310,264,1,1,1,0,244.4113,525.0514,9957.0951
283793577,350,298,1,1,2,0,241.0206,486.8113,8709.2815
118209301,333,294,1,1,0,0,239.9873,504.6241,8963.9147
2128306525,356,278,1,1,1,0,239.4440,411.0410,8838.2029
1476259002,354,285,1,1,0,0,249.0490,433.8882,9060.9578
76415796,347,291,1,1,0,0,248.9580,465.9059,9972.4575
1314336176,324,283,1,1,1,0,260.5005,615.4969,8945.8046
389372157,335,277,1,1,0,0,253.8693,361.4597,8888.3197
1878580525,312,281,1,1,0,0,256.0638,523.2527,7909.6710
290324061,297,267,1,1,0,0,262.5871,502.5308,7778.5616
1413686348,341,300,1,1,0,0,248.9687,375.9086,8381.7397
962906778,317,293,1,1,0,0,237.8127,369.0249,9584.3385
1554253658,314,274,1,1,0,0,245.1634,655.4625,8324.9441
2010210021,337,284,1,1,2,0,237.9297,542.1940,10148.2538
1529654398,357,292,1,1,1,0,235.8871,441.1265,8243.9912
593111216,382,303,1,1,1,0,249.3281,541.3933,9572.5830
1151522457,314,290,1,1,0,0,238.5445,439.5938,8107.6415
2133371483,297,258,1,1,0,0,235.4906,357.8550,7993.0515
650071075,337,282,1,1,4,0,236.9233,433.9089,7726.0065
146729810,319,270,1,1,0,0,243.3799,593.7192,9112.9115
794363332,363,287,1,1,0,0,244.0464,520.2518,7836.4036
862452694,339,299,1,1,0,0,235.8872,385.7541,9116.0623
172143002,321,294,1,1,0,0,243.4624,576.7488,10554.1183
1794046082,343,287,1,1,1,0,250.0451,426.1470,8489.0792
