inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1514395415,299,255,1,1,0,0,354.5077,882.9399,17210.8563
397023230,298,266,1,1,0,0,334.8113,1046.4268,17868.4739
854130406,289,249,1,1,0,0,357.3579,1218.5198,13502.8243
148989325,297,263,1,1,0,0,339.6385,890.1630,17718.7927
1318383646,300,246,1,1,0,0,339.4885,915.3253,16438.3680
906795881,308,265,1,1,1,0,352.6357,1052.7024,15938.8778
1915830520,293,255,1,1,0,0,336.6790,904.9995,16304.9624
1141257445,290,255,1,1,0,0,352.1220,871.9396,20123.5766
549110509,285,259,1,1,0,0,369.0475,947.5943,16842.7272
409145137,287,252,1,1,1,0,359.0946,1101.5046,16206.5873
2062834378,286,263,1,1,0,0,352.4687,894.5856,18971.9429
926764504,283,252,1,1,0,0,362.8502,899.1410,16368.7446
1117457343,318,257,1,1,0,0,355.4991,945.6434,17576.9521
1072700100,265,249,1,1,0,0,343.7393,865.0732,14587.8307
1626410660,265,244,1,1,0,0,363.9400,986.6403,17849.1021
129387931,288,254,1,1,0,0,371.9855,976.9623,12166.5042
720332998,292,250,1,1,1,0,324.1095,1024.9546,14452.5518
1193133229,266,240,1,1,2,0,358.4589,881.8714,18806.3452
1551289679,293,248,1,1,0,0,343.2182,845.4698,13576.2631
1989617051,280,258,1,1,0,0,384.4656,973.5598,23127.2253
654166279,303,266,1,1,0,0,346.9327,985.2747,15846.8487
546085108,293,254,1,1,0,0,346.7394,933.6150,13461.8290
720759630,272,248,1,1,0,0,320.2501,954.1522,16181.0809
2088302351,298,260,1,1,0,0,316.9693,937.1380,19747.3893
1737614972,290,261,1,1,0,0,316.3376,1009.1103,16925.0518
2041801789,261,236,1,1,4,0,302.1774,1112.9461,15414.1234
1890607108,271,238,1,1,0,0,317.5708,949.1371,16265.2625
1548894707,282,248,1,1,0,0,323.3498,861.8478,16920.3220
875759280,282,245,1,1,1,0,305.3913,949.9750,17104.4953
2022198427,278,254,1,1,0,0,315.3324,853.5624,13997.0280
960460137,301,270,1,1,0,0,319.7715,907.5762,14343.5875
1731648822,296,254,1,1,1,0,305.9059,1040.3754,14632.1374
1776742500,294,244,1,1,0,0,317.4016,904.0478,13520.6799
257763261,291,255,1,1,1,0,316.5581,882.6127,15497.6284
1940031408,283,249,1,1,0,0,306.7165,961.9906,17926.2958
1733540723,291,251,1,1,3,0,299.3293,849.1500,18749.6438
264254940,282,254,1,1,0,0,293.6324,838.8165,15966.2459
1890587392,287,251,1,1,0,0,323.6663,1070.5222,22957.5109
2001472007,279,257,1,1,0,0,346.1805,832.7188,15164.8883
1923201727,258,237,1,1,1,0,331.0430,941.6617,16760.3836
1370682416,289,264,1,1,0,0,334.2115,1011.3869,15479.1464
1121372332,287,251,1,1,3,0,334.0708,898.4895,17158.6987
999255986,293,252,1,1,0,0,326.8441,935.7987,14261.2576
1412688676,296,253,1,1,2,0,327.4020,936.4895,18126.6467
138547900,316,256,1,1,0,0,325.8322,835.5306,16562.7119
1736010214,256,234,1,1,0,0,317.8820,906.2671,18289.6120
1755795230,281,243,1,1,0,0,330.0809,1006.4412,15868.6475
474979049,274,238,1,1,0,0,335.5008,819.2797,17843.3359
495749478,279,245,1,1,0,1,326.5479,909.9620,15859.3977
489207067,273,242,1,1,0,0,326.3818,913.0239,14716.3314
272307508,280,249,1,1,0,0,332.6849,827.1231,18815.5293
1563544959,277,250,1,1,1,0,335.8195,852.1853,14329.5006
444862044,286,254,1,1,0,0,327.6769,815.2123,14321.3690
644912201,290,252,1,1,0,0,331.9158,825.7405,18400.2152
1658554878,296,252,1,1,0,0,333.7039,912.8043,13745.2141
