inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
121274997,319,309,1,1,3,0,957.6371,601.2502,28343.7281
1153498414,303,289,1,1,0,0,949.4746,666.9626,29335.7782
132208855,290,288,1,1,0,0,900.0597,676.3711,33753.4102
885512867,272,274,1,1,0,0,962.1771,657.8047,27691.8545
1475474274,315,305,1,1,1,0,973.3923,715.0113,29679.4109
1180791587,320,303,1,1,0,0,944.6742,734.6584,28502.8326
1421318138,313,297,1,1,1,0,3121.2332,794.4791,34293.4037
897213163,302,297,1,1,0,0,958.4718,600.2512,40125.9864
298565590,304,291,1,1,1,0,984.1779,811.3004,32493.0551
1483978088,298,292,1,1,0,0,988.9171,651.8409,30861.7308
1489086940,307,305,1,1,1,0,971.6369,614.6778,28427.5187
1530789952,310,299,1,1,0,0,962.8149,658.7041,34588.2533
1311264337,316,311,1,1,1,0,962.1824,694.4990,33593.5042
1909885862,313,291,1,1,4,0,964.6683,643.8943,27553.5955
1042116987,316,290,1,1,0,0,973.8673,719.7107,26923.8073
483136980,311,288,1,1,0,0,976.4936,789.1844,31137.3060
269601715,300,293,1,1,0,0,986.2017,609.7377,32684.8225
1563017469,317,297,1,1,0,0,971.7491,727.1683,28449.3364
1235187647,312,303,1,1,1,0,992.0446,702.6282,25561.9107
958076614,331,308,1,1,3,0,980.0233,750.5043,32029.6193
1448583282,315,298,1,1,0,0,947.7622,724.3559,27942.5983
312975818,299,294,1,1,0,0,979.1759,735.3439,28819.1874
86052005,320,302,1,1,4,0,990.0491,764.6391,36602.7438
2085119730,302,300,1,1,0,0,967.4806,757.5123,28887.0161
664049022,308,298,1,1,0,0,1003.1340,755.7105,31043.0848
1043757610,293,294,1,1,0,0,979.7599,668.8903,32161.7618
558075410,299,293,1,1,2,0,952.8153,817.0581,30386.4250
1475115664,302,293,1,1,0,0,988.5555,601.5729,33868.4289
441657123,307,295,1,1,1,0,986.2532,731.6393,28961.2611
855404017,295,292,1,1,0,0,954.6507,664.4029,37166.1912
719816046,307,292,1,1,2,0,932.6869,849.0035,31522.5849
1967574731,303,296,1,1,1,0,948.1310,600.7698,34000.0558
2103901630,315,293,1,1,3,0,975.6745,780.4259,38982.2256
635866389,306,291,1,1,3,0,944.1908,783.8299,28335.5527
4525186,297,285,1,1,0,0,946.6219,690.2517,35543.4902
1744789138,316,295,1,1,4,0,961.0162,811.7946,28314.6498
18775625,294,291,1,1,0,0,932.7202,594.6069,32658.4958
284121040,304,300,1,1,1,0,963.0677,665.1870,28137.3351
889300253,317,291,1,1,0,0,994.8759,613.4212,27376.6319
197010796,306,296,1,1,0,0,1014.3405,601.9027,28698.9510
1557357036,338,299,1,1,0,0,959.7722,692.4877,35077.2250
2128221766,309,298,1,1,5,0,949.5145,908.3664,27339.4151
265020225,312,298,1,1,1,0,945.1347,835.0486,34492.4441
2023673217,300,286,1,1,1,0,944.5058,706.0448,28356.3643
375119175,298,293,1,1,0,0,952.7913,674.8690,29731.5936
1608896216,320,306,1,1,0,0,962.2382,759.1280,31671.5205
1469793145,300,289,1,1,0,0,940.0462,689.0855,37124.0934
1035840660,320,304,1,1,0,0,920.1277,676.2987,31295.2553
1814675505,326,297,1,1,5,0,928.9699,841.4436,30122.6909
1772333224,312,306,1,1,0,0,930.9132,623.2304,33698.4829
1440163305,301,292,1,1,1,0,969.7329,722.1778,32461.3824
230005213,314,306,1,1,0,0,923.8469,674.4649,33724.3832
2000693614,309,296,1,1,0,0,943.2230,609.4026,35498.5942
992877460,312,303,1,1,1,0,987.5604,755.2212,36388.2975
1265044680,315,306,1,1,0,0,972.7572,690.2142,31417.8604
1181651146,302,296,1,1,1,0,939.7217,634.7677,24793.9016
1988805459,316,296,1,1,0,0,924.4264,606.4770,28727.5601
1339574956,325,309,1,1,1,0,962.7790,723.6415,33694.4976
1779756705,324,309,1,1,3,0,971.2178,875.6600,27731.6538
236287770,328,311,1,1,0,0,968.8562,749.5123,28247.1877
1059119565,324,300,1,1,0,0,958.0311,617.2839,33705.5144
51817358,313,306,1,1,0,0,964.7309,745.6709,27270.3415
1101564524,321,312,1,1,1,0,975.4903,842.2304,32670.8421
1957300833,321,293,1,1,3,0,964.5313,804.8957,32112.2389
2102842348,309,298,1,1,0,0,970.0965,770.1079,32273.3802
1877302714,315,304,1,1,0,0,957.5599,620.7118,30105.7593
1911171249,319,300,1,1,0,0,925.8835,670.2047,28127.5872
828962776,299,285,1,1,0,0,952.0395,617.3345,32468.5165
640509466,300,294,1,1,1,0,955.6834,653.0237,28249.1428
1403458878,326,311,1,1,3,0,966.2877,632.7025,36489.6028
1102368864,318,306,1,1,1,0,955.2930,707.2820,29970.7358
1101262793,296,293,1,1,0,0,966.5540,610.4194,28430.8533
842250574,317,306,1,1,2,0,945.2732,731.0847,38385.8405
225552757,324,304,1,1,0,0,959.2650,689.6230,25915.0523
1625612321,312,296,1,1,1,0,946.3855,690.7688,26012.1548
120727432,315,293,1,1,1,0,976.5182,649.8268,30203.3313
1228703228,319,302,1,1,3,0,969.1757,817.9012,29794.7263
743646191,306,302,1,1,0,0,973.8379,664.3251,28158.3229
1980054255,318,310,1,1,0,0,962.4297,609.2484,33084.4190
1437452513,304,300,1,1,1,0,982.1313,765.2321,34266.4247
1019651309,305,300,1,1,0,0,963.0276,675.8819,32080.3964
942650831,293,292,1,1,0,0,978.8342,619.7375,35148.6580
1377005922,333,310,1,1,0,0,967.8678,771.3002,27226.5964
2053013838,320,293,1,1,1,0,961.7687,622.4631,33281.6923
7604209,301,295,1,1,0,0,959.4884,616.0725,34412.1714
1524572180,335,302,1,1,1,0,963.9152,613.0203,30283.3737
1011832384,328,303,1,1,3,0,948.3817,774.4756,27883.6156
1950257361,299,290,1,1,1,0,953.4961,701.6337,30491.7159
587908686,313,290,1,1,3,0,946.9479,732.1441,29254.4569
1941343268,312,307,1,1,1,0,947.4919,683.5730,32584.1973
701262703,319,303,1,1,1,0,962.8646,611.7485,31898.7345
121594943,298,292,1,1,1,0,955.9221,798.1509,35300.9693
614633707,298,295,1,1,0,0,942.3004,674.4080,31471.7604
1827466480,313,297,1,1,0,0,975.7705,636.6117,30158.5053
956948314,316,302,1,1,0,0,951.4441,750.3622,30747.5971
1129649921,308,296,1,1,2,0,972.7182,730.8466,25782.5703
50558818,312,301,1,1,1,0,972.6498,936.7740,28848.9123
253537661,301,291,1,1,1,0,989.8201,775.7339,27027.5932
432444311,307,296,1,1,0,0,969.4135,689.2541,29084.4260
1199527319,317,304,1,1,1,0,954.5954,741.6917,36094.3982
