inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,148,129,1,1,1,0,60.8324,224.5889,1878.6248
505628541,164,142,1,1,0,0,45.5361,338.5729,1366.6386
797596457,182,148,1,1,0,0,52.6158,247.2447,1469.6437
2035793211,171,145,1,1,0,0,50.4630,342.6132,1540.5836
1894077978,165,147,1,1,0,0,47.5085,250.4807,1452.0674
519748837,182,149,1,1,0,0,49.3158,340.2223,1616.3167
21277857,202,169,1,1,0,0,46.0157,258.8892,1497.8147
1710451381,185,156,1,1,0,0,47.2317,343.5050,1458.1112
2007519886,212,166,1,1,0,0,50.4086,246.8342,1693.2168
1030670531,174,150,1,1,0,0,46.0724,244.2034,1632.3401
322137773,185,160,1,1,0,0,46.1347,336.7078,1531.5377
689566352,173,152,1,1,0,0,43.0923,336.9194,1420.4233
1469142020,162,142,1,1,0,0,58.2441,346.3985,1665.7820
797339142,162,143,1,1,0,0,46.4223,247.2149,1538.7429
1694983470,181,166,1,1,0,0,52.6064,326.2087,1752.4810
1750907626,165,153,1,1,0,0,52.1640,324.2293,1843.6885
755829249,169,151,1,1,0,0,48.0299,245.9024,1402.6872
1325310543,161,154,1,1,0,0,51.6223,256.1413,1533.6391
798533364,171,152,1,1,0,0,46.5385,244.4473,1620.4787
1679431852,159,151,1,1,0,0,43.9078,244.3944,1395.7542
232569757,179,158,1,1,0,0,44.1042,249.7928,1525.0811
757494092,163,143,1,1,0,0,47.6882,253.1434,1409.4723
244395394,172,150,1,1,0,0,43.1527,248.7170,1594.6654
517341472,175,145,1,1,0,0,49.9662,245.8797,1538.3939
1904385271,199,172,1,1,0,0,44.3764,267.1175,1688.8150
1391722606,184,154,1,1,1,0,48.4757,248.5910,1586.2054
776181813,162,138,1,1,0,0,48.8384,340.1696,1572.7865
1377699324,206,163,1,1,0,0,45.7244,246.0611,1626.9791
1087515030,168,145,1,1,1,0,45.2070,249.0317,1486.6697
909477809,169,156,1,1,0,0,43.5110,253.7292,1486.6879
2109625957,158,146,1,1,0,0,59.1238,246.4306,1386.6634
350656507,171,142,1,1,0,0,49.9991,257.1916,1642.9564
817732023,170,147,1,1,0,0,49.3304,269.9521,1467.7720
1478867520,184,153,1,1,0,0,48.3414,245.9915,1497.7121
848393533,160,146,1,1,0,0,44.9072,243.1356,1605.5280
1863852282,179,151,1,1,0,0,43.4931,259.5858,1721.9214
141896490,174,152,1,1,0,0,43.8475,251.9479,1433.6277
463544342,163,147,1,1,0,0,44.0228,246.9485,1504.4283
776803259,143,128,1,1,0,0,44.5636,416.4370,1605.3069
266654143,160,145,1,1,0,0,45.8988,245.0646,1532.6915
1751832830,180,159,1,1,0,0,44.0500,242.1490,1430.5211
338382071,179,156,1,1,0,0,44.3869,331.1651,1478.1689
2117091728,180,165,1,1,0,0,47.4520,244.3424,1499.6004
589533569,175,148,1,1,0,0,48.7380,327.4335,1611.6011
1460234499,156,145,1,1,0,0,53.5914,245.4781,1475.3876
753060086,185,158,1,1,0,0,49.0882,252.1652,1508.9081
417753672,172,151,1,1,0,0,43.8844,242.6814,1556.5744
1009205675,176,153,1,1,0,0,45.3743,255.4845,1647.6183
1644453309,163,146,1,1,0,0,43.8174,245.3958,1554.9404
1923901314,175,164,1,1,0,0,44.8670,246.9221,1712.7988
1488152001,180,164,1,1,0,0,46.9888,244.0576,1789.8271
1541033487,207,171,1,1,0,0,49.3137,426.2534,1508.4738
1780649109,153,139,1,1,0,0,44.0131,248.2820,1570.9345
560089642,185,168,1,1,0,0,45.5232,247.2498,1538.1931
1313768928,166,158,1,1,0,0,43.3688,243.8260,1625.2980
1168861801,198,159,1,1,0,0,43.5522,340.5566,1404.5943
2122631245,182,164,1,1,0,0,51.6258,247.2295,1764.7944
1825736765,177,158,1,1,0,0,46.2776,338.8701,1453.8461
1151790945,152,144,1,1,0,0,43.8996,327.1401,1555.3784
547472299,163,148,1,1,0,0,43.1496,245.0413,1665.1742
460045118,165,152,1,1,0,0,44.2641,245.8376,1508.4313
1550986770,153,144,1,1,0,0,45.9600,325.7249,1598.2712
1103899493,201,160,1,1,0,0,43.8507,346.8175,1457.3080
1190015605,190,166,1,1,0,0,45.1591,246.8163,1454.5858
914695426,161,151,1,1,0,0,45.1581,251.4014,1753.5208
1057041588,135,126,1,1,0,0,45.6738,255.2231,1515.4522
1667503023,151,130,1,1,0,0,43.3388,242.5508,1605.1480
720669986,165,147,1,1,0,0,45.4215,323.8565,1697.0272
1548183416,183,160,1,1,0,0,48.1395,252.4499,1522.4170
2117148771,173,153,1,1,1,0,43.6682,245.7227,1512.8711
1238145702,179,159,1,1,0,0,48.6331,258.4399,1459.4796
1517678363,168,149,1,1,0,0,45.3261,249.7356,1631.0288
949168523,178,168,1,1,0,0,49.1868,234.1174,1604.3449
588188226,151,141,1,1,0,0,43.2548,245.9225,1851.6301
1796334885,149,140,1,1,0,0,45.6898,347.8208,1710.9154
1057186015,179,148,1,1,0,0,43.0801,247.7367,1650.3051
1089619190,183,157,1,1,1,0,42.3149,262.2715,1509.2647
922389281,155,144,1,1,0,0,44.5193,246.3370,1515.6685
1151965810,163,151,1,1,1,0,46.0964,351.3882,1338.1882
1081553316,177,148,1,1,0,0,48.2802,241.6869,1459.0134
1307761068,180,156,1,1,1,0,45.4460,250.1135,1449.3996
537384931,158,153,1,1,0,0,44.7342,221.0253,1813.5733
691761703,208,165,1,1,0,0,47.5091,250.7399,1557.6933
541568297,190,152,1,1,0,0,46.0927,254.3975,1694.2536
215535636,168,147,1,1,0,0,43.7278,338.4613,1466.7834
920355235,187,167,1,1,0,0,44.4572,220.8503,1490.4035
1344633394,186,162,1,1,0,0,45.7933,246.9514,1634.1543
1419100708,170,148,1,1,0,0,46.7734,252.0206,1383.6711
579867935,163,151,1,1,0,0,48.8273,245.1625,1517.8387
1243231459,190,140,1,1,0,0,44.2350,243.4825,1576.2573
1109061197,217,175,1,1,0,0,43.1231,418.2554,1587.0333
1341295882,178,161,1,1,0,0,43.7898,254.5424,1439.4832
1818369884,166,154,1,1,0,0,46.9047,335.3971,1477.9674
1369605050,188,166,1,1,0,0,49.7107,254.7582,1692.4291
124822658,177,155,1,1,0,0,44.4455,246.5019,1493.7929
1346091797,182,152,1,1,0,0,44.2356,245.3122,1429.4263
1848174138,165,141,1,1,0,0,45.6600,246.0531,1413.2891
43329993,191,173,1,1,0,0,43.7519,249.1445,1613.1223
1083942938,158,144,1,1,0,0,48.9948,243.0800,1434.3419
