inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1985700800,197,175,1,1,0,0,273.3795,482.4462,15031.5609
1244723380,204,185,1,1,0,0,245.2794,446.6991,8920.6199
1416237911,210,187,1,1,1,0,253.7009,488.6755,8095.0562
2011432984,216,192,1,1,3,0,253.6261,459.3485,7939.7151
2044952472,209,185,1,1,3,0,242.2178,529.7093,7469.1388
1627271873,212,193,1,1,0,0,227.1351,471.3603,9609.7125
1144156699,190,187,1,1,0,0,230.1526,430.6240,17199.2874
13305307,209,190,1,1,1,0,236.2083,480.7889,7313.9821
2069337836,209,190,1,1,0,0,221.0246,443.9629,6851.4677
1565650554,213,189,1,1,1,0,236.6472,481.7413,18314.8633
1774432654,186,179,1,1,0,0,260.2484,436.4341,8594.2459
528668332,202,198,1,1,0,0,256.9555,440.7051,7638.6384
609031039,197,181,1,1,0,0,259.0102,543.1550,8488.9632
1939850826,219,202,1,1,0,0,248.9796,425.6225,8593.5915
1375751164,218,193,1,1,0,0,241.4509,422.0852,10250.4866
5568015,203,187,1,1,0,0,250.9027,535.7708,7757.0935
24265020,206,181,1,1,0,0,208.4451,439.2469,16677.9462
41766539,196,180,1,1,1,0,204.0866,454.6200,8179.8170
1194041565,196,183,1,1,1,0,219.5995,535.8897,7300.9030
1286101795,205,186,1,1,0,0,210.8794,439.8450,7758.5399
800859335,195,184,1,1,0,0,202.1010,411.0568,8370.3061
1532067486,217,197,1,1,0,0,223.3510,490.9503,8710.6429
203686923,199,184,1,1,0,0,200.2354,431.9730,8171.5828
675637532,200,191,1,1,0,0,200.7011,430.4333,7795.4529
1926200545,212,188,1,1,0,0,196.3251,433.1463,8624.1797
1727955652,222,201,1,1,0,0,212.7399,444.7474,9355.5895
1115534650,207,188,1,1,1,0,193.3851,432.7374,7780.0852
1783165962,189,174,1,1,0,0,195.9795,434.1807,7893.5207
782940233,211,183,1,1,3,0,200.6373,472.1649,8042.9358
953840062,215,192,1,1,1,0,208.4346,448.6912,7216.9718
1729521604,238,208,1,1,0,0,201.1071,429.2062,9249.0550
888889741,193,181,1,1,0,0,202.7244,445.0680,7936.6165
1613807926,237,200,1,1,0,0,199.1551,450.3142,8721.4948
165817984,215,192,1,1,0,0,199.8284,432.9261,8393.7745
2083508952,177,168,1,1,0,0,193.1460,433.9656,8556.6060
