inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1855619727,104,103,1,1,0,0,122.4707,381.6139,2929.6750
410353911,97,97,1,1,0,0,109.4033,382.1529,3039.3534
495163209,113,111,1,1,0,0,106.5778,387.1641,2892.3248
965170465,104,104,1,1,0,0,113.0487,379.5163,4800.7158
409536649,103,103,1,1,0,0,113.9243,379.4731,2993.0043
729140410,104,104,1,1,0,0,118.7963,381.7237,2841.3322
1900497239,107,107,1,1,0,0,111.9681,380.5336,3192.2768
448714133,95,95,1,1,0,0,111.8379,379.9626,3183.2763
1276333978,100,99,1,1,0,0,114.1993,382.4631,2988.9138
1477796737,107,107,1,1,0,0,107.5772,382.7314,5011.0838
582185854,99,99,1,1,0,0,122.8492,380.1389,2849.8590
1451172778,92,92,1,1,0,0,115.8406,384.1676,2890.5670
993011277,110,103,1,1,0,0,115.0011,383.5556,6316.8975
1919049357,92,92,1,1,0,0,104.4538,389.8669,2946.6943
840958186,102,100,1,1,0,0,103.0958,381.4988,5384.2793
2045562195,102,102,1,1,0,0,107.1487,380.6759,3082.3166
2094553,105,101,1,1,1,0,102.3898,391.3057,3157.4709
280919166,106,105,1,1,0,0,105.4825,387.4642,5168.7624
1464875966,92,92,1,1,0,0,109.7587,384.7990,3182.1359
870889029,95,94,1,1,0,0,110.5816,381.1673,2931.1109
1640351285,109,105,1,1,3,0,115.5416,424.9884,5293.9406
961238894,109,108,1,1,0,0,118.6615,383.7343,4885.7634
4938340,88,88,1,1,0,0,114.1504,381.3769,2973.4325
306494845,102,101,1,1,0,0,116.2096,381.5155,2926.3698
881074045,113,109,1,1,0,0,119.6316,383.0947,3156.7144
844826947,96,95,1,1,0,0,131.0200,381.7763,3024.1977
1281234292,109,107,1,1,0,0,126.2175,381.7340,4119.8378
520555991,103,103,1,1,0,0,120.6072,450.0490,3131.9782
266401806,106,106,1,1,0,0,103.7341,388.6518,4308.3463
562450794,103,96,1,1,1,0,103.3040,389.9806,3151.8415
630256308,99,100,1,1,0,0,102.7171,381.2117,3329.6885
1657155324,107,102,1,1,1,0,106.2524,389.7592,4670.0652
1395932050,113,109,1,1,0,0,103.6816,386.3268,4606.3497
448657390,107,107,1,1,0,0,103.6126,384.5957,3228.5071
194276895,106,102,1,1,0,0,102.3256,392.0113,2966.7284
1623245829,111,106,1,1,0,0,101.6844,383.3715,3266.5145
163167001,91,91,1,1,0,0,103.3235,387.3729,2877.1108
640819667,108,107,1,1,0,0,103.1811,385.0419,5023.9883
202667802,108,109,1,1,0,0,102.9786,384.4391,4075.4647
250378079,98,98,1,1,0,0,103.1889,381.6431,2928.2807
284155700,97,90,1,1,2,0,102.9394,393.2005,3126.6894
1139792323,105,102,1,1,2,0,102.5507,395.1587,3059.1011
602171930,105,105,1,1,0,0,103.3723,386.5587,4259.7907
1359325169,106,102,1,1,0,0,102.8054,386.9789,5462.1980
748700315,94,94,1,1,0,0,109.7088,386.2980,2920.5555
1439240236,96,93,1,1,1,0,103.6045,389.9341,3040.7658
1840661763,119,113,1,1,0,0,102.8186,388.3241,4860.3870
1617526643,107,106,1,1,0,0,103.1430,387.0939,3134.6287
974357715,96,96,1,1,0,0,103.3957,382.9140,3204.4735
1207798414,102,102,1,1,0,0,104.7302,385.7075,2917.7496
1809748464,105,105,1,1,0,0,104.4558,387.0214,2982.7570
283092723,87,87,1,1,0,0,103.4950,384.6144,2978.0972
1168803576,109,107,1,1,0,0,103.8746,389.4398,2930.3417
1777773535,96,96,1,1,0,0,104.1047,386.7837,2968.4031
1683845126,92,92,1,1,0,0,103.6878,387.1923,3038.5398
1039885855,102,102,1,1,0,0,103.7893,385.7612,2908.3688
1495017086,118,116,1,1,0,0,103.5475,387.0802,4903.1405
751890186,109,109,1,1,0,0,104.3049,386.2858,3110.8970
2022966873,93,88,1,1,0,0,108.7327,385.9030,3531.9157
1529538889,101,101,1,1,0,0,104.4876,385.2331,3448.9033
343065097,84,81,1,1,0,0,102.9366,384.1300,3039.6609
162327753,108,107,1,1,0,0,103.7395,389.6945,4337.8541
1538420807,98,96,1,1,0,0,102.7908,388.1234,4505.6291
893344168,101,101,1,1,0,0,102.9344,384.5532,2845.2847
1003702740,116,104,1,1,2,0,120.5502,401.9629,3157.0853
1514824138,121,103,1,1,0,0,106.2527,392.0230,3845.7726
1778751556,102,102,1,1,0,0,114.6049,391.6550,2885.5621
1656003688,105,105,1,1,0,0,107.2596,386.8506,5621.1134
1735896736,102,96,1,1,0,0,117.0832,385.7628,3104.8990
1755233975,104,104,1,1,0,0,112.3639,389.5835,3552.0201
1459875880,115,114,1,1,0,0,114.0093,394.4749,5078.7507
331045220,102,101,1,1,0,0,115.0356,387.6986,3502.3195
1632950564,102,102,1,1,0,0,118.2307,389.6969,4963.0425
1919626504,112,113,1,1,0,0,125.7581,386.1678,2862.6379
2000103625,100,99,1,1,0,0,116.3614,457.4511,3101.2582
1324210318,97,97,1,1,0,0,118.4878,388.1645,3243.6921
773101118,106,105,1,1,0,0,104.6495,390.2557,4716.2425
