inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1854995747,296,242,1,1,0,0,106.2815,223.8058,3364.1251
1955837524,329,271,1,1,0,0,91.5137,288.5728,3516.0429
2038909058,491,307,1,1,7,0,92.9066,384.2600,3156.5608
1611037594,331,289,1,1,1,0,96.3785,295.5287,3075.0146
216327365,341,273,1,1,1,0,92.9219,310.1958,2949.7866
1000408499,330,255,1,1,1,0,87.7511,315.3118,2923.7334
1397657270,298,232,1,1,0,0,83.3356,365.3480,3282.7620
1023150163,434,275,1,1,1,0,82.0836,248.5437,2901.1782
8992306,334,268,1,1,0,0,81.7219,377.3969,3045.5344
119489882,330,279,1,1,0,0,81.8525,439.3652,3409.6368
259466337,297,254,1,1,0,0,81.8424,364.3796,3197.2859
1961127832,303,245,1,1,0,0,85.7158,237.4064,2920.9728
1012687335,377,268,1,1,0,0,83.1773,238.7359,2915.5997
554725922,378,289,1,1,3,0,81.2165,318.4375,3455.6962
110856832,345,257,1,1,0,0,84.3812,321.8093,3338.5589
748949391,307,250,1,1,1,0,82.5247,379.0906,3147.7110
31686668,371,276,1,1,0,0,85.6005,517.7347,2783.1836
1055429652,351,265,1,1,0,0,85.6736,229.8269,3039.1741
845508661,329,254,1,1,3,0,86.2721,328.8794,3329.8443
1084935719,394,268,1,1,0,0,85.6880,305.0492,2991.7387
1982000969,279,250,1,1,0,0,85.4077,323.1367,3021.9092
139951898,384,253,1,1,0,0,88.5720,388.0392,3004.6225
845985543,354,264,1,1,0,0,93.2672,297.1466,3315.9387
168524440,314,267,1,1,0,0,93.8244,300.5659,3544.1771
422127055,405,270,1,1,0,0,102.5918,368.0390,3091.1825
81075053,363,265,1,1,0,0,93.7761,240.5333,2851.0725
827786781,391,274,1,1,2,0,92.5526,327.0195,3142.9495
1547292062,330,272,1,1,0,0,90.7470,302.8454,3111.4936
2094431624,307,249,1,1,0,0,104.4544,458.2142,3154.3426
388052245,348,281,2,1,2,0,100.2985,11984.2322,3596.1327
350068327,340,283,1,1,0,0,86.3189,308.0459,3404.1164
118853792,472,305,1,1,0,0,88.5943,305.6474,3241.2011
35185206,372,279,1,1,0,0,86.3074,241.1555,3043.9018
2061210461,371,280,1,2,0,1,87.5625,305.8107,248186.6019
672905649,308,253,1,1,0,0,86.7419,300.7092,3538.0499
1461902804,360,268,1,1,0,0,86.7665,297.4894,3564.0081
115785595,365,285,1,1,0,0,90.1010,312.3229,2960.9489
9700421,343,258,1,1,0,0,86.8997,302.6097,3323.7812
1393325238,362,266,1,1,0,0,91.9805,295.0752,3076.2855
526584546,341,278,1,1,0,0,81.7096,232.8447,3261.0670
920774569,343,251,1,1,0,0,90.6838,297.6467,2986.4932
519104816,302,248,1,1,0,0,87.5178,227.2253,3017.6550
1853357941,330,279,1,1,0,0,89.3113,233.8752,3167.2275
2049601698,333,252,1,1,1,0,86.4186,247.0769,2865.9864
276717927,379,255,1,1,0,0,91.5250,239.6537,3182.3542
1345571198,354,274,1,1,0,0,89.1764,465.0875,3417.1880
533845890,344,268,1,1,0,0,90.2552,305.3723,3188.1902
781412090,347,263,1,1,1,0,85.1313,371.7954,3321.2762
1619813860,336,282,1,1,0,0,86.5603,253.6132,3034.0518
393424871,395,279,1,1,0,0,96.3632,244.8397,2966.1689
2087247968,345,258,1,1,1,0,98.1188,248.9040,3555.0830
565761043,350,274,1,1,1,0,90.5983,342.7451,3172.5756
466016699,321,277,3,1,3,0,91.6191,269347.9999,3712.0062
319673620,369,271,1,1,0,0,89.1539,244.8445,3370.3529
1443796530,309,263,1,1,4,0,87.4568,333.2232,3087.1578
908139299,390,291,1,1,0,0,91.2128,297.6985,3130.5961
1385128121,380,268,1,1,0,0,86.3151,296.3334,3142.2909
152818656,300,241,1,1,1,0,85.5668,244.9018,3233.0053
1098025312,367,289,1,1,0,0,86.1194,383.2691,4227.7024
476399681,377,272,1,1,0,0,87.5662,367.5780,3522.6686
598653145,315,268,1,1,1,0,87.8351,300.6008,3303.2638
1105993809,325,270,1,1,0,0,85.4824,236.1805,3177.2188
1931882345,321,272,1,1,0,0,85.7243,294.5275,3205.8741
1015761970,313,238,1,1,0,0,85.9059,372.4705,3046.2008
924644232,332,256,1,1,0,0,85.5657,301.6879,3424.9644
1634890875,310,265,1,1,1,0,86.2869,232.7995,3039.3959
1189264277,409,272,1,1,1,0,86.6380,312.1260,3250.9902
1691816549,376,273,1,1,2,0,86.2762,246.8051,3087.7229
1875671995,393,274,1,1,1,0,85.9518,245.4540,2956.2155
38160805,332,249,1,1,0,0,85.9691,234.7651,3531.2956
1250528234,426,269,1,1,6,0,86.2183,274.7235,3443.4129
1925726798,308,249,1,1,1,0,86.6423,379.0029,2972.6922
362596355,352,288,1,1,0,0,85.4450,242.2799,3150.1059
1092519506,302,265,1,1,0,0,85.4300,248.3448,3337.9874
2064587798,337,252,1,1,0,0,85.3261,327.1557,2945.8641
1193394169,343,251,1,1,1,0,86.1452,317.7357,2824.7550
315115173,346,270,1,1,0,0,89.5160,444.0520,3437.5869
772974026,342,284,1,1,0,0,85.8200,373.4593,3224.7621
770992666,315,270,1,1,0,0,89.8575,380.9478,3110.6602
781439557,303,254,1,1,0,0,91.1349,245.9682,3663.2134
686822566,356,277,1,1,0,0,89.7298,391.3260,2943.0068
1778204181,322,260,1,1,0,0,86.0894,251.0964,3210.7567
1150036550,402,291,1,1,1,0,89.9912,242.8823,3637.9418
768967938,336,271,1,1,0,0,86.8090,320.2014,3632.5292
445483352,295,258,1,1,0,0,88.4954,239.8707,3478.5779
762819574,316,269,1,1,1,0,85.8167,310.6200,3402.7342
391339856,349,273,1,1,1,0,89.3753,239.1308,3070.8819
205530354,334,259,1,1,3,0,87.1986,328.3542,3305.3106
19147790,369,260,1,1,1,0,91.7566,323.7674,3040.1218
1722924135,354,273,3,1,0,0,88.4369,197475.4153,3393.8456
448605817,377,284,1,1,7,0,90.8161,342.2043,3045.1623
599504948,340,282,1,1,0,0,84.0415,449.8223,3402.8660
1185047822,342,290,1,1,0,0,85.3896,231.9800,3067.1108
1261310515,348,270,1,1,0,0,86.4907,365.4889,3129.1599
1390506490,358,268,1,1,0,0,86.6486,320.4964,3427.3601
2084753420,329,281,3,1,0,0,85.7458,144356.0612,3412.2424
1577733315,352,245,1,1,1,0,89.8159,303.1414,2801.5182
1916873842,311,246,1,1,1,0,86.8384,240.3972,2940.4295
1573271018,375,272,1,1,0,0,85.9566,258.2961,3207.2493
665721388,333,254,1,1,0,0,81.7810,306.0225,3239.7129
353614041,316,269,1,1,0,0,81.9732,242.3479,3161.3644
147058612,338,268,1,1,1,0,82.6223,323.5617,3507.6522
1617765974,336,251,1,1,0,0,82.1734,364.0066,3410.8513
2007202369,366,254,1,1,6,0,82.0453,436.2131,3007.4500
923710150,323,278,1,1,0,0,82.1251,222.9207,3522.3406
1237759610,360,262,1,1,1,0,81.5045,448.3587,3245.4756
953446242,385,288,1,1,0,0,85.9858,295.9815,3275.0487
635413538,355,286,1,2,0,1,82.1721,225.7631,256125.4442
395804599,336,276,1,1,0,0,83.0261,244.9787,3434.4823
229867624,333,256,1,1,0,0,81.7690,366.9910,3104.5415
1144717788,387,290,1,1,1,0,82.4739,237.0316,3118.0835
277880221,382,270,1,1,2,0,82.5566,255.5318,3154.7917
1587580723,392,284,1,1,0,0,84.4502,248.2926,3108.1241
1078578033,326,279,1,1,0,0,83.3699,306.8635,2962.6720
1778973569,350,259,1,1,0,0,81.5856,240.8502,3097.8775
2009963153,369,277,1,1,0,0,84.6642,225.7084,3177.7005
957168893,350,268,1,1,3,0,82.8484,473.1521,3322.6326
402864610,299,270,1,1,1,0,82.8421,247.2401,3981.2655
1760926142,395,247,1,1,0,0,85.6650,237.1754,3119.1369
174155775,369,283,1,1,2,0,82.1929,262.5372,3535.1793
364016804,336,286,1,1,0,0,81.5803,313.1498,2912.0873
802260595,307,269,1,1,0,0,81.0008,307.9928,3653.0414
794205160,327,266,1,1,2,0,81.5483,255.3622,3175.3570
141975569,346,258,1,1,0,0,80.8003,236.9214,3459.0872
2101416548,300,259,1,1,0,0,89.9134,392.2279,3453.0007
1006541069,291,244,1,1,1,0,81.0475,312.3466,2771.2805
68294667,334,267,1,1,0,0,81.7276,299.7310,3239.5007
326276329,328,290,1,1,0,0,81.6257,445.9028,3174.6492
202476929,302,254,1,1,0,0,81.3392,384.0142,3212.1505
1368319997,290,251,1,1,0,0,81.0382,251.0017,3076.5971
590548524,379,280,1,1,0,0,80.7148,313.4874,3441.5044
1476338159,347,269,1,1,0,0,81.6893,318.2814,3045.6336
1638324577,410,274,1,1,0,0,81.2860,298.6492,3036.7655
