inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
121274997,321,314,1,1,0,0,963.7800,846.4176,31282.0351
1153498414,305,298,1,1,0,0,957.3659,824.5915,33000.7699
132208855,334,320,1,1,0,0,950.2077,911.8203,31860.9398
885512867,334,327,1,1,0,0,947.6783,836.7593,33994.1249
1475474274,332,325,1,1,0,0,921.4490,755.5418,41183.9251
1180791587,328,317,1,1,1,0,934.0060,847.5734,31150.7433
1094791143,344,314,1,1,8,0,934.8323,1003.6233,34068.1607
1421318138,330,330,1,1,0,0,952.6511,757.0651,36311.9027
897213163,314,309,1,1,1,0,940.2926,874.1719,32896.8217
298565590,336,313,1,1,0,0,933.1704,756.3579,30456.6251
1483978088,334,319,1,1,0,0,918.9817,814.1665,30648.7420
1489086940,331,320,1,1,0,0,932.3343,817.9884,33599.0519
1530789952,334,316,1,1,0,0,925.2627,833.5677,29956.4228
1311264337,337,322,1,1,2,0,936.0198,821.4049,36497.9817
1909885862,343,324,1,1,2,0,951.7713,942.7768,32801.6427
1042116987,347,336,1,1,0,0,948.0248,754.7409,35470.9187
483136980,335,327,1,1,0,0,941.5929,733.6678,29315.4320
269601715,327,311,1,1,2,0,937.9439,806.6666,34367.6070
1563017469,325,317,1,1,0,0,944.2777,776.5743,32536.9121
1235187647,314,311,1,1,0,0,939.1774,812.6745,33141.8338
958076614,338,325,1,1,0,0,932.3911,748.0932,32603.0514
1448583282,332,322,1,1,0,0,931.2597,884.8951,31698.0114
86052005,335,322,1,1,1,0,955.5873,857.8484,35293.4678
2085119730,346,334,1,1,0,0,948.2318,754.9985,36404.4639
664049022,325,314,1,1,1,0,973.9695,777.2055,30263.0914
1043757610,355,335,1,1,1,0,941.7562,848.3609,27799.2582
558075410,331,322,1,1,0,0,977.0513,906.8817,35986.3835
1475115664,332,322,1,1,1,0,952.6173,848.7998,26318.6623
441657123,324,322,1,1,0,0,978.3051,888.4577,25048.8892
855404017,342,323,1,1,0,0,958.6859,816.9777,35682.0355
719816046,332,330,1,1,0,0,986.9540,822.6702,33060.6118
1967574731,343,328,1,1,0,0,968.8472,746.0425,33942.6611
2103901630,354,323,1,1,4,0,971.4402,819.9861,29863.0068
635866389,348,322,1,1,7,0,969.3944,947.0338,26436.5822
4525186,334,321,1,1,3,0,974.6519,849.0718,28340.2146
1744789138,333,311,1,1,1,0,969.9110,838.3197,32697.5489
18775625,328,320,1,1,2,0,961.2211,932.1137,32578.4449
284121040,306,304,1,1,1,0,955.6410,843.7698,30362.9039
889300253,329,312,1,1,1,0,950.5785,835.2301,27521.1407
197010796,325,315,1,1,1,0,974.7687,921.6892,33523.2043
1557357036,342,329,1,1,1,0,974.0236,851.9209,34870.2882
2128221766,326,314,1,1,1,0,968.3817,832.1655,35162.3633
265020225,333,316,1,1,0,0,968.4059,828.9682,30957.9149
2023673217,323,316,1,1,0,0,960.0849,951.7382,25990.4162
375119175,335,321,1,1,3,0,959.0037,1016.4895,35678.4870
1608896216,333,318,1,1,1,0,959.3599,879.6727,32601.7699
1469793145,320,307,1,1,2,0,972.1638,829.0722,31747.2013
1035840660,351,329,1,1,0,0,964.3141,885.6211,28743.5042
1814675505,325,311,1,1,1,0,981.0873,871.4647,25988.8211
1772333224,347,324,1,1,1,0,984.8300,856.0974,29505.0251
1440163305,338,317,1,1,3,0,971.3060,794.8912,30312.7158
230005213,347,326,1,1,2,0,974.1042,816.2605,30537.4164
2000693614,356,335,1,1,2,0,985.1898,832.1181,35484.5276
992877460,357,325,1,1,1,0,972.5150,835.8820,25686.0538
1265044680,331,320,1,1,1,0,973.2093,943.8769,29323.3972
2108989452,341,323,1,1,3,0,982.8240,786.1647,33546.3055
1181651146,337,323,1,1,2,0,964.7624,823.9563,31425.4882
1988805459,327,321,1,1,0,0,946.2324,782.0397,29525.0129
1339574956,345,332,1,1,3,0,1000.9595,924.4348,36992.9457
1779756705,328,315,1,1,0,0,969.8823,746.9107,31176.1768
236287770,315,316,1,1,0,0,974.6736,760.8244,25287.0915
1059119565,329,314,1,1,0,0,975.9245,898.3967,26440.7894
51817358,348,330,1,1,0,0,974.0922,756.7274,40718.0108
1101564524,320,309,1,1,0,0,955.9349,839.9676,31689.9273
1957300833,335,310,1,1,5,1,954.4649,936.1008,28644.2635
2102842348,339,329,1,1,3,0,964.2222,918.6509,32652.5109
1877302714,313,305,1,1,0,0,942.6791,909.0376,31870.7931
1911171249,328,315,1,1,1,0,959.2031,771.5055,26881.5434
828962776,330,318,1,1,3,0,976.4771,834.1980,30013.1730
640509466,328,322,1,1,0,0,921.3823,744.2556,31941.6806
1403458878,316,309,1,1,0,0,943.8002,909.8113,29171.9991
1102368864,332,319,1,1,0,0,968.3163,769.6036,31401.3567
842250574,342,330,1,1,1,0,3104.9734,828.4037,35274.3525
1625612321,335,314,1,1,1,0,1009.4092,836.2408,33469.6549
120727432,329,322,1,1,0,0,961.5268,911.9609,28006.4864
1228703228,321,310,1,1,3,0,974.9820,869.6476,35713.6329
743646191,327,313,1,1,0,0,935.4503,839.6005,26847.1875
1980054255,347,328,1,1,0,0,951.3763,962.1498,31263.3873
1437452513,344,331,1,1,0,0,974.2048,844.3645,32861.3435
1019651309,327,315,1,1,1,0,971.6748,829.3973,29839.2610
942650831,350,333,1,1,2,0,964.7454,775.1407,33768.4868
1377005922,325,320,1,1,0,0,948.1411,825.0945,32979.3361
2053013838,330,315,1,1,1,0,976.9085,883.3785,27813.5399
7604209,326,316,1,1,4,0,971.1324,889.0993,32149.8176
1524572180,328,320,1,1,0,0,1027.1619,967.7735,35204.0439
1011832384,346,313,1,1,1,0,970.3580,877.3237,35492.1759
1950257361,335,329,1,1,1,0,970.6895,1091.5752,31923.1838
587908686,343,322,1,1,1,0,914.3996,843.7112,29853.0983
1941343268,330,317,1,1,0,0,965.8195,844.1405,27944.7847
701262703,325,311,1,1,1,0,949.6186,906.7316,27757.6743
121594943,324,305,1,1,0,0,963.0026,754.1968,32946.4320
614633707,358,331,1,1,5,0,954.1814,969.2937,30033.5336
1827466480,348,331,1,1,2,0,954.7423,860.8114,36277.0227
956948314,323,315,1,1,1,0,973.4068,839.7081,27910.6604
1129649921,333,317,1,1,0,0,971.9185,818.9501,27102.7606
50558818,331,318,1,1,0,0,949.9026,743.4125,32253.2292
253537661,319,319,1,1,0,0,941.1122,834.9469,26683.5391
432444311,327,309,1,1,1,0,965.6312,837.2783,29453.1858
1199527319,340,325,1,1,3,0,959.5917,940.7154,38234.0252
1788609178,311,297,1,1,0,0,966.6080,761.3996,32356.6207
