inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1985700800,175,175,1,1,0,0,238.4618,453.5103,11935.2431
1244723380,186,185,1,1,0,0,223.3486,317.2540,7546.4985
1416237911,188,187,1,1,0,0,228.2310,315.1502,6860.5338
2011432984,199,192,1,1,1,0,253.3047,320.9435,6737.1670
2044952472,186,185,1,1,0,0,229.2826,312.2627,6277.7003
1627271873,200,193,1,1,0,0,224.5177,379.8309,7890.4858
1144156699,191,187,1,1,1,0,217.9072,314.3961,13565.0523
13305307,193,190,1,1,0,0,225.1397,307.0575,6245.7730
2069337836,204,190,1,1,1,0,233.2956,313.4179,5931.1236
1565650554,197,189,1,1,0,0,212.5224,321.8907,14304.8558
1774432654,185,179,1,1,0,0,217.7607,312.9121,7204.7277
528668332,202,198,1,1,0,0,222.4771,308.4589,6425.6745
609031039,184,181,1,1,0,0,220.6465,377.9162,7311.8382
1939850826,201,202,1,1,0,0,232.9851,387.3706,7492.0417
1375751164,210,193,1,1,0,0,243.1685,384.8439,8655.3389
5568015,188,187,1,1,0,0,229.6099,376.7566,6677.1745
24265020,195,181,1,1,0,0,237.0189,311.8626,13470.9642
41766539,185,180,1,1,1,0,239.2188,326.8805,7026.6947
1194041565,191,183,1,1,0,0,245.8366,319.2392,6373.7009
1286101795,189,186,1,1,0,0,240.7614,308.9660,6676.6513
800859335,195,184,1,1,0,0,239.2310,377.8183,7135.1167
1532067486,209,197,1,1,1,0,239.1335,311.7498,7563.4550
203686923,195,184,1,1,0,0,214.2503,312.2066,7056.2957
675637532,191,191,1,1,0,0,229.6179,307.1408,6731.7873
1926200545,190,188,1,1,0,0,216.3718,377.7331,7356.7492
1727955652,201,201,1,1,0,0,214.1689,318.9569,8074.9887
1115534650,190,188,1,1,0,0,220.7523,316.3578,6831.5697
1783165962,180,174,1,1,0,0,218.1512,311.0617,6885.8931
782940233,191,183,1,1,1,0,221.8336,326.2657,6941.0846
953840062,195,192,1,1,0,0,217.8786,314.6271,6356.2647
1729521604,222,208,1,1,0,0,244.3813,318.7653,7877.4458
888889741,186,181,1,1,0,0,244.9664,380.1179,6935.8232
1613807926,200,200,1,1,0,0,246.6433,387.3212,7470.0316
165817984,194,192,1,1,0,0,228.6053,400.1117,7237.7460
2083508952,170,168,1,1,0,0,239.5133,309.3287,7374.1263
1584620834,220,201,1,1,0,0,240.0514,380.4799,10442.6699
788873992,208,207,1,1,0,0,245.9145,313.5472,9821.9926
1490054177,181,179,1,1,0,0,225.9083,325.1362,7031.9768
1853886927,202,196,1,1,0,0,230.0388,318.2967,6902.6434
1450070067,212,206,1,1,1,0,237.7473,384.4184,7676.8688
1043154453,187,185,1,1,0,0,245.3748,323.4524,6945.7040
833651740,210,195,1,1,0,0,240.4992,319.1580,6506.8900
963196573,201,200,1,1,0,0,243.1678,310.7130,7035.0866
550275718,192,179,1,1,0,0,239.0452,314.6690,9133.5821
878645534,196,188,1,1,0,0,238.8863,316.7399,8010.2089
578480814,199,194,1,1,0,0,236.3366,387.2702,6966.0452
1131530820,173,171,1,1,0,0,245.9541,327.3927,12151.4121
897033453,208,205,1,1,0,0,237.3579,318.3166,6484.5728
1144913338,184,182,1,1,0,0,228.7991,311.0648,9722.7928
1983445889,195,196,1,1,0,0,219.7422,328.8660,7938.2625
2062528241,181,179,1,1,0,0,224.4164,319.6403,7349.1632
2117584787,189,184,1,1,0,0,221.8256,453.6338,6842.9896
1801826108,194,192,1,1,0,0,214.5693,389.3586,6272.6019
897299084,198,195,1,1,0,0,241.2826,381.1505,7425.2813
1353490755,192,179,1,1,0,0,240.1415,396.2817,7683.1871
46382601,193,193,1,1,0,0,229.1889,320.7506,12010.5128
1177585667,196,194,1,1,0,0,215.1296,379.5366,7214.5745
508757007,183,179,1,1,0,0,215.6164,378.7989,12466.4295
1880651746,206,201,1,1,0,0,233.3679,319.9145,7837.8681
1187991634,189,187,1,1,0,0,234.4730,318.6730,6953.4718
1425988324,189,187,1,1,1,0,230.2640,338.3941,7221.4591
1080024528,220,204,1,1,1,0,229.5801,346.2207,7491.6868
1262993330,204,199,1,1,0,0,231.0347,379.8477,7757.6521
288600440,179,178,1,1,0,0,213.9636,310.9521,7136.5362
393995152,196,185,1,1,2,0,216.3762,352.8832,10449.8159
335857371,200,198,1,1,0,0,227.0789,332.1549,7643.8809
132917536,181,182,1,1,0,0,226.3737,380.5709,7896.9097
169179811,193,187,1,1,0,0,226.7827,311.8361,7008.5362
47970864,175,175,1,1,0,0,225.3743,317.8062,6650.5445
1883882287,200,193,1,1,1,0,225.7615,326.8322,6178.0621
550605388,200,190,1,1,0,0,214.8823,320.7505,7900.1882
379788472,201,189,1,1,1,1,213.9263,387.7957,7177.7885
802206214,202,192,1,1,0,0,225.9552,322.9339,11625.7525
414172306,188,188,1,1,0,0,225.8086,383.3985,7387.8113
88509052,203,194,1,1,3,0,226.5833,419.5920,8441.4675
2001789861,192,193,1,1,0,0,226.2611,320.2703,8070.7896
863902609,190,187,1,1,0,0,225.7974,383.1769,6513.5633
1365536639,200,194,1,1,0,0,220.7919,320.9079,6788.9613
1359052540,220,211,1,1,0,0,239.8461,327.8409,7214.1359
12866273,182,179,1,1,0,0,214.1718,312.7693,7896.5420
506993596,204,192,1,1,0,0,214.3617,314.4020,7636.8981
412422469,192,192,1,1,0,0,213.7995,315.4337,11485.6280
1447298192,199,195,1,1,0,0,226.0065,312.0444,7259.0253
58023852,202,203,1,1,0,0,226.1359,311.3418,6565.1517
616273779,201,188,1,1,0,0,224.9037,314.7279,6834.1028
967207457,197,190,1,1,0,0,225.0499,310.9239,7870.3158
609707363,207,199,1,1,2,0,226.8168,911.0788,6417.3899
673928774,183,183,1,1,0,0,225.3886,384.7353,6743.1947
947344636,189,185,1,1,1,0,228.0944,408.2814,6862.2416
1608675667,192,185,1,1,0,0,224.6340,330.1392,7130.6936
2071571360,194,188,1,1,0,0,225.3162,382.2023,8610.1452
289225583,184,181,1,1,0,0,225.0941,312.7063,7652.4447
2139792404,178,178,1,1,0,0,227.2662,311.3277,6379.0060
811536920,216,204,1,1,0,0,223.4428,455.8437,7845.6842
1662976528,187,187,1,1,0,0,225.7094,315.6491,7395.3597
1398133987,189,188,1,1,0,0,224.4230,320.8016,6600.8774
1138167244,179,180,1,1,0,0,226.2243,311.8436,7719.5152
894402585,193,190,1,1,0,0,212.2592,311.3878,7697.6078
1579148368,191,190,1,1,0,0,212.8613,325.8840,7127.9663
543193849,199,193,1,1,0,0,213.3367,321.4150,6914.2274
1979930091,191,190,1,1,0,0,214.4115,319.9779,10499.4164
486271205,203,198,1,1,0,0,212.5518,316.7601,7761.0502
1723445716,207,196,1,1,0,0,216.4345,312.6196,11172.0221
510019569,174,174,1,1,0,0,213.3186,310.5361,6780.2097
1429850836,185,184,1,1,0,0,214.2600,313.5917,6776.2877
656508304,178,178,1,1,0,0,224.5567,320.1882,6538.0982
931712456,208,206,1,1,0,0,228.9509,323.6652,7140.5080
227378057,199,190,1,1,0,0,225.6606,320.1282,8224.6273
1677327347,189,182,1,1,0,0,225.0643,321.6550,6911.3380
783161618,215,207,1,1,0,0,223.3717,313.9276,10994.2857
1355367847,193,185,1,1,0,0,224.6717,314.1189,7597.3287
1638329911,196,193,1,1,0,0,223.4853,323.5484,7479.0990
697031240,196,190,1,1,0,0,225.7343,321.8262,8085.2360
126197612,211,209,1,1,0,0,234.5063,315.4613,7167.8744
1393558012,190,188,1,1,0,0,233.7592,399.4331,7327.4088
1852930496,175,174,1,1,0,0,227.5490,312.2801,7132.9132
312091395,192,184,1,1,0,0,232.8633,315.3960,6349.5007
566828599,206,186,1,1,0,0,225.9813,332.0346,7571.1034
776211525,196,194,1,1,0,0,224.8680,340.1740,7102.8273
2011099792,198,193,1,1,1,0,224.9318,317.2991,7880.4629
1039669097,196,193,1,1,0,0,226.9630,312.7014,7594.9852
2021332512,196,192,1,1,0,0,225.0993,320.8305,7858.9281
1435962476,211,199,1,1,0,0,225.0152,324.4436,13251.9745
28652302,196,186,1,1,7,0,224.3351,416.8007,6445.1666
1968931231,185,186,1,1,0,0,224.8288,381.6130,7545.9165
2045057373,205,197,1,1,2,0,229.2244,341.2527,7366.0852
1547476435,178,179,1,1,0,0,225.8494,392.9679,6521.8128
1082284756,194,181,1,1,0,0,225.0583,315.7521,7532.9215
1181292670,208,203,1,1,0,0,225.8018,313.6553,7110.9040
1834236703,214,208,1,1,0,0,212.2270,394.1063,7466.7041
199349554,203,192,1,1,0,0,217.3307,322.8223,7213.6198
1880627428,194,187,1,1,0,0,211.6978,322.2680,6653.9477
1865825513,194,194,1,1,0,0,214.0611,322.7557,7309.6060
1277708051,185,185,1,1,0,0,220.8016,383.3923,6359.9540
1975848691,190,189,1,1,0,0,211.9425,314.4808,8110.2159
448198511,201,187,1,1,2,0,211.7287,337.1392,7706.7545
132920635,196,189,1,1,1,0,212.9318,321.0562,11211.3280
1437424903,184,185,1,1,0,0,213.6556,383.0096,12209.8264
913722810,200,196,1,1,0,0,214.1489,323.7576,11301.7564
228205696,183,182,1,1,0,0,213.8957,312.1694,6585.1645
1954998058,200,199,1,1,0,0,215.8055,314.8777,6719.7054
1735975346,198,189,1,1,0,0,212.7470,313.0293,7387.2851
1966665390,200,190,1,1,0,0,213.8323,314.6560,6625.2004
1183285232,187,188,1,1,0,0,214.3262,313.0147,7247.2724
1180430692,208,198,1,1,1,0,217.5795,314.8573,7692.5865
1172964692,185,184,1,1,0,0,212.5398,339.6526,7052.9686
430831785,168,168,1,1,0,0,215.9902,312.6024,7639.8517
1281767831,187,177,1,1,3,0,215.0783,354.0733,7328.5465
