inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,150,146,1,1,0,0,130.9953,386.0789,2158.2006
505628541,131,127,1,1,0,0,106.4886,504.0105,2236.2240
797596457,173,161,1,4,0,3,103.0399,495.1274,181185.0336
2035793211,146,138,1,1,0,0,103.2292,508.7963,2224.1072
1894077978,155,144,1,1,0,0,101.3958,388.1693,2173.1549
519748837,155,149,1,1,0,0,105.9219,393.8990,2048.4032
21277857,146,142,1,1,0,0,102.4308,400.3252,2084.0183
1710451381,133,132,1,1,0,0,100.1554,380.4829,2134.6288
2007519886,166,150,1,1,0,0,100.1565,432.7962,2211.1989
1030670531,134,130,1,1,0,0,100.6571,376.0639,2137.2603
322137773,136,134,1,1,0,0,102.6913,415.4532,2196.9603
689566352,150,135,1,1,0,0,97.8228,382.7415,2047.7740
1469142020,151,147,1,1,0,0,98.5835,481.5008,2095.8080
797339142,150,147,1,1,0,0,100.2214,491.6030,2213.6521
1694983470,154,140,1,1,0,0,100.5693,387.2792,2225.4784
1750907626,133,133,1,1,0,0,101.0321,388.5597,2231.6195
755829249,161,151,1,1,1,0,100.9619,392.0235,2125.2483
1325310543,148,144,1,1,0,0,104.8158,404.4019,2336.9846
798533364,163,144,1,1,0,0,105.8108,386.4913,1879.5168
1679431852,157,149,1,1,0,0,111.7877,391.6730,2110.2328
232569757,148,140,1,1,0,0,101.5486,388.5727,2198.4513
757494092,148,129,1,1,0,0,100.7933,392.1388,2059.3897
244395394,141,138,1,1,0,0,104.6736,395.0059,1917.2525
517341472,157,151,1,1,0,0,106.1458,432.5126,2203.0205
1904385271,153,149,1,1,0,0,100.6979,395.4925,2183.1265
1391722606,148,147,1,1,0,0,99.1178,410.3679,2001.5630
776181813,119,119,1,1,0,0,99.9449,377.2020,1986.9082
1377699324,152,127,1,1,0,0,108.5239,506.7442,2345.3227
1087515030,142,140,1,1,0,0,106.5706,384.0321,2209.0483
909477809,153,148,1,1,0,0,103.5781,390.1130,2143.1640
2109625957,135,128,1,1,0,0,100.2262,392.0992,1977.7489
350656507,149,142,1,1,0,0,103.4490,383.7605,2365.6368
817732023,148,140,1,1,0,0,103.4823,409.7125,2085.6476
1478867520,165,145,1,1,0,0,99.7967,392.2392,2040.5212
848393533,137,132,1,1,0,0,101.8712,383.1219,2314.6497
1863852282,155,147,1,1,0,0,104.0502,387.4293,2408.7312
141896490,148,138,1,1,3,0,98.3024,388.7024,2075.6180
463544342,154,142,1,1,0,0,101.3048,374.7923,2458.5066
776803259,155,147,1,1,0,0,101.5661,383.8463,2133.5861
266654143,148,144,1,1,0,0,100.4504,386.6252,2154.2856
1751832830,154,148,1,1,0,0,100.3877,395.4581,2203.9021
338382071,136,131,1,1,0,0,102.2779,380.0701,1961.5141
2117091728,148,131,1,1,0,0,103.6417,498.4957,2444.3896
589533569,135,118,1,1,0,0,102.5722,393.0966,2246.8599
1460234499,138,131,1,1,0,0,100.2954,396.4571,2047.9942
753060086,149,136,1,1,0,0,101.4331,383.0522,2444.7844
417753672,145,137,1,1,0,0,99.0943,386.8391,1921.0741
1009205675,154,144,1,1,0,0,101.9953,389.9464,1946.5954
1644453309,137,135,1,1,0,0,99.4972,398.1787,1926.0313
1923901314,151,135,1,1,0,0,104.4707,394.8320,2434.1739
1488152001,169,153,1,1,0,0,102.0682,392.4005,2394.1758
1541033487,142,137,1,1,0,0,105.5861,394.6496,2380.4647
1780649109,148,141,1,1,0,0,105.4482,395.3908,2300.2793
560089642,158,143,1,1,1,0,100.6512,511.4586,1933.8091
1313768928,147,140,1,1,0,0,106.1109,400.8030,2125.0280
1168861801,140,139,1,1,0,0,101.0333,417.9456,2158.9312
2122631245,149,144,1,1,0,0,100.6336,498.7054,2053.8655
1825736765,159,144,1,1,0,0,106.9477,419.1021,2015.5428
1151790945,156,155,1,1,0,0,101.2519,387.5600,2080.7437
547472299,142,128,1,1,0,0,101.8215,494.3714,2399.4987
460045118,144,133,1,1,0,0,104.9042,401.8231,2156.8308
1550986770,148,139,1,1,0,0,99.6588,370.2476,2206.9234
1103899493,164,153,1,1,0,0,100.7086,383.2247,2575.6620
1190015605,137,134,1,1,0,0,101.8323,378.2543,2069.3049
914695426,164,153,1,1,0,0,102.9579,399.6659,2122.3703
1057041588,121,120,1,1,0,0,100.2400,374.1736,2094.8595
1667503023,147,143,1,1,0,0,101.7175,377.0470,2132.1142
