inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,293,189,1,1,0,0,68.9567,219.4258,1469.1293
505628541,236,169,1,1,1,0,55.1074,206.8093,1447.7796
797596457,257,170,1,1,0,0,60.4900,219.6486,1453.0237
2035793211,301,169,1,1,0,0,57.6128,210.8299,1495.5898
1894077978,193,173,1,1,0,0,56.7429,194.8982,1407.1992
519748837,238,176,1,1,1,0,60.4258,187.4317,1482.3391
21277857,190,159,1,1,0,0,61.3693,301.2628,1522.3169
1710451381,189,152,1,1,0,0,53.8931,201.9522,1423.7933
2007519886,243,181,1,1,0,0,56.1521,207.7122,1426.6815
1030670531,239,159,1,1,0,0,59.8660,217.9377,1425.6710
322137773,246,157,1,1,0,0,61.0109,204.1516,1516.0878
689566352,326,194,1,1,3,0,59.3503,228.7989,1487.0664
797339142,322,175,1,1,0,0,59.1323,206.7451,1458.8349
1694983470,229,183,1,1,1,0,49.3876,213.8100,1412.4469
1750907626,262,196,1,1,0,0,52.7110,299.0131,1335.3133
755829249,265,212,1,1,0,0,53.0486,210.4562,1514.9331
1325310543,251,168,1,1,0,0,50.8095,197.6115,1438.5855
1679431852,213,189,1,1,0,0,52.8277,185.8293,1353.0411
232569757,223,176,1,1,0,0,50.2977,203.1708,1457.0542
244395394,196,170,1,1,0,0,55.1709,207.7605,1466.9552
517341472,277,186,1,1,0,0,49.1738,368.4619,1592.6484
1904385271,230,174,1,1,0,0,47.1280,197.0988,1494.6796
1391722606,347,197,1,1,0,0,49.5867,211.2138,1423.4717
776181813,238,158,1,1,1,0,60.8740,315.4585,1492.7098
1087515030,216,172,1,1,0,0,56.0502,188.5715,1523.2274
909477809,252,201,1,1,1,0,49.9019,200.7783,1702.3479
2109625957,183,173,1,1,0,0,52.3314,192.6092,1464.9143
350656507,198,163,1,1,0,0,51.0653,283.6095,1454.6231
817732023,232,192,1,1,0,0,51.5202,208.2476,1541.9689
1478867520,249,167,1,1,0,0,57.0566,295.3454,1449.0232
848393533,257,176,1,1,0,0,49.5754,195.8111,1659.3244
1863852282,225,162,1,1,0,0,51.0722,201.1065,1384.2041
141896490,402,192,1,1,0,0,57.3424,207.4068,1613.9567
266654143,277,207,1,1,1,0,53.3643,278.0272,1373.4972
1751832830,249,171,1,1,0,0,48.8751,189.1157,1359.3448
338382071,215,178,1,1,0,0,53.0597,202.6550,1404.5824
2117091728,197,161,1,1,0,0,48.5029,193.6693,1321.0432
589533569,228,184,1,1,2,0,47.0974,200.8000,1621.4949
1460234499,420,193,1,1,1,0,49.3315,205.6508,1482.9437
753060086,429,202,1,1,0,0,59.2524,202.2927,1571.3516
417753672,261,167,1,1,0,0,53.5329,278.7486,1668.5096
1644453309,325,185,1,1,0,0,58.2569,285.7529,1463.1292
1923901314,240,173,1,2,2,1,49.9005,205.5298,58497.3104
1488152001,211,162,1,1,0,0,50.6454,192.0646,1453.3421
1541033487,262,189,1,1,0,0,51.5928,274.4630,1486.3992
1780649109,255,188,1,1,0,0,55.5885,277.7099,1550.3966
560089642,389,199,3,1,1,0,49.4524,91118.6416,1457.3567
1313768928,273,197,1,1,0,0,51.6368,207.1330,1550.3476
1168861801,257,193,1,1,0,0,49.7966,212.5993,1541.3786
2122631245,250,169,1,1,0,0,49.9616,193.7533,1528.0786
