inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
706996899,130,129,1,1,0,0,136.8984,506.9457,4531.6369
683795366,120,119,1,1,0,0,102.0629,498.4644,3418.5369
2118981747,131,128,1,1,0,0,110.0093,381.4718,4121.8810
1007790109,125,123,1,1,0,0,117.3958,388.8946,3476.9953
2010124990,146,137,1,1,0,0,121.8323,387.5535,2898.9613
575209377,163,151,1,1,0,0,114.4732,387.0596,5877.8341
716519504,144,134,1,1,0,0,88.8626,393.7234,4539.1824
2095622324,132,128,1,1,0,0,113.4235,389.8655,5195.7325
1682812063,106,104,1,1,0,0,126.9365,382.2726,3057.0450
1444732229,138,131,1,1,0,0,104.4814,385.2267,4123.2119
1550400030,136,129,1,1,0,0,107.5658,383.4254,5076.1013
379014684,129,126,1,1,0,0,120.2841,382.1918,5177.8930
812056294,130,130,1,1,0,0,119.8536,385.2427,2836.6321
1808866698,129,127,1,1,0,0,117.5440,506.4298,5531.6805
2129127787,129,127,1,1,0,0,112.6948,333.1440,4530.5972
1403150193,134,130,1,1,0,0,112.4486,384.9058,3367.3245
37866528,117,117,1,1,0,0,118.1959,386.8819,4203.0969
795077748,133,126,1,1,0,0,107.6333,381.4151,4319.3927
2109154625,130,122,1,1,4,0,121.1332,410.0497,4230.5056
1659120049,143,136,1,1,0,0,120.4368,381.8306,3392.2578
440651958,111,111,2,1,0,0,116.5652,100401.1125,4844.8304
2116699563,135,132,1,1,0,0,88.2546,386.1824,4853.4343
402199715,129,129,1,1,0,0,83.5367,382.1506,3080.4691
1828283267,119,119,1,1,0,0,97.5256,382.4683,3153.5212
626864907,123,123,1,1,0,0,98.5755,381.1396,5522.5346
1772095754,136,136,1,1,0,0,79.1015,382.3365,4888.3593
363212762,144,132,1,1,0,0,80.3270,384.1963,4606.2724
1779548668,116,113,1,1,0,0,83.9537,379.7861,2976.5068
510488052,149,139,1,1,0,0,78.9453,382.0440,3988.1521
652597006,119,117,1,1,0,0,96.8298,338.7973,3355.6255
1200039479,149,146,1,1,0,0,104.5774,483.5465,4565.5203
65517415,127,122,1,1,0,0,85.3949,382.0689,3113.7798
924314880,132,123,1,1,0,0,103.5136,380.2087,4313.7422
1308026973,127,126,1,1,0,0,90.2518,382.0599,5522.0960
968034873,126,119,1,1,0,0,88.4216,381.3010,3416.4930
2087158973,142,132,1,1,0,0,84.8998,383.7826,4536.2093
54414185,114,113,1,1,0,0,79.4682,382.1118,5863.7420
152289771,139,135,1,1,0,0,80.6297,383.5142,4246.8327
812769497,113,111,1,1,0,0,79.4450,379.8915,2809.0789
1007832294,131,132,1,1,0,0,80.8761,382.4865,4518.8030
676298953,124,123,1,1,0,0,79.0273,381.4413,4286.5094
2143455356,115,114,1,1,0,0,79.1405,382.3214,2922.3815
1070610194,142,137,1,1,0,0,79.4892,382.0017,3240.8061
234478458,123,114,1,1,0,0,78.9913,380.6890,4606.1865
1456534298,131,127,1,1,0,0,80.0229,383.2075,2966.3217
1846965691,137,136,1,1,0,0,79.6819,500.5971,5209.7033
133475693,122,121,1,1,0,0,79.4066,381.9173,3163.9846
333617095,118,117,1,1,0,0,85.2377,379.9674,4949.3798
1159430406,136,130,1,1,3,0,79.1997,398.4658,5353.6738
529171091,123,119,1,1,0,0,79.2413,385.8198,4698.1080
1633966641,134,129,1,1,0,0,79.3287,331.7358,6764.7309
699140625,154,127,1,1,1,0,79.1212,405.1134,3124.8873
1222538119,135,135,1,1,0,0,104.9617,392.0212,3175.3824
2122639895,127,122,1,1,0,0,107.5897,385.1676,3018.1068
1693715145,107,107,1,1,0,0,89.4928,381.6533,2775.6663
1535800812,127,122,1,1,2,0,114.7078,388.4494,4287.4064
1415896734,121,120,2,1,0,0,113.7919,106232.0906,3869.4145
1713806813,123,117,1,1,0,0,78.6484,380.7302,4430.8483
2078068096,119,109,1,1,0,0,78.6525,498.5108,2844.6168
262018712,126,120,1,1,0,0,79.2728,391.0243,4364.3762
1209096657,130,123,1,1,0,0,80.5551,382.6475,2754.5710
904138129,120,120,1,1,0,0,79.5517,385.5156,3030.6299
230779824,140,137,1,1,0,0,80.1854,381.0259,5041.6425
1623458846,127,120,1,1,0,0,78.5590,387.0339,3254.8507
955114061,141,138,1,1,0,0,80.8804,387.8936,4860.2865
1825725062,131,130,1,1,0,0,79.7813,383.3226,4573.9702
1348419481,128,127,1,1,0,0,78.9663,382.5565,4496.2703
660719672,159,144,1,2,0,1,93.8477,501.7744,118420.8368
1544882157,128,123,1,1,0,0,79.6225,384.9482,3088.4587
1188134082,131,126,1,1,0,0,80.7951,384.7564,5066.2056
502765569,137,128,1,1,0,0,79.4458,387.7150,2846.5878
1270557491,126,125,1,1,0,0,82.4035,383.8123,5908.1041
729396111,124,125,1,1,0,0,80.2348,383.7778,2791.5743
13019492,144,135,1,1,0,0,79.7188,383.4297,4720.4334
1468905109,115,114,1,1,0,0,87.4479,501.9146,5064.7514
1337826990,118,115,1,1,0,0,79.7167,401.5771,4864.6706
1392058115,133,126,1,1,0,0,79.2644,383.1407,4642.6807
1589855944,133,127,1,1,0,0,78.6822,383.9470,3465.4235
354221926,126,120,1,1,0,0,111.1698,383.1457,4224.3711
1558794535,133,131,1,1,0,0,110.9625,387.8084,4001.6518
1088979664,119,120,1,1,0,0,117.6329,383.2018,4959.0408
2142866189,123,121,1,1,0,0,123.2783,384.4533,5168.5092
315440609,136,134,1,1,0,0,81.5236,334.4529,4511.2045
1889530258,127,113,1,1,2,0,111.5824,496.8980,2903.0009
60592487,134,131,1,1,0,0,94.4559,382.9230,4310.6638
204322119,121,118,1,1,0,0,115.6368,381.5003,4934.7830
272270058,134,133,1,1,0,0,93.8738,380.7523,6281.8542
1272756699,125,122,1,1,0,0,114.4053,385.7457,5465.0270
1518502176,131,130,1,1,0,0,93.9242,330.3985,5011.9209
933320411,140,139,1,1,0,0,114.9000,381.8423,3263.0660
465061697,135,135,1,1,0,0,81.6360,330.3427,5726.1858
14546578,113,111,1,1,1,0,119.4398,385.9274,3074.1035
53129366,119,113,1,1,0,0,105.9614,386.3319,4018.8263
653244787,137,135,1,1,0,0,81.7165,383.2152,5255.0666
999269586,120,118,1,1,0,0,117.1902,382.3513,2768.3634
94397090,127,126,1,1,0,0,117.4586,384.3165,3938.7540
49854994,125,123,1,1,0,0,112.5721,382.2673,5003.4850
333916015,130,128,1,1,0,0,119.2771,391.7614,5138.9727
1135022579,123,121,1,1,0,0,107.3213,385.9765,5834.1747
1448668094,134,131,1,1,0,0,94.7755,387.5375,5074.1734
