inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
126827386,311,283,1,1,0,0,296.0262,650.4660,11646.0129
761329787,306,276,1,1,0,0,271.2429,612.7757,10031.4349
558641285,293,283,1,1,0,0,269.7216,646.0282,10092.1581
91639066,322,292,1,1,0,0,277.6251,704.7299,17231.8515
1536643814,292,279,1,1,0,0,270.6630,622.3590,9397.6041
1074241974,313,293,1,1,1,0,266.1744,532.2957,10376.1181
618607571,339,294,1,1,1,0,258.3279,539.2613,10869.6041
645431201,280,267,1,1,0,0,262.3140,614.3266,9581.4536
460216217,300,283,1,1,0,0,257.6974,546.9506,10168.4880
1651955435,325,280,1,1,1,0,284.9083,554.7380,11532.1815
268052889,286,267,1,1,0,0,301.9391,715.9297,8441.1934
514366596,281,267,1,1,0,0,256.8785,533.0039,12047.7510
1581365966,305,284,1,1,1,0,282.6691,735.3773,9408.0480
1920718706,323,295,1,1,1,0,279.1564,712.8430,10291.7947
1284431749,307,278,1,1,1,0,261.9095,527.9820,9869.3975
1187895230,311,296,1,1,1,0,265.9007,527.6707,10256.1347
1690803105,304,284,1,1,0,0,258.3872,1479.1955,9601.3346
481316619,291,270,1,1,0,0,263.1579,646.4611,12119.1735
2050784128,294,274,1,1,0,0,256.1488,635.2791,10299.7278
768995891,329,297,1,1,0,0,265.5634,526.5867,10146.9089
2081487829,288,269,1,1,0,0,271.9925,696.2922,10860.0770
1616441113,290,276,1,1,0,0,258.6206,795.7577,9971.6735
700238667,308,278,1,1,1,0,270.8761,786.0478,12449.0566
203605301,297,274,1,1,0,0,282.4823,603.0780,11148.9869
733507883,285,265,1,1,0,0,262.6980,587.9761,9816.4494
997633399,321,296,1,1,0,0,278.3578,603.0755,10152.9374
1737684753,310,281,2,1,2,0,282.0903,45046.3444,10261.4882
900231760,309,284,1,1,0,0,271.1916,702.6795,9833.6349
125607226,297,274,1,1,1,0,269.2062,534.3366,9820.6675
370980573,297,278,1,1,0,0,261.1963,598.7964,10476.8240
1071395006,308,274,1,1,0,0,262.1336,538.5514,10340.6983
344742393,304,286,1,1,0,0,271.1162,617.3929,10777.9178
1711471659,288,270,1,1,0,0,276.4094,725.5189,9989.9070
902273373,319,294,3,1,0,0,275.6268,530129.9295,10715.9811
2114491297,291,275,1,1,0,0,254.3619,496.1965,10066.3243
1085714994,298,285,1,1,0,0,259.5789,577.6898,8723.9171
653135655,296,274,1,1,0,0,265.5695,574.9103,10477.8138
426392364,292,272,1,1,0,0,258.3759,659.4546,9672.6889
1791441602,323,289,1,1,0,0,253.2282,639.1545,10030.4718
1678038082,278,273,1,1,0,0,265.9067,615.3624,9534.7750
1746839362,305,283,1,1,0,0,238.5353,488.9418,10519.6423
1467420220,337,288,1,1,0,0,254.5663,501.9790,10703.1814
1347499789,303,284,1,1,1,0,252.6098,761.9414,10010.1221
1844009866,294,287,1,1,0,0,287.1737,591.3487,8697.9180
