inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1985700800,179,176,1,1,0,0,249.6237,490.7822,6504.7902
1244723380,178,176,1,1,0,0,238.3896,493.8690,10945.5348
1416237911,185,179,1,1,1,0,228.3192,506.6738,7536.7605
2011432984,192,195,1,1,0,0,222.9529,495.1308,7895.5998
2044952472,176,174,1,1,0,0,223.5345,563.9752,6807.5934
1627271873,184,180,1,1,0,0,222.3480,487.7915,10313.2014
1144156699,187,183,1,1,0,0,228.4078,488.7172,12664.9829
13305307,199,192,1,1,0,0,233.1404,488.1052,7140.8162
2069337836,187,185,1,1,0,0,225.7989,491.6214,11543.5532
1565650554,201,191,1,1,0,0,239.1262,491.9323,9935.6511
1774432654,186,182,1,1,0,0,285.2267,494.4968,7331.8936
528668332,175,173,1,1,0,0,258.9160,495.6976,6305.6223
326088175,191,187,1,1,0,0,282.5065,500.6690,9768.8508
609031039,183,180,1,1,1,0,278.7154,508.7521,6490.8273
1939850826,192,187,1,1,0,0,271.8776,489.9651,7946.8797
1375751164,186,184,1,1,0,0,258.3349,496.0037,11591.9996
5568015,177,173,1,1,0,0,246.2878,493.2732,9980.8018
24265020,180,169,1,1,1,0,274.0486,504.0751,9245.6536
41766539,181,178,1,1,0,0,259.9061,502.1474,11872.7505
1194041565,188,184,1,1,0,0,276.0401,492.6335,11256.4290
1286101795,201,188,1,1,1,0,283.3203,506.2643,11341.2963
800859335,179,177,1,1,0,0,252.3615,564.8231,7339.4232
1532067486,184,181,1,1,0,0,285.1044,570.4705,10706.0374
203686923,202,183,1,1,0,0,273.9843,494.7196,9587.2437
675637532,189,183,1,1,0,0,250.0991,499.3541,7682.0981
1926200545,193,186,1,1,0,0,235.2900,489.6790,11673.4206
1727955652,197,191,1,1,0,0,271.7742,552.6087,9376.6480
1115534650,207,195,1,1,1,0,210.0034,497.0429,7512.0320
1783165962,179,180,1,1,0,0,235.8438,490.0792,9662.4013
782940233,193,188,1,1,1,0,230.5117,505.1430,7132.4463
953840062,197,182,1,1,0,0,226.7958,490.0332,11339.6772
1729521604,202,193,1,1,2,0,230.6067,583.4035,12638.2702
