inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,279,189,1,1,0,0,79.2931,141.8327,1269.7933
505628541,200,169,1,1,0,0,42.2541,136.7803,1236.9172
797596457,256,170,1,1,0,0,41.7918,138.8730,1256.0309
2035793211,276,169,2,1,2,0,40.9418,48615.0868,1284.7239
1894077978,218,173,1,1,5,0,44.2544,146.8622,1205.9700
519748837,242,176,1,1,0,0,40.7624,140.0750,1249.0409
21277857,268,159,1,1,0,0,45.0504,141.6478,1319.2682
1710451381,188,152,1,1,1,0,41.6194,144.9933,1252.6085
2007519886,243,181,1,1,0,0,40.8387,148.1160,1212.7519
1030670531,228,159,1,1,0,0,42.8962,139.5476,1217.0642
322137773,204,157,1,1,1,0,48.7634,149.7696,1276.4888
689566352,284,194,1,1,0,0,43.3490,147.9930,1267.8887
1469142020,194,167,1,1,1,0,42.9205,142.8315,1332.7904
797339142,231,175,1,1,1,0,41.8833,143.9294,1245.6069
1694983470,254,183,1,1,0,0,43.1380,151.8228,1237.8603
1750907626,253,196,1,1,0,0,42.0930,152.3104,1165.4774
755829249,299,212,1,1,7,0,44.3612,185.7791,1288.3393
1325310543,232,168,1,1,0,0,41.1194,207.2897,1237.6263
798533364,228,171,1,1,2,0,44.3280,221.8736,1304.5882
1679431852,236,189,1,1,0,0,42.0939,216.0819,1179.8401
232569757,240,176,1,1,0,0,41.0011,139.5649,1241.2889
244395394,228,170,1,1,0,0,43.7920,143.3756,1284.3174
517341472,219,186,1,1,0,0,41.8907,147.7089,1369.3484
1904385271,244,174,1,1,1,0,40.9481,144.8080,1281.6236
776181813,189,158,1,1,0,0,43.4823,143.1150,1275.6631
1377699324,211,164,1,1,0,0,41.2979,139.3331,1386.3756
1087515030,204,172,1,1,0,0,40.7583,209.6247,1308.0002
909477809,261,201,1,1,3,0,41.3256,153.2718,1457.9739
2109625957,259,173,1,1,1,0,40.7530,143.9654,1245.8976
350656507,203,163,1,1,0,0,41.6106,153.8926,1247.0182
817732023,259,192,1,1,12,0,41.1455,248.0912,1311.8057
1478867520,221,167,1,1,1,0,40.9544,141.6184,1240.6988
848393533,234,176,1,1,0,0,40.9479,139.4341,1417.6590
1863852282,234,162,1,1,0,0,40.7706,208.9820,1194.9460
141896490,225,192,1,1,0,0,40.8418,150.6273,1374.6047
463544342,280,194,1,1,4,0,40.5497,157.5330,1334.3898
776803259,222,149,1,1,0,0,40.9838,154.2885,1286.8171
266654143,287,207,1,1,1,0,40.9284,216.2619,1152.8727
1751832830,237,171,1,1,1,0,43.9619,214.5605,1174.5436
338382071,234,178,1,1,0,0,43.9598,142.9046,1200.6920
2117091728,219,161,1,1,3,0,41.2735,140.7364,1141.0124
589533569,246,184,1,1,0,0,41.0327,157.1968,1368.4424
1460234499,330,193,1,1,0,0,41.6219,142.2441,1278.7965
753060086,307,202,1,1,2,0,41.6339,148.1706,1346.8099
417753672,194,167,1,1,0,0,43.4212,141.5068,1410.6570
1009205675,304,201,1,1,0,0,44.8432,143.8860,1250.8797
1644453309,259,185,1,1,1,0,47.4099,145.1315,1238.5561
1923901314,260,173,1,2,0,1,45.5444,218.8067,51122.0920
1488152001,178,162,1,1,0,0,43.8483,150.8716,1229.8570
1541033487,284,189,1,1,0,0,43.7451,141.6418,1248.2579
1780649109,229,188,1,1,0,0,46.8935,215.9431,1296.7428
560089642,353,199,1,1,1,0,50.4294,155.0435,1240.6757
1313768928,254,197,1,1,2,0,46.3294,157.9845,1283.1094
1168861801,251,193,1,1,0,0,47.6059,149.5737,1300.5589
2122631245,199,169,1,1,0,0,48.6888,141.6834,1297.1071
1825736765,231,173,1,1,0,0,45.2053,139.9459,1303.3546
1151790945,237,171,1,1,0,0,42.1030,142.0368,1227.0858
547472299,282,183,1,1,1,0,45.0495,146.7013,1294.2628
460045118,221,160,1,1,1,0,42.5681,150.5783,1373.7143
1550986770,239,162,1,1,1,0,45.8582,144.2262,1263.9258
1103899493,262,174,1,1,0,0,47.1810,141.0644,1258.0957
1190015605,246,174,1,1,0,0,47.6050,141.0908,1253.3724
914695426,297,195,1,1,0,0,40.6677,142.5200,1145.9100
1057041588,180,138,1,1,0,0,44.2412,142.7335,1168.0884
1667503023,241,171,1,1,0,0,43.7579,153.0039,1217.5811
720669986,397,182,1,1,1,0,40.9749,149.1028,1234.9544
1548183416,234,169,1,1,0,0,40.3565,141.1406,1198.0767
2117148771,270,166,1,1,0,0,40.4847,148.7142,1160.0005
1238145702,298,187,1,1,2,0,40.7337,151.7462,1206.9374
1517678363,246,174,1,1,2,0,40.6085,144.0727,1333.7655
876002421,264,187,1,1,0,0,41.6273,141.7387,1341.5136
949168523,178,167,1,1,0,0,41.6814,141.5145,1302.7336
588188226,240,161,1,1,0,0,41.3490,139.4654,1136.7035
1796334885,187,165,1,1,0,0,50.9538,214.4003,1260.9026
1057186015,253,173,1,1,0,0,41.4852,150.4449,1213.5440
1089619190,168,154,1,1,0,0,41.6280,142.3607,1164.6686
922389281,310,169,1,1,3,0,42.0405,234.2052,1317.5681
1151965810,246,190,1,1,0,0,43.1626,149.8086,1381.0627
1081553316,178,151,1,1,0,0,43.3849,149.3642,1321.1355
1307761068,279,180,1,1,0,0,42.3203,142.0815,1205.8813
691761703,257,191,1,1,0,0,41.1470,213.3224,1274.1022
541568297,265,189,1,1,1,0,40.9752,157.9387,1187.2732
215535636,265,194,1,1,0,0,40.6558,141.5700,1214.9776
920355235,205,155,1,1,2,0,41.1932,146.8634,1185.2204
1344633394,212,165,1,1,1,0,40.9903,280.5967,1215.4486
1419100708,251,177,1,1,0,0,42.3721,210.0092,1297.0174
579867935,220,163,1,1,7,0,41.1653,182.2855,1175.9560
1243231459,228,187,1,1,0,0,41.4493,149.0651,1282.1475
1109061197,273,176,1,1,6,0,42.1161,165.9953,1134.8755
1341295882,305,171,1,1,0,0,41.0257,221.0465,1248.7482
1818369884,210,179,1,1,0,0,41.2925,208.3212,1224.8343
1369605050,236,184,1,1,1,0,41.5361,147.6297,1178.2208
124822658,240,179,1,1,1,0,41.4476,142.5653,1308.6310
1346091797,249,185,1,1,0,0,41.1010,209.2151,1249.0214
1848174138,301,187,1,1,1,0,41.1229,162.5836,1332.3157
43329993,267,191,1,1,0,0,41.0183,143.4957,1316.8998
1083942938,252,169,1,1,0,0,43.8991,142.4021,1271.4805
2041867896,226,183,1,1,0,0,41.0937,148.6360,1281.0435
1259576407,240,157,1,1,2,0,42.1774,160.5896,1386.8961
89648716,326,194,1,1,0,0,41.4166,151.7757,1225.0604
2087046250,228,168,1,1,1,0,41.3373,214.5372,1221.7592
1045557540,235,147,1,1,0,0,41.6720,144.5380,1164.3495
1199833309,283,176,1,1,0,0,41.1267,149.6745,1151.4633
1693402534,257,176,1,1,0,0,41.7592,213.5238,1334.4547
176325024,242,172,1,1,3,0,42.0945,162.2645,1284.4393
1614855771,228,171,1,1,0,0,41.2135,210.3103,1354.1668
1477888357,275,194,1,1,0,0,41.3274,143.6430,1126.6458
58736216,261,156,1,1,1,0,48.4442,148.3837,1258.4371
1967995247,239,179,1,1,1,0,41.9232,143.9382,1391.6760
217038703,241,165,1,1,0,0,41.7059,217.1703,1172.8205
254728884,217,161,1,1,0,0,41.7572,140.2557,1535.4472
1253944010,225,171,1,1,1,0,41.7931,154.7936,1368.0766
1882905182,332,217,1,1,0,0,42.5257,150.1504,1215.2400
1086775825,215,195,1,1,0,0,40.9676,209.3484,1315.2299
1560236928,216,171,1,1,0,0,41.0840,147.5526,1234.9313
2016431900,248,178,1,1,1,0,41.1354,145.6454,1256.7768
418944500,281,182,1,1,0,0,42.2638,210.3521,1183.7733
300265570,198,168,1,1,0,0,41.9578,141.4220,1504.2707
1305659463,251,206,1,1,0,0,42.4570,143.9323,1258.4878
1782949349,257,168,1,1,0,0,42.4002,151.5007,1277.7610
2024266853,280,193,1,1,2,0,41.7520,156.4762,1254.0639
917216027,305,182,1,1,1,0,41.8907,152.1926,1294.8327
1089544048,237,163,1,1,1,0,41.0267,144.2096,1237.7865
1323942751,226,188,1,1,0,0,41.5563,223.6311,1245.5420
588995331,178,160,1,1,0,0,40.9136,138.5165,1230.6507
1209791256,260,167,1,1,0,0,41.6560,150.3241,1339.0335
2023041752,281,191,1,1,0,0,41.2599,142.5827,1522.1375
1312891118,260,172,1,1,1,0,41.2883,148.7091,1324.6367
948749473,224,182,1,1,0,0,41.0578,150.2962,1289.8550
633609163,249,158,1,1,1,0,42.0411,155.7932,1211.1092
1799386845,313,178,1,1,1,0,41.7331,155.3648,1235.5193
553131882,246,189,1,1,0,0,45.9306,152.5834,1190.6820
114569214,202,150,1,1,0,0,41.4470,142.0268,1268.1970
144860458,188,164,1,1,0,0,42.1384,143.4171,1290.9406
1750286446,235,172,1,1,0,0,41.7585,142.7259,1229.2815
1126090810,233,161,1,1,1,0,41.1781,149.1548,1271.7315
1184101143,215,183,1,1,0,0,41.5923,148.7802,1370.3620
1999550596,204,173,1,1,0,0,41.5724,155.6276,1179.0924
1877164071,248,165,1,1,4,0,45.0750,162.4242,1255.3943
850732714,382,233,3,1,33,0,45.2326,195995.1958,1407.8200
737906450,266,163,1,1,0,0,41.6311,211.6373,1274.2364
536695997,330,203,1,1,0,0,40.9724,215.6129,1332.3543
536074451,220,175,1,1,0,0,45.2939,140.6106,1187.8441
1129275778,291,168,1,1,7,0,41.3037,158.8157,1200.9244
767348100,208,143,1,1,0,0,41.4213,140.4273,1385.5568
741702736,250,181,1,1,0,0,40.6726,156.5243,1150.0956
117208932,194,153,1,1,2,0,41.1332,211.9723,1270.4466
1094964610,193,173,1,1,0,0,40.8201,148.3624,1303.7730
61479123,258,171,1,1,1,0,41.3611,145.6505,1172.1633
1213301232,249,174,1,1,0,0,42.0519,141.3086,1256.1762
2118009476,245,176,1,1,0,0,41.0195,149.8439,1339.5049
1353152716,244,200,1,1,0,0,41.2330,142.1041,1289.3958
42506022,250,197,1,1,0,0,42.2159,152.0763,1222.0716
545822462,212,156,1,1,0,0,40.6625,210.9650,1306.4014
1328770978,182,150,1,1,0,0,42.1157,143.6177,1200.6433
794570016,223,172,1,1,0,0,41.0270,141.6923,1177.0809
1998246462,208,161,1,1,0,0,41.0998,141.1069,1279.8979
1695059534,207,175,1,1,1,0,41.7295,146.8035,1199.0252
1908659524,269,170,3,1,0,0,43.1754,170488.5494,1222.6179
1842068739,242,160,1,1,0,0,44.5859,148.2154,1317.6483
588315105,301,191,1,1,1,0,42.0969,153.1145,1145.7984
763795485,217,163,1,1,1,0,41.9148,161.0896,1239.7131
729437046,236,198,1,1,0,0,41.1441,149.7184,1153.1523
191387209,263,177,1,1,0,0,41.1490,141.3625,1251.7652
1516756645,225,172,1,1,0,0,41.8117,141.1089,1260.6860
1481070479,229,179,1,1,0,0,41.7978,209.8005,1188.8766
1685795104,290,194,1,1,0,0,41.2299,150.9326,1384.9325
1635607950,206,166,1,1,0,0,41.6202,149.0527,1310.1172
1095260981,213,151,1,1,0,0,43.6166,144.0358,1249.2831
1937575740,273,176,1,1,1,0,42.1703,154.5241,1271.0532
237699804,172,138,1,1,0,0,41.1269,137.9539,1277.3111
1874621625,287,181,1,1,0,0,40.8253,211.0033,1354.6376
816635202,233,170,1,1,0,0,44.6339,150.0010,1294.1349
765134039,259,180,2,1,1,0,43.2300,30971.3717,1296.4648
1575453914,267,172,1,1,0,0,41.6930,143.2155,1158.2168
1114428208,237,179,1,1,0,0,41.1069,277.4750,1295.4743
1362657696,270,181,1,1,0,0,41.1540,144.8893,1209.4825
2114110021,252,164,1,1,0,0,41.0450,158.6075,1269.1134
1345876933,206,160,1,1,0,0,40.6666,141.5913,1426.2237
1304592347,194,166,1,1,2,0,40.7720,153.4798,1186.3140
109292454,263,178,1,1,0,0,40.8862,145.9190,1415.0483
1656395027,187,153,1,1,0,0,40.7589,141.3000,1298.8003
1822189934,200,151,1,1,0,0,42.0947,148.5348,1262.6226
598829702,231,185,1,1,0,0,41.7040,157.6275,1129.6222
842771358,228,180,3,1,0,0,41.7876,133813.9133,1344.1508
1088633244,228,181,1,1,3,0,43.0041,162.5343,1295.5529
1439743394,244,164,1,1,0,0,41.4684,142.0497,1221.2559
1364632521,261,170,1,1,0,0,42.1724,149.2826,1258.1734
784752154,251,166,3,1,11,0,40.9901,94090.2372,1317.1538
955454127,228,163,1,1,0,0,40.7386,156.2817,1621.9032
449279568,259,176,1,1,2,0,40.6678,163.9782,1308.8070
