inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,139,129,1,1,0,0,48.1146,240.0781,1564.7856
505628541,142,142,1,1,0,0,40.7856,169.4866,1160.7214
797596457,154,148,1,1,0,0,42.4483,244.7870,1247.3849
2035793211,155,145,1,1,0,0,42.6581,306.1698,1313.1541
1894077978,151,147,1,1,0,0,41.4123,174.1268,1231.2194
519748837,150,149,1,1,0,0,45.1906,171.1345,1366.4910
21277857,172,169,1,1,0,0,41.0698,170.5621,1271.5284
1710451381,165,156,1,1,0,0,43.7676,185.4868,1242.2526
2007519886,173,166,1,1,0,0,40.9630,173.1921,1404.4134
1030670531,156,150,1,1,0,0,42.2995,177.8629,1367.5740
322137773,168,160,1,1,0,0,41.0630,169.6337,1263.5690
689566352,153,152,1,1,0,0,40.2289,178.9099,1210.2701
1469142020,152,142,1,1,0,0,42.8058,240.4096,1397.5588
797339142,144,143,1,1,0,0,46.2481,171.6103,1298.8382
1694983470,166,166,1,1,0,0,41.4677,170.1270,1479.7771
1750907626,163,153,1,1,0,0,41.7924,239.5309,1556.2085
755829249,152,151,1,1,0,0,40.3576,169.9389,1206.5513
1325310543,158,154,1,1,0,0,40.6777,170.7294,1307.1534
798533364,157,152,1,1,1,0,40.3281,176.5897,1366.2401
1679431852,165,151,1,1,0,0,44.6176,178.3827,1196.1862
232569757,159,158,1,1,0,0,43.1965,171.6137,1301.2400
757494092,143,143,1,1,0,0,43.4654,169.9203,1210.3721
244395394,151,150,1,1,0,0,41.9886,172.1080,1332.9243
517341472,157,145,1,1,1,0,44.0994,179.4206,1297.6276
1904385271,180,172,1,1,0,0,45.3103,170.8090,1423.9670
1391722606,159,154,1,1,0,0,51.5016,172.8988,1343.8895
776181813,152,138,1,1,0,0,50.3748,175.5586,1344.5244
1377699324,180,163,1,1,0,0,48.0163,173.0363,1376.1899
1087515030,151,145,1,1,0,0,50.1046,243.7084,1248.9090
909477809,165,156,1,1,0,0,47.4415,180.4357,1259.5321
2109625957,148,146,1,1,0,0,45.9323,177.4604,1193.2558
350656507,146,142,1,1,0,0,44.6390,238.9694,1370.2617
817732023,151,147,1,1,0,0,50.0137,315.0874,1235.2716
1478867520,162,153,2,1,0,0,47.8368,79768.3286,1272.9446
848393533,150,146,1,1,0,0,47.0065,171.8235,1357.8356
1863852282,168,151,1,1,0,0,49.7661,182.3172,1453.9049
141896490,164,152,1,1,0,0,49.1122,180.9142,1217.9616
463544342,147,147,1,1,0,0,50.3763,173.3745,1286.4933
