inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,212,208,1,1,0,0,181.8227,356.7034,6313.0946
1027124357,226,221,1,1,0,0,183.6738,282.4889,6064.5352
2049028820,221,214,1,1,1,0,181.4477,291.2109,5450.1432
1321773299,199,197,1,1,0,0,180.9951,360.2103,8119.7135
1703643979,214,212,1,1,0,0,175.4271,424.4722,8122.5988
1300300203,207,207,1,1,0,0,165.7194,512.9222,10022.2094
650965912,240,223,1,1,0,0,171.1041,299.9537,6452.0313
792329348,223,207,1,1,1,0,170.6088,293.1747,6496.6439
870959569,235,225,1,1,1,0,171.1128,353.6173,4971.6707
1173709030,208,196,1,1,0,0,174.3700,285.8928,5369.3966
2096419983,211,213,1,1,0,0,169.8522,289.1206,7806.1729
115248342,219,217,1,1,0,0,169.1299,291.6214,10250.1485
1884656349,219,212,1,1,0,0,186.6557,288.3344,7380.3372
1489863927,199,195,1,1,0,0,179.4930,289.8649,6418.7084
544103131,226,216,1,1,1,0,188.9728,301.7091,5312.3341
460800314,208,208,1,1,0,0,202.0563,294.6008,6399.6919
888523830,230,228,1,1,0,0,185.4678,282.2322,5290.5640
1114430918,196,191,1,1,0,0,188.0855,280.4808,7216.2290
580934519,245,237,1,1,1,0,177.8341,283.0640,5683.8504
1769352672,210,208,1,1,0,0,186.5819,354.1807,6020.0037
1118957871,233,215,1,1,1,0,175.3526,320.6581,5153.2079
2106748179,227,223,1,1,0,0,187.6325,300.2101,10248.1926
1253636814,215,213,1,1,0,0,186.8766,292.2604,5095.8575
864914860,225,218,1,1,2,0,193.8447,315.1459,5545.2777
961156482,202,199,1,1,0,0,188.0115,281.8358,5965.2163
959317506,218,210,1,1,0,0,181.6002,285.6825,5649.9081
1090505917,250,236,1,1,0,0,184.4701,298.7083,6492.6109
28615858,237,209,1,1,0,0,182.3414,364.1245,5118.3917
30129474,230,217,1,1,1,0,185.6601,284.0891,5615.0754
215589766,211,210,1,1,0,0,193.7049,279.0728,4889.8669
250851839,214,206,1,1,0,0,161.2057,282.9408,5861.8806
1387499987,231,224,1,1,0,0,161.2940,354.1315,5744.4871
852718394,216,211,1,1,0,0,162.6034,298.6843,5527.5022
1967319524,211,206,1,1,0,0,160.3815,296.6704,10891.9416
1818609555,210,202,1,1,0,0,161.9994,286.1141,8020.5494
1332329453,209,212,1,1,0,0,161.7395,351.9787,8644.6452
181023957,214,211,1,1,0,0,160.9704,290.5258,5632.5669
1802136595,230,229,1,1,0,0,160.8951,282.4113,5809.3717
637631120,221,214,1,1,0,0,177.0114,302.8494,5879.7864
1706040927,219,217,1,1,0,0,163.8021,292.6364,5290.7308
573049588,218,216,1,1,0,0,161.8084,290.8035,5352.8061
1152241987,208,208,1,1,0,0,161.5289,350.7480,5937.5891
1309291604,216,213,1,1,0,0,162.2339,280.7401,5783.2451
2102416186,220,211,1,1,0,0,161.9659,351.4538,5460.3454
1444483879,208,202,1,1,0,0,163.4253,283.8958,4805.8503
326812004,218,210,1,1,0,0,162.4824,355.4554,5740.1478
1190361985,237,227,1,1,0,0,162.0203,363.8504,7189.3180
1445870730,205,204,1,1,0,0,475.7390,297.6253,4685.3169
1788875916,204,204,1,1,0,0,172.9628,288.2197,5556.1845
1310774293,218,216,1,1,0,0,169.1185,359.9133,5711.2649
1085928819,206,201,1,1,0,0,181.1639,284.7339,5833.7043
459395007,217,215,1,1,0,0,165.4699,294.0385,5010.0962
638572196,219,211,1,1,0,0,173.4733,356.4239,5795.0409
639738821,205,201,1,1,0,0,184.2471,290.3667,6360.1422
190604252,227,214,1,1,0,0,180.2359,368.4831,5331.5694
1042720626,223,213,1,1,0,0,164.9367,368.5729,8256.1980
966179508,220,219,1,1,0,0,166.8492,282.2356,8077.4005
125662956,211,206,1,1,0,0,170.7195,359.1217,6385.1206
1889118736,231,224,1,1,0,0,178.9979,361.6787,9314.7646
1180443648,223,195,1,1,0,0,191.6905,285.6871,5842.9399
1995455321,239,214,1,1,0,0,189.0750,361.9684,7237.3184
1322837023,231,224,1,1,0,0,190.1965,352.7377,7991.0666
943897307,217,210,1,1,0,0,186.9380,289.2221,5288.7444
996997129,214,207,1,1,0,0,188.8991,291.6623,4692.7221
257682893,230,212,1,1,0,0,188.5043,294.8073,7994.3628
571818533,207,206,1,1,0,0,191.3823,292.8907,6823.4344
67806860,208,204,1,1,0,0,188.9375,288.2115,5826.8110
453487493,241,223,1,1,4,0,189.2218,329.2430,5103.6486
1967309762,234,216,1,1,5,0,189.0456,310.5220,5392.3719
1268650480,206,203,1,1,0,0,179.0901,288.7075,5085.6684
1921887676,240,216,1,1,0,0,174.4003,358.3576,5006.8097
1047301970,214,205,1,1,0,0,172.4729,286.5047,5768.7721
1906557040,196,194,1,1,0,0,172.7019,294.7491,9994.6451
1018579595,213,213,1,1,0,0,170.7808,286.0247,5097.9647
1392414777,216,208,1,1,0,0,173.7646,294.7433,7931.6626
1543885782,218,211,1,1,0,0,172.5064,432.7733,5612.1877
1845861412,223,214,1,1,0,0,170.7266,290.3389,7450.0110
1959784766,236,220,1,1,0,0,180.3831,440.0602,5615.0972
1559490636,232,229,1,1,0,0,175.3007,287.1896,5421.8770
107754962,239,229,1,1,0,0,177.4276,292.8441,5689.7998
1623784924,217,213,1,1,0,0,171.2064,288.5261,5045.1340
