inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1985700800,179,176,1,1,0,0,274.1431,788.6442,8028.7853
1244723380,180,176,1,1,0,0,259.5025,741.4765,14348.9044
1416237911,189,179,1,1,1,0,236.1983,742.6419,9485.9394
2011432984,195,195,1,1,0,0,256.2670,803.4640,9979.6855
2044952472,210,174,1,1,11,0,249.7876,910.9651,8503.4828
1627271873,203,180,1,1,1,0,260.6265,804.3322,13347.4706
1144156699,186,183,1,1,0,0,250.6934,789.2829,16668.9291
13305307,207,192,1,1,0,0,259.0412,798.0202,8859.8190
2069337836,202,185,1,1,1,0,269.6612,818.2050,15217.4668
1565650554,201,191,1,1,0,0,247.6733,702.3646,12873.8479
1774432654,189,182,1,1,0,0,248.3140,792.5555,8850.7968
528668332,177,173,1,1,0,0,247.8693,892.8818,7790.3948
326088175,192,187,1,1,0,0,277.7326,741.8032,12792.4347
609031039,185,180,1,1,0,0,275.5304,746.8439,8038.3943
1939850826,188,187,1,1,0,0,276.9116,792.5012,10025.6340
1375751164,190,184,1,1,0,0,270.9825,715.7927,15288.3019
5568015,190,173,1,1,0,0,262.3032,740.8907,12812.7763
24265020,175,169,1,1,1,0,281.2330,693.2392,12009.8559
41766539,186,178,1,1,0,0,270.8291,821.8263,15682.2660
1194041565,199,184,1,1,0,0,268.7755,802.7022,14881.7883
1286101795,215,188,1,1,5,0,276.9579,823.4704,14698.9308
800859335,191,177,1,1,0,0,261.1083,787.2438,9250.2469
1532067486,189,181,1,1,0,0,227.3264,854.4141,14060.1510
203686923,193,183,1,1,0,0,221.9012,711.3389,12392.2097
675637532,194,183,1,1,0,0,223.3948,790.5846,9481.8113
1926200545,188,186,1,1,0,0,228.0661,747.3154,15188.0114
1727955652,196,191,1,1,0,0,229.8591,694.2496,12374.8863
1115534650,211,195,1,1,3,0,225.0779,731.5553,9425.7824
1783165962,184,180,1,1,0,0,229.5953,795.7470,12293.3903
782940233,193,188,1,1,0,0,228.4364,698.7132,8986.2618
953840062,205,182,1,1,1,0,231.8704,818.5827,14563.4444
1729521604,204,193,1,1,1,0,218.8696,955.4810,16288.5535
888889741,195,178,1,1,0,0,228.8797,769.5726,8671.2034
1613807926,192,184,1,1,0,0,217.4796,861.3678,12646.8802
165817984,207,187,1,1,0,0,211.6607,689.0151,13426.1668
2083508952,194,188,1,1,0,0,222.9730,719.6518,15323.2324
1584620834,183,172,1,1,0,0,220.1870,729.7001,8555.7230
788873992,193,184,1,1,6,0,217.6009,823.4510,14135.8310
1490054177,206,194,1,1,0,0,218.0561,925.5925,14266.0250
1853886927,212,187,1,1,0,0,214.3498,822.4056,9002.1723
1450070067,189,181,1,1,0,0,218.6681,700.1325,15392.7702
1043154453,187,179,1,1,1,0,209.2919,702.8091,11700.7685
833651740,186,181,1,1,0,0,217.2758,697.2694,11802.0391
963196573,194,180,1,1,1,0,205.9814,676.9446,12529.0331
550275718,188,182,1,1,0,0,214.2487,717.6877,10611.4735
878645534,198,184,1,1,0,0,214.8403,700.3326,8910.8495
578480814,201,194,1,1,0,0,245.1157,710.2946,15313.6286
1131530820,185,184,1,1,0,0,245.3611,799.6224,9052.7528
