inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
706996899,183,146,1,1,1,0,117.9161,276.9751,4432.1316
683795366,155,119,1,1,0,0,89.7261,269.0326,2719.6374
2118981747,191,131,1,1,0,0,83.9922,262.4146,2657.7929
1007790109,211,135,1,1,0,0,92.4375,270.3178,3236.0754
2010124990,181,138,1,1,1,0,101.2139,285.4917,2522.4811
575209377,215,138,1,1,0,0,92.8474,269.8265,2767.1007
716519504,176,150,1,1,0,0,113.5566,259.4317,2281.3910
2095622324,152,129,1,1,2,0,85.4186,273.7324,2749.1788
1682812063,133,114,1,1,0,0,86.2460,256.4657,2852.9518
1444732229,167,128,1,1,1,0,89.6586,259.0394,2668.4375
1550400030,162,131,1,1,0,0,91.9523,255.1891,3539.5269
379014684,126,106,1,1,0,0,80.1263,253.4170,2230.6472
812056294,187,151,1,1,3,0,108.8927,290.1848,4071.5148
1808866698,220,144,1,1,0,0,117.5195,233.3842,2334.2825
2129127787,228,117,1,1,0,0,109.8218,262.6029,2376.8180
1403150193,164,136,1,1,5,0,114.5893,291.2385,2425.5646
37866528,214,148,1,1,2,0,117.3283,272.8002,2850.9929
795077748,182,138,1,1,1,0,118.2137,263.9628,2524.5554
2109154625,202,165,1,1,3,0,117.6809,309.4208,2330.7274
1659120049,215,132,1,1,1,0,115.0563,236.9265,2863.0317
440651958,163,134,1,1,2,0,112.3308,281.0040,3383.5010
2116699563,169,129,1,1,2,0,111.2213,271.9664,2336.2541
402199715,172,126,1,2,0,1,113.4827,230.4018,97175.8047
1828283267,144,120,1,1,1,0,118.1860,268.1416,2375.1728
626864907,241,139,1,1,1,0,117.4950,236.5111,3808.6404
1772095754,174,135,1,1,5,0,114.2707,311.4816,2926.8645
363212762,263,142,1,1,0,0,113.5876,266.8017,5602.9360
1779548668,216,121,1,1,0,0,113.3830,258.4984,2471.8604
510488052,170,157,1,1,0,0,118.2040,256.4439,2441.4692
652597006,151,129,1,1,0,0,108.9152,363.0153,4107.4590
1200039479,152,130,1,1,0,0,111.7859,252.3010,2444.9709
65517415,212,136,1,1,0,0,111.8881,333.8832,2788.8225
924314880,173,132,1,1,0,0,78.8032,259.7653,2404.2653
1308026973,209,139,1,1,1,0,79.5612,269.5405,2517.1683
968034873,240,134,1,1,1,0,83.4866,284.2074,4599.0739
2087158973,170,136,1,1,0,0,81.7165,263.6513,2508.6694
54414185,176,134,1,1,8,0,80.9888,310.6341,3998.2192
152289771,202,138,1,1,0,0,81.8181,259.1756,3608.3163
812769497,197,141,1,1,0,0,79.1997,261.6138,2473.2400
1007832294,239,142,1,1,2,0,81.8759,276.3691,2628.4740
