inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,139,129,1,1,0,0,62.0476,340.4196,1977.9047
505628541,149,142,1,1,0,0,51.0700,280.7247,1478.9147
797596457,168,148,1,1,0,0,48.8683,265.2931,1572.6733
2035793211,163,145,1,1,0,0,56.2016,377.7676,1632.5724
1894077978,159,147,1,1,0,0,52.0765,281.5406,1529.2278
519748837,174,149,1,1,3,0,44.9175,400.3942,1766.9668
21277857,184,169,1,1,0,0,45.7196,280.0349,1570.8746
1710451381,175,156,1,1,0,0,46.2739,374.0244,1572.1270
2007519886,178,166,1,1,5,0,46.0259,302.9595,1746.8922
1030670531,154,150,1,1,0,0,47.9157,270.7900,1733.5429
322137773,169,160,1,1,0,0,47.1586,286.0624,1618.3253
689566352,160,152,1,1,0,0,44.9456,360.5250,1492.4225
1469142020,152,142,1,1,0,0,50.5671,372.3846,1772.4945
797339142,161,143,1,1,0,0,45.9522,274.1808,1625.1355
1694983470,176,166,1,1,0,0,46.5251,281.0354,1901.1923
1750907626,158,153,1,1,0,0,47.1427,359.9366,1963.5385
755829249,160,151,1,1,0,0,41.7616,287.5261,1535.4735
1325310543,168,154,1,1,0,0,45.2608,274.9790,1624.8833
798533364,174,152,1,1,0,0,46.5468,290.4453,1731.8815
1679431852,168,151,1,1,0,0,46.4673,267.7448,1444.3737
232569757,171,158,1,1,0,0,59.5348,286.5409,1637.2525
757494092,155,143,1,1,0,0,49.5346,274.6909,1492.7600
244395394,165,150,1,1,0,0,54.6639,292.7169,1680.3574
517341472,172,145,1,1,1,0,46.3432,257.7183,1650.6048
1904385271,180,172,1,1,0,0,57.3224,283.2584,1803.4478
1391722606,161,154,1,1,1,0,50.7669,282.3972,1721.1304
776181813,151,138,1,1,1,0,52.1857,281.3164,1663.5145
1377699324,170,163,1,1,0,0,48.9245,258.8817,1710.9694
1087515030,153,145,1,1,0,0,50.4942,226.9985,1539.6684
909477809,179,156,1,1,0,0,48.8996,276.9527,1590.4991
2109625957,155,146,1,1,1,0,46.3190,292.7230,1475.4261
350656507,178,142,1,1,0,0,45.0964,274.5762,1754.4974
817732023,150,147,1,1,0,0,48.0706,289.0464,1574.4195
1478867520,170,153,1,1,0,0,46.0100,259.3706,1598.7220
848393533,163,146,1,1,0,0,46.6636,276.2667,1703.0094
1863852282,182,151,1,1,0,0,51.3461,277.4025,1819.3221
141896490,166,152,1,1,0,0,46.1332,385.5674,1495.8582
463544342,151,147,1,1,0,0,43.7144,257.2182,1609.6529
776803259,131,128,1,1,0,0,46.3714,280.5215,1742.5378
266654143,147,145,1,1,0,0,45.1382,263.2061,1618.6284
1751832830,170,159,1,1,0,0,47.2522,279.9358,1543.9110
338382071,160,156,1,1,0,0,46.4784,279.1969,1587.2007
2117091728,194,165,1,1,6,0,46.6069,307.9549,1628.7731
589533569,165,148,1,1,0,0,45.1084,377.5013,1715.7468
1460234499,156,145,1,1,0,0,45.4056,289.9412,1558.3357
753060086,178,158,1,1,0,0,47.1323,251.8491,1587.4631
417753672,167,151,1,1,0,0,46.5410,279.3923,1675.0637
1009205675,168,153,1,1,0,0,46.3226,277.2982,1892.5376
1644453309,157,146,1,1,0,0,47.9476,229.4781,1606.6884
1923901314,176,164,1,1,0,0,49.1421,286.4607,1838.4930
1488152001,176,164,1,1,0,0,44.3448,247.2151,1771.3401
1541033487,187,171,1,1,0,0,45.6518,283.4967,1616.3358
1780649109,142,139,1,1,0,0,45.2079,258.6666,1593.0217
560089642,186,168,1,1,0,0,45.7693,282.0148,1649.0991
1313768928,173,158,1,1,0,0,49.5910,288.9723,1762.9058
1168861801,169,159,1,1,0,0,48.6185,272.6342,1488.7413
2122631245,179,164,1,1,0,0,51.6443,281.8224,1910.7575
1825736765,164,158,1,1,0,0,47.9775,271.1266,1523.4573
1151790945,146,144,1,1,0,0,50.2091,277.7750,1674.6266
547472299,150,148,1,1,0,0,49.5155,258.8352,1744.0877
460045118,158,152,1,1,0,0,48.4778,368.0425,1627.9645
1550986770,151,144,1,1,0,0,51.9874,368.3791,1674.6434
1103899493,172,160,1,1,0,0,52.9155,363.1887,1552.9119
1190015605,172,166,1,1,0,0,49.7591,291.0289,1555.9933
914695426,160,151,1,1,0,0,48.9076,379.1776,1852.1639
1057041588,129,126,1,1,0,0,47.7134,284.6086,1582.5726
1667503023,153,130,1,1,0,0,55.7179,365.8633,1707.3740
720669986,174,147,1,1,0,0,51.1171,273.1472,1823.8773
1548183416,168,160,1,1,0,0,55.1422,281.6703,1601.3527
2117148771,162,153,1,1,0,0,52.5713,267.4593,1585.3858
1238145702,169,159,1,1,1,0,50.4762,283.9572,1566.3746
1517678363,153,149,1,1,0,0,46.0888,354.4405,1674.6570
876002421,194,164,1,1,0,0,52.8068,283.6632,1789.0006
949168523,183,168,1,1,0,0,45.6848,273.4098,1653.3856
588188226,159,141,1,1,1,0,45.9849,289.3243,1990.8169
1796334885,147,140,1,1,0,0,54.4327,260.2608,1749.5112
1057186015,155,148,1,1,0,0,49.8486,291.4592,1792.0992
1089619190,177,157,1,1,0,0,55.2357,286.8424,1563.7386
922389281,147,144,1,1,0,0,49.1228,286.2879,1637.7227
1151965810,169,151,1,1,3,0,44.8922,289.1412,1395.5775
1081553316,161,148,1,1,0,0,49.0433,267.9182,1557.4991
1307761068,170,156,1,1,0,0,48.6745,262.7306,1533.0675
537384931,187,153,1,1,0,0,53.2794,385.8760,1874.2256
691761703,171,165,1,1,0,0,46.0384,234.4741,1655.4427
541568297,153,152,1,1,0,0,46.8154,310.5556,1820.7945
215535636,156,147,1,1,0,0,51.3083,278.8390,1569.2910
920355235,174,167,1,1,0,0,45.0107,233.4436,1597.3715
1344633394,174,162,1,1,0,0,49.3356,282.7285,1730.7988
579867935,161,151,1,1,2,0,51.8059,253.8444,1572.2985
1243231459,153,140,1,1,0,0,47.1185,263.2843,1681.6844
1109061197,195,175,1,1,1,0,45.4071,294.2223,1696.0312
1341295882,163,161,1,1,0,0,45.3627,296.0557,1506.9013
1818369884,158,154,1,1,0,0,44.9859,341.3799,1551.5445
1369605050,190,166,1,1,0,0,47.7685,284.9897,1780.4496
124822658,158,155,1,1,0,0,49.0030,292.8681,1604.9462
1346091797,154,152,1,1,0,0,46.7601,234.9261,1544.5366
1848174138,141,141,1,1,0,0,45.3908,255.8420,1438.5623
43329993,175,173,1,1,0,0,49.5094,276.8169,1737.1572
1083942938,155,144,1,1,0,0,44.7449,280.4547,1523.8285
