inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
783395982,137,137,1,1,0,0,1105.6579,727.5940,19006.6361
1310174684,136,136,1,1,0,0,1083.5968,729.8183,16470.5328
943794695,140,137,1,1,0,0,1053.6243,735.9080,19060.0082
1524337874,136,136,1,1,0,0,1077.3710,756.8243,17068.8853
1003551207,137,132,1,1,1,0,1056.8185,806.2850,17728.5034
876889669,154,149,1,1,0,0,1039.8567,740.3808,18623.0478
88968503,141,136,1,1,3,0,1191.8464,957.0216,18573.8362
495324151,139,139,1,1,0,0,1177.0970,724.1212,17704.0374
271115331,146,139,1,1,3,0,1174.5117,803.8503,21008.3284
793004377,155,150,1,1,1,0,1186.2316,743.2198,18576.5489
102712063,139,138,1,1,0,0,1193.6732,722.5385,17392.9093
694629710,140,137,1,1,0,0,1197.5916,759.2045,17027.5977
1315410671,146,143,1,1,0,0,1214.0289,740.2883,17042.4365
2103835374,146,145,1,1,0,0,1219.1015,746.3402,20976.5756
929693974,147,142,1,1,0,0,1233.3293,746.7470,20061.0607
445023890,140,138,1,1,1,0,1098.1640,791.4139,18102.1511
1363149196,135,134,1,1,0,0,1228.6604,743.9937,17440.7289
131714713,136,134,1,1,0,0,1226.8567,745.8204,20155.0562
709049247,145,142,1,1,0,0,1074.9175,774.2635,19847.5129
1267113693,150,145,1,1,0,0,1046.4243,732.5553,19587.0518
356605015,137,136,1,1,1,0,1186.7855,748.6995,20911.0168
654612640,137,136,1,1,0,0,1172.8319,726.8324,17458.5479
914235068,138,138,1,1,0,0,1037.1511,725.3183,18901.0546
1274202649,139,134,1,1,0,0,1033.5982,753.1795,19525.6087
844039691,145,144,1,1,0,0,1039.1863,721.9637,16686.6483
2093556902,137,133,1,1,1,0,1041.5258,751.6823,18945.1535
70581820,135,135,1,1,0,0,1037.1831,724.3643,16940.8224
2145131325,141,136,1,1,1,0,1174.6908,744.7791,19869.7234
1687543258,137,135,1,1,0,0,1176.1349,722.2315,18378.6161
1381916116,139,136,1,1,1,0,1054.5673,730.1344,18200.9262
1984923315,133,130,1,1,1,0,1184.3017,745.5520,18392.5819
1398464375,136,134,1,1,0,0,1197.6833,765.4178,15914.5056
1689134195,145,144,1,1,1,0,1202.2576,842.0186,16031.9766
255249126,140,139,1,1,0,0,1205.6774,767.2456,18793.3689
1424630989,141,139,1,1,0,0,1228.5219,747.4677,18031.7897
1446953374,137,135,1,1,0,0,1191.9889,731.2811,20421.3891
580190854,144,140,1,1,0,0,1207.1777,743.1709,18074.5683
235244264,138,139,1,1,0,0,1189.9361,737.9759,17761.9376
1276634559,146,142,1,1,1,0,1179.3438,796.4352,17784.5671
1991939944,144,144,1,1,0,0,1213.7870,756.3169,18560.4910
662622105,132,131,1,1,1,0,1041.2375,866.5551,21904.1006
2024957550,153,152,1,1,0,0,1058.9473,733.7348,20199.8913
1035084063,134,131,1,1,1,0,1120.6637,792.3384,18798.6820
1764164777,149,146,1,1,0,0,1201.2004,730.8163,17667.8731
2142219334,142,138,1,1,1,0,1184.3339,749.0033,16799.8871
1374148090,142,138,1,1,0,0,1183.0762,723.0014,16635.6013
272702896,145,143,1,1,0,0,1177.4523,727.3079,17013.5288
452218744,146,145,1,1,0,0,1165.9617,739.6574,19784.4196
835569989,135,135,1,1,0,0,1164.9049,716.3469,18577.8822
1717373667,142,139,1,1,0,0,1000.2021,721.5733,20382.9275
400700610,138,135,1,1,0,0,1029.1979,671.6288,17284.9466
1381554377,141,138,1,1,0,0,969.5249,625.2659,15387.9875
1483034390,131,129,1,1,1,0,949.5271,639.7283,14178.1564
1811563369,143,140,1,1,0,0,952.0526,641.5301,16731.8715
1782346661,141,137,1,1,3,0,927.3812,784.7625,16044.8385
1937418048,131,129,1,1,0,0,917.8380,611.2973,14811.6348
729964383,141,141,1,1,0,0,947.0758,586.9610,13848.0072
1642660989,143,139,1,1,0,0,957.6509,571.8119,14735.6477
1947462885,144,143,1,1,0,0,957.6023,586.4917,16210.7041
415827853,144,138,1,1,1,0,956.3097,608.4429,15101.7399
1855870901,138,132,1,1,3,0,971.4436,665.5946,13037.1419
175013076,135,134,1,1,0,0,1114.7559,588.5245,15339.9579
573577262,132,132,1,1,0,0,1114.8380,606.7552,15426.5002
513286747,140,135,1,1,0,0,1198.8332,781.5490,21866.7677
374185739,139,135,1,1,0,0,1222.6100,765.5607,20357.6382
1015054281,139,139,1,1,0,0,1082.7119,781.4443,16446.8000
157432434,140,135,1,1,0,0,1079.8490,795.7978,19770.3675
1936353055,149,143,1,1,3,0,1032.7417,924.4359,17708.3252
1623269936,145,144,1,1,0,0,1029.6565,716.7464,16198.9644
1909374011,123,120,1,1,2,0,1009.8176,836.5571,14919.4590
1093382288,139,137,1,1,0,0,1001.3395,732.4788,17316.2289
218358107,144,141,1,1,1,0,1004.4265,789.1290,16941.0426
1218250739,137,137,1,1,0,0,1002.2318,709.7273,16892.1715
2085097820,133,131,1,1,0,0,994.9542,696.2537,16437.5079
286372936,142,138,1,1,0,0,999.9010,712.2447,16648.8159
918906862,156,140,1,1,5,0,1013.3646,962.4595,18658.9053
1906944048,128,127,1,1,0,0,996.4859,694.4521,16737.1580
1328885686,142,141,1,1,0,0,1007.8003,710.5290,19349.6001
623183118,140,140,1,1,0,0,1000.8811,700.7842,16541.3783
662864585,147,146,1,1,0,0,1023.7940,750.1797,22118.5200
849680051,143,142,1,1,1,0,1024.9095,744.4570,17459.6808
721180060,136,134,1,1,0,0,1029.8944,719.8967,18158.5188
1586583978,144,143,1,1,0,0,1094.2180,782.1806,21933.2292
1321819760,134,131,1,1,1,0,1078.6781,777.6268,19126.6173
135749628,158,149,1,1,1,0,1069.3429,861.2813,18434.5680
1713618934,138,137,1,1,0,0,1066.7666,786.2744,18126.0719
850791267,143,141,1,1,0,0,1096.5101,801.3422,17028.4902
1130495258,141,139,1,1,0,0,1062.8717,740.3630,20063.7619
122731100,137,137,1,1,0,0,1055.8246,746.2148,16756.9690
305402604,141,139,1,1,0,0,3528.7192,746.6864,18780.3228
43906542,142,135,1,1,0,0,1079.4952,740.5020,18889.8994
1290056416,143,140,1,1,0,0,1051.1729,732.6085,19571.0445
968293393,144,141,1,1,0,0,1251.0576,804.7684,19214.1866
2136283871,147,146,1,1,0,0,1085.9235,731.9805,19073.7427
2140003771,141,135,1,1,1,0,1059.9467,749.5146,17029.8165
873528702,143,143,1,1,1,0,1049.9739,787.0204,20771.9294
1594079428,134,132,1,1,1,0,1010.3725,749.9975,17598.0497
1192554972,140,139,1,1,0,0,1029.7340,718.9217,19045.1327
1315338152,133,132,1,1,0,0,1038.3414,743.5927,19372.6190
568822149,132,131,1,1,0,0,1028.7324,744.3361,16579.2852
