role,map,cost_ratio,exact_match,diff_mean,nn_ms,solver_ms,speedup,n,n_cells,native
joint,empty,1.0711902584297448,0.036250000000000004,25.823749999999997,3095.851294875,28283.038520125,9.135787163597266,800,8,False
joint,random,1.073731947729999,0.03566778900112233,27.582112279255135,5370.236109632997,47026.44409500209,8.75686713488206,893,9,False
joint,maze,1.0571907267566176,0.04,19.78665544332211,3746.3697714556683,45213.32525303143,12.0685698452728,899,9,False
joint,room,1.0688969128078152,0.03890625,24.490101379666697,3323.7031680342016,35518.74997188689,10.686498816587884,786,8,False
empty,empty,1.072293914857749,0.02888888888888889,26.669674523007856,2238.865396420875,37037.13517061392,16.54281460145961,897,9,True
empty,random,1.0939055972313698,0.01789141414141414,34.58266466543833,4392.111553090722,34564.683266231026,7.869718892250793,880,9,False
empty,maze,1.4949721763966504,0.0,148.26925359531575,7155.101450699094,32952.72807127247,4.605487189570568,785,9,False
empty,room,1.101616284658982,0.011250000000000001,34.925514943885474,3466.3090908679283,28198.146870681096,8.134919919567983,780,8,False
random,empty,1.061940759180944,0.052222222222222225,23.046924803591466,2172.8047672603816,36087.03843892593,16.608504814920344,899,9,False
random,random,1.0670468995937423,0.0311454753722795,25.36233063132683,1980.0766191131133,33913.66646569918,17.12745160381182,887,9,True
random,maze,1.6216572743650874,0.0,181.93188385519574,12627.779108881734,32565.33424833285,2.578864736826768,500,9,False
random,room,1.0688305070754722,0.030022675736961452,24.775686068968742,2120.0358263354365,33194.1344264152,15.657345981644347,884,9,False
maze,empty,1.1571799601624067,0.0022222222222222222,55.058888888888895,2187.858181,35821.506430111105,16.37286490559376,900,9,False
maze,random,1.1466932807842392,0.0011111111111111111,52.76994967597118,2012.9762841435863,33883.845151415735,16.832709564599515,891,9,False
maze,maze,1.0574004076740582,0.030022446689113358,19.99466891133558,2718.5248657272728,35837.16948724916,13.182579250626727,898,9,True
maze,room,1.1230926789963052,0.0,41.25129380540095,4430.854147305246,33818.26431325793,7.632448098934942,793,8,False
room,empty,1.0781909177108755,0.0225,28.18125,4240.108085625,37965.118892499995,8.953809225102304,800,8,False
room,random,1.0786087108981808,0.02888888888888889,29.561803293708053,6646.53937121045,45674.852964531456,6.871975085617115,896,9,False
room,maze,1.48059881544034,0.0,145.8459826470158,15214.077215870828,34659.939017308556,2.2781492775094137,607,9,False
room,room,1.06620233024474,0.03751262626262626,23.599146100177027,2805.150134196065,25796.14873087981,9.195995756666617,789,8,True
