map,N,M,n,cost_ratio,exact_match,diff_mean,diff_max,diff_std,alloc_ms,nn_plan_ms,solver_ms
empty-32-32,60,100,100,1.059520069979337,0.0,11.86,27.0,6.183882275722914,199.04899699999999,475.22327200000007,28468.515853000004
empty-32-32,60,225,99,1.1255338673746125,0.0,44.39393939393939,71.0,11.537219683118153,444.06504949494945,960.5740181818181,19181.780978787883
empty-32-32,60,350,99,1.1792365390829243,0.0,84.72727272727273,130.0,14.90360825527261,828.4619828282829,1465.7722212121214,44351.92740202021
empty-32-32,120,100,100,1.0231451907978195,0.09,3.72,12.0,3.0857089947044587,357.9199,616.482332,10089.220981
empty-32-32,120,225,100,1.055742442727307,0.0,17.54,39.0,7.942820657675709,1061.408786,1078.870797,31423.528272000003
empty-32-32,120,350,99,1.0910589834611928,0.0,39.58585858585859,73.0,11.19885465013952,1881.5145262626258,1683.6084808080811,62904.576071717165
empty-32-32,180,100,100,1.0193106027715562,0.13,2.73,13.0,2.770758019026562,576.770609,796.7851200000001,14203.891073000003
empty-32-32,180,225,100,1.0326311067990854,0.04,9.26,27.0,5.7560750516302335,1638.275957,1225.9882069999999,40356.592536000004
empty-32-32,180,350,100,1.064466430725906,0.0,26.21,49.0,9.117340621036378,2967.7553370000005,1891.2629749999999,82354.18336800001
random-32-32-20,60,100,96,1.0822424199916527,0.010416666666666666,17.260416666666668,46.0,9.257029751836647,174.05123229166665,4863.371364583333,6803.565044791667
random-32-32-20,60,225,98,1.1579710704440562,0.0,57.724489795918366,94.0,12.687596877880782,471.8669459183674,2563.21206122449,19156.936435714284
random-32-32-20,60,350,94,1.2062225786091791,0.0,99.47872340425532,139.0,18.13291865078083,823.5846989361702,1244.5384851063832,42517.08894148937
random-32-32-20,120,100,99,1.0379316750180538,0.06060606060606061,6.363636363636363,20.0,4.829318176470337,361.5267181818181,5560.163849494949,9922.221975757577
random-32-32-20,120,225,100,1.0754697834166347,0.0,24.14,49.0,8.618607776201445,969.6355140000001,854.300175,32028.449749000003
random-32-32-20,120,350,97,1.1232183974824064,0.0,53.93814432989691,88.0,12.806099088952738,2048.9927876288657,5758.166038144331,63338.96046597939
random-32-32-20,180,100,100,1.027240324054782,0.09,3.91,12.0,2.8003392651605625,600.3912829999999,986.9216089999999,13992.108116000001
random-32-32-20,180,225,98,1.0528687896612674,0.0,15.10204081632653,38.0,6.76499060427175,1669.7130867346937,6212.499760204081,41269.65352040817
random-32-32-20,180,350,98,1.0819853364042957,0.0,33.326530612244895,57.0,10.485924005497221,2789.3395428571425,1576.728825510204,82053.16514693879
maze-32-32-2,60,100,92,1.3866875810464012,0.0,81.07608695652173,174.0,26.61367485027043,179.37903804347826,16736.989330434782,10494.331997826086
maze-32-32-2,60,225,86,1.4920615820244052,0.0,171.7674418604651,284.0,39.19974917415146,453.00796046511635,4458.754002325581,17487.316419767438
maze-32-32-2,60,350,74,1.5320422449311617,0.0,237.3783783783784,388.0,44.56113404796396,802.9790081081081,10638.285754054055,38269.28342972973
maze-32-32-2,120,100,97,1.426985510958085,0.0,68.82474226804123,146.0,17.798418966781274,351.2203350515464,6284.594191752577,9792.870035051546
maze-32-32-2,120,225,89,1.4956809013138306,0.0,147.3370786516854,308.0,31.210752907991527,1005.8386292134833,881.1993921348316,31404.511406741574
maze-32-32-2,120,350,80,1.5165805358327222,0.0,207.075,372.0,39.98555207821945,1728.5943599999998,9556.802673749999,57881.3670475
maze-32-32-2,180,100,98,1.4867802878466951,0.0,65.62244897959184,110.0,16.42143652899978,622.1332030612244,552.7798224489795,14186.563219387754
maze-32-32-2,180,225,95,1.5778982927590277,0.0,152.8421052631579,306.0,29.663841462371483,1669.937027368421,1220.2772010526314,40496.28790842106
maze-32-32-2,180,350,74,1.5400326508575255,0.0,202.5,301.0,28.28247953501688,2738.9405459459463,4514.200581081081,76562.02117702703
room-32-32-4,60,100,99,1.0934782463686712,0.0,19.737373737373737,42.0,10.17084947097982,175.34410202020206,4208.797650505051,10494.469391919192
room-32-32-4,60,225,96,1.1558220473750673,0.0,55.34375,102.0,14.532885212653634,520.3537072916666,4035.0240104166664,18380.788132291666
room-32-32-4,60,350,91,1.202548837854818,0.0,93.86813186813187,134.0,19.01659702586531,829.8209714285716,5838.024795604397,40840.33156703297
room-32-32-4,120,100,100,1.0429246677105806,0.02,6.96,30.0,5.28,426.336161,407.903586,9801.428468
room-32-32-4,120,225,98,1.0880446941915725,0.0,26.8265306122449,49.0,9.049777886781714,1015.3766214285715,3665.4060540816336,30901.730608163263
room-32-32-4,120,350,96,1.1268132241424291,0.0,52.958333333333336,78.0,11.10922727085712,1782.653353125,1166.3333260416666,60587.89687604166
room-32-32-4,180,100,100,1.0331303373719551,0.07,4.58,18.0,3.5190339583470913,595.592974,509.248214,13844.380362000002
room-32-32-4,180,225,100,1.070168222256763,0.0,19.13,35.0,6.623677226435479,1697.5076059999994,856.7495940000001,40734.149560000005
