map,N,M,n,cost_ratio,exact_match,diff_mean,diff_max,diff_std,alloc_ms,nn_plan_ms,solver_ms
empty-32-32,60,100,100,1.0620398248269551,0.02,12.4,37.0,7.8051265204351425,330.967289,761.1520580000001,33008.442389
empty-32-32,60,225,100,1.119154918223129,0.0,42.18,74.0,11.38365494909258,856.79624,1573.8991960000003,22904.107692
empty-32-32,60,350,100,1.1674570488400802,0.0,79.17,114.0,13.874476566703336,631.7034500000001,1612.424269,37240.314768000004
empty-32-32,120,100,100,1.0249938131665401,0.11,4.01,18.0,3.7053879688907068,285.839523,713.7869170000001,7708.227714
empty-32-32,120,225,100,1.0533910155269248,0.0,16.81,40.0,8.003368041018732,786.305761,5035.314154000001,26727.863339000003
empty-32-32,120,350,100,1.091818597899948,0.0,39.9,65.0,10.94851588115942,1463.8011019999997,6678.431504,54764.96499499999
empty-32-32,180,100,100,1.0158772086034586,0.15,2.24,8.0,2.267686045289339,447.21630699999986,906.7432210000001,10087.49137
empty-32-32,180,225,100,1.0347896403509225,0.01,9.88,28.0,5.66970898724088,1265.878121,1416.5512469999999,33822.895893999994
random-32-32-20,60,100,100,1.0607529366821666,0.01,12.71,41.0,7.971568227143264,778.177393,840.0574269999998,10152.187280000002
random-32-32-20,60,225,99,1.1290449577987722,0.0,47.19191919191919,84.0,13.45600895974669,2172.793778787879,3898.6209797979805,28199.07486060606
random-32-32-20,60,350,98,1.177951071966383,0.0,85.9795918367347,148.0,18.314697784441968,4099.174845918368,2700.1164051020405,62953.809254081636
random-32-32-20,120,100,99,1.0293452870275517,0.08080808080808081,4.929292929292929,16.0,3.9829244756634408,1702.526316161616,1134.193977777778,14462.524765656568
random-32-32-20,120,225,100,1.0565417999677906,0.0,18.08,42.0,7.896429572914584,4802.081781999999,1919.9002799999998,48162.314781
random-32-32-20,120,350,100,1.095694569364322,0.0,41.95,74.0,10.613552656862828,9144.698151999999,3194.061460000001,95090.43810900001
random-32-32-20,180,100,100,1.0189302814848178,0.21,2.7,16.0,3.044667469527666,1038.1582230000001,766.3224999999999,15719.770926
random-32-32-20,180,225,99,1.0335218672459972,0.020202020202020204,9.575757575757576,28.0,5.778907850211014,2574.316373737374,1220.9253434343434,45824.876689899
random-32-32-20,180,350,98,1.0618047580321897,0.0,25.122448979591837,46.0,9.095037115094579,4206.487846938776,2139.511902040816,102673.0001887755
maze-32-32-2,60,100,100,1.0415941389738708,0.05,8.76,35.0,6.897999710060881,336.730363,6087.340250000001,13246.904131
maze-32-32-2,60,225,100,1.08836632892246,0.0,30.79,65.0,12.122124401275546,821.811854,932.0920160000002,22403.19969
maze-32-32-2,60,350,99,1.1372279972404058,0.0,60.98989898989899,118.0,16.59955880483121,1458.464913131313,3176.0097969696967,48850.774128282836
maze-32-32-2,120,100,100,1.0252479297079002,0.13,4.11,17.0,3.5352369086102278,648.69538,596.999918,13190.049973
maze-32-32-2,120,225,100,1.041032478571841,0.01,12.24,34.0,7.464743800024218,1772.0666899999999,1041.4241869999998,42591.864696000004
maze-32-32-2,120,350,100,1.0742664687617463,0.0,29.77,57.0,10.406589258734101,2842.585265,1585.3753179999999,77463.58210099999
maze-32-32-2,180,100,100,1.020565543580281,0.15,2.79,10.0,2.635507541252728,1121.8847269999999,751.1696170000001,18023.899426
maze-32-32-2,180,225,100,1.0340091364919866,0.01,9.02,20.0,4.857941951073521,2683.1633399999996,1135.509514,53857.70361300001
maze-32-32-2,180,350,100,1.0524065185590668,0.01,19.61,40.0,8.328139047830552,4693.555103000001,2032.4496910000003,117291.94951900002
room-32-32-4,60,100,96,1.0538115284350436,0.03125,11.395833333333334,35.0,7.632822717637878,344.11331249999995,4631.735883333334,16113.058065625
room-32-32-4,60,225,99,1.109887189614602,0.0,39.06060606060606,73.0,12.849413917238753,518.4408484848485,1149.9071262626262,25637.22957171717
room-32-32-4,60,350,95,1.1580869932099527,0.0,73.38947368421053,122.0,17.632084831705672,1967.2144094736843,1693.7374431578949,57537.32830526317
room-32-32-4,120,100,100,1.0248818384694705,0.1,4.03,16.0,3.637182975875698,568.4324660000001,616.6376500000001,11931.100215999999
room-32-32-4,120,225,98,1.0498814542825752,0.0,15.23469387755102,31.0,7.024448588146512,1370.228426530612,1075.4572193877552,37952.53815816327
room-32-32-4,120,350,98,1.0922215489067988,0.0,38.51020408163265,69.0,11.207909832591156,2185.979781632653,5541.982575510203,70341.96296632652
room-32-32-4,180,100,100,1.0201782003880508,0.18,2.79,12.0,2.7029428406830953,826.1386959999999,778.618655,16369.324410999998
room-32-32-4,180,225,100,1.042226549156028,0.0,11.51,26.0,4.834242443237616,2143.8128770000003,1177.187974,48267.458081
