map,N,M,n,cost_ratio,exact_match,diff_mean,diff_max,diff_std,alloc_ms,nn_plan_ms,solver_ms
empty-32-32,60,100,100,1.1419299187644214,0.0,28.23,58.0,9.291775933587722,179.50368899999995,478.4015,28077.72565199999
empty-32-32,60,225,100,1.2289937716101518,0.0,81.0,116.0,14.037093716293269,439.242989,997.5387020000001,18940.986326
empty-32-32,60,350,100,1.2676971151934258,0.0,126.51,166.0,17.137966623844264,768.698089,1510.663239,43909.888104
empty-32-32,120,100,100,1.07611136027967,0.0,12.26,26.0,5.2756421410099446,354.7545410000001,618.1918529999999,9834.754085999999
empty-32-32,120,225,100,1.1525136166622412,0.0,48.05,75.0,10.230713562601585,999.8263390000002,1100.9166300000002,30896.028801
empty-32-32,120,350,100,1.2026111325836077,0.0,88.12,119.0,11.158207741389296,1774.5964210000002,1649.5394020000003,61234.60533199999
empty-32-32,180,100,100,1.055174166739854,0.02,7.77,17.0,3.475212223735408,582.9940359999999,784.1128520000003,13724.040244
empty-32-32,180,225,100,1.115958672983456,0.0,32.9,52.0,8.03181175078201,1581.2102099999997,1281.8148,39755.070911999996
empty-32-32,180,350,100,1.1736298866448325,0.0,70.69,95.0,10.876299922308139,2687.2181960000003,1901.5001410000002,76020.458414
random-32-32-20,60,100,100,1.1377598716601691,0.0,28.78,55.0,10.247516772369782,171.42813299999997,375.2514939999999,6662.617797
random-32-32-20,60,225,100,1.2265927145996351,0.0,82.81,120.0,14.649706481701264,439.279172,795.1490909999999,18917.004145
random-32-32-20,60,350,93,1.2673009233754748,0.0,128.7741935483871,163.0,17.098782596580367,793.7267591397848,1228.969064516129,41276.89191290323
random-32-32-20,120,100,100,1.0621830590655386,0.01,10.37,26.0,5.315364521836672,394.28382099999993,485.30625100000003,9873.086313
random-32-32-20,120,225,99,1.1373801806316943,0.0,43.93939393939394,75.0,11.327822351566525,960.8267252525252,908.0291444444446,31577.167792929293
random-32-32-20,120,350,100,1.190406513423839,0.0,83.41,124.0,13.756522089539928,1859.7727320000004,1399.743884,61917.23097899999
random-32-32-20,180,100,100,1.0460478821716197,0.0,6.61,18.0,3.334351511163753,603.4743119999999,624.402478,13937.222008000002
random-32-32-20,180,225,99,1.1034879815451053,0.0,29.595959595959595,55.0,8.07405020454036,1640.4948444444447,1043.4642494949494,40869.57499090909
random-32-32-20,180,350,100,1.149080400585076,0.0,60.64,95.0,11.504364389222031,2720.733892,1672.4505100000001,79923.81042400001
maze-32-32-2,60,100,99,1.0412482512220134,0.020202020202020204,8.666666666666666,35.0,6.970355700095841,173.24061616161612,319.892796969697,10032.079920202023
maze-32-32-2,60,225,100,1.0925834888458048,0.0,32.31,66.0,12.621168725597483,444.801447,6209.201568000001,17430.095498
maze-32-32-2,60,350,99,1.133939809823258,0.0,59.535353535353536,103.0,13.583496471459926,803.3692404040404,962.7930010101011,37833.128404040406
maze-32-32-2,120,100,100,1.0200876986632803,0.09,3.27,35.0,4.244655463049976,359.7722,398.67552800000004,9701.242854999999
maze-32-32-2,120,225,100,1.0424742373546112,0.0,12.66,39.0,7.777171722419404,983.0891009999999,705.4626000000001,31137.910663000002
maze-32-32-2,120,350,100,1.0760562412765244,0.0,30.48,55.0,9.292448547073048,1684.9247910000004,1073.3128470000001,58121.38494199999
maze-32-32-2,180,100,100,1.0187941585965137,0.16,2.55,9.0,2.210769096943414,894.2903570000002,752.261395,15505.124617000003
maze-32-32-2,180,225,100,1.034034264973331,0.0,8.99,22.0,4.468769405552271,2670.2639480000003,1239.5313469999999,47351.57513899999
maze-32-32-2,180,350,100,1.0573855183111867,0.0,21.49,38.0,6.7044686590363,3178.1396799999998,1613.701328,95421.983347
room-32-32-4,60,100,99,1.120996592851983,0.0,25.636363636363637,69.0,11.015557910055614,186.14502525252527,2372.4925535353536,13374.988907070703
room-32-32-4,60,225,98,1.187592740779577,0.0,66.56122448979592,111.0,15.460988646564493,649.2176091836735,11582.667664285716,20534.84680612245
room-32-32-4,60,350,98,1.2179262259580876,0.0,101.1734693877551,167.0,17.62941970070929,677.5532551020409,1174.1922591836733,34054.27240816326
room-32-32-4,120,100,100,1.0620704661177311,0.0,10.02,31.0,5.7340735956211795,493.99336399999993,666.9072219999999,13545.866005999998
room-32-32-4,120,225,99,1.1080348671556746,0.0,32.898989898989896,60.0,9.479904263139044,3835.82852020202,1273.5966333333333,35507.87272626263
room-32-32-4,120,350,99,1.1484005378634932,0.0,62.03030303030303,90.0,11.76319765625367,2554.0468848484848,1881.5443515151512,74200.15984444444
room-32-32-4,180,100,100,1.0474542978891617,0.0,6.53,21.0,4.1939360987025065,2371.359323,971.918403,15432.896040999998
room-32-32-4,180,225,100,1.092265703354734,0.0,25.16,45.0,7.566663729808535,3207.083211,1548.2868989999997,63895.211767
