map,N,M,n,cost_ratio,exact_match,diff_mean,diff_max,diff_std,alloc_ms,nn_plan_ms,solver_ms
empty-32-32,60,100,100,1.0470085358793648,0.05,9.37,28.0,6.297070747577797,174.659815,470.72899600000005,28149.690438
empty-32-32,60,225,100,1.1065921619773575,0.0,37.71,87.0,10.798421180894918,447.19557999999995,976.6089939999998,19074.315699000002
empty-32-32,60,350,100,1.1558790226080284,0.0,73.71,110.0,12.5102318124006,796.9186510000001,1452.1248739999999,44124.071984
empty-32-32,120,100,100,1.02008013619188,0.14,3.23,13.0,2.9558585893103886,350.17463300000003,620.252075,9937.975674000001
empty-32-32,120,225,99,1.0451297810335332,0.0,14.232323232323232,32.0,6.141148319606004,1038.6463474747475,1061.3391868686867,30831.937333333335
empty-32-32,120,350,100,1.0820388387053184,0.0,35.65,64.0,9.707085041349952,1829.0078999999998,1628.772176,61577.346589999994
empty-32-32,180,100,100,1.0149302886611735,0.23,2.11,9.0,2.3532743146518214,588.824102,775.8766199999998,13715.222861000002
empty-32-32,180,225,100,1.0284769449908833,0.05,8.08,20.0,4.5731389657433335,1603.5523269999997,1218.6868709999999,39783.98133
empty-32-32,180,350,100,1.0573311225809554,0.0,23.33,45.0,8.025029594961005,2775.5789269999996,1746.29483,77588.80404100001
random-32-32-20,60,100,97,1.0502442470491784,0.010309278350515464,10.515463917525773,40.0,8.0168809036904,173.08294432989692,379.7758391752577,6649.000795876289
random-32-32-20,60,225,97,1.113658895268078,0.0,41.51546391752577,82.0,11.977740008558191,454.93853608247423,784.1953680412371,18787.951341237116
random-32-32-20,60,350,95,1.1731775641050655,0.0,83.47368421052632,125.0,15.397772979959871,809.3317515789474,1180.3450010526315,41623.9808336842
random-32-32-20,120,100,100,1.0224032976174156,0.1,3.74,16.0,3.2237245539903063,385.124439,502.28657699999997,9863.432072000001
random-32-32-20,120,225,100,1.051792173697069,0.0,16.54,41.0,7.923913174688375,998.8333530000001,861.0426849999999,31508.620934000006
random-32-32-20,120,350,100,1.090096350653281,0.0,39.4,82.0,12.843675486401859,1899.3928899999999,1370.570643,61832.000128
random-32-32-20,180,100,100,1.0168730531641714,0.17,2.44,9.0,2.5702918122267753,591.929767,621.014102,13877.639136999998
random-32-32-20,180,225,99,1.033274221164825,0.0,9.515151515151516,24.0,4.881140031524007,1660.557103030303,964.311392929293,40840.176383838385
random-32-32-20,180,350,99,1.0519022936245976,0.0,21.12121212121212,47.0,7.846085979482307,2704.2689747474747,1479.688205050505,80240.19656565657
maze-32-32-2,60,100,81,1.5184083222878733,0.0,109.12345679012346,205.0,34.82243590519752,165.7075185185185,9067.833661728395,5982.845609876544
maze-32-32-2,60,225,73,1.5833270121870116,0.0,203.08219178082192,390.0,57.69042403495647,439.9654287671233,11395.605139726025,17538.057449315067
maze-32-32-2,60,350,33,1.614903716372499,0.0,273.6969696969697,481.0,67.23567092966886,811.8283545454545,29509.413127272728,39341.93255151515
maze-32-32-2,120,100,88,1.5768932380027776,0.0,92.69318181818181,154.0,25.214244690860333,364.89274204545455,5687.366477272727,9805.409768181818
maze-32-32-2,120,225,58,1.635898343799743,0.0,189.48275862068965,358.0,40.71356690737188,988.7955155172413,8729.101668965517,31693.64405689655
maze-32-32-2,120,350,28,1.598798157072718,0.0,240.17857142857142,290.0,29.837720100844276,1717.8591214285716,25251.833096428567,59818.453825
maze-32-32-2,180,100,95,1.6907767476671125,0.0,93.2,164.0,24.842493306514356,606.9542705263158,2650.019385263158,14026.398818947373
maze-32-32-2,180,225,38,1.726070020730661,0.0,192.76315789473685,278.0,31.2565228649421,1564.0735526315789,8443.38720263158,41117.22880526317
maze-32-32-2,180,350,6,1.6498399111653896,0.0,243.16666666666666,273.0,22.10894740948912,3274.8419333333336,2980.5337833333338,73764.03735000001
room-32-32-4,60,100,98,1.0510162255604767,0.01020408163265306,10.76530612244898,30.0,6.511843245756877,169.8034887755102,1935.6218755102038,10312.614459183673
room-32-32-4,60,225,98,1.110192855914938,0.0,39.10204081632653,71.0,13.14401376581313,441.22497040816313,1734.494824489796,18175.281496938773
room-32-32-4,60,350,94,1.1561739318595663,0.0,72.44680851063829,121.0,17.195754684691735,831.4973670212764,1042.2393276595747,41255.63410531915
room-32-32-4,120,100,100,1.0228134526165964,0.12,3.69,16.0,3.6350928461319936,387.67826199999996,396.601895,9693.224315000001
room-32-32-4,120,225,99,1.0551892329861954,0.0,16.848484848484848,37.0,8.518978973728068,972.213187878788,728.7350242424244,30470.36483636363
room-32-32-4,120,350,98,1.0896286768626,0.0,37.43877551020408,65.0,9.29457415402698,1772.006319387755,1174.2078275510203,60102.91024183674
room-32-32-4,180,100,100,1.018158967995499,0.14,2.52,14.0,2.5670216204777088,586.66652,528.376255,13744.875292999997
room-32-32-4,180,225,98,1.0432921166498896,0.0,11.806122448979592,26.0,5.380725547133739,1659.9744673469386,814.4536499999998,40499.512519387754
room-32-32-4,180,350,99,1.0730091032334885,0.0,28.363636363636363,51.0,7.071717099577405,2692.4859474747473,1212.0412272727274,74492.79257070707
