map,N,M,n,cost_ratio,exact_match,diff_mean,diff_max,diff_std,alloc_ms,nn_plan_ms,solver_ms
empty-32-32,60,100,100,1.0599525476900518,0.0,11.99,27.0,5.93547807678539,237.559201,728.4304179999999,35498.382329
empty-32-32,60,225,100,1.1260088173036147,0.0,44.6,69.0,11.013627921806693,496.98171499999995,1488.8061050000001,24586.229396000002
empty-32-32,60,350,100,1.173994662805687,0.0,82.26,115.0,12.898542553327488,1774.8746540000002,2262.860632,52877.600789000004
empty-32-32,120,100,100,1.0309570295961772,0.05,4.96,18.0,3.337424156441611,284.746099,714.103827,7705.915351999999
empty-32-32,120,225,100,1.0663467230893358,0.0,20.9,44.0,7.527947927556354,1811.364391,1946.019321,43829.42126999999
empty-32-32,120,350,100,1.1055874910949597,0.0,45.93,77.0,10.24817544736623,8362.399649,2698.3301159999996,72202.288161
empty-32-32,180,100,100,1.020932458231949,0.13,2.95,12.0,2.422292302757865,698.270116,1236.756221,18382.104754999997
empty-32-32,180,225,100,1.0417476118752278,0.0,11.86,28.0,5.306637353352874,6898.983337,2280.3788830000003,48639.00908799999
random-32-32-20,60,100,100,1.0617253451988953,0.0,12.96,45.0,7.0695402962286025,230.32777900000002,620.705794,9522.671267
random-32-32-20,60,225,98,1.13095887362956,0.0,47.83673469387755,82.0,11.494181205404493,869.2689826530612,1168.4228928571429,24732.045976530615
random-32-32-20,60,350,100,1.1866503324696829,0.0,89.95,134.0,13.712311985948977,1016.0605439999999,6694.331337,46488.132485999995
random-32-32-20,120,100,100,1.0247414499328789,0.08,4.15,15.0,3.377499074759311,1501.4402490000002,886.941848,11438.286119999999
random-32-32-20,120,225,100,1.059647973765329,0.0,19.06,37.0,6.36367818168078,1841.603176,1233.338559,44279.75497300001
random-32-32-20,120,350,99,1.108393873381917,0.0,47.45454545454545,76.0,10.531600094523347,8379.418436363638,2263.441604040404,75716.42211212122
random-32-32-20,180,100,100,1.0198202266776542,0.18,2.86,11.0,2.6796268396924225,2437.5085770000005,1128.458404,15946.284093
random-32-32-20,180,225,100,1.0430275828954487,0.0,12.29,39.0,6.4796527684745575,6969.507299999998,1721.19766,48779.82824
random-32-32-20,180,350,99,1.0725127401322616,0.0,29.494949494949495,55.0,8.831044571837042,17133.630872727274,3723.250325252525,134170.2514131313
maze-32-32-2,60,100,90,1.4695756510742333,0.0,98.82222222222222,283.0,51.057609679389024,709.4089111111111,12300.051387777778,11933.150232222224
maze-32-32-2,60,225,82,1.560326765577497,0.0,195.41463414634146,457.0,62.76124935012131,2143.501690243902,26705.583687804883,18849.188691463416
maze-32-32-2,60,350,55,1.5566173123463094,0.0,247.9090909090909,524.0,72.69194596559143,1414.8316563636365,44107.92066545455,41618.21051454546
maze-32-32-2,120,100,95,1.3867440571884653,0.0,62.32631578947368,137.0,20.24816670337454,642.8600610526314,633.0607294736842,12722.53821368421
maze-32-32-2,120,225,80,1.4738415598744703,0.0,140.95,316.0,36.5991461649039,942.21547125,9242.950392499999,31455.055861249995
maze-32-32-2,120,350,24,1.4966139750272476,0.0,199.66666666666666,280.0,32.73462319250911,1665.3835166666668,2891.903675,60165.07962916667
maze-32-32-2,180,100,97,1.4030311850432962,0.0,54.608247422680414,89.0,14.596678552448987,556.2887649484536,698.444980412371,10552.759909278351
maze-32-32-2,180,225,72,1.4882668562391204,0.0,129.33333333333334,179.0,22.218610817660647,1620.01485,13392.830977777776,41360.2604625
maze-32-32-2,180,350,12,1.4903719765924208,0.0,183.58333333333334,242.0,33.19251505317962,3809.4501583333335,13449.993366666667,83283.20764166668
room-32-32-4,60,100,99,1.049359616341065,0.010101010101010102,10.464646464646465,32.0,7.268741893436346,185.49995353535354,8701.140114141414,10356.719140404042
room-32-32-4,60,225,96,1.1050672936424804,0.0,37.416666666666664,70.0,12.350494816897914,874.0312072916668,1050.0584052083334,22771.32296354167
room-32-32-4,60,350,97,1.150622616147993,0.0,69.94845360824742,104.0,15.649756187963224,723.6601371134021,1131.6823515463918,34256.07410103093
room-32-32-4,120,100,100,1.020969312506621,0.14,3.38,12.0,2.741459465321346,330.12661,456.36355799999995,7579.241675
room-32-32-4,120,225,100,1.0520405881925694,0.0,15.85,40.0,8.077592463104336,986.163048,831.645585,26288.342484999997
room-32-32-4,120,350,97,1.0888298602171,0.0,37.11340206185567,61.0,10.699143706616951,1596.0078041237111,1310.2296536082476,52435.95250206185
room-32-32-4,180,100,100,1.0184770419126814,0.15,2.55,16.0,2.376446927663229,1113.9075149999999,741.692796,18008.662527
room-32-32-4,180,225,100,1.0442523129974108,0.0,12.07,27.0,4.988496767564353,1468.5366439999998,940.4556909999999,34672.874453
