inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
144446786,172,168,1,1,0,0,374.8527,603.5285,11318.9284
1611779700,153,152,1,1,0,0,372.6768,671.5179,10621.0980
490044431,156,154,1,1,0,0,364.5900,597.2281,10269.0914
715959493,165,163,1,1,0,0,359.3599,603.3169,9987.2234
994913883,165,164,1,1,0,0,382.1055,603.6250,10077.9583
865018654,165,156,1,1,2,0,372.2130,694.6591,9913.6200
1238544457,165,156,1,1,1,0,363.5159,615.1217,10361.3230
116396321,163,161,1,1,0,0,363.0564,602.1710,10359.5940
2114763686,163,164,1,1,0,0,361.6403,594.2951,9334.1425
1827416939,164,161,1,1,0,0,357.0148,610.9738,10430.8521
183387127,161,159,1,1,0,0,388.7557,596.4462,10482.9081
1596397610,157,155,1,1,0,0,404.0368,609.6377,10603.6695
1745810690,165,161,1,1,0,0,398.9888,595.1394,10550.8019
1282242060,154,148,1,1,1,0,388.3739,596.6723,10085.9900
2109150745,168,164,1,1,0,0,374.3476,593.2823,10047.2777
115514593,163,162,1,1,0,0,358.1567,602.6697,9930.8624
2140689053,167,161,1,1,0,0,366.4018,606.8083,10633.1616
842182044,162,159,1,1,2,0,376.3520,634.4538,9474.0760
1152689023,148,150,1,1,0,0,380.0709,591.8085,10057.1430
406866278,167,161,1,1,0,0,365.0188,595.6686,11998.6759
1973132783,156,156,1,1,0,0,374.6346,601.9394,10085.7964
2044071853,167,163,1,1,2,0,371.2766,600.1632,10619.9642
1570780106,143,143,1,1,0,0,363.6245,592.6810,10469.3290
789117150,167,168,1,1,0,0,347.9402,664.7649,9848.1941
1740632538,159,158,1,1,1,0,353.5615,684.8121,10857.0131
595223616,172,165,1,1,0,0,347.6028,597.4528,9465.6856
1374014067,159,156,1,1,0,0,345.8121,663.9338,10777.3631
846982577,173,165,1,1,0,0,340.5360,594.6507,8558.0676
1319678632,162,162,1,1,0,0,373.7364,593.8318,10983.2754
1773255533,161,156,1,1,0,0,363.2632,597.0905,9569.6291
216974942,156,155,1,1,0,0,355.8248,596.9648,9265.1780
761999664,164,162,1,1,0,0,345.7493,598.8267,9085.0759
1255834719,174,162,1,1,0,0,347.4724,609.5559,9586.7774
870734720,158,154,1,1,0,0,339.9513,601.1908,10294.4241
1652097810,168,163,1,1,0,0,339.6426,606.5357,9518.3352
1285594598,153,153,1,1,0,0,338.2918,595.8665,9214.8179
1764071306,165,159,1,1,0,0,364.8459,676.4307,10292.3528
1010887650,175,165,1,1,1,0,361.2333,606.9881,10527.6728
1069918691,177,175,1,1,0,0,363.0377,610.5559,9383.6562
232580370,165,161,1,1,0,0,356.8782,605.7484,10655.7937
1708775353,165,164,1,1,0,0,356.2625,600.3447,9955.1004
472916715,182,173,1,1,4,0,364.3438,688.0358,9988.9070
698066101,162,161,1,1,0,0,357.1469,601.1290,9930.1025
478725190,173,170,1,1,2,0,375.6566,608.3598,9986.3642
1058305163,169,168,1,1,1,0,364.4414,628.8869,9426.0982
1171709625,163,159,1,1,1,0,372.6835,601.7722,10046.3889
1038184473,160,151,1,1,0,0,359.7858,598.5532,11309.2290
1798349309,162,155,1,1,0,0,366.8330,599.4424,9176.6044
2024705863,162,162,1,1,0,0,375.7360,596.9207,10818.2221
1188638557,163,156,1,1,1,0,380.3334,613.6747,9419.7558
900712037,166,161,1,1,2,0,402.3425,613.0486,10003.7067
333761941,173,162,1,1,0,0,398.6275,667.5542,11653.5904
1030933332,159,157,1,1,0,0,397.8917,598.6532,8805.1380
874528007,163,162,1,1,0,0,387.0780,600.3138,10160.6595
1769797279,172,167,1,1,0,0,359.3121,602.2039,10534.2841
1163970093,175,173,1,1,0,0,394.0826,606.7434,10311.7746
26503085,171,168,1,1,1,0,371.5004,623.9363,9660.8555
536813558,172,168,1,1,0,0,381.6263,599.9372,10532.5467
39594264,174,169,1,1,0,0,366.0730,686.6714,12610.2965
88224957,153,154,1,1,0,0,339.3180,621.0695,9534.7677
118959346,164,159,1,1,1,0,339.5135,625.1726,9286.8248
1147127155,162,161,1,1,0,0,337.7711,668.1119,9681.9936
625942865,165,165,1,1,0,0,335.5756,599.9766,9748.8741
1959522065,160,156,1,1,0,0,337.4771,602.2669,9469.1759
891435301,156,148,1,1,0,0,353.2889,598.9880,10225.6506
630180269,164,164,1,1,0,0,354.0776,596.7009,10733.0650
1516999517,164,159,1,1,2,0,338.7918,620.9176,8356.0405
1004903778,159,156,1,1,0,0,338.8838,598.5730,8817.0353
1993466579,159,156,1,1,0,0,339.3533,597.0655,11004.8105
550517992,166,160,1,1,0,0,336.1194,600.8882,9732.7407
908318246,156,156,1,1,0,0,337.6600,667.6324,10488.5925
191082962,165,161,1,1,0,0,336.7630,600.6032,11384.5835
1849147830,169,166,1,1,0,0,338.8148,604.9462,10284.9436
335768129,160,154,1,1,3,0,345.1319,671.8465,10364.9349
85235014,162,156,1,1,1,0,340.3696,608.2835,9400.7261
2067822015,169,164,1,1,0,0,340.5180,689.7075,9418.4930
1166729031,157,155,1,1,0,0,360.3790,607.7909,10163.5373
2114882930,170,168,1,1,0,0,346.3249,624.0234,10509.6252
1422383048,158,157,1,1,0,0,337.2466,603.4681,10789.7700
1830269978,169,165,1,1,0,0,357.0132,609.6935,9966.7502
738845116,164,162,1,1,0,0,359.0084,599.7323,8779.9529
1121410295,155,153,1,1,0,0,362.5393,603.8976,8941.7065
491735824,159,152,1,1,0,0,364.8326,610.6430,10182.8343
78009548,175,172,1,1,0,0,354.6296,604.9169,11849.7177
132709868,155,154,1,1,0,0,356.0770,671.1890,9672.1268
1391593088,167,161,1,1,0,0,356.7728,611.0795,10274.5567
225908511,171,164,1,1,0,0,355.1298,608.5394,9921.2143
1277117584,161,161,1,1,0,0,340.8099,600.9722,10493.9496
812079914,168,167,1,1,0,0,339.8945,601.8909,9323.4251
164087351,179,167,1,1,1,0,337.5486,635.0995,10591.2195
271051139,176,164,1,1,1,0,339.4526,628.5972,8958.5348
1614901596,166,163,1,1,0,0,338.6956,608.4928,11052.8398
998124021,163,158,1,1,0,0,338.7020,674.0371,9786.8889
909330282,169,163,1,1,1,0,338.3330,618.8797,9913.2554
4842599,172,171,1,1,0,0,338.5159,606.1357,9492.3545
2019682447,158,154,1,1,0,0,337.8976,603.4127,10105.0010
1729343939,167,165,1,1,0,0,336.1050,604.1881,10446.4005
1589428574,177,172,1,1,0,0,339.3295,604.2080,10276.7855
1234926772,171,164,1,1,0,0,335.3688,602.9214,9749.2881
427358154,157,155,1,1,0,0,333.7559,676.4853,9820.6879
