inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
37167118,581,378,1,1,3,0,2690.2411,1419.9797,88482.8940
289290685,585,375,1,1,6,0,2722.3184,1424.8282,75353.0094
778640770,630,380,1,1,9,0,2744.3171,1700.2497,64939.1111
870165601,561,373,1,1,9,0,2727.0658,1902.8440,77134.9722
242509232,588,364,1,1,15,0,2713.4452,1908.8886,85716.3312
485437670,567,375,1,1,38,0,2717.5095,3380.9267,79444.1658
1795644652,568,370,1,1,5,0,2723.6175,1449.1318,75952.9025
1728403376,559,368,1,1,21,0,2723.3864,2318.9427,69903.1038
1058059231,599,367,1,1,26,0,2708.2132,2287.8332,80278.7405
1249906962,613,379,1,1,6,0,2727.1466,1551.8381,88374.3977
992000314,602,371,1,1,31,0,2741.6951,2564.4280,74025.9289
1898024100,585,380,1,1,17,0,2716.5610,2562.1431,77800.7227
801375699,619,372,1,1,200,0,2754.9560,15546.9658,77384.4208
1295812938,553,374,1,1,9,0,2841.1426,2081.1953,84618.6417
1906062499,605,379,1,1,32,0,2862.3897,3399.4537,75869.6857
888388016,572,372,1,1,1,0,2837.3391,1510.4617,70044.0890
566846065,556,369,1,1,8,0,2826.1773,1606.9818,92736.5331
1014945773,570,378,1,1,11,0,2686.7341,1746.6834,87251.2515
198152640,554,380,1,1,16,0,2708.7525,2356.2304,65748.2313
273672789,536,375,1,1,4,0,2682.9620,1353.8565,82755.1464
169649753,547,372,1,1,10,0,2694.8190,1510.4014,81998.0662
727349233,537,383,1,1,15,0,2709.3858,1761.2742,79671.7160
1998398765,552,375,1,1,12,0,2691.9495,1842.0134,81560.3664
241712421,579,374,1,1,1,0,2718.4542,1345.2754,89487.1451
1147797302,603,373,3,1,15,0,2819.0883,169913.5508,74225.9737
1356889920,555,373,1,1,8,0,2696.3020,1644.5625,80633.0030
939030574,548,369,1,1,27,0,5303.1546,3261.7044,84656.0159
894013448,601,370,1,1,12,0,2736.9645,2482.1073,81045.7544
1823696883,545,372,1,1,1,0,2768.4893,1131.7559,75677.3069
718370368,565,382,1,1,5,0,2735.8496,1467.4348,83442.1943
114622082,574,379,1,1,30,0,2800.5290,2785.7115,79247.8039
1628684325,584,377,1,1,15,0,2977.7243,2308.6988,87231.6118
559007104,603,382,1,1,4,0,2775.3439,1429.6591,74575.6898
281341731,548,372,1,1,16,0,2764.2012,2237.2922,90448.4698
1924900156,564,378,1,1,101,0,2767.8364,8657.5257,69380.9074
100736635,587,367,1,1,27,0,2714.1918,2165.2490,66850.3617
1333377186,555,372,1,1,9,0,2656.4979,1719.6204,71334.4329
1443343909,595,388,1,1,11,0,2560.1794,1614.7400,72938.5525
1243332142,565,385,1,1,6,0,2562.8901,1207.7258,77621.1193
1497797082,545,372,1,1,9,0,2529.9889,1548.3230,62376.6806
24752310,615,372,1,1,3,0,2765.7871,1333.1647,69091.0728
1620598798,570,379,1,1,15,0,2817.1268,2505.2600,74841.9561
1653091257,550,371,1,1,0,0,2811.7644,991.9209,69834.7505
482693252,537,377,1,1,27,0,2823.9197,1969.9752,74334.3185
1440873240,606,370,1,1,13,0,2875.2158,2234.5098,75554.8306
722199398,675,374,1,1,14,0,2894.7742,2293.7791,71393.4165
2040660997,565,367,1,1,7,0,2713.5602,1544.1781,77181.3018
369509973,605,375,1,1,13,0,2724.0457,1760.1869,79438.0339
235840218,604,379,1,1,33,0,2699.5108,2097.6939,79633.6859
852390921,617,382,1,1,3,0,2737.9399,1476.1351,90738.5685
1787442378,545,377,1,1,7,0,2729.7333,1483.9940,88950.9856
2122232713,587,387,1,1,79,0,2609.6945,5375.1526,77715.0375
227701500,595,368,1,1,4,0,2622.7232,1283.1155,75156.8017
1904247557,580,377,1,1,5,0,2600.2621,1438.8050,69270.0910
1508150745,631,372,1,1,5,0,2611.9232,1289.8225,59291.1482
984175227,579,376,1,1,16,0,2513.7939,1669.2111,68974.1676
1069286202,581,376,1,1,7,0,2660.0030,1760.7341,66376.3179
1674454159,504,372,1,1,0,0,2585.1257,1203.6396,86723.9175
1843616756,604,373,1,1,2,0,2571.6456,1099.5943,68446.4666
379920590,600,373,1,1,6,0,2535.6164,1453.1645,56203.3581
1665409004,541,374,1,1,4,0,2560.8716,1163.7033,89882.3979
1765878601,590,375,1,1,46,0,2557.6856,4382.3300,63558.7613
1525944094,588,370,1,1,41,0,2487.7041,4673.3995,70962.3608
23607584,615,382,1,1,11,0,2692.3920,2027.0040,71983.1416
492612770,565,372,1,1,17,0,2713.9358,2107.0356,67021.1115
537555938,571,382,1,1,29,0,2726.3811,2352.0553,95048.6683
685882794,568,379,1,1,17,0,2719.7620,2553.6548,71522.1420
335799082,562,366,1,1,19,0,2709.8750,2142.0944,82369.0423
414964685,585,371,1,1,7,0,2701.8823,1468.8843,80974.4701
393117528,620,376,1,1,11,0,2692.4326,1666.5394,66292.4566
374153611,561,380,1,1,15,0,2695.3258,2579.0211,74716.2598
1323881253,575,384,1,1,3,0,2705.7477,1420.7936,78951.9673
2021729588,545,375,1,1,5,0,2488.3500,1444.4201,67166.8061
158010060,554,383,1,1,18,0,2485.2794,1697.3827,67772.3038
