inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
92789321,580,480,1,1,5,0,783.6874,988.3148,44139.9374
152406214,592,491,1,1,0,0,817.4445,1018.0026,38806.2009
65904033,587,479,1,1,1,0,802.2165,1055.9139,35099.9184
1401147165,583,494,1,1,1,0,822.2749,1168.7814,37717.1897
715151048,572,482,1,1,1,0,797.3576,1156.8380,40549.5049
1837143562,554,469,1,1,6,0,789.9432,1253.0663,47588.9176
169461177,612,485,1,1,3,0,815.8435,1375.0830,36456.1107
2088889374,570,480,1,1,2,0,811.8537,931.9014,41211.6790
1087226200,582,487,1,1,2,0,794.1444,1222.8173,36547.5481
1783700109,595,490,1,1,3,0,783.5652,1111.2139,46627.7441
606911700,594,494,1,1,5,0,813.9417,1227.6578,44237.8177
760880347,545,467,1,1,4,0,790.0746,1302.6609,43553.2421
59999068,590,484,1,1,1,0,803.2035,1302.8811,42530.3066
571193846,578,481,1,1,0,0,800.2388,1302.8698,37937.3851
812270013,600,478,1,1,11,0,791.0841,1430.5561,33901.2104
2024468135,586,497,1,1,0,0,808.3013,1298.0487,43306.5821
1571911266,575,477,1,1,2,0,781.7419,1398.4217,37945.1827
475325246,590,485,1,1,5,0,793.2455,1135.2540,42662.2280
997409276,604,492,1,1,20,0,791.8482,1738.3259,39785.5785
936294072,552,471,1,1,0,0,842.6512,1547.1275,39527.6192
234030591,566,479,1,1,1,0,840.1313,1546.6643,48749.1249
1935720822,589,479,1,1,2,0,795.6543,1145.3182,51804.5520
432820004,585,477,1,1,8,0,811.2154,1525.6231,42815.6920
998321117,587,477,1,1,0,0,803.4423,1012.5989,41071.6371
905758228,579,505,1,1,1,0,803.9326,1268.6084,39694.7398
542363102,542,467,1,1,1,0,828.0651,1224.3936,39333.4774
743325900,573,493,1,1,1,0,795.5236,1302.8754,39535.4641
2021655698,624,497,1,1,3,0,776.2615,1421.3967,38458.0258
1040957243,597,488,1,1,5,0,788.1226,1236.0462,42513.7408
518039206,570,475,1,1,1,0,789.5979,1552.4080,44869.4454
1021738031,532,479,1,1,0,0,792.0963,1307.1649,50393.9958
1932941879,568,484,1,1,1,0,799.2301,938.3986,34013.9829
1303615397,585,480,1,1,2,1,787.4909,1232.0087,45288.5122
1678752998,553,462,1,1,3,0,786.5746,1127.9811,56324.9751
1730735716,569,479,1,1,3,0,791.9259,1259.3262,43058.1817
1344074482,559,483,1,1,1,0,781.4562,1329.4292,35584.4713
61616137,619,488,1,1,0,0,792.6288,1191.0826,50263.2225
1632689976,605,488,1,1,1,0,785.2609,1501.1139,36872.2181
1907656268,586,485,1,1,1,0,777.1519,1316.4497,49338.3693
2031799456,591,475,1,1,5,0,777.5913,1145.4808,32281.6904
2120079826,613,478,1,1,6,0,777.3067,1453.8670,44412.3762
1140165052,620,485,1,1,2,0,787.8831,1282.1632,42125.6460
590262574,575,495,1,1,0,0,793.0276,1402.4709,37208.1016
2133319443,542,472,1,1,1,0,783.7514,928.6471,48838.9131
398370412,589,492,1,1,1,0,810.9035,1114.4025,42317.1116
1480568925,566,472,1,1,0,0,781.1862,1209.9969,39195.6651
870467234,532,474,1,1,4,0,797.9745,1492.1799,44654.6317
1542226172,637,498,1,1,6,0,789.3535,1338.8341,50915.3889
1900837876,551,476,1,1,0,0,779.0419,1071.1503,46728.9330
1191475868,600,486,1,1,2,0,799.3801,1548.2966,42205.2229
435830266,600,484,1,1,0,0,778.4374,1284.3138,48645.9133
456206310,600,498,1,1,3,0,798.9706,1248.5008,48215.4555
1893912069,587,491,1,1,3,0,799.3059,1078.1261,34429.2068
985007047,589,480,1,1,1,0,795.6913,1377.0187,36580.7279
1089102098,591,471,1,1,5,0,797.6583,1046.3476,39976.2555
512559123,574,469,1,1,5,0,798.6622,1252.0036,46507.9272
1962038513,560,479,1,1,13,0,790.5742,1338.7066,40556.3039
1123845661,561,488,1,1,0,0,789.8085,1206.8285,38024.0198
423968849,571,475,1,1,3,0,789.8663,1278.7633,40134.8320
848880354,575,480,1,1,2,0,831.4720,1238.5032,37312.5839
102891579,584,481,1,1,3,0,834.1453,1410.2826,36172.5744
820547587,575,480,1,1,2,0,832.8843,1255.9277,37677.2876
1734933642,571,476,1,1,3,0,845.9571,1184.9014,46895.6461
1512277959,585,483,1,1,0,0,798.5306,1099.5087,42115.7725
347657713,589,484,1,1,3,0,781.9133,1151.2770,52475.3627
744070896,573,476,1,1,1,0,787.3773,1158.0074,43851.8434
666230599,543,458,1,1,1,0,826.3493,1369.8744,44436.2215
204363077,591,482,1,1,3,0,778.3169,1007.2453,37864.0582
2060451573,614,499,1,1,4,0,786.6631,1321.9657,37644.8113
1439849474,582,485,1,1,1,0,780.2071,1174.3417,35410.0804
1058458331,596,491,1,1,2,0,785.9539,1119.3925,51213.0672
68090789,552,479,1,1,1,0,803.2232,1243.3183,49370.5651
1139865475,620,485,1,1,0,0,798.5353,988.6824,34214.5126
916062176,601,480,1,1,4,0,786.4277,1234.2384,35208.3293
1523551154,552,474,1,1,0,0,775.8299,1302.1380,35742.9071
829008402,565,469,1,1,3,0,793.5532,1376.6380,42746.8177
375074744,552,478,1,1,0,0,802.7513,1231.1985,56231.7232
833136248,597,482,1,1,0,0,808.8243,966.7260,40044.0598
208399378,633,495,1,1,1,0,793.0018,1118.0861,49468.9306
1376793681,586,484,1,1,0,0,806.6866,1362.6273,38654.9106
292297607,545,469,1,1,1,0,804.4266,1315.8429,52211.9423
557141828,570,474,1,1,8,0,786.6893,1207.9171,43084.8107
437967271,586,478,1,1,0,0,782.2780,1103.1459,43333.4389
934544578,577,466,1,1,0,0,791.7601,1311.2572,42814.0299
1306115698,585,494,1,1,0,1,803.5815,1154.9954,48758.1546
91143751,563,487,1,1,2,0,813.4896,988.3684,42994.8754
742681115,570,482,1,1,3,0,2991.4150,1237.2026,36389.5312
2132526466,579,487,1,1,3,0,856.4332,1052.5240,54107.7294
1006874613,605,489,1,1,2,0,800.0995,1474.1488,46352.1041
1078169380,582,478,1,1,7,0,802.7832,1327.9927,36777.9894
663240681,561,481,1,1,2,0,804.9705,1286.7757,47235.6231
330654934,612,481,1,1,1,0,844.2830,1100.4563,38582.6140
859347468,635,501,1,1,3,0,870.4274,1378.8791,51835.7508
279126221,584,483,1,1,2,0,848.9229,1229.5088,43305.6477
