inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,224,208,1,1,1,0,183.3694,302.3008,6303.0658
1027124357,253,221,1,1,0,0,186.3590,293.6911,6037.5258
2049028820,256,214,1,1,0,0,162.6249,284.1570,5421.2920
1321773299,224,197,1,1,0,0,166.7391,432.0997,8114.5349
1703643979,239,212,1,1,0,0,178.0687,280.2033,8190.4129
1300300203,231,207,1,1,0,0,167.7525,364.1631,10144.4724
650965912,265,223,1,1,2,0,169.2569,324.8779,6458.6077
792329348,226,207,1,1,0,0,171.7270,361.4766,6469.0113
870959569,232,225,1,1,2,0,171.5197,284.2280,4930.2064
1173709030,225,196,1,1,1,0,176.1820,297.6204,5337.2274
2096419983,216,213,1,1,0,0,177.6938,279.9942,7689.2570
115248342,219,217,1,1,0,0,162.6797,363.5226,10208.2439
1884656349,234,212,1,1,3,0,163.4434,313.9814,7244.7183
1489863927,211,195,1,1,0,0,187.4428,287.6429,6348.1686
544103131,231,216,1,1,0,0,176.3680,288.2010,5208.9424
460800314,216,208,1,1,0,0,183.2205,292.0590,6351.0267
888523830,243,228,1,1,0,0,180.8595,354.0574,5319.6481
1114430918,209,191,1,1,0,0,181.4949,278.3637,7229.0215
580934519,249,237,1,1,0,0,162.5585,286.3438,5639.4532
1769352672,231,208,1,1,0,0,185.3695,282.1003,6060.8948
1118957871,240,215,1,1,5,0,182.9610,349.5873,5163.8949
2106748179,239,223,1,1,0,0,173.0273,290.1851,10203.3630
1253636814,224,213,1,1,0,0,182.1706,282.0939,5103.0876
864914860,251,218,1,1,0,0,163.1038,281.2136,5513.5078
961156482,217,199,1,1,1,0,174.6605,285.9242,5927.3379
959317506,225,210,1,1,4,0,185.6309,387.7063,5642.4590
1090505917,277,236,1,1,0,0,185.0477,288.7574,6427.4835
28615858,247,209,1,1,0,0,188.4117,279.7003,5080.4374
30129474,230,217,1,1,0,0,189.1328,281.2149,5649.9100
215589766,226,210,1,1,1,0,184.6372,359.7997,4869.6434
1387499987,234,224,1,1,0,0,177.3032,365.1308,5715.7048
852718394,241,211,1,1,0,0,162.1802,427.4398,5491.3633
1818609555,232,202,1,1,0,0,168.2687,361.6523,7971.6741
1332329453,219,212,1,1,0,0,163.2846,354.5737,8699.7068
181023957,230,211,1,1,0,0,171.6849,906.9773,5591.6970
1802136595,235,229,1,1,0,0,171.5831,284.8464,5783.4582
637631120,222,214,1,1,0,0,172.4244,353.6535,5863.2784
1706040927,223,217,1,1,0,0,172.0698,428.5686,5298.0378
573049588,236,216,1,1,0,0,172.3383,362.9702,5299.5787
1152241987,222,208,1,1,0,0,172.4951,353.8794,5906.5070
1309291604,239,213,1,1,0,0,170.6425,281.5327,5765.9079
2102416186,245,211,1,1,1,0,173.1555,290.4146,5430.6784
1444483879,235,202,1,1,0,0,171.7042,364.0691,4738.1558
326812004,233,210,1,1,1,0,171.0800,384.1923,5761.2580
1190361985,240,227,1,1,1,0,171.3286,385.4176,7152.3332
1445870730,207,204,1,1,0,0,161.7970,314.8251,4640.7583
1788875916,217,204,1,1,0,0,162.2365,281.3874,5528.1492
1310774293,242,216,1,1,0,0,161.6185,503.3000,5646.4531
1085928819,228,201,1,1,1,0,161.5700,300.4120,5773.3814
459395007,254,215,1,1,0,0,160.4749,280.1367,4960.0894
638572196,229,211,1,1,0,0,160.7958,283.6334,5752.9857
639738821,211,201,1,1,0,0,161.3294,293.4056,6320.6797
190604252,248,214,1,1,0,0,161.6140,365.7468,5274.3918
1042720626,220,213,1,1,0,0,162.2339,357.2078,8073.0272
966179508,233,219,1,1,0,0,160.1580,289.7734,7939.7244
125662956,216,206,1,1,0,0,160.2457,297.4591,6336.3027
1889118736,242,224,1,1,2,0,160.7557,310.0340,9085.2947
1180443648,213,195,1,1,2,0,160.6776,311.8993,5801.7133
1995455321,229,214,1,1,0,0,160.2852,428.1390,7173.2642
1322837023,242,224,1,1,1,0,161.8994,288.4147,8045.2063
996997129,233,207,1,1,1,0,168.7096,297.3413,4655.2015
257682893,233,212,1,1,0,0,162.4750,372.0120,7899.7488
571818533,234,206,1,1,0,0,164.8674,298.2944,6858.1604
453487493,261,223,1,1,0,0,198.3104,296.8346,5126.8989
1967309762,235,216,1,1,0,0,196.1368,285.2330,5290.2577
236272490,231,207,1,1,0,0,195.4556,368.7388,5022.1527
1268650480,212,203,1,1,0,0,196.1279,282.1529,5051.3654
1921887676,237,216,1,1,1,0,203.8637,295.3494,4962.3032
1047301970,219,205,1,1,0,0,189.8371,294.0069,5720.9428
1906557040,198,194,1,1,0,0,195.8032,290.4136,10045.7799
1018579595,217,213,1,1,0,0,197.8192,289.2560,5071.4027
1392414777,227,208,1,1,1,0,189.1903,380.2117,8347.5817
1543885782,220,211,1,1,0,0,201.3514,354.0036,5571.2121
1845861412,239,214,1,1,1,0,191.5489,293.2234,7404.6146
1959784766,230,220,1,1,0,0,198.0232,290.6588,5648.1498
1559490636,252,229,1,1,0,0,197.5184,300.4933,5407.6926
107754962,259,229,1,1,1,0,192.7408,307.1996,5745.1816
1623784924,229,213,1,1,1,0,196.6736,284.6758,5044.6049
352449577,219,201,1,1,0,0,195.7544,283.7627,5204.7721
1417427494,237,208,1,1,0,0,195.1275,292.6070,5589.2161
449326806,227,216,1,1,0,0,195.1237,286.0997,5170.2449
532109993,213,205,1,1,0,0,194.0326,355.5773,5923.3437
16858075,205,197,1,1,0,0,194.8807,284.3773,4946.3814
766596938,214,204,1,1,1,0,195.1008,304.3495,7059.0007
1442568403,217,211,1,1,0,0,171.9874,299.1943,9261.6999
797468161,211,194,1,1,2,0,174.7247,289.0350,5831.6587
1425144221,223,200,1,2,0,1,168.1372,360.4393,414763.9170
583721967,239,215,2,1,2,0,163.8454,20573.4813,5686.0616
398088920,235,198,1,1,1,0,162.3620,366.6152,5387.7573
1041229544,250,221,1,1,0,0,162.7689,363.7087,4931.5253
710289822,224,199,1,1,1,0,160.2793,299.0072,5494.9510
1347622446,256,219,3,1,3,0,161.3182,364310.3353,5219.4088
1485936924,234,200,1,1,0,0,165.4575,294.1967,4729.1774
770159598,197,194,1,1,0,0,163.6173,293.8534,5414.5389
129303924,252,224,1,1,1,0,162.0573,297.2434,9971.6694
380179033,227,205,1,1,1,0,161.4011,298.2907,9751.3212
318215130,255,219,1,1,0,0,166.5331,430.1423,10929.5117
694510074,215,198,1,1,1,0,163.1493,296.4135,9907.4883
1377846699,207,189,1,1,0,0,162.2072,363.7790,7797.9567
