inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
121274997,318,313,1,1,0,0,780.4048,1204.6796,30652.2524
1153498414,331,308,1,1,1,0,773.0319,1254.6078,25979.1193
132208855,335,307,1,1,2,0,785.2031,1260.8759,29752.6168
885512867,337,315,1,1,0,0,785.7081,1141.8112,24165.8675
1180791587,351,316,1,1,1,0,2507.2914,1158.3322,23910.5872
1094791143,315,307,1,1,0,0,769.6134,1192.7835,25096.2567
1421318138,345,316,1,1,0,0,764.5661,1153.1838,23467.2195
897213163,321,306,1,1,0,0,750.6182,1123.8045,18849.8309
298565590,319,313,1,1,0,0,739.5311,1261.7510,24672.8395
1483978088,343,312,1,1,8,0,750.9641,1371.4877,33405.4468
1489086940,326,307,1,1,0,0,749.0493,1269.4006,29010.1433
1311264337,323,312,1,1,0,0,785.9850,1189.4711,30764.6732
1909885862,340,326,1,1,0,1,742.2925,1280.7987,33095.1975
1042116987,320,306,1,1,0,0,766.4806,1230.9347,21549.9531
483136980,356,316,1,1,2,0,779.9843,1194.4796,31375.0671
269601715,327,314,1,1,0,0,751.0047,1130.1972,21969.3322
1563017469,324,315,1,1,0,0,782.5226,1127.9577,25841.2679
1235187647,337,319,1,1,0,0,767.3685,1134.7185,24710.9006
958076614,327,314,1,1,1,0,781.9996,1116.2485,33696.4287
1448583282,346,326,1,1,0,0,777.4116,1125.8408,31825.7487
312975818,320,303,1,1,4,0,777.7842,1543.9080,27891.7172
86052005,330,324,1,1,1,0,779.9597,1283.8035,27010.0428
2085119730,356,318,1,1,1,0,780.9633,1134.4437,30499.0298
664049022,319,310,1,1,0,0,771.0741,1224.9669,31509.9458
1043757610,323,305,1,1,2,0,784.0618,1241.7148,28638.5410
558075410,341,325,1,1,0,0,776.7201,1155.7132,27220.1273
1475115664,338,325,1,1,5,0,778.9164,1259.2413,23309.5834
441657123,351,325,1,1,4,0,770.8773,1454.2344,23125.0966
855404017,333,321,1,1,1,0,776.8961,1135.1982,22508.3767
719816046,331,318,1,1,1,0,763.6930,1260.7736,26226.4756
1967574731,348,323,1,1,0,0,774.1087,1203.0709,19447.1610
2103901630,323,307,1,1,1,0,775.5738,1197.7670,28169.5092
635866389,325,313,1,1,1,0,778.2435,1161.6271,25078.5047
4525186,323,301,1,1,4,0,783.6980,1354.0810,25682.0366
1744789138,333,321,1,1,1,0,784.6916,1129.6617,21353.8609
18775625,321,313,1,1,1,0,777.9810,1124.4059,20791.1037
284121040,325,314,1,1,0,0,775.5481,1145.9795,27812.8505
889300253,333,322,1,1,1,0,781.1772,1274.9553,27463.8492
197010796,321,306,2,1,3,0,776.4845,381501.1330,30280.9796
1557357036,334,321,1,1,1,0,764.8847,1449.6910,24736.9690
2128221766,334,320,1,1,0,0,753.5964,1203.9961,23899.6410
265020225,330,317,1,1,1,0,770.9091,1203.8530,24166.6816
2023673217,334,317,1,1,3,0,774.4912,1307.3819,28106.4763
375119175,344,333,1,1,0,0,772.8790,1234.4624,30041.3562
1608896216,318,305,1,1,0,0,752.1893,1191.3344,25954.0985
1469793145,339,315,1,1,2,0,704.1692,1345.2630,27778.2985
1035840660,334,324,1,1,1,1,721.9268,1137.4579,21984.5767
1814675505,338,318,1,1,0,0,726.0399,1190.8537,26042.7005
1772333224,328,311,1,1,1,0,735.8789,1250.2183,28285.8280
1440163305,335,312,1,1,0,0,749.7993,1118.0046,26303.2005
230005213,321,307,1,1,1,0,751.3086,1230.8401,31744.7392
2000693614,320,317,1,1,0,0,790.5535,1190.1491,23930.3349
992877460,323,318,1,1,0,1,804.4612,1208.7820,33718.8373
1265044680,311,304,1,1,0,0,786.9654,1132.0136,22652.1606
2108989452,337,322,1,1,2,0,739.8357,1411.9494,25317.8983
1181651146,326,311,1,1,0,0,776.4550,1211.8048,24275.9689
1339574956,339,320,1,1,1,0,760.4150,1319.0159,34493.6875
1779756705,343,322,1,1,0,0,773.3871,1252.9782,29652.2295
236287770,342,312,1,1,1,0,800.4384,1233.1478,25924.9040
1059119565,325,316,1,1,0,0,792.4188,1277.7898,29867.8398
51817358,334,310,1,1,8,0,759.1097,1513.8772,27092.4836
1101564524,322,309,1,1,0,0,794.6123,1175.5099,22274.0205
1957300833,303,298,1,1,6,0,800.9903,1272.4982,27403.3775
2102842348,333,317,1,1,0,0,757.5483,1245.8339,24684.8156
1877302714,334,312,1,1,3,0,767.0251,1224.4741,30196.9513
1911171249,327,322,1,1,1,0,771.0334,1224.7277,26832.5726
640509466,336,314,1,1,0,0,770.0215,1188.6730,27325.2872
1403458878,356,327,1,1,2,0,783.0651,1362.5299,29714.2832
1102368864,331,307,1,1,5,0,755.7465,1339.9208,25731.6616
1101262793,343,311,1,1,3,0,780.9171,1297.7756,21012.8804
842250574,336,316,1,1,0,0,763.0607,1200.0249,29566.2343
225552757,327,323,1,1,0,0,772.1006,1119.8942,33907.1883
1625612321,338,313,1,1,3,0,774.2398,1158.5541,24986.9806
120727432,327,318,1,1,3,0,737.0011,1499.0639,26867.7710
1228703228,334,310,1,1,1,0,798.1851,1219.4481,28325.0409
743646191,318,314,1,1,0,0,774.6518,1364.2452,21429.5375
