inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
201039488,276,268,1,1,1,0,2694.1022,1123.4470,64792.7225
1178222326,267,262,1,1,1,0,2692.9137,1105.3829,45010.9614
628216189,272,262,1,1,1,0,2532.3256,1093.3303,71011.8801
204377615,275,264,1,1,0,0,5199.8263,1144.6411,46168.2095
1972488571,270,264,1,1,2,0,2500.0502,1184.6984,48735.5238
848872036,270,258,1,1,1,0,2677.8978,1122.8765,66021.3107
1957251927,272,266,1,1,1,0,2707.4463,1090.5608,55770.6774
836013182,263,261,1,1,0,0,2780.6761,1074.0189,49899.8673
1238072969,274,269,1,1,1,0,2739.1987,1126.1480,54406.6975
490550686,275,265,1,1,1,0,2674.3891,1237.9180,51588.9677
105084641,273,263,1,1,1,0,2653.9413,1349.3172,50994.7652
1539349503,279,271,1,1,0,0,2660.5997,1240.4120,62700.7799
1900902684,276,265,1,1,1,0,2649.7635,1024.4204,46184.2248
331519998,272,259,1,1,0,0,2658.4262,957.8006,55215.7822
15627355,268,264,1,1,1,0,2499.0774,928.5646,44955.9994
371039153,284,274,1,1,1,0,2510.4295,917.7037,45888.6613
345067785,273,263,1,1,0,0,2554.7324,894.4742,39389.2431
2036854485,295,281,1,1,1,0,2416.2210,840.8276,46195.1820
735964133,266,254,1,1,0,0,2395.5976,821.0984,38909.4503
1354991870,291,271,1,1,0,0,2511.7321,915.1795,39823.4702
2064006918,271,266,1,1,3,0,2303.7960,922.7661,51682.1790
992928080,274,257,1,1,6,0,2532.8354,1455.4522,48551.4560
1816350865,271,267,1,1,0,0,2573.2090,1063.9915,53614.9742
1001639105,273,267,1,1,0,0,2546.0407,1146.8897,52552.7820
2030117956,260,256,1,1,1,0,2526.7892,1292.9176,50830.5159
2085356252,268,257,1,1,4,0,2699.3102,1273.2650,49819.5891
380076236,277,271,1,1,1,0,2674.1416,1152.0604,67831.3139
1893330445,275,268,1,1,0,0,2678.3420,1199.8589,61639.4484
102516302,284,268,1,1,1,0,2701.8158,1178.4307,54965.2458
104309195,270,255,1,1,0,0,2571.6540,1052.7793,57207.2336
177146177,278,266,1,1,0,0,2625.1573,1068.7359,61380.2675
1009837770,269,260,1,1,0,0,2595.1311,1080.4962,52516.8960
999328620,289,269,1,1,3,0,2663.0030,1196.3608,66069.2651
2057334927,283,272,1,1,7,0,2844.4164,1805.3573,76358.4250
714866549,273,267,1,1,0,0,2610.3089,1297.3961,59857.7329
1157363270,268,254,1,1,0,0,2632.3518,1045.8266,49053.9392
1873531293,267,260,1,1,0,0,2714.2199,1240.2395,45803.7943
760443195,266,261,1,1,0,0,2568.8674,1020.8143,60723.8905
1960519010,274,263,1,1,2,0,2642.4121,1191.7365,40634.7666
505096343,269,263,1,1,1,0,2656.2245,1150.7957,54626.1639
299209827,268,263,1,1,1,0,2760.6965,1205.3237,56489.3533
1204626870,262,260,1,1,0,0,2684.5746,1079.6211,52766.0977
1610462,274,268,1,1,1,0,2672.7970,1255.8477,57596.5808
51658333,277,268,1,1,2,0,2591.2831,1130.1756,47154.7755
19628260,257,256,1,1,0,0,2665.8199,1137.2901,59039.9289
1324249814,301,282,1,1,0,0,2579.3011,1184.8797,61807.4067
33982018,264,260,1,1,0,0,2721.6374,1058.1076,54716.0246
782932256,268,253,1,1,0,0,2767.9696,1234.5467,48294.7701
1595758397,279,270,1,1,0,0,2706.2461,1056.0091,56908.6988
346908343,264,256,1,1,0,0,2591.9049,1047.1260,43904.7425
1972779108,279,273,1,1,1,0,2686.0469,1122.0368,61263.1336
1213987146,268,257,1,1,0,0,2624.8482,1055.9225,60388.8778
2067318875,256,255,1,1,0,0,2518.3383,1010.6107,46301.4093
561336533,262,257,1,1,0,0,2589.3242,968.7193,50437.6313
404377364,265,259,1,1,0,0,2473.1747,850.5055,45790.2625
473545962,274,268,1,1,2,0,2539.0871,914.6829,56691.4363
327452671,273,258,1,1,6,0,2566.4400,1245.1401,42241.4938
1827105396,272,266,1,1,1,0,2652.4003,1242.9846,51834.9279
844303792,265,262,1,1,1,0,2652.2414,1156.3341,58647.4356
268320785,270,259,1,1,1,0,2679.8422,1103.3828,47557.6124
1196847123,280,269,1,1,1,0,2483.5297,1089.0606,59060.5590
1028895371,263,258,1,1,0,0,2662.9527,1133.1820,48663.7206
524422369,268,262,1,1,1,0,2529.9064,1090.9589,48558.5147
719664363,294,274,1,1,7,0,2690.1287,1373.8470,48370.8968
303782921,266,253,1,1,0,0,2806.1781,1184.7590,55217.4694
9578638,269,265,1,1,0,0,2703.2239,1058.4901,58724.2997
253253544,269,256,1,1,0,0,2591.9975,1296.0976,58716.8643
338943197,285,275,1,1,6,0,2513.8581,1265.6425,65645.6877
2048658121,275,269,1,1,0,0,2635.0130,1037.3625,50738.3969
1728539242,264,256,1,1,1,0,2683.8885,1274.3899,55719.8745
714218848,276,267,1,1,0,0,2771.6594,1186.2107,49658.3712
1797182052,273,264,1,1,0,0,2827.4814,1121.9393,65332.5944
1243440700,276,269,1,1,3,0,2679.5254,1386.8895,56389.4782
152074633,273,273,1,1,0,0,2685.7194,1058.1590,57645.8163
284862868,280,270,1,1,0,0,2665.4590,1034.3645,60970.2769
724808429,276,264,1,1,2,0,2665.6952,1424.4732,45491.3018
290459902,278,270,1,1,1,0,2657.4587,1076.1756,61546.3698
568474932,281,274,1,1,0,0,2602.3162,1075.1884,71917.6255
1725001197,280,268,1,1,0,0,2673.9150,1227.2661,62742.5469
1493096851,260,256,1,1,0,0,2714.9424,1066.1390,52508.1795
1109340896,273,265,1,1,1,0,2694.5755,1078.0693,54913.8128
2135125047,259,260,1,1,1,0,4950.4461,1076.6071,44037.8502
350147570,287,271,1,1,1,0,2570.8014,1003.5714,58254.5491
2034850616,262,260,1,1,0,0,2766.4819,1087.7434,59297.9396
717379642,282,269,1,1,2,0,2799.3647,1227.6471,57190.0260
1232305523,268,265,1,1,1,0,2590.6905,1187.0241,50613.6926
915026239,283,277,1,1,1,0,2598.3113,1141.3450,45666.2010
2082532477,285,269,1,1,2,0,2619.7761,1125.1095,43535.5015
1431795523,281,266,1,1,1,0,2564.4227,1080.7216,55650.0060
1734928999,279,278,1,1,0,0,2615.3394,1138.8420,62380.6092
2134848102,279,268,1,1,0,0,2625.1111,1076.2499,49546.7023
74697594,286,273,1,1,1,0,2585.9265,1157.5618,42869.2926
1006925913,274,266,1,1,0,0,2608.6027,1186.4385,52477.3305
278471641,281,262,1,1,3,0,2685.7355,1331.8679,48875.3697
530330214,265,261,1,1,0,0,2736.1052,1197.5154,54550.3386
25581904,289,271,1,1,3,0,2670.5674,1269.2745,51968.5526
1215649828,280,266,1,1,0,0,2635.5935,1236.9041,53440.7345
758627155,279,265,1,1,1,0,2719.7926,1217.8530,50027.0512
660489331,290,274,1,1,1,0,2610.7978,1104.1603,57283.3874
2078624810,273,268,1,1,0,0,2629.6969,1077.6131,60355.7152
