inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,223,209,1,1,0,0,844.2374,814.3117,8323.3069
1027124357,225,207,1,1,0,0,774.5970,899.2503,8198.9488
2049028820,215,209,1,1,0,0,759.6254,789.5523,13493.9833
1321773299,233,195,1,1,0,0,777.5803,797.2511,7156.2065
1703643979,230,199,1,1,0,0,783.0353,809.7995,9992.7930
1300300203,235,194,1,1,0,0,786.1962,915.4664,9298.7267
650965912,236,222,1,1,0,0,806.7554,785.7312,8635.4770
792329348,222,212,1,1,0,0,805.8599,783.6515,9521.0686
870959569,215,206,1,1,0,0,782.9086,781.8541,8775.2324
1173709030,228,213,1,1,4,0,792.3321,879.6390,7856.0050
2096419983,218,204,1,1,0,0,783.6893,832.4995,8726.8221
115248342,221,211,1,1,0,0,780.1206,797.8981,8893.5757
1884656349,207,196,1,1,5,0,756.9131,859.9556,7465.3577
1489863927,205,203,1,1,0,0,748.0302,919.4609,9278.1251
544103131,229,210,1,1,2,0,788.1874,846.0159,7774.6486
460800314,223,212,1,1,6,0,798.5571,1049.7530,15934.4901
888523830,255,224,1,1,2,0,800.6287,847.0836,8475.9161
1114430918,232,209,1,1,0,0,770.2426,784.6212,7197.6380
580934519,219,204,1,1,0,0,747.5671,783.4817,8804.9799
1769352672,233,222,1,1,0,0,741.0043,783.9730,8214.7983
1118957871,207,196,1,1,0,1,771.3361,782.0818,9526.7811
2106748179,220,211,1,1,0,0,765.7655,795.8076,9712.7138
1253636814,226,217,1,1,0,0,769.2755,786.3723,6945.1071
864914860,209,196,1,1,0,0,769.2908,783.8650,7607.7888
961156482,191,189,1,1,0,0,790.7312,776.1430,9242.8896
959317506,232,220,1,1,0,0,772.0954,821.0346,13112.7615
1090505917,223,213,1,1,2,0,790.2392,836.7931,8638.9148
28615858,245,229,1,1,0,0,779.9505,909.7363,10793.8733
30129474,199,189,1,1,0,0,755.8599,1041.8053,8407.0712
215589766,237,226,1,1,0,0,788.2331,799.2862,7695.0392
119334228,211,212,1,1,0,0,747.3907,1021.8011,11834.6594
250851839,217,207,1,1,0,0,802.8713,923.0953,7626.0129
1387499987,225,214,1,1,1,0,790.1547,817.5462,7978.7732
852718394,235,221,1,1,1,0,789.3474,914.8630,7365.9889
1967319524,221,208,1,1,0,0,782.5015,776.3539,14295.8103
1818609555,228,216,1,1,0,0,793.7517,812.8834,15813.1369
1332329453,216,214,1,1,0,0,801.2451,792.9251,12722.9851
181023957,252,231,1,1,0,0,778.0070,783.0835,7945.6305
1802136595,217,206,1,1,0,0,769.0187,806.8974,7039.9062
637631120,231,223,1,1,0,0,763.5626,778.4155,7000.4528
1706040927,223,211,1,1,0,0,802.7115,782.1610,8507.0634
573049588,230,216,1,1,0,0,796.3446,811.2796,12711.6772
1152241987,245,220,1,1,0,0,802.5221,901.4036,11154.1021
1309291604,219,202,1,1,1,0,804.2079,928.0800,14036.0747
2102416186,235,210,1,1,3,0,792.2017,824.6680,11252.9037
1444483879,235,213,1,1,0,0,789.1012,794.2669,7798.2775
326812004,212,206,1,1,0,0,789.0200,915.6686,15154.4358
1190361985,209,205,1,1,0,0,791.6918,782.3882,12391.9956
166497658,218,202,1,1,0,0,787.5562,808.6542,12516.4836
1445870730,214,208,1,1,0,0,790.4867,792.8317,9102.7028
1788875916,209,201,1,1,0,0,779.9903,791.7344,9247.8371
1310774293,238,229,1,1,0,0,789.2932,813.2058,9027.9218
1085928819,232,216,1,1,0,0,776.7411,1020.9591,8912.6049
459395007,223,218,1,1,0,0,791.8043,801.0271,9027.8350
638572196,220,205,1,1,1,0,787.7601,793.6091,9547.6018
639738821,230,224,1,1,0,0,759.3857,790.6904,13865.1797
190604252,241,219,1,1,0,0,798.0150,788.9977,7550.0542
1042720626,215,206,1,1,4,0,794.9313,892.5384,7966.2277
966179508,217,205,1,1,0,0,797.1145,778.9788,8147.3770
125662956,230,216,1,1,1,0,787.6731,786.6453,11398.8898
1889118736,211,206,1,1,0,0,783.3397,788.0717,8625.7613
1180443648,222,204,1,1,0,0,796.3121,921.6194,8551.3540
1995455321,216,212,1,1,0,0,792.9121,818.7284,12225.3735
1322837023,215,204,1,1,0,0,789.3422,789.4799,7978.3795
943897307,186,182,1,1,0,0,791.9508,791.6320,11337.3594
996997129,215,206,1,1,0,0,789.5363,915.3031,9364.8889
257682893,227,219,1,1,0,0,760.1387,803.8851,7646.2500
571818533,203,198,1,1,0,0,790.2979,796.2951,10779.7938
67806860,233,213,1,1,0,0,794.1272,913.2089,15126.0625
453487493,210,204,1,1,0,0,779.4911,892.8862,9278.9225
1967309762,209,204,1,1,0,0,784.4427,786.7639,15242.2377
236272490,220,200,1,1,0,0,789.5585,777.7850,14421.3436
1268650480,207,198,1,1,1,0,774.4919,776.3632,8207.4510
1921887676,225,210,1,1,2,0,791.5231,812.2704,14594.9581
1047301970,229,217,1,1,3,0,793.0517,827.5240,17578.0685
1906557040,225,215,1,1,0,0,791.4268,792.6478,7586.7211
1018579595,226,208,1,1,0,0,792.2798,783.9226,6850.6623
1392414777,220,210,1,1,0,0,787.3560,1049.4695,8154.6070
1543885782,215,207,1,1,0,0,792.0035,791.2838,7265.1577
1845861412,234,201,1,1,1,0,789.1618,919.8358,11906.8439
1959784766,216,200,1,1,0,0,790.3174,1042.2507,7279.5570
1559490636,256,221,1,1,1,0,745.2616,811.9575,13705.0484
107754962,208,203,1,1,0,0,767.7949,774.8949,13583.7833
1623784924,215,209,1,1,1,0,774.2707,805.5244,8267.5183
1417427494,211,210,1,1,0,0,747.3600,779.7025,9656.8763
449326806,225,220,1,1,0,0,748.0554,1023.1061,15536.6651
532109993,212,204,1,1,0,0,756.2509,803.7570,7076.6758
16858075,222,208,1,1,0,0,752.9335,774.9875,16040.3692
766596938,223,208,1,1,0,0,754.3749,899.2838,13221.3562
305806188,201,193,1,1,0,0,751.6728,911.3445,10185.3408
1442568403,197,197,1,1,0,0,751.8826,777.1375,8848.6744
1425144221,229,213,1,1,0,0,753.3497,778.0053,8003.6348
583721967,199,195,1,1,0,0,746.2018,797.0179,8955.0522
398088920,213,203,1,1,0,0,764.9096,1030.5535,9775.6934
1041229544,243,219,1,1,1,0,740.0944,802.8133,16193.6998
710289822,206,203,1,1,0,0,738.7435,776.6075,12747.7624
1347622446,229,210,1,1,2,0,738.6696,806.0107,7261.0947
398377604,222,206,1,1,0,0,741.3350,1031.7156,11677.0241
1485936924,224,211,1,1,0,0,746.6114,797.0319,8474.1735
770159598,238,225,1,1,0,0,747.6575,911.2377,13364.8902
