inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
201039488,279,275,1,1,0,0,2105.1589,1215.7714,55696.8005
1178222326,292,278,1,1,2,0,2103.5369,1311.0859,51484.1558
628216189,288,267,1,1,5,0,2086.4942,1563.7815,43007.8293
1597358542,288,277,1,1,0,0,2103.5458,1133.6022,43916.5921
204377615,290,275,1,1,2,0,2090.8301,1253.6915,51071.9778
1972488571,281,272,1,1,0,0,2114.0463,1138.2156,49879.0959
848872036,278,268,1,1,0,0,2104.5763,1205.6630,57368.7008
836013182,281,269,1,1,0,0,3378.0840,1155.1971,50514.6893
1238072969,275,271,1,1,0,0,3410.3211,1121.3946,49486.9676
490550686,284,268,1,1,6,0,2100.7549,1449.8201,54630.1756
105084641,288,273,1,1,0,0,2097.0552,1133.8647,56040.7093
1539349503,290,281,1,1,0,0,2104.2816,1113.0775,55932.3729
1900902684,281,274,1,1,1,0,2076.6925,1256.7620,57579.8183
331519998,278,273,1,1,0,0,2122.8521,1216.5345,46922.3722
15627355,293,282,1,1,1,0,2110.1971,1341.4746,52395.1750
371039153,282,273,1,1,0,0,2095.0416,1201.8748,53497.7499
345067785,296,290,1,1,0,0,2094.6488,1258.6101,53964.3172
2036854485,291,282,1,1,0,0,2087.4661,1199.3775,54831.1846
1354991870,282,276,1,1,0,0,2127.0070,1226.7343,49146.8882
2064006918,294,281,1,1,3,0,2121.9469,1323.6428,73513.6713
1816350865,281,273,1,1,2,0,3457.0555,1312.2488,54482.0263
1001639105,284,274,1,1,1,0,2194.5571,1278.0771,52205.5579
2085356252,287,280,1,1,0,0,3471.5398,1255.8537,54177.6629
380076236,279,270,1,1,0,0,2152.4376,1144.2345,46080.5573
102516302,299,277,1,1,3,0,3469.1957,1393.0698,43814.4341
104309195,282,269,1,1,1,0,2148.1592,1142.7364,50750.6006
177146177,281,270,1,1,1,0,2151.6880,1233.8840,53224.3647
999328620,287,268,1,1,1,0,3439.7450,1220.6486,46868.0511
2057334927,273,263,1,1,1,0,2257.1053,1179.5564,55162.1056
714866549,275,272,1,1,1,0,2283.9182,1337.6750,46136.4776
1157363270,280,271,1,1,1,0,2265.7394,1338.0194,48714.6079
1873531293,278,264,1,1,1,0,2259.4691,1178.5955,51334.7546
760443195,274,269,1,1,0,0,2270.2548,1165.7658,53748.0805
1960519010,283,266,1,1,3,0,2178.4975,1375.7241,56753.1905
505096343,276,264,1,1,0,0,2181.6205,1149.7859,41557.6645
299209827,296,270,1,1,0,0,1868.5984,957.2755,47102.9926
1204626870,275,263,1,1,2,0,1803.6481,1004.2293,41174.1602
1610462,290,276,1,1,0,0,1827.5774,973.9748,43903.8897
51658333,272,268,1,1,0,0,1791.9174,946.6296,38239.9952
19628260,298,285,1,1,0,1,1795.7270,948.4663,45695.1472
1324249814,284,271,1,1,0,0,1788.7905,1029.7537,41526.9285
33982018,269,263,1,1,1,0,1768.0317,1011.9648,39371.7517
782932256,285,266,1,1,6,0,1811.5918,1342.9509,41258.4267
1595758397,291,274,1,1,3,0,1818.6227,1123.1262,42178.9666
346908343,300,278,1,1,4,1,1806.3989,1348.8622,49569.1599
1972779108,287,276,1,1,1,0,1794.8275,1017.9439,46970.1540
1213987146,289,275,1,1,1,0,1791.3752,1072.2101,43590.3335
2067318875,277,268,1,1,1,0,1801.5282,986.5930,36323.1383
561336533,286,276,1,1,0,0,1792.9414,1037.5079,49017.3502
404377364,279,263,1,1,1,0,1813.2951,966.7550,36356.2506
473545962,287,275,1,1,0,0,1839.5599,948.6964,44737.6529
327452671,296,281,1,1,3,0,1795.8170,1059.5475,37974.5690
1827105396,285,270,1,1,0,0,1810.0135,961.0107,36410.9253
844303792,289,275,1,1,0,0,1807.0338,945.4397,43299.8816
268320785,280,268,1,1,0,0,1807.4068,1027.6772,41229.6735
1196847123,286,279,1,1,0,0,1805.1693,970.1661,47634.6804
1028895371,282,273,1,1,1,0,1825.0110,966.1620,48577.9863
524422369,292,277,1,1,1,0,1812.0459,1020.4594,41875.2463
719664363,289,278,1,1,3,0,1803.9763,1187.4802,42819.2966
975214784,279,271,1,1,1,0,1802.1993,966.9561,44042.1943
9578638,289,276,1,1,1,0,2318.1425,1553.9873,73744.0824
253253544,285,279,1,1,0,0,2258.5455,1139.2706,47742.2863
338943197,285,278,1,1,1,0,2103.4598,1160.1388,48144.8751
2048658121,277,271,1,1,1,0,2113.4830,1258.2884,54120.6644
1728539242,280,268,1,1,1,0,2125.9053,1360.5581,54083.7064
714218848,279,269,1,1,3,0,2139.2941,1312.6810,46375.4387
1243440700,287,279,1,1,1,0,3445.8983,1360.6512,42186.6454
152074633,298,283,1,1,0,0,2286.9288,1148.2168,52528.5570
284862868,292,280,1,1,0,0,2358.4791,1306.3047,48406.5200
724808429,269,267,1,1,0,0,2258.1563,1169.6024,50222.0767
290459902,274,270,1,1,0,0,2215.6127,1279.8288,53645.2032
1725001197,285,275,1,1,3,0,3483.2761,1430.6358,61716.5007
1493096851,299,279,1,1,0,0,3423.4544,1127.9462,44246.3932
1109340896,280,265,1,1,2,0,2153.5697,1247.0842,49952.7025
142741248,292,274,1,1,10,0,2134.2295,1765.9595,49389.3651
2135125047,286,271,1,1,1,0,2160.4646,1189.0868,50233.7389
350147570,281,275,1,1,0,0,2202.1559,1159.2950,54724.2817
2034850616,282,267,1,1,6,0,2257.3729,1413.6701,57919.9658
717379642,279,271,1,1,1,0,2298.5406,1214.3624,44875.1290
1232305523,277,266,1,1,0,0,2244.6882,1144.2346,48996.3446
915026239,283,271,1,1,5,0,2244.5701,1452.1458,53639.6656
2082532477,280,271,1,1,0,0,2241.5188,1149.6548,45778.5752
1431795523,285,278,1,1,1,0,2185.8332,1220.7828,65466.9075
1734928999,296,284,1,1,1,0,2140.7546,1204.5173,53382.3628
2134848102,288,267,1,1,8,0,2159.4661,1710.7256,49387.1141
74697594,285,272,1,1,1,0,2029.8949,1216.7464,46454.2142
278471641,288,279,1,1,0,0,2846.2553,948.1162,47353.5870
530330214,280,270,1,1,4,0,1748.8805,1103.6359,42643.0105
25581904,286,276,1,1,0,0,1747.3417,1011.7892,39247.6420
1215649828,287,269,1,1,1,0,1742.0208,977.9521,43938.8440
758627155,284,263,1,1,3,0,1733.9751,1208.3961,46078.4512
660489331,291,277,1,1,1,0,1728.8815,994.8623,40989.6058
2078624810,280,274,1,1,0,0,1738.8053,1019.2667,45207.6352
1094352778,292,276,1,1,1,0,1746.4914,1054.2118,43658.4203
1824607808,277,272,1,1,1,0,1734.1184,1056.1055,37075.3003
1036196615,281,267,1,1,0,0,1730.3120,1038.4252,40998.6818
557674533,284,269,1,1,3,0,1721.9357,1178.3121,39647.9126
270166834,279,277,1,1,0,0,1715.1890,926.5030,36058.9555
580197657,293,283,1,1,4,0,1738.1709,1233.4067,37831.9247
198280594,287,272,1,1,0,0,1726.5909,923.5500,51880.3899
