inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
158404044,626,473,1,1,16,0,788.0773,2092.2328,45326.5222
92789321,597,478,1,1,9,0,776.4318,1531.6805,45353.2489
152406214,583,484,1,1,2,0,774.1141,1603.6638,39627.4596
65904033,609,480,1,1,1,0,771.5285,1552.0903,42978.4953
715151048,550,476,1,1,0,0,762.5138,1571.8827,51032.1818
1837143562,590,472,1,1,3,0,767.3070,1439.7548,36696.7875
169461177,623,471,1,1,2,0,762.8956,1569.3123,42328.2320
488741358,574,469,1,1,1,0,763.5361,1784.7310,43562.3115
2043596449,571,462,1,1,0,0,769.6972,1544.6612,42124.7883
27714424,593,473,1,1,1,0,758.7256,1657.0143,47180.3847
1378981487,627,472,1,1,6,0,781.4356,1461.7178,40694.2875
1087226200,607,472,1,1,1,0,804.1105,1548.9998,45304.2044
1783700109,618,472,1,1,3,0,801.2679,1412.1103,43873.1459
606911700,596,474,1,1,1,0,798.7368,1332.9245,58031.5184
760880347,585,481,1,1,0,0,805.6621,1493.8934,41033.1719
59999068,567,473,1,1,0,0,771.6678,1529.4840,49780.9886
571193846,612,468,1,1,5,0,767.2142,1444.1608,34436.5407
812270013,615,477,1,1,3,0,769.4097,1448.1618,35213.9831
2024468135,592,472,1,1,2,0,769.1728,1413.2416,44511.8107
1571911266,583,461,1,1,2,0,766.7211,1515.6567,35990.4562
475325246,589,471,1,1,1,0,763.9350,1455.7926,44331.2942
1763798130,602,469,1,1,10,0,770.7287,1565.3325,39178.3271
560234182,625,479,1,1,1,0,765.6449,1396.7711,59893.5879
997409276,606,485,1,1,8,0,774.1324,1578.3309,36053.0462
206960016,595,472,1,1,1,0,776.2037,1494.4257,46443.6679
936294072,586,474,1,1,2,0,787.3405,1358.0151,46347.4821
234030591,606,478,1,1,1,1,766.8893,1412.5898,37961.9378
1031363735,622,473,1,1,1,0,767.5830,1637.2317,49061.0559
1935720822,584,465,1,1,1,0,760.9549,1366.7823,39490.7302
432820004,611,467,1,1,12,0,771.6611,1577.2863,37508.0785
998321117,571,456,1,1,0,0,765.9520,1686.8301,36855.5585
905758228,592,458,1,1,0,0,768.8598,1509.1685,55111.4710
542363102,591,463,1,1,0,0,765.7805,1249.7303,52801.1627
1264504943,595,475,1,1,0,0,771.6290,1283.7846,47118.0863
252578174,623,463,1,1,6,0,760.9509,1571.3674,46355.7692
659836520,607,483,1,1,7,0,754.7950,1754.3759,49966.5741
743325900,621,475,1,1,31,0,754.7185,1939.9768,50695.7341
2021655698,618,478,1,1,3,0,757.2050,1517.8519,39334.6473
538689127,618,483,1,1,0,0,755.1045,1481.0984,49553.8208
1040957243,588,467,1,1,1,1,755.7303,1561.5021,43647.7570
518039206,584,471,1,1,0,0,761.6155,1402.4275,44330.0028
1021738031,578,462,1,1,0,0,760.5376,1264.1758,47909.4375
1932941879,618,487,1,1,3,0,765.0624,1421.1334,40784.2426
529555593,576,468,1,1,0,0,765.4413,1429.5213,55029.2147
1303615397,606,465,1,1,2,0,758.6583,1490.5626,54669.2802
1678752998,626,473,1,1,1,0,759.9800,1337.1789,37567.6391
1028090729,594,467,1,1,4,0,762.7004,1375.1129,40676.9899
1730735716,635,469,1,1,1,0,760.8969,1743.2939,40640.6297
1344074482,610,468,1,1,3,0,759.9257,1425.7468,44381.5420
61616137,618,472,1,1,1,0,762.4495,1549.1708,39856.7465
1632689976,604,476,1,1,5,0,763.8866,1638.7732,43314.1850
1907656268,615,477,1,1,0,0,759.0892,1717.9925,39769.9961
2031799456,603,472,1,1,6,0,763.4163,1495.4856,35398.1103
2120079826,600,465,1,1,0,0,761.5613,1562.4817,50418.7694
803234140,599,473,1,1,1,0,761.0694,1523.2125,45533.8394
1140165052,586,475,1,1,2,0,755.9448,1341.8991,38059.1521
1076293638,589,462,1,1,4,0,760.0781,1396.8788,51111.7396
590262574,579,472,1,1,1,0,758.1749,1424.4232,42625.0201
891709507,622,480,1,1,2,0,759.8485,1371.0038,40550.6950
2133319443,601,472,1,1,4,0,758.4443,1454.4185,41990.2067
398370412,587,485,1,1,1,0,758.8186,1629.2482,43628.4207
1480568925,587,471,1,1,0,0,752.6744,1561.2947,43972.5263
2035872479,593,467,1,1,3,0,755.6146,1668.1658,54015.6788
870467234,606,490,1,1,1,0,755.7050,1356.1700,44934.7986
1542226172,584,485,1,1,3,0,754.4326,1372.0549,40704.0077
1900837876,617,469,1,1,2,0,754.6911,1701.4383,35790.8490
1191475868,615,486,1,1,2,0,757.4668,1519.6011,45692.7758
1936393773,574,464,1,1,0,0,752.8256,1687.3535,39127.9104
435830266,619,476,1,1,1,0,758.1118,1459.3260,54162.5020
1856090331,601,472,1,1,0,0,761.1571,1593.5327,45306.5665
1893912069,570,470,1,1,3,0,770.4309,1419.3019,37678.7630
985007047,607,482,1,1,3,0,798.9057,1547.9716,44350.8971
1089102098,611,483,1,1,3,0,770.3121,1368.1182,42613.2117
512559123,571,480,1,1,2,0,765.2849,1372.8861,41105.2259
1962038513,599,479,1,1,0,0,766.7678,1284.3729,42540.7194
1123845661,605,477,1,1,3,0,776.5893,1625.5618,39028.4813
423968849,601,486,1,1,1,0,776.1184,1440.4908,36116.3489
1355479789,595,477,1,1,0,0,765.3848,1500.3671,50680.4435
848880354,613,466,1,1,0,0,766.8573,1464.2335,40679.8825
102891579,580,474,1,1,0,0,776.1235,1410.3723,45288.1724
820547587,604,479,1,1,3,0,768.6600,1413.5253,50537.9186
1734933642,606,476,1,1,2,0,757.9422,1657.1375,38432.8308
1512277959,624,472,1,1,1,0,766.8660,1516.2546,43634.6377
773555483,594,475,1,1,6,0,768.8066,1376.9623,36718.8273
347657713,611,473,1,1,0,0,774.7470,1335.6517,55785.4925
744070896,598,479,1,1,6,0,755.3830,1805.7451,50889.0538
666230599,626,487,1,1,1,0,769.9527,1610.3839,39596.1546
204363077,625,474,1,1,1,0,769.8675,1547.6007,46613.2491
1450688538,578,461,1,1,1,0,766.4262,1583.1362,41544.6666
2060451573,613,466,1,1,3,0,767.7463,1589.4861,33641.1094
1439849474,549,458,1,1,2,0,785.6514,1329.8755,43754.7764
1058458331,567,468,1,1,3,0,779.7172,1565.0799,48850.7338
68090789,579,463,1,1,1,0,779.1747,1781.7097,42195.6317
1139865475,613,477,1,1,4,0,772.7788,1561.6229,47743.3472
916062176,586,465,1,1,2,0,768.7688,1516.6333,45217.4688
1523551154,630,473,1,1,1,0,804.8716,1439.1973,42767.7081
829008402,589,466,1,1,1,0,815.9894,1516.6596,35577.4076
375074744,608,460,1,1,1,0,766.2258,1329.3964,42467.3135
833136248,587,476,1,1,0,0,781.3141,1424.3088,38793.1765
208399378,596,471,1,1,4,0,789.8418,1473.5845,51401.3782
