inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,230,213,1,2,2,1,219.8541,289.0490,404032.1545
1027124357,219,212,1,1,0,0,166.4395,419.1283,5540.2366
1321773299,209,208,1,1,0,0,167.4540,289.3480,7800.0923
1703643979,195,187,1,1,0,0,160.1259,288.2474,9464.4334
1300300203,194,185,1,1,0,0,164.4592,292.9633,4651.6616
650965912,210,205,1,1,0,0,162.0482,274.7744,6154.6095
792329348,224,189,1,1,0,0,163.0462,281.1175,6264.2210
870959569,232,230,1,1,0,0,161.2765,283.6889,5203.0030
1173709030,223,207,1,1,0,0,162.7542,341.9911,4986.1199
2096419983,217,215,1,1,0,0,162.0407,352.9944,4965.6304
115248342,212,194,1,1,0,0,163.1870,275.0472,4892.5962
1884656349,210,205,1,1,0,0,172.5587,288.4713,5739.8490
1489863927,203,199,1,1,0,0,164.1739,273.3225,4296.5436
544103131,223,208,1,1,0,0,163.2359,274.8989,9791.3977
460800314,210,210,1,1,0,0,163.4534,496.3128,4885.3016
888523830,207,205,1,1,0,0,162.2286,274.8451,4312.5880
1114430918,219,214,1,1,0,0,163.4213,350.8456,4538.9969
580934519,240,218,1,1,2,1,162.0170,287.0050,6135.5942
1769352672,238,222,1,1,5,0,162.9752,312.9734,5019.3305
1118957871,209,208,1,1,0,0,163.8114,342.4806,5575.5268
2106748179,239,222,1,1,0,0,162.0950,291.0880,4776.9894
1253636814,240,222,1,1,12,0,162.1875,372.6810,6145.2764
864914860,222,218,1,1,0,0,163.7017,341.4335,8751.7082
961156482,216,214,1,1,1,0,162.9530,346.1068,10137.4755
959317506,208,206,1,1,0,0,163.7548,274.3714,5275.4663
1090505917,221,217,1,1,0,0,163.3114,283.4308,9155.7595
28615858,227,215,1,1,1,0,161.2471,305.4803,5465.0205
215589766,221,213,1,1,0,0,167.7426,425.4075,5509.3175
119334228,205,204,1,1,0,0,187.8181,368.3061,5722.2663
250851839,223,218,1,1,0,0,182.3747,350.2448,10618.8042
1387499987,224,216,1,1,2,0,173.4257,311.7624,4709.2817
852718394,219,207,1,1,1,0,172.7075,284.4714,4753.4543
1967319524,217,206,1,1,1,0,161.5422,302.2343,5834.1788
1818609555,225,219,1,1,0,0,165.5829,275.3729,5309.1155
1332329453,217,209,1,1,0,0,179.6644,287.3735,5141.2524
181023957,216,204,1,1,0,0,185.1336,277.8046,6937.8754
1802136595,204,203,1,1,0,0,182.8704,284.5792,9562.3345
637631120,233,216,1,1,2,0,182.3578,296.4244,5112.6821
1706040927,222,213,1,1,0,0,183.5221,365.5180,5569.3107
573049588,208,206,1,1,0,0,191.2754,276.7301,7303.6198
1152241987,211,209,1,1,0,0,183.4171,286.0564,5008.9071
1309291604,235,221,1,1,0,0,184.0996,358.8125,6259.2824
2102416186,217,208,1,1,1,0,166.2228,351.4203,7131.1348
1444483879,223,197,1,1,0,0,164.9470,278.3756,5959.8988
326812004,241,225,1,1,1,0,174.7830,298.5154,5606.0533
1190361985,235,223,1,1,5,0,170.7806,321.0906,5194.3261
166497658,232,206,1,1,1,0,177.5832,295.9314,7731.6908
1445870730,203,202,1,1,0,0,172.7724,287.3041,5210.3425
1788875916,231,215,1,1,4,0,172.8158,330.3477,5251.4237
1310774293,219,202,1,1,0,0,174.0767,346.9501,8692.8513
1085928819,208,205,1,1,1,0,173.3778,295.6277,5045.1497
459395007,244,218,1,1,2,0,172.2311,324.4350,5047.1772
638572196,210,205,1,1,0,0,181.6487,288.0308,5681.3622
639738821,228,221,1,1,0,0,182.9332,292.4645,5549.5803
190604252,209,205,1,1,0,0,184.8114,277.5807,5268.7018
1042720626,212,208,1,1,0,0,184.1286,343.4706,6231.3132
966179508,219,217,1,1,0,0,183.2953,360.2102,5534.3136
125662956,216,210,1,1,0,0,173.2172,355.5437,11769.6600
1889118736,227,217,1,1,0,0,175.4283,345.1724,5402.3441
1180443648,246,233,1,1,1,0,183.5637,364.2077,10037.2726
1995455321,213,210,1,1,0,0,182.1686,344.5258,9436.7524
1322837023,223,220,1,1,0,0,169.9216,278.4873,4976.6876
943897307,210,199,1,1,0,0,182.1354,276.9734,5198.7952
996997129,237,215,1,1,0,0,189.9785,355.9308,5306.1885
257682893,210,203,1,1,0,0,188.8270,413.3045,4736.9531
571818533,206,199,1,1,0,0,183.2943,348.1351,5360.8136
67806860,239,217,1,1,2,0,184.4840,439.6717,5243.1306
453487493,197,192,1,1,0,0,185.0072,349.6669,5779.4887
1967309762,214,199,1,1,1,0,182.9421,305.4301,5777.7343
236272490,237,223,1,1,1,0,182.9612,423.6824,4771.9784
1268650480,217,210,1,1,0,0,181.0380,287.5314,6874.1681
1921887676,204,198,1,1,0,0,170.2705,285.4811,7666.2453
1047301970,201,201,1,1,0,0,181.9243,277.5256,7245.0652
1906557040,216,211,1,1,0,0,172.6737,357.7273,5640.4075
1018579595,216,213,1,1,0,0,172.7306,287.6770,5058.8519
1392414777,217,215,1,1,0,0,175.6663,353.0447,5484.6525
1543885782,253,233,1,1,1,0,172.4663,373.7643,5387.3415
1845861412,201,191,1,1,1,0,160.2677,289.2154,6050.5530
1959784766,220,217,1,1,0,0,171.9717,355.4456,4700.5098
1559490636,234,223,1,1,1,0,173.8678,307.2069,5443.2252
107754962,223,213,1,1,0,0,172.8625,293.9976,7700.2537
1623784924,211,198,1,1,1,0,161.5392,294.9987,6426.0172
352449577,214,206,1,1,0,0,173.9320,296.9465,4749.1617
1417427494,226,219,1,1,1,0,173.5470,487.2781,4935.8351
449326806,219,212,1,1,0,0,172.0290,293.1576,4805.2423
532109993,235,220,1,1,0,0,181.0531,280.6458,5689.5838
16858075,214,213,1,1,0,0,176.2620,346.8104,8534.8983
766596938,195,191,1,1,0,0,172.5767,294.5131,5054.9398
305806188,219,217,1,1,0,0,173.6031,356.0364,5206.3899
1442568403,202,199,1,1,0,0,173.5556,286.6005,4729.2240
797468161,195,194,1,1,0,0,172.3264,284.3876,5990.6454
1425144221,216,214,1,1,0,0,170.9752,280.5152,4680.8870
583721967,210,207,1,1,1,0,163.6239,279.2556,5124.0119
398088920,208,199,1,1,1,0,173.2224,292.0789,4869.5654
1041229544,218,216,1,1,0,0,173.2989,347.8843,4853.1852
710289822,226,218,1,1,0,0,161.0920,278.7175,5456.5758
1347622446,233,226,1,1,1,0,172.6508,298.2692,4908.5256
398377604,211,205,1,1,0,0,171.9587,352.2644,4985.3672
1485936924,227,221,1,1,0,0,174.1534,302.7291,4682.1992
