inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
121274997,345,314,1,1,0,0,943.3423,786.2736,31321.4167
1153498414,328,298,1,1,0,0,946.9206,903.8534,32787.2614
132208855,371,320,1,1,2,0,903.5304,880.2006,31706.9639
885512867,385,327,1,1,2,0,941.8542,840.7787,33858.4639
1475474274,376,325,1,1,1,0,900.8513,824.4410,40988.6149
1180791587,349,317,1,1,2,0,931.3051,832.1719,31113.6471
1094791143,369,314,1,1,1,0,906.9031,797.6049,33887.7317
1421318138,364,330,1,1,1,0,946.7717,891.6341,36022.4012
897213163,323,309,1,1,0,0,912.7197,944.1232,32696.0276
298565590,352,313,1,1,2,0,931.3642,941.7887,30376.5051
1483978088,360,319,1,1,0,0,925.2837,898.1027,30521.6494
1489086940,369,320,1,1,3,0,943.7460,913.0968,33557.9529
1530789952,367,316,1,1,3,0,938.3760,928.1825,29975.4330
1311264337,385,322,1,1,1,0,926.3337,852.5693,36224.6702
1909885862,374,324,1,1,3,0,895.3796,933.7766,32525.5840
1042116987,411,336,1,1,2,0,893.2178,895.3828,35376.2954
483136980,355,327,1,1,0,0,902.7060,904.7375,28976.5376
269601715,355,311,1,1,4,0,925.7819,1217.7458,34271.4457
1563017469,373,317,1,1,0,0,1047.1017,847.9744,32544.3503
1235187647,370,311,1,1,1,0,966.2086,859.5888,33128.8036
1448583282,366,322,1,1,0,0,943.0987,918.5689,31466.7197
312975818,348,320,1,1,1,1,921.8280,836.7258,35073.8713
86052005,362,322,1,1,1,0,917.4132,951.6704,35161.4136
2085119730,384,334,1,1,1,0,926.7828,788.5110,36247.5693
664049022,358,314,1,1,6,0,929.8376,1136.8599,29945.5010
1043757610,374,335,1,1,1,0,935.7929,784.4479,27728.2446
558075410,365,322,1,1,1,0,932.9420,957.0421,35901.0357
1475115664,361,322,1,1,6,0,971.6392,1061.4258,26348.8685
441657123,369,322,1,1,1,0,961.2415,924.1215,24928.5807
855404017,368,323,1,1,0,0,966.5741,790.0664,35536.8594
719816046,377,330,1,1,0,0,929.4131,851.5794,32973.0572
1967574731,385,328,1,1,3,0,959.9140,950.3550,33908.3711
2103901630,361,323,1,1,0,0,949.7690,905.8220,29557.6076
635866389,367,322,1,1,3,0,941.1968,857.9814,26294.2879
4525186,360,321,1,1,1,0,943.8466,780.5004,28133.5878
1744789138,355,311,1,1,1,0,939.8301,878.2986,32761.5322
18775625,361,320,1,1,2,0,938.6589,930.6471,32205.1371
284121040,333,304,1,1,1,0,942.0862,828.2151,30253.5537
889300253,355,312,1,1,7,0,934.7580,999.3784,27665.7510
197010796,364,315,1,1,0,0,989.0802,855.5879,33499.0979
1557357036,364,329,1,1,1,0,931.3722,862.0495,34883.9596
2128221766,359,314,1,1,1,0,933.2644,885.4250,35303.0180
265020225,376,316,1,1,3,0,933.5590,1023.9626,31011.0342
2023673217,358,316,1,1,1,0,923.0729,923.8540,26144.8100
375119175,371,321,1,1,0,0,973.1301,854.9962,35642.8390
1608896216,349,318,1,1,2,0,939.3014,854.6117,32643.4151
1469793145,357,307,1,1,2,0,960.9459,1030.8580,31741.1877
1035840660,391,329,1,1,3,0,946.5845,984.6944,28232.1971
1814675505,348,311,1,1,0,0,936.2761,854.5193,26159.6746
1772333224,374,324,1,1,3,0,959.2343,1063.9494,29650.2384
1440163305,361,317,1,1,3,0,947.9079,872.1492,30310.3292
230005213,373,326,1,1,0,0,952.8478,917.6856,30155.5939
2000693614,369,335,1,1,4,0,949.6298,968.6324,35356.0442
992877460,393,325,1,1,5,0,966.8459,941.7311,25200.5712
1265044680,375,320,1,1,5,0,965.4520,900.1794,29189.8874
2108989452,370,323,1,1,2,0,954.0950,908.1287,33492.1069
1181651146,374,323,1,1,3,0,943.7848,967.7171,31744.9824
1988805459,350,321,1,1,2,0,942.4143,829.5616,28434.2060
1339574956,354,332,1,1,0,0,925.8951,924.7524,37493.3384
1779756705,343,315,1,1,0,0,923.0205,1043.6962,31418.1986
236287770,356,316,1,1,0,0,968.5628,856.5439,25436.8039
1059119565,354,314,1,1,5,0,932.1204,868.2116,26675.4015
51817358,359,330,1,1,3,0,938.9954,949.9868,41014.6508
1101564524,350,309,1,1,1,0,937.7555,818.3526,31912.1738
1957300833,331,310,1,1,0,1,951.9388,929.2581,28778.4901
2102842348,383,329,1,1,3,0,952.3466,825.3969,32746.0763
1877302714,356,305,1,1,0,0,961.8444,868.1468,32268.2424
1911171249,377,315,1,1,13,0,949.2325,1337.5414,26782.0477
828962776,365,318,1,1,17,0,941.9935,1271.1816,29881.0694
640509466,371,322,1,1,1,0,938.0815,822.4609,31938.1383
1403458878,349,309,1,1,3,0,938.5288,946.4843,29164.4163
1102368864,369,319,1,1,1,0,932.5843,871.0837,31360.6483
842250574,372,330,1,1,3,0,2848.7753,905.8668,35146.6078
1625612321,368,314,1,1,7,0,935.7059,1012.1629,33499.4135
120727432,365,322,1,1,0,0,926.1452,854.0375,27827.2127
1228703228,344,310,1,1,1,0,923.1438,832.2445,35322.6655
743646191,342,313,1,1,0,0,929.8882,796.5283,26785.6302
1980054255,373,328,1,1,1,0,923.3090,866.2630,31091.4873
1437452513,387,331,1,1,0,0,932.5788,925.3213,32666.6686
1019651309,352,315,1,1,1,0,924.5471,890.1543,29685.8981
942650831,376,333,1,1,0,0,939.1110,785.3271,33819.3565
1377005922,394,320,1,1,6,0,951.3657,996.5964,32772.0783
2053013838,382,315,1,1,3,0,944.8742,1016.4057,27620.4392
7604209,348,316,1,1,0,0,957.9117,931.9761,31990.9632
1524572180,352,320,1,1,0,0,958.4812,940.0218,35074.9660
1011832384,371,313,1,1,1,0,958.6887,798.9715,35512.8235
1950257361,391,329,1,1,0,0,952.9093,931.7586,31933.6244
587908686,364,322,1,1,0,0,933.4390,795.3144,29618.6475
1941343268,348,317,1,1,0,0,936.2691,937.2525,27893.1632
701262703,351,311,1,1,2,0,936.5436,915.7743,27710.2283
121594943,339,305,1,1,1,0,948.4272,809.2875,32786.0443
614633707,374,331,1,1,1,0,940.8860,950.4087,29958.1230
1827466480,380,331,1,1,1,0,931.2845,935.2337,36185.9335
956948314,365,315,1,1,4,0,957.9006,835.6755,27754.5660
1129649921,346,317,1,1,5,0,947.3856,970.4033,27092.5079
50558818,351,318,1,1,4,0,946.5649,900.2838,32156.7976
253537661,356,319,1,1,0,0,955.4489,862.7265,26773.7258
432444311,352,309,1,1,0,0,958.8700,857.4982,29397.0020
1199527319,363,325,1,1,0,0,963.3724,781.7564,38444.8440
