inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
201039488,292,275,1,1,0,0,3171.0532,1283.7916,70312.0281
1178222326,300,278,1,1,1,0,2919.0788,1389.2253,65915.6583
628216189,297,267,1,1,1,0,2932.6390,1389.0596,53895.0408
1597358542,298,277,1,1,0,0,2935.8702,1314.7064,56137.8275
204377615,295,275,1,1,5,0,2964.4750,1612.8526,66190.7184
1972488571,302,272,1,1,3,0,2949.9761,1673.0483,65445.5321
848872036,282,268,1,1,0,0,2962.0961,1372.7569,73509.3918
836013182,299,269,1,1,3,0,5308.0599,1291.8241,64554.0966
1238072969,298,271,1,1,0,0,5381.2804,1357.2638,62704.6630
490550686,299,268,1,1,9,0,4929.3179,1974.5147,70548.5543
105084641,307,273,1,1,2,0,5170.0193,1694.3299,72236.3387
1539349503,305,281,1,1,1,0,2875.0427,1540.9180,71626.4318
1900902684,287,274,1,1,0,0,2872.0366,1335.0299,75055.6637
331519998,293,273,1,1,0,0,2923.5084,1569.7808,60920.0762
15627355,298,282,1,1,0,0,2904.1708,1455.4829,66750.1959
371039153,301,273,1,1,0,0,2951.1750,1414.9007,67939.5838
345067785,317,290,1,1,1,0,2920.3812,1352.3857,68377.2254
2036854485,314,282,1,1,3,0,2897.3917,1506.7624,69291.3960
735964133,294,272,1,1,1,0,2873.9097,1370.0222,68734.1396
1354991870,304,276,1,1,31,0,2880.8449,5080.2459,64613.9072
2064006918,314,281,1,1,3,0,2942.3166,1616.7242,94632.8197
1816350865,295,273,1,1,2,0,4933.8775,1573.8824,69977.1766
1001639105,282,274,1,1,1,0,5533.9435,1350.5737,65971.7210
2085356252,298,280,1,1,0,0,5625.6980,1328.6715,67401.1351
380076236,283,270,1,1,0,0,5133.2483,1496.8281,59272.8862
102516302,317,277,1,1,5,0,5250.8926,1665.5213,54768.8257
104309195,300,269,1,1,1,0,5402.0674,1465.0946,65033.0961
177146177,291,270,1,1,1,0,2956.8122,1365.1376,66470.8722
