inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1178222326,291,283,1,1,2,0,3612.9001,1236.5688,38622.4093
628216189,291,286,1,1,1,0,1540.1979,1172.5109,44004.4941
1597358542,280,280,1,1,0,0,1523.3390,1143.9604,33053.7411
204377615,283,273,1,1,0,0,1569.3828,1139.6988,43053.7837
1972488571,296,285,1,1,0,0,1551.1213,1151.4377,38546.5236
848872036,289,280,1,1,0,0,1528.9552,1207.9864,37250.8355
1957251927,295,281,1,1,0,0,1566.8642,1166.6762,37286.1552
836013182,279,273,1,1,0,0,1542.3027,1137.5988,39570.7146
1238072969,292,287,1,1,0,0,1521.1080,1201.0742,36165.4555
490550686,301,293,1,1,0,0,1570.8713,1223.7736,37520.9607
105084641,294,290,1,1,5,0,1580.2449,1335.5758,45832.8657
1539349503,307,293,1,1,12,0,1557.1404,1656.8711,46355.3803
1900902684,285,277,1,1,0,0,1565.6271,1144.0696,33831.2986
331519998,299,288,1,1,0,0,1534.7931,1131.3628,41456.1981
15627355,304,292,1,1,0,0,1521.3555,1170.1835,39072.4589
371039153,292,283,1,1,3,0,1509.1034,1335.4070,37032.0457
345067785,284,280,1,1,0,0,1572.4698,1222.5985,45991.4116
2036854485,291,284,1,1,2,0,1541.1004,1300.0831,37588.3446
735964133,286,286,1,1,0,0,1543.6669,1133.5893,34840.5421
1354991870,282,275,1,1,1,0,1551.5174,1175.4150,37715.2871
2064006918,282,278,1,1,2,0,1550.0998,1202.1298,43680.7222
992928080,282,274,1,1,0,0,1537.1944,1196.4950,35332.2789
109067837,299,288,1,1,1,0,1547.9768,1296.3323,40257.0703
1816350865,290,281,1,1,1,0,1556.3963,1543.8984,37925.9431
1001639105,281,281,1,1,0,0,1543.1323,1136.6195,37737.2455
2030117956,282,278,1,1,0,0,1545.9100,1132.5168,39282.3167
2085356252,290,281,1,1,0,0,1546.6557,1145.3084,30000.6610
380076236,281,281,1,1,1,0,1539.3907,1184.9674,42577.8771
1893330445,282,272,1,1,1,0,1527.9541,1272.4555,37374.0256
102516302,302,293,1,1,0,0,1512.7927,1194.9287,37654.7634
104309195,282,280,1,1,0,0,1541.5849,1153.1123,35212.2406
177146177,284,282,1,1,0,0,1529.3229,1129.8160,39879.2238
1009837770,307,290,1,1,1,0,1535.8098,1209.0047,39232.1672
999328620,301,284,1,1,1,0,1491.8953,1189.1805,40446.9391
2057334927,298,289,1,1,0,0,1500.6286,1159.1742,39750.7449
714866549,290,288,1,1,0,0,1561.2428,1128.2675,41935.5617
1157363270,295,279,1,1,3,0,1536.4433,1273.6533,38914.9656
1873531293,292,287,1,1,0,0,1560.4941,1140.6044,39250.3099
760443195,281,277,1,1,0,0,1516.2952,1196.4552,35783.4535
1960519010,291,278,1,1,1,0,1537.8034,1251.1805,40471.2838
505096343,292,283,1,1,3,0,1563.6338,1308.0963,40346.4098
299209827,298,295,1,1,1,0,1567.0550,1264.8802,48227.5258
1204626870,288,281,1,1,0,0,1536.0781,1145.0543,38050.0648
1610462,293,287,1,1,0,0,1535.1746,1144.8398,36120.9880
51658333,295,286,1,1,1,0,1559.3302,1189.2422,43895.7931
19628260,292,285,1,1,1,0,1515.8740,1239.6170,43148.3412
1324249814,300,286,1,1,1,0,1520.2565,1262.2035,41042.7538
33982018,299,292,1,1,3,0,1545.8176,1304.0140,49168.9495
782932256,296,288,1,1,1,0,1571.3877,1188.6186,49323.4962
1595758397,301,287,1,1,7,0,1569.3249,1458.1272,34942.4004
346908343,291,284,1,1,0,0,1514.3872,1221.1598,44009.0152
1972779108,281,277,1,1,3,0,1578.0364,1221.5492,42619.6378
1213987146,283,271,1,1,0,0,1537.9599,1154.4422,42753.7365
2067318875,300,281,1,1,1,0,1556.3583,1213.9319,35762.3709
561336533,297,288,1,1,1,0,1546.4581,1226.1060,36715.3649
404377364,300,296,1,1,0,0,1543.0225,1131.0145,39244.4008
473545962,298,293,1,1,2,0,1542.4541,1313.5649,36957.2294
327452671,300,292,1,1,0,1,1488.7906,1163.4773,46829.2393
1827105396,287,287,1,1,0,0,1537.0582,1147.5247,41164.0464
844303792,299,290,1,1,0,0,1520.7604,1157.0028,37088.0005
268320785,288,284,1,1,2,0,1529.7235,1251.5977,41690.3270
1196847123,282,276,1,1,3,0,1563.6981,1273.2339,42650.5793
1028895371,287,281,1,1,0,0,1588.5886,1226.2644,38326.6855
524422369,285,271,1,1,2,0,1540.0216,1261.5545,38855.0864
719664363,291,288,1,1,0,0,1548.8843,1144.6780,33563.2151
975214784,294,292,1,1,0,0,1553.1276,1135.7772,40722.4550
303782921,286,284,1,1,0,0,1532.5973,1201.5292,41839.5065
9578638,312,301,1,1,5,0,1558.4124,1428.1975,38493.7120
253253544,287,280,1,1,0,0,1526.8980,1175.4621,37803.4474
338943197,292,288,1,1,2,0,1520.2216,1289.8946,45820.6632
2048658121,301,282,1,1,1,0,1520.0948,1226.9315,41582.7649
1728539242,298,290,1,1,1,0,1557.9083,1281.9123,35333.5129
714218848,293,286,1,1,0,0,1543.7369,1132.7708,37101.6478
1797182052,288,279,1,1,0,0,1551.4824,1148.9369,41716.8939
1243440700,300,291,1,1,0,0,1561.8021,1234.7367,33907.5663
152074633,292,282,1,1,0,0,1539.1615,1157.1849,44486.4094
284862868,284,280,1,1,0,0,1540.1396,1161.0621,35854.0666
724808429,293,282,1,1,1,0,1553.0248,1219.7771,35194.0386
290459902,290,282,1,1,0,0,1536.3513,1152.1814,40150.6287
568474932,292,287,1,1,1,0,1512.2320,1242.1914,50979.2791
1725001197,289,274,1,1,3,0,1551.1325,1348.2943,39905.6581
1493096851,293,285,1,1,0,0,1566.3494,1223.6951,44587.0044
1109340896,287,279,1,1,0,0,1540.7570,1155.0625,34968.8088
142741248,302,292,1,1,0,0,1513.5915,1153.6565,37466.3260
2135125047,276,271,1,1,1,0,1556.7365,1222.9083,35231.9532
350147570,287,286,1,1,3,0,1571.8038,1309.8405,37726.1426
2034850616,301,288,1,1,1,0,1569.6326,1333.7864,39406.7734
717379642,295,282,1,1,1,0,1535.1092,1258.0729,41754.1362
1232305523,294,283,1,1,1,0,1548.1198,1302.3854,39006.3013
915026239,278,273,1,1,0,0,1516.3087,1143.0861,33431.5760
2082532477,302,288,1,1,2,0,1504.6933,1182.9920,43759.4195
1734928999,289,282,1,1,0,0,3662.1966,1157.3022,42729.1704
2134848102,300,283,1,1,1,0,1599.4009,1214.2575,39737.4353
74697594,308,294,1,1,2,0,1527.6400,1266.2876,41173.4821
1006925913,293,289,1,1,0,0,1497.3287,1171.0736,42211.7416
278471641,288,280,1,1,0,0,1565.8686,1216.6914,43545.8422
530330214,289,287,1,1,0,0,1519.1121,1209.7756,41737.4784
25581904,308,288,1,1,0,0,1532.4054,1204.9644,37598.7017
758627155,298,289,1,1,0,0,3509.5072,1229.7985,39309.4936
660489331,285,274,1,1,3,0,1517.1296,1241.8738,42137.7384
