inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
158404044,804,439,1,1,46,0,808.6523,1642.7096,39617.0088
152406214,641,446,1,1,6,0,773.6724,910.9159,37213.1500
2088889374,709,443,1,1,18,0,804.2512,1640.9030,44596.0331
2043596449,614,451,1,1,2,0,809.5372,1110.7601,39248.5928
812270013,754,451,1,1,6,0,764.8210,920.1811,33560.7242
1935720822,725,446,1,1,9,0,824.9701,963.6923,36150.5116
998321117,787,446,2,1,42,0,814.6316,401820.8009,39337.1373
743325900,695,448,3,1,8,0,807.1954,380546.9145,33057.5490
1028090729,711,457,1,1,53,0,771.5256,2349.2907,47291.3313
61616137,726,452,1,1,2,0,768.5811,888.3416,38612.1496
398370412,650,455,1,1,1,0,852.3740,917.6992,33896.6626
1856090331,830,448,1,1,23,0,747.0874,1760.3027,37823.9449
423968849,723,439,1,1,3,0,874.8608,1097.9730,53690.5113
1355479789,667,438,1,1,2,0,875.9110,1004.1241,36094.3960
1512277959,573,445,2,1,12,0,859.0345,152471.5904,37651.3973
744070896,816,443,1,1,7,0,843.2923,1211.6588,38771.8274
1591951452,644,441,1,1,0,0,840.9352,1019.6399,38013.9441
1139865475,799,452,1,1,5,0,840.2584,843.5105,44720.8337
829008402,716,440,1,1,3,0,851.4159,1011.4031,33904.2049
742681115,688,440,1,1,4,0,849.2975,1109.5606,32879.0485
2132526466,689,436,1,1,1,0,857.9597,1061.2243,39462.4528
1006874613,716,444,1,1,3,0,848.5448,1283.9108,46648.6237
330654934,683,435,1,1,2,0,774.8867,1100.6352,45391.2438
867491781,923,442,1,1,8,0,755.6206,1121.8841,36826.2845
1717750671,711,445,1,1,5,0,794.3526,989.2608,36306.4138
468203110,717,441,1,1,7,0,759.8344,1021.9389,41421.4496
693724622,746,448,1,1,3,0,768.3935,1207.7683,33298.1456
187465566,764,450,1,1,1,0,771.6873,932.3290,44753.8679
436178951,733,439,1,1,22,0,770.5178,1583.6364,41337.6848
1848382461,673,457,1,1,5,0,843.2172,1268.2637,36363.6174
823150073,661,444,1,1,22,0,840.4173,1953.7323,45244.5008
1109902312,713,454,1,1,87,0,841.3172,3896.0727,39562.7074
472847073,728,442,1,1,6,0,781.2817,1148.0047,35535.8237
