inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
710830319,422,406,1,1,1,0,2659.2251,1268.8253,84895.9972
37167118,427,411,1,1,1,0,2643.2473,1332.4730,82879.4469
1905423088,438,408,1,1,4,0,2671.6403,1355.9527,76863.1321
1155436783,430,406,1,1,3,0,2617.0862,1458.3714,79515.0271
844953596,429,400,1,1,8,0,2588.9612,1529.2803,78062.2899
778640770,438,415,1,1,2,0,2558.1690,1337.8924,67467.4157
1440058378,404,397,1,1,0,0,2569.7536,1173.6821,88512.4701
870165601,433,411,1,1,6,0,2579.2718,1774.2949,80894.5769
242509232,425,412,1,1,3,0,5118.2348,1364.8015,67115.7660
485437670,429,394,1,1,3,0,2610.6211,1430.0242,92764.1114
1795644652,427,410,1,1,2,0,2617.8205,1637.7489,74740.2800
1728403376,422,407,1,1,1,0,2639.8323,1265.7979,76050.9095
1058059231,416,403,1,1,1,0,2596.4480,1239.1245,76645.5576
425189520,439,412,1,1,3,0,2681.0200,1622.1465,78667.1923
1249906962,425,410,1,1,1,0,2628.0387,1416.2905,78528.1549
992000314,413,389,1,1,0,0,2654.6030,1389.3237,82837.5090
1898024100,436,401,1,1,1,0,2656.6366,1210.5433,82113.8244
1829974912,410,398,1,1,1,0,2608.3859,1302.3177,92021.5798
801375699,426,406,1,1,5,0,2695.0178,1421.0683,97580.8768
1042637683,445,398,1,1,3,0,2584.3923,1363.5620,75217.4171
60298170,440,413,1,1,0,0,2597.9802,1236.5049,84415.0061
1858733542,404,396,1,1,0,0,2597.4589,1189.7787,85576.9903
1835125803,422,406,1,1,1,0,2609.7115,1448.3460,81670.4260
806861251,435,412,1,1,3,0,2612.0284,1554.0008,83512.1493
1906062499,430,418,1,1,0,0,5040.3362,1239.0878,89154.4783
566846065,419,413,1,1,1,0,5034.4054,1445.9534,76170.1725
1464227822,427,401,1,1,6,0,2662.6327,1769.0564,91124.7622
1867610795,435,409,1,1,8,0,2652.3448,1666.5516,79352.6341
1537805808,424,410,1,1,5,0,2653.6038,1301.7334,90432.8878
1014945773,443,421,1,1,1,0,2653.5306,1233.1897,71935.0111
198152640,439,406,1,1,2,0,2657.1331,1203.1495,74320.9154
273672789,425,405,1,1,2,0,2668.6623,1391.6097,76923.9147
169649753,432,409,1,1,4,0,2664.9223,1668.2015,80188.8053
526545999,431,411,1,1,1,0,2644.8619,1304.4194,80553.6424
727349233,426,404,1,1,0,0,2633.9988,1308.8173,83272.4967
1672641004,429,406,1,1,1,0,2660.9735,1318.7843,80556.3877
1998398765,443,417,1,1,6,0,2634.8882,1586.0312,82157.0284
241712421,420,404,1,1,3,0,2629.7342,1516.3552,90798.6267
46609872,436,406,1,1,9,0,2621.8064,1654.9221,79744.5369
86920404,423,410,1,1,1,0,2630.9385,1291.3971,72428.7055
1381453400,438,404,1,1,1,0,2629.9008,1201.3782,65735.6796
1302357451,436,408,1,1,1,0,2629.6496,1242.7626,73521.7303
435695909,410,404,1,1,2,0,2705.6873,1569.9556,77973.0106
1615206022,424,407,1,1,0,0,2722.1978,1322.5369,83826.3951
1302392276,442,412,1,1,35,0,2679.1031,2968.2648,97733.8660
1922606197,424,405,1,1,7,0,2704.6259,1580.0953,88497.4598
1147797302,431,405,1,1,3,0,2723.0057,1532.8180,80691.5372
1356889920,417,399,1,1,1,0,2726.9790,1320.3612,83090.8450
1987668319,434,411,1,1,2,0,2644.4152,1466.0072,89325.9639
699147921,427,407,1,1,3,0,2685.3305,1355.5632,90036.8536
1821634168,431,410,1,1,5,0,2643.5184,1488.0701,89613.6402
894013448,414,405,1,1,1,0,2670.6604,1395.1693,71426.7309
1044792568,427,409,1,1,1,0,2651.4641,1292.5503,87263.1281
1171012575,415,399,1,1,0,0,2663.3355,1234.6585,82940.4158
1823696883,429,413,1,1,10,0,2643.6079,1554.7677,88979.5133
241689202,421,407,1,1,3,0,2651.9171,1471.8274,80022.1993
710903810,433,409,1,1,1,0,2623.0901,1294.3004,80551.5623
1770109157,415,406,1,1,5,0,2615.9561,1511.7370,72033.5814
1868485165,438,410,1,1,5,0,2625.1954,1659.5364,70788.5560
718370368,440,412,1,1,5,0,2606.1363,1511.1090,87401.5741
647901879,425,395,1,1,3,0,2614.8269,1318.1275,74834.1070
114622082,408,400,1,1,1,0,2614.6699,1443.5718,97824.7101
1628684325,422,402,1,1,1,0,2604.1936,1196.4831,78536.9875
1665784098,417,401,1,1,7,0,2622.8200,1736.3929,88089.6681
2139206637,437,414,1,1,1,0,2605.9517,1470.8433,105054.1399
196674335,421,398,1,1,1,0,2610.2557,1404.4666,75111.5748
559007104,442,414,1,1,5,0,2604.4536,1551.8468,72927.7899
1665131804,442,418,1,1,1,0,2698.2261,1200.8036,84137.7214
281341731,417,406,1,1,2,0,2628.5707,1285.1751,78939.5225
1924900156,412,399,1,1,3,0,2622.4648,1476.0567,68309.3487
183550237,429,410,1,1,3,0,2615.2594,1525.0266,77689.8464
1054854399,432,419,1,1,3,0,2614.3638,1575.4050,81183.3413
2063530213,419,402,1,1,1,0,2598.8633,1406.6784,86858.8546
152524042,432,411,1,1,3,0,2592.9746,1459.9469,80173.6876
1153028473,426,409,1,1,6,1,2597.5197,1733.0774,63958.6625
386465894,432,402,1,1,1,0,2634.9162,1305.5105,72626.1917
1668208412,430,416,1,1,1,0,2606.2683,1453.5242,77180.0352
708016496,449,409,1,1,7,0,2609.5346,1754.8752,81244.3558
1073988123,437,404,1,1,10,0,2605.6729,2006.8926,84236.0012
1333377186,432,412,1,1,0,0,2609.6800,1271.1783,90224.5373
1443343909,420,394,1,1,0,0,2579.6090,1257.2834,87504.9354
298191535,430,413,1,1,3,0,2591.9636,1378.9438,73691.4620
1243332142,439,420,1,1,3,0,2587.1247,1323.3014,91448.0122
950956204,429,416,1,1,3,1,2592.2609,1407.9808,64923.8189
1497797082,425,404,1,1,12,0,2586.1995,1847.3094,71459.2971
1660161639,446,410,1,1,4,0,2580.6197,1415.3635,85954.4765
1750908846,443,424,1,1,5,0,2586.4749,1609.7610,78566.2670
1894620189,425,399,1,1,12,0,2588.9618,1647.1990,70866.3194
1863490149,410,402,1,1,0,0,2587.4891,1261.0759,80461.4554
630859225,427,409,1,1,0,0,2619.2791,1447.9712,71176.3147
1161646487,432,416,1,1,2,0,2625.4786,1396.3922,74979.3905
1418231570,428,411,1,1,16,0,2594.8955,4291.5868,72969.6909
360175235,444,414,1,1,9,0,2584.9955,1655.2956,65245.8957
24752310,429,406,1,1,6,0,2595.7978,1632.3205,74935.5166
130986995,439,409,1,1,7,0,2583.6051,1487.0862,77438.3313
987687118,433,407,1,1,1,0,2605.5026,1363.0835,71951.5571
100757952,424,395,1,1,3,0,2706.9137,1430.8841,71243.4291
1620598798,427,411,1,1,1,0,2714.5161,1466.6031,77337.2048
1653091257,438,407,1,1,3,0,2713.3221,1398.9282,73367.6473
