inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
710830319,434,396,1,1,7,0,2709.5240,1530.6288,67374.4764
37167118,418,387,1,1,3,0,2710.3089,1253.3997,80873.1655
1905423088,407,381,1,1,1,0,2648.1078,1115.3527,101064.8550
289290685,423,393,1,1,11,0,2644.5723,1632.3607,76025.1073
1155436783,416,391,1,1,4,0,2629.9897,1243.8669,87843.1294
844953596,428,396,1,1,7,0,2710.4881,1373.0384,72982.7672
778640770,409,386,1,1,1,0,2680.0777,1109.8416,68304.3582
1440058378,420,391,1,1,1,0,2676.9388,1157.9985,74079.0630
870165601,410,387,1,1,4,0,2670.2822,1267.8306,78943.9073
596066636,408,384,1,1,1,0,2697.4219,1135.8219,76660.2153
242509232,411,387,1,1,3,0,2685.6767,1319.1009,68005.8590
485437670,406,389,1,1,1,0,2692.9264,1124.3496,73286.8941
1795644652,413,384,1,1,1,0,2705.2833,1135.4064,71763.8966
1058059231,418,391,1,1,8,0,5102.9711,1469.6051,70822.9642
425189520,415,385,1,1,0,0,5060.3173,1017.2462,90993.4823
1249906962,429,392,1,1,3,0,2772.7108,1181.0368,70005.7306
992000314,415,389,1,1,5,0,2662.5844,1470.2591,79969.7221
1898024100,417,389,1,1,1,0,2650.7060,1178.1408,75591.9288
1746592779,406,391,1,1,0,1,2672.2483,1121.5126,77382.9329
1829974912,417,392,1,1,1,0,2693.6351,1098.4571,76889.6517
801375699,403,386,1,1,1,1,2655.4531,1048.2564,82785.7968
1295812938,414,392,1,1,1,0,2811.4911,1119.5384,66342.5297
1042637683,404,381,1,1,0,0,2827.1552,1194.7242,89450.2107
60298170,421,395,1,1,2,1,2818.3830,1150.2002,75666.0430
1858733542,411,386,1,1,1,0,2826.4467,1224.4432,87134.5293
1835125803,421,389,1,1,9,0,2727.5550,1617.1054,84621.7802
806861251,423,390,1,1,1,0,2818.9154,1219.2639,91506.4034
2088478527,412,392,1,1,0,0,2827.9484,1190.2050,85600.8301
1906062499,409,388,1,1,1,0,2826.7304,1222.0220,70488.6635
888388016,420,389,1,1,11,0,2831.3358,1312.0329,78510.3521
566846065,397,382,1,1,1,0,2780.9542,1078.6893,76877.3585
1464227822,423,388,1,1,0,0,2768.5640,983.3093,76494.6883
1867610795,426,388,1,1,3,0,2772.4755,1122.3986,84190.2104
1537805808,422,390,1,1,0,0,2659.0238,1045.4742,89041.6735
1014945773,411,383,1,1,1,0,2677.8748,1033.7821,72367.6276
198152640,420,393,1,1,1,0,2634.1239,1072.7959,69903.3579
273672789,412,389,1,1,1,0,2647.3284,1266.0518,71897.1406
169649753,436,401,1,1,11,0,2647.4263,1509.9454,66140.7292
1733069214,421,390,1,1,5,0,2701.0113,1260.1521,76457.6586
526545999,424,388,1,1,1,0,2645.0556,1131.8907,61094.7124
727349233,417,389,1,1,1,0,2702.8043,1234.2528,76897.7263
1672641004,423,390,1,1,3,0,2639.3365,1291.2348,70779.6029
485656411,416,384,1,1,8,0,2673.5109,1541.9126,77888.4940
1998398765,426,399,1,1,3,0,2685.9286,1164.8357,78443.6342
241712421,416,383,1,1,23,1,2680.3577,2775.7087,88929.2992
86920404,411,392,1,1,0,0,2493.5436,913.0854,72244.1607
1381453400,409,388,1,1,2,0,2480.1733,1166.1831,72397.8398
1302357451,419,390,1,1,2,0,2470.9394,1367.3303,77918.4525
228193933,410,388,1,1,3,0,2504.8275,1189.4195,63609.7303
435695909,402,385,1,1,3,0,4819.3872,1138.5894,73636.0215
1615206022,412,389,1,1,2,0,4704.6750,1122.1441,74525.4969
1302392276,422,393,1,1,8,0,2466.1742,1497.2477,78129.5704
1922606197,416,394,1,1,2,0,2505.4257,1088.5321,66236.4496
1147797302,429,398,1,1,3,0,2484.8606,1163.7532,74117.9760
1356889920,412,382,1,1,1,0,2480.8561,1128.2666,67236.9221
1987668319,425,385,1,1,3,0,2481.2576,1108.0168,61712.2895
699147921,428,382,1,1,3,0,2489.9963,1161.3486,64011.5912
1821634168,412,382,1,1,1,0,2474.8464,1063.2759,72689.7647
939030574,427,390,1,1,4,1,2513.4679,1028.1897,77021.7722
894013448,414,387,1,1,7,0,2480.7682,1385.8992,82599.6723
1171012575,410,384,1,1,6,0,2439.0940,1284.2656,71798.9499
1823696883,413,383,1,1,2,0,2449.3695,1067.7673,66996.7199
1770109157,422,391,1,1,3,0,4629.2177,1017.9341,69384.7483
1868485165,401,384,1,1,0,0,2531.9878,996.4077,61083.8701
718370368,407,390,1,1,1,0,2524.3403,1173.1235,69848.4244
1383065065,415,391,1,1,0,0,2499.0513,1106.5709,77796.3285
647901879,412,387,1,1,1,0,2532.0010,1032.2546,65905.4106
114622082,432,397,1,1,12,0,2507.5806,1320.1222,88251.5744
1628684325,416,385,1,1,1,0,2540.2048,1042.6320,71187.5345
1665784098,430,388,1,1,2,0,2502.4896,1048.9533,76202.6778
2139206637,411,390,1,1,1,0,2458.2368,1017.0447,67998.4362
196674335,434,383,1,1,7,0,2414.1101,1170.6784,84490.6418
559007104,421,390,1,1,1,0,2441.3745,953.7217,63898.2088
1665131804,420,381,1,1,7,0,2447.0185,1527.5536,67183.5289
281341731,402,389,1,1,1,0,2461.8122,1006.6296,75183.1212
1924900156,433,397,1,1,9,0,2461.4964,1474.1186,72471.8368
183550237,410,385,1,1,3,0,2465.2794,1031.7079,87743.6012
1054854399,417,390,1,1,1,0,2470.8549,935.1325,69801.6011
2063530213,420,391,1,1,23,0,2455.8178,2555.6975,73921.8847
100736635,410,384,1,1,1,0,2466.4041,1129.3512,71379.4850
386465894,411,382,1,1,2,0,2414.3159,1122.4862,75513.2625
1668208412,426,397,1,1,4,0,2446.5436,1158.0632,71693.0485
708016496,415,390,1,1,0,0,2450.9479,942.0606,78652.4277
1073988123,401,381,1,1,1,0,2425.9661,924.5023,71331.8638
1333377186,406,385,1,1,1,0,2464.5282,978.7494,71515.8207
1443343909,411,385,1,1,1,0,2437.2231,1042.3223,70001.9471
298191535,423,392,1,1,6,0,2446.0148,1213.4190,65963.1285
1243332142,433,394,1,1,3,0,2423.8633,1133.1976,73459.3214
950956204,441,396,1,1,4,0,2447.8375,1213.3072,85619.4047
1497797082,417,382,1,1,3,0,2437.0442,1248.8483,71955.2987
1660161639,403,382,1,1,3,0,2445.1784,1256.9218,67950.3519
1750908846,419,395,1,1,7,0,2446.1511,1439.4370,71923.5838
1894620189,418,384,1,1,3,0,2436.0828,1079.8565,71949.8657
1863490149,407,372,1,1,11,0,2432.2969,1568.4268,64093.8300
630859225,410,380,1,1,3,0,2405.8272,1132.4386,69663.8014
1503010420,420,389,1,1,1,0,2399.9128,1159.7993,67157.2591
1161646487,438,396,1,1,3,0,2430.9531,1137.4617,75158.3964
1418231570,422,398,1,1,1,0,2414.0385,1038.5323,53433.4224
360175235,415,389,1,1,0,0,2438.4824,1043.8229,78758.9771
